ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u2	The President [[in front of the assembly standing]] Dear colleagues, on 24 February 2022, the Russian Federation launched an unacceptable offensive against Ukraine under international law, which governs the principles of sovereignty and territorial integrity of States. All those who love democracy and humanity can only be deeply shocked by this violent act of war. I would like to welcome the presence in the gallery of two representatives of the Embassy of Ukraine in Belgium, Mr. Yehor Pyvovarov, Chargé d'affaires and Mrs. Natalia Anoshyna, Counsellor, who wanted to share this moment with us.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u3	Ukraine's destiny concerns us all. In coordination with our partners and allies, the European Union has taken without delay unprecedented sanctions against the Russian Federation and has adopted measures to support Ukraine by all means, political, financial, humanitarian and logistical. The Russian military aggression has caused a real wave of shock all over the world but also a magnificent momentum of solidarity. The European Union quickly took a series of initiatives to welcome, in solidarity and in the best conditions, Ukrainian refugees, children, women and men, whom this war condemns to exodus. In Belgium, aid flows from all over the country. Many Belgians work hand in hand with Ukrainians who live and work in Belgium to help the victims of this absurd conflict. For a few days now, our country has been catching many Ukrainian refugees - mainly women and children - who had no choice but to flee their homeland at large. The Belgian population and many public authorities, such as the municipalities, have shown great solidarity by providing support, shelter, consolation and care for these people. We must also make a concrete contribution to helping Ukrainian refugees in Belgium and the population in Ukraine. I have therefore instructed the services of the Chamber to organise a solidarity action in our assembly in the form of a collection of goods and foodstuffs. I invite you all to make a contribution. As you will have noticed, the Ukrainian flag has been flapping on the premises of the Chamber and Senate for over a week now. With this symbolic gesture, we want to condemn this Russian military attack in the strongest possible terms and demand the restoration of Ukraine's independence, sovereignty and territorial integrity. Ladies and gentlemen, the war has unfortunately brought more horror and sorrow to many families, not only in Ukraine but also in Russia. Every lost life is a tragedy. Beyond the media attention to this senseless confrontation there is death, pain, loss, crying and silence. As a sign of support and respect for the pride and courage of the Ukrainian people, but also in tribute to the already far too many victims of this conflict, I invite you to observe a minute of silence, not without listening to a word from our Prime Minister.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u4	Madam President, the government agrees with what you said. The images we have seen over the past two weeks are heartbreaking: a bombing at a children's hospital in Marioepol, bombs dropped on people on the run, often for the second time, after they had to leave the Donbas. Even a war has rules. Russia is flagrantly violating these rules today. The difficulty we face is how to react to an aggressor without contributing to additional human suffering. How are we supposed to respond to an aggressor threatening nuclear weapons? How should we respond to an aggressor who himself attaches little or no value to human life? The only way to stop this human suffering is to stop violence by peaceful means. In the face of Putin's weapons, we are imposing economic sanctions. In the face of aggression, we place a strengthening of our defence. In the face of blind hatred, we put in cold blood. It is now our duty to use these peaceful means as ruthlessly as possible, so that the Kremlin can go only one way, and that is to lay down the weapons and end the bloodshed, this cruel war between two peoples, which have far more things in common than those that separate them.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u5	Ladies and gentlemen, I ask you to observe a minute of silence.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u6	In accordance with the opinion of the Conference of Presidents of 9 March 2022, you have received an amended agenda for today's meeting. In accordance with the opinion of the Conference of Presidents of 9 March 2022, you have received an amended agenda for today's sitting. Is there any comment on this? Are there any comments on this? Accordingly, the agenda was adopted. The agenda has therefore been adopted.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u7	Madam President, Prime Minister, Secretary of State, while fighting is raging, while civilians are deliberately targeted by the Russian army, including hospitals, children's hospitals, as Putin was already doing in Aleppo in Syria not so long ago, when the characterization of these acts as war crimes is more than ever, you now have a historic responsibility and you have the opportunity to make history in Versailles earlier. Europe must be at this historic moment in two respects. On the one hand, there is energy. Every day, ladies and gentlemen, the European Union buys oil and gas from Russia for hundreds of millions of euros. It's money that goes directly into the war effort. That must stop absolutely. It may not be possible to do so as quickly as the United States or Britain decides, but Europe can make its energy sovereignty its great future. This Europe which once built itself on coal and steel can, tomorrow, build on renewables and nuclear power and exclude gas, first of all Russian gas, from its economy. This can be the construction of the decade. On the other hand, there is the issue of asylum. With two million refugees, we are already in the worst humanitarian crisis since the Second World War. We are already in a worse crisis than we were in 2015. Europe, so far, is at the meeting, including – and we must thank them – the very many citizens of our country. There are, however, two flats. First, we continue to receive testimonies from people of African or Indian origin who are arrested, stopped at the Polish, Slovak or Romanian borders. Mr. Secretary of State, you're coming back from these borders. Can you tell us if you have sent the message that this discrimination obviously does not have to be? Secondly, even here in Belgium, thousands of Ukrainians before the Bordet Institute and elsewhere face a certain disorder, a lack of organisation. I know that we are facing an unprecedented crisis, but they need to be welcomed in the best possible conditions. Where are we on this level? Let us make sure, Prime Minister, that Europe is different when you return from Versailles than it is right now. Let her be fairer, more supportive and, above all, stop being a spectator of the world and take up her place!
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u8	Ladies and gentlemen, I would ask you to be very careful to speak in the microphone because a room filled with 150 members does not have the same background noise as when it has only a few dozen. Some people seemed to have difficulty hearing.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u9	Madam President, we obviously associate ourselves with your words and those of the Prime Minister in the face of this tragedy in Ukraine. I take this opportunity to express once again our compassion to these thousands of innocent victims, to those civilians who have not asked for anything, but also to those thousands of refugees who are thrown on the roads of exile. There is indeed, in the head of Europe, a historic challenge. I shall stick, Mr Secretary of State, to the one concerning the reception of refugees. First of all, there is obviously a lot of generosity and that is so much better! Citizens are at a time of generosity, not only with convoys leaving every day, especially to Poland, but also with regard to the reception of these refugees. But there's a mess in Bordet. You announced that Heysel would become another place of reception and registration for these refugees, but that is not enough. It would take a lot more. In Wallonia, Flanders and Brussels, people are waiting for hours in the cold while they have already experienced an extremely difficult chaotic path. This is not acceptable! What measures are you going to put in place to address this disorder? Secondly, there is the challenge of coordination between supply and demand. Many citizens have offered to host people. There are structures, etc. How can this coordination be much better organized to match supply and demand and so that everyone can find a place directly? Finally, we must consider supporting the local authorities that will need resources; I am thinking in particular of the CPAS which will have to deal with the social reception of all these displaced persons. Thank you.
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u10	Prime Minister, peace and security are not a failure on the continent of Europe, on the contrary. The rudeness, hardness and brutality of the Russian aggressor are a stump in the stomach of every civilized citizen. That fills us with horror. We must therefore continue to support Ukraine in terms of material and moral support. Our security has been guaranteed for almost 75 years by NATO and the European Union, but this crisis shows that security and peace have never been fully achieved. Unfortunately, some saw their geopolitical vision confirmed, others now, hopefully, finally lost their naivety. They should have lost them when we saw what was going on in Syria by Russia. It is clear that peace and security require daily efforts. Prime Minister, you and your European colleagues will soon be at a very important summit. The energy challenges, Russia's strategic decoupling and defence challenges are on the agenda. Solidarity in this new refugee crisis must also be discussed. These are all essential issues for us as Europeans. Much attention must and will be paid to strengthening European defence, within the framework of the EU and within NATO. This debate will also have to be resumed here in our own country, despite the efforts of your government. A strong defense costs a lot of money, but it's like an insurance premium: it costs a lot of money, but if anything happens, you're very happy you paid the premium. What proposals are you going to Versailles with? What will you say there on behalf of our country?
ParlaMint-BE_2022-03-10-voorlopig-55-plenair-ip167x.u11	Madam President, Prime Minister, Secretary of State, all the limits of humanity have been exceeded. In fact, a children's hospital was bombed. War crimes are being committed. Millions of refugees are on their way, including very many children alone and women with children. These are all Ukrainians who need a roof over their heads, protection, security and security. Fortunately, in all this misery, I also see a great deal of solidarity, and that will also be necessary, as we may receive up to 100 000 or, who knows, 200,000 refugees on our territory. That's a few times bigger than Syria. I see solidarity among citizens, who are offering a place on a massive scale through the campaign. I'd like to call on you to keep doing that, above all. I also see the voluntarism of the state governments, who are also doing everything possible to provide housing, shelter and guidance. I also see that there is a great deal of demand from the cities and municipalities. Nevertheless, they make every effort to make the best of it. I also see that the federal government wants to manage everything. That's not easy or obvious. The challenges are therefore unseen, but I see a government that wants to rise above itself and that will be necessary. This requires clarity and good agreements. It'll be together or it won't be. What agreements have you made with the Prime Minister, Prime Minister? Have you also advocated the spread of refugees across cities and municipalities, for example through a compulsory distribution plan? I would also like to refer to a second point, namely exploitation, because where people are in precarious conditions, there is exploitation. Prime Minister, I would like to call on you to bring all Belgian services into the supreme state of preparedness to detect those elements of exploitation, to human trafficking (...)
