ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u2	Madam President, ladies and gentlemen, as you have learned, Deputy Prime Minister Sophie Wilmès has announced that she is temporarily leaving her position as Minister of Foreign Affairs for personal reasons. I wanted to inform the House directly. I think we are all aware that this is very painful news for our colleague Sophie Wilmès, for her husband Christopher and for their children. With so many people in our country, I want to wish them great courage in a particularly painful period. Sophie told me that she and her family wanted to fight cancer together as a family. It is a choice that I very much hope this House unanimously respects. It is our duty, as colleagues in the government, to discharge it as much as possible. A provisional reorganisation of powers in the government will be notified to the Chamber via a KB. I myself will temporarily exercise my colleague's powers in the field of foreign affairs and European affairs. Minister Clarinval will do that for the powers of foreign trade. He will also replace Mrs Wilmès in the nuclear cabinet. Secretary of State Mathieu Michel will be responsible for the federal cultural institutions. Deputy Prime Minister Wilmès remains a formal member of the federal government. It has also explicitly stated that it does not wish to receive a wager during this short period. At such times, I think there is nothing more precious and essential than being able to spend time with the family. We all hope that Sophie and her family will find the strength to face this terrible ordeal. [[Applause from the European Democratic Group]] ) [[Applause]] [[)]]
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u3	The words are in fact very little comfort in the face of the terrible announcement of a serious illness within a family. The House therefore also wishes Minister Wilmès, her husband and her children the strength and courage to go through this trial with determination, with great love and, above all, confidence.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u4	Madam President, on behalf of my group, I would like to express our absolute understanding and admiration for the courageous step taken by Mrs Wilmès. We offer her all the support she deserves in this very difficult period.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u5	Mr Prime Minister, please do not misread my question. Your government is far from failing in terms of the budget record. You are incredibly strong in that regard. You score Europe-wide "better" than any other country. Should the opposition tell you that, you could wave it away, but the IMF, the National Bank, the Supreme Court of Finance have lit about all the red lights that can be cut. Before the recess, I asked you in committee how you looked at it and you replied that you were keeping an eye on the matter. That was not reassuring, because that was the minimum minimorum. Do you still keep an eye on evolution? In the meantime, have you done more than keep an eye on it? You are a little trapped in a government constellation that wants to give the impression that there is free. In view of the serious challenges of increased spending today, one should always be careful with that, but I think that quite a few of those expenses that need to be done outside your control are to be accounted for. However, one must also remember the old Flemish proverb one sows to the bag. At the moment and from a certain populism, you give the impression that you will be able to settle all kinds of accounts without the need for countermeasures. That is not a feature of a courageous policy. You can try to cover that up, but the reports to which I refer, from the IMF, from the National Bank, from the Supreme Finance Council, are steel and steel hard. You are now interning on the next generation, in addition to the tax increases you have already made. Hence my very simple question. Do you still keep an eye on the budgetary situation or have you in the meantime drawn up a policy?
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u6	Prime Minister, according to the IMF, after Romania, Belgium has the largest deficit of all industrialised countries. Problem countries like France, Spain, Italy and even Greece are doing better than you and your government. We already knew that this lame Belgian country would be the slowest growth rate in all euro area countries this year, but the IMF is now also adjusting its growth prospects even further. The very weak growth rates presented by your government are very bad news for the budget, a budget which, with the help of the Liberals and of all the former government parties, has long shown deep red figures for corona. The National Bank recently warned against a Greek scenario. This is, of course, in stark contrast to the fact that you, as Prime Minister on the international stage, if you can stand there in the spotlight, are handing out a lot of money with your government, for development cooperation, or last but not least EUR 800 million for abroad. As Prime Minister of the second worst budget, you, on your own, guaranteed almost 10% of all global donations at the donor conference. An obvious question is therefore whether we should not use at least some of that money to help our own people and get our own accounts in order. According to the IMF, Belgium remains an absolute leader in public expenditure. One way to get things in order is to reform, but the government fails with 7 parties and 4 ideologies. The pensions, the fiscal reform, the reform of our energy bill, which is a second tax letter, the structural reform of the price at the pump, which is all being pushed forward and remains unresolved. When will your government cut into the absurd expenses of the far too fat government? When will you reform thoroughly?
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u7	Madam President, ladies and gentlemen, the IMF projections cover a period of five years. The difficult thing is that economic projections that go so far in the future are an academic exercise. As I said earlier, we are following this closely. However, my priority is the budget for the years of the current government period and the impact it may have on it. Budgetary control was made in relation to a budget format drawn up at a time when conditions were very different from those prevailing today. Economic growth is more than 1% lower than estimated in the budget, due to the crisis in Ukraine. That was hard to predict. We have given EUR 1 billion additional corona support to support businesses and families. Would you have chosen not to do that and let them fall? We've taken measures to control the energy bill. Would you rather have said to these families that we would not take measures and abandon them? We've decided to spend an extra 450 million euros on Defense. I assume that if Theo Francken had said a few weeks ago that he thought that was a good decision, you would still think that was a good decision today. These are, of course, necessary expenditure. You come here to preach virginity, but many, including the opposition, said that these additional expenses were desirable. Mr Vermeersch, on this EUR 800 million, we have clearly said that this is a commission to cover additional costs of reception to help Ukrainian refugees in the right way. That was not foreseen during the budget presentation, unless you had a glass ball in the Kremlin with which you could have predicted this. A few weeks ago, your group spoke of full solidarity for our brothers and sisters in Ukraine. Are you still in favour of this ruling? Then you must say clearly that you support the Ukrainians. How would we do that financially? You support the fight against the Russian barbarians of Vladimir Putin and Russian soldiers. In what way would you support this struggle? Or is it still very difficult for you to translate your words into action and to distance yourself from a Russian regime that is committing the greatest wrongdoing? In words you distance yourself from that, in deeds and in financial choices it is apparently very difficult for you to make that distinction. It is quite right that the government has made choices. The government has chosen to help families and businesses at a particularly difficult time when we thought covid was over, which was not the case. The government has chosen to help families and companies at a time when the energy bills are exploding. Those are all things the government had no control over. You'll have one minute for a reply in a moment. Make it clear what choices you would have made and which people would not have helped you at a difficult time like today.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u8	Mr Prime Minister, you had five minutes of your time, which you didn't use to explain that justified expenditure was incurred, which I didn't dispute. However, you have not spent a single second on the question of how to interpret the red lights, because do you have the courage to tell the next generation that they will have to pay the bill that caused your populist policy today? Do you have the courage to answer that? The last part of your most pathetic answer was to ask the opposition if it has any solutions. I have one: 1.7 million people are inactive today. When will something be done to activate the labour market, because in it your government will remain completely unemployed?
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u9	Prime Minister, there was a time when liberals attached their own credibility to the budget, but you lost that credibility when you stepped into this PS government with a Walloon way of budgeting. This country will become a Greece on the North Sea under your prime ministership. 100 million euros of corona material had to be destroyed. Many hundreds of millions of euros are distributed in Africa, the Middle East and abroad. Soon, money will probably have to be raised in the Sahel for Belgium. In handing out all that money, you said that Belgium does not abandon anyone. Your government is definitely abandoning our people. Our people are impoverished today, without your government taking strong measures. Those many hundreds of millions of euros of our taxpayers' money should not be thrown over or distributed somewhere abroad, but they should be returned to the hard-working Fleming. Our choice is very clear, first our people.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u10	Madam President, Prime Minister, we are awaiting the final decision of the United Kingdom in an imminent manner. Unfortunately, it is almost certain that, within a few days, journalist Julian Assange will be subject to a decision to extradite him to the United States, where he faces up to 175 years in prison. Why? For revealing, in the name of public interest, a series of state secrets, including allegations of war crimes committed by the United States in Iraq. At a time when we rightly condemn the war crimes committed in Ukraine by the Russians, we must also keep our eyes open to the abuses that can be committed by democracies, including our allies. Prime Minister, this is not just a matter of freedom of expression. It is also a dossier on freedom of the press. Indeed, Mr. Julian Assange is a journalist, much more than a whistleblower. I cannot imagine that our country, in this climate of relative indifference which unfortunately reigns over this issue, remains silent. First of all, we must urgently call on the British Government to put an end to the extradition procedure, and we must raise with the United States Government our disapproval of the proceedings against Mr Assange. We must also lend our full support to Mr. Assange by contacting him to tell him that our country stands by him and is ready to welcome him and his family, if he so requests. Mr Prime Minister, my question is extremely simple: how does the Belgian government, at its level, support Julian Assange, his cause and the values he stands for, as well as all the whistleblowers from here and elsewhere who speak out to defend the general interest? Thank you.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u11	Mr. De Smet, the Wikileaks case and Mr. Assange's character have left no one indifferent. Let's be clear! Like you, this government is concerned about freedom of expression and freedom of the press - and you have made these two clear. We are fully committed to it. A free press is a guardian of a well-functioning democracy; we will continue to support this and do everything we can to ensure that the press can continue to play its role throughout the world. However, as much as we defend a free press, so much we defend the separation of powers. It is not for the Belgian Government to interfere in the judicial proceedings of a third State and certainly not to interfere in the decision of a court. We must trust the integrity and independence of the British judicial system, which is assessed in full transparency between different countries, as we often do. Like you, I believe that in a country like the United Kingdom we must respect a fair decision, a fair decision. These decisions must, of course, respect human rights. We also know that, if a decision were to be made at any given time, there would always be an opportunity for appeal and appeal. If extradition based on a decision taken in the United Kingdom were to take place, our country would be attentive to respect for all procedures and respect for the rights of one hundred per cent, such as Mr Assange.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u12	Prime Minister, thank you for your answer. I was hoping for a stronger conviction. I hear your argument on the separation of powers. But in Britain, the procedure shows us that the Executive has a say. It is a minister who will finally affix his signature on the extradition procedure. So, yes, we have, even politically, our say and I think that international support in these matters makes a difference. As far as whistleblowers are concerned, I would like to take this opportunity to say that our country must also set an example. Whatever Mr Assange's fate, we must be exemplary in protecting journalists and whistleblowers, their reputation and sometimes their lives. For the time being, however, this government has not had a very good record in this regard. I am thinking not only of the non-transposition of the European directive but also, of course, of the violent reprisals against two ODA whistleblowers whose warnings, by the way, have all proved true. Thank you.
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u13	Madam President, Prime Minister, this Friday the workers will be on the street. Actions will be carried out in Liège, Antwerp, Charleroi and Brussels. Workers want to express their concern that they can no longer pay their bills and make ends meet, with one and sometimes two wages. This is already the case for many of them, but also for independents. We know that the covid crisis has exhausted the citizens. It is also known that rising energy prices are impoverishing them. In the face of these crises, the role of the State was emphasized and applauded by all. Your Government has indeed taken a great deal of positive action. To support household incomes, ecologists want measures to be taken to reduce energy consumption, but also to increase such incomes, which means automatic wage indexation and collective bargaining, as the 1996 law will soon be on the benches of Parliament. This law needs to be changed. As has already been said, wages must protect against poverty. We must also be creative by putting in place immediate measures that impact low wages. How about a tax credit targeted at them? That would be an adequate response. In any case, all responses to these crises must involve more solidarity and income. Prime Minister, what is your agenda? What proposals do you put on the table?
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u14	Prime Minister, things are going well in our Belgian country. The economy is doing well and when I look at the news reports, I see that the Bel-20 companies made a profit of EUR 21 billion last year. 21 billion euros! There was already a small group who knew where to make it. The CEOs of these companies were immediately on the deal and imposed an average wage increase of 14% on themselves. The working class, on the other hand, got absolutely nothing. That's your government's fault. It has imposed the wage-blocking law and put the trade unions against the wall with its backs. That's why they're clearly saying tomorrow that it's enough. Have you been refueling recently, Mr. Prime Minister? 2 euros a litre! You may still be able to pay that with your wages, but the working class can't do that anymore and screams for justice. Clearly, the unions don't understand it anymore. They're meeting tomorrow in a common union front. They rightly have clear demands. They want to get rid of the wage-blocking law and negotiate it clearly. They no longer understand how companies can make usury profits and that they don't even have the freedom to negotiate wages. Mr Prime Minister, I have just one clear question for you: will you finally throw the wage freeze law in the garbage can?
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u15	Prime Minister, today the prices are flying away. Gas, electricity, food, our citizens can't anymore. They're wondering how they're gonna close their end of the month. Tomorrow, they will find themselves again on the streets, alongside the unions, to demand a little more purchasing power. For us socialists, purchasing power is a top priority. And it is the government's duty to protect its fellow citizens, but also its economic fabric from this infernal spiral. It is not for the workers or the most fragile to pay for the broken pots. It must be acknowledged that this government has taken strong steps: the increase in the minimum pension, the increase in social benefits, the maintenance of automatic wage indexation. The PS also fought for a reduction in energy VAT. But we now realize that these measures are not enough. That is why my group has proposed measures for better control of energy prices by setting maximum margins for operators but also by fixing prices on foodstuffs, by giving the government the power to limit these prices by means of an observatory. My group is also calling for tax reform to make it more progressive. Prime Minister, what measures will the government take more structurally to maintain the purchasing power of our fellow citizens?
ParlaMint-BE_2022-04-21-voorlopig-55-plenair-ip175x.u16	Thank you for the questions. It is true that this sequence of crises is extremely painful. Painful for our citizens, painful for all the operators – especially the economic ones – of our country. I will be clear: this government fully shares all concerns about purchasing power, inflation and rising costs of living. In fact, the government had already, in its early days, taken a series of decisions that help those who have the most difficulty in coping with these price increases. I would point out, for example, that the welfare envelope, which is an increase beyond inflation, is an increase that we apply to 100% and that increases the purchasing power of pensioners. We are still talking about amounts that are around two billion euros a year. These are measures that we adopted at the beginning of the government; they are no longer being discussed, but the effects are clearly discernible today. I would also like to mention another existing element of the Belgian social model, which is generally not spoken of. Our country is one of the few in which that element works automatically. Mr Colebunders, if you say that the government, society, is not doing anything about the price increases, you are telling factual lies. Last year the central index was exceeded twice, this year there will be three, a total of five index overruns. In the area of wage mass, this means an increase of EUR 17 billion. That has to be paid, it doesn't just fall out of the sky. This 17 billion is paid by companies, some of which are indeed making profits, but also by companies that are struggling, as companies that do not make profits also have to pay the indexation. This government has also taken the necessary measures. When energy prices rose, we intervened with packages of more than EUR 3 billion in total, with which we carried out price reductions at the pump, among other things, through excise duties. Compared to the countries around us, we have done more. We see, for example, that Dutch people living in the border region come to refuel in our country, which shows that our country has done more than neighbouring countries. The indexation system also offers much better protection of purchasing power than in other countries. In total, it is an invoice of 25 billion euros, paid by the employers and the government in our country. So don't come in here and tell me there haven't been any raises. Don't tell me there's been zero margin. A total of EUR 25 billion is spent in addition. You wave that away, but that shows that you are intellectually completely unfair to reality. In reality, measures are being taken. The fact that you are throwing that away shows that your proposals are populist, because you are simply ignoring the automatic mechanisms in our country. Does that mean the government's gonna stick with that? No, absolutely not. As a government, we have made it very clear that we will see how further action is needed. Moreover, that is why we have asked the Governor of the National Bank, who will chair a panel of experts whose first meeting will be held shortly, to consider what additional measures we should take. Since, during the co-vid period, we listened to the experts and read the opinions on long-unforeseen circumstances, the present economic situation is complex and requires that we maintain the balance between purchasing power - which is a priority for this government - and competitiveness, to prevent it from slipping. This is the call that I would like to make: the Belgian social model has always succeeded when the employers' and trade unions' benches had come together and when they had understood that the challenges would not be solved by pulling on one side or the other. They must come together to find a balanced solution. That is what the government has done to every crisis and that is what it will do on its occasion. We can do this together with the social partners.
