ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u1	Question No 55026218C by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u2	Madam President, Deputy Prime Minister, the Telecommunications Ombudsman received much more complaints about Scarlet in 2021 than in the previous year. He talks about an increase of 122% and is the only company that does less well than in 2020. In addition, the Ombudsman states that "the persistence of the problems and dysfunctions identified is a phenomenon that the Mediation Service has rarely been confronted with before". It would appear that Proximus' subsidiary does not comply with its contractual obligations, that it does not show professionalism or diligence, according to the mediator. The most frequent complaints concern the change of subscription and the Easy Switch procedure, which, as its name suggests, should allow for an easy change of operator to allow consumers to compete. In your opinion and the government, this is the way to combat high telecommunications tariffs in Belgium. Madam Vice-First, what was your reaction to the reading of the Ombudsman's report and, more specifically, to Scarlet, a subsidiary of Proximus? What are you planning to facilitate the use of the Easy Switch procedure visibly not so easy that this?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u3	Mr D'Amico, thank you for this question concerning the increase in the number of complaints concerning Scarlet to the Mediation Service and the need to make Easy Switch more easily accessible. After reading the report of the Telecommunications Mediation Service, of course, my attention was drawn, as for you, to the dramatic increase in consumer complaints about Scarlet. As Minister for Telecommunications, you are no doubt aware that I am particularly committed to the observance of the rules by all the players in the sector, whether to promote competition or to safeguard consumer rights. I therefore had the opportunity to speak with the author of the report, as well as with the new francophone mediator who took up his duties very recently. On the other hand, it is important to stress that I really count on the vigilance of the IBPT, which has the power of control and sanction, especially when complaints to the Telecommunications Mediation Service reveal structural problems in order not to be left behind. I know that the IBPT, the independent regulator of the telecommunications sector, always analyses in detail the annual reports of the Mediation Service, discusses them with it and plans its control actions in the light of the structural deficiencies that emerge from these analyses and discussions. I hope that this will also be the case following this recent annual report and that, if necessary, appropriate compliance measures will be imposed on Scarlet. This will be done impartially, objectively, transparently, non-discriminatoryly and proportionately as planned. The IBPT also informs me that a monitoring of compliance with the current Royal Easy Switch Order is currently under way. We're seeing him again. This includes checking whether Easy Switch is actually proposed as a standard migration process and, if not, whether this has been explicitly agreed with the subscriber as it should be. This is a persistent problem that the Mediation Service had already raised in the past. Scarlet's practices in this regard are also monitored. Following an evaluation of Easy Switch by the IBPT and some exchanges with the sector, a number of reforms of the Royal Easy Switch Order are under preparation. I will list a few proposals for consumers: 1. The provision of additional and better information to the subscriber during the supplier change process in order to act more quickly to avoid possible double billings, i.e. billing by the new operator and another by the old one. 2. A reform of the Easy Switch ID - the code that subscribers must provide to initiate the migration of their service or bundled offer of services. I propose that this identifier include a control number that would report false IDs when they are entered into a store order system or online order system so that erroneous codes could not be passed on to the former operator. These erroneous codes have also resulted in double billings. 3. The introduction of measures to make the Easy Switch identifier easier to find, for example on the operator's invoice and application. This identifier must also be able to be requested by telephone. 4. The introduction of additional compensation in case of delay in the activation of new services or interruption of long-term services. The amount of the existing compensation if a technician has not been able to come because of his own negligence will be increased from 10 to 30 euros per missed appointment. Some compensations will be granted automatically without the customer having to ask for them. I asked Scarlet for more information. The company would have encountered computer problems - according to their comments - and operational problems, which had affected a number of customers. Aware of this, Scarlet undertook the appropriate actions and resolved their root causes. Computer and operational performance have been stabilized and the number of complaints has returned to the previous level. In the longer term, Scarlet will invest in new IT developments to have an improved and more robust infrastructure to support its structural growth. That's his answer. To finish and more precisely regarding Easy Switch, they encountered problems that led to billing the customer even after the actual departure to its new supplier - a problem described above. Further improvements are still underway to provide clients with the seamless experience they deserve. That is the information I can give you in response to your question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u4	Madam Deputy Prime Minister, thank you. I refer here to the annual report that Members have received from the Telecommunications Mediation Service. He says that operators do not apply or apply very little. Although we are making new reforms and forcing this system, if these same operators do not apply it, at some point we are forced to crack down. That's what I expect of you if they don't follow the procedure, otherwise there's no point in establishing a procedure. You told me in your answer that if they didn't respect, there would be sanctions. I hope you go so far. However, it is all consumers who are being harmed.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u5	I replied that it is the IBPT that has a mandate to carry out such checks and to sanction. It's not my jurisdiction to punish Scarlet. It's at the IBPT, the regulator. It is up to him to see where the problems are and possibly to intervene and sanction if necessary.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u6	Question No 55026762C by Mrs Len Dierick is transformed into a written question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u7	Madam Minister, in September I asked you about the progress of the reform of the social tariff for telecommunications. You then hoped that this bill would be completed by the end of 2021, but unfortunately that did not work. It is a major reform which requires a great deal of work, and this takes time, but a lot of people are waiting for that reform because it can mean a lot in their specific situation. With the sharp increase in life expectancy, a social tariff for telecommunications for vulnerable people will certainly not come a day too early. You have indicated that you want to reform the target group so that more people can benefit from the social rate. I already addressed the problem of the target group "persons with disabilities." The conditions they have to meet are very strict and also different from the conditions for the social tariff for energy and water, with regard to other definitions. For example, only persons with at least 66% disability or disability and those with a reduction in self-reliance of at least 9 points are eligible for the social rate. In addition, the income for the whole family should not exceed the ceiling set by the RIZIV to qualify for an increased allowance. A lot of people with disabilities fall out of the boat that way. You also indicated that you would work on an automation of the social tariff. You are aware of Mr Van den Bergh's and myself's proposal, which was adopted in committee in July 2020 and concerned automatic allocation. You indicated that this reform would be included in the global reform. So it kept waiting for the automatic allocation, but in the meantime we are two years further. It's too bad we haven't been able to settle this yet. I'd rather see it different. A lot of people don't take their social rights on their own because they don't know. The automatic allocation was a solution. I regret that the legally adopted initiative was blocked because it would be taken into account in a global reform, which, however, is still not complete. I understand the difficulties in this respect. How far do you stand with your bill to reform the social tariff for telecommunications? Last year you said that the texts with the different modalities would be in public consultation in the coming weeks. What were the main conclusions? Has any decision been taken on the reform of the target group? What slopes are on the table? What will happen for people with disabilities? Will the income condition be abolished for them? Finally, you instructed BIPT to monitor the situation regarding mobile services and packs to see whether a social discount on these services could be justified. What are the conclusions on this?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u8	Mrs Lanjri, the preliminary draft law on the reform of social charges for electronic communications has, as you know, been the subject of public consultation. At the moment BIPT and the FPS Economy, together with my cabinet, are analysing the contribution we have received as part of the consultation. We shall look into the results of this analysis and what adjustments may be needed to the preliminary draft. Then, of course, it must be discussed at political level and follow the usual legislative procedure. So we are really close to the final stage, but of course I cannot yet communicate on the conclusions of the public consultation because I have not yet seen the analysis myself. The introduction to your question compares the conditions currently applicable to the beneficiaries of the social telecommunications tariff for persons with disabilities with those applicable to the social tariff for energy. As you know, as far as energy is concerned, the social tariff is currently being granted to beneficiaries of the increased subsidy. The preliminary draft law submitted for consultation proposes to bring the categories of the social telecommunications tariff into line with the current categories of beneficiaries of the social energy tariff, i.e. persons receiving an increased concession. We follow the same logic. Persons with disabilities are entitled to the increased allowance under the Law of 27 February 1987 on allowances to persons with disabilities or an older allowance under the Law of 27 June 1969 on the granting of allowances to disabled persons, in so far as that allowance is still paid. This is the case if it is more favourable than the concession provided for in the 1987 Act. It's a bit technical, but that's the scheme that's currently valid for people with disabilities. The proposal to reform social rates therefore includes people with disabilities who fulfil the conditions for the status of increased benefits. That is what we are proposing. Then I come to your question about the social tariff for mobile services. You know that the European Electronic Communications Code provides that a social tariff may be applied to mobile services, but only if the circumstances of the national market so warrant. In connection with this, BIPT has now clearly indicated that affordable tariff offers are available on the mobile market and that it is therefore not possible to require operators to offer a mobile social tariff to the same conditions as we use for the fixed social tariff. The draft law submitted for consultation therefore proposes a limited social tariff for mobile services to improve the situation of persons experiencing communication difficulties, for example due to sensory impairment. We have inspired ourselves on an Italian example, where appropriate. We know that, according to European legislation, this cannot be contested. Only for people with sensory limitations will there be a social tariff for mobile services, not for others.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u9	Madam Secretary, I'm glad there's finally some light at the end of the tunnel. You're saying that the bill is definitely in the final stage. I look forward to seeing it treated here. Hopefully we will soon be able to approve it in plenary. It is also good that the definitions are harmonised, which I have always called for. The definition of the social tariff for energy is now different from that of the social tariff for telecommunications. Finally, it is also good that people with disabilities will be eligible if they are recognised. I understand that people with visual disabilities will be taken into account with regard to mobile telephony. I look forward to discussing and approving the design here.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u10	This ends the questioning session for Minister De Sutter.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u11	Mr President, Mr Minister, the European Commission finally presented its proposal for a European directive on due diligence in the sustainable development of enterprises on 23 February after many months of procrastination. This text was very much expected by trade unions, NGOs and businesses, but also by our parliamentarians, who are working on a Belgian law on the duty of vigilance. Like the proposal I have tabled with other colleagues in the House, this text aims to oblige companies to ensure respect for human rights and the environment throughout value chains, to oblige Member States to establish a supervisory authority and to provide compensation for victims in the event of damage. I want to rejoice here with an important step in the right direction. I said one step. It's not enough, but it's a step in the right direction. Belgium must now, in accordance with the government agreement, play a leading role in supporting the development of this legislative framework. We must also work, while listening to civil society, to raise the level of ambition. I am thinking in particular of the narrow scope of application, since more than 99% of companies are excluded, or of the access of victims to justice, which needs to be strengthened in procedural terms. Finally, we must continue the work undertaken in Parliament to provide us with a national support framework. Here are my questions. Have you read the draft directive of the European Commission? I suspect your answer is yes, but what is your reaction to that? That's what interests me. Is there already an estimate of the number of companies that would fall under the supervision of the Belgian Supervisory Authority within the meaning of Article 17 of the draft directive? I quoted a somewhat optimistic figure earlier. What will be Belgium's position at the level of the discussions that will now begin at Council level?
