ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u1	Ladies and gentlemen, we have an overcrowded agenda today.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u2	Madam President, I would like to take the floor on the agenda. Indeed, we note that the agenda is overcrowded this afternoon and that ministers were not supposed to show up last week, even though they had prepared everything. Apparently you didn't have to because you were sick. However, just before such circumstances, you have me as Vice-President. I would therefore ask you to contact me next time so that the sitting can continue and we do not have an overcrowded agenda the following week. Bedankt.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u3	Thank you for your comment.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u4	Madam President, I agree with what Mrs Bury said. I let you know that, too. It's always good to be able to distribute our workload.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u5	Madam President, my first question concerns asymmetric policy. We have had a number of discussions on this in this committee. A number of commitments were made in the coalition agreement. The various trade ministers are responsible for their implementation. What progress has been made? You sent a letter to your colleagues to which four replied. I found it rude that the 16 other ministers did not reply. I've done a round with your colleagues, but I haven't gotten them all yet, but I've got some. The good news is they promised to give you an answer by letter anyway. Has this already happened? Did they give you that information? Did Mr Gilkinet, Minister for Mobility, give you an answer? He very much claimed that he had already done so, although according to your information, this was not the case on the date you mentioned. So I would like to know whether your colleague Gilkinet is communicating in a collective way or not. My second question concerns the ambition that is being cherished in this area. My round of ministers was disappointing. For example, Minister Van Quickenborne claimed that he had already replied on 13 December, although this is not the case according to your data. Minister Kitir will do nothing, although he is, in any case, competent for a usurping competence, the metropolitan policy. Moreover, that should not even be a federal competence, let alone an asymmetric one. Minister Van der Straeten gave me the same answer, although we are discussing Ventilus' alignment. I have received a very good answer from Minister Clarinval, namely that he himself will reply. Minister Gilkinet gave the most disappointing answer. At the relevant committee meeting where I put this question to him, Mr Roggeman asked a question about cycling policy. Minister Gilkinet then replied to him that situation in Flanders and Wallonia differ, as both regions have different geographical characteristics and a different habitat, which means that a differentiated policy must be pursued. When I then asked how this different policy should be put into practice, the Minister said that this was not possible because of a lack of competence. I find that very curious reasoning. What is the state of play at the moment? Who did you receive an answer from? Can you give us all these answers? Can you clarify the reply of your fellow Minister Gilkinet?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u6	Madam Minister, Minister, I do not need to remind you of the passage in the coalition agreement which refers to the possibility that the federal government could exercise its powers in an asymmetrical manner depending on whether it is a region concerned, a region concerned, or a subregion concerned. We know history. It has already been outlined by the previous speaker. It has been a long time since January 2021 that you have sent a letter to the trade ministers asking them what they had in mind. Before the summer recess of 2021, it was then intended to present an overview to the Council of Ministers. That is the message we were told by the Prime Minister. But, as has already been outlined, the desire to answer is not great with your colleagues. You then sent a reminder to all trade ministers by e-mail on 14 October 2021. The deadline was postponed to 15 November 2021, but we all know that this has not been a success either. In the meantime, we hear from various trade ministers, and many promises were made, but we all know what vivaldigoften are worth. In short, I would like to ask a few questions about the state of play in this dossier. Can you give a clear overview of which trade ministers did send in an answer? Can we get an overview of the answers to the question of where they envisage asymmetric policies? Maybe it's naive, but I still ask the question: what has been done about this? I believe that this was the intention of the passage in the coalition agreement. Will you continue to insist on the hard-earned colleagues who have still not replied? Or are you definitely abandoning that intention? Was the report the Prime Minister mentioned already drawn up on the basis of the partial answers you received? If so, can that be delivered to us? If not, will your colleagues' lack of input leave that intention? Or is that report still coming? Is it still intended to bring this to the Council of Ministers?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u7	Madam President, Mrs Pas, Mr Loones, we have discussed asymmetric policies in the Constitutional Commission on several occasions, including on 27 October and 1 December 2021 and 16 February 2022. At that time I indicated that I had received reactions from fellow ministers Van Peteghem, Mahdi, Dedonder and Vandenbroucke. Since then, I have not received any additional answers. I can therefore refer to the answers I gave at the committee meetings at the time. Mr Loones, on the question of delivering the letters from fellow ministers, I would like to refer to Mr Dedonder's reply to your written parliamentary question of 31 March 2022, which states that these letters are not delivered because they are correspondence between members of the government. Mr Loones, as regards the communication or letter that Mr Gilkinet would have sent me, I can confirm again, as I said earlier, that he did not send me a letter. I would like to add immediately that this does not mean that this issue is being discussed, including with Mr Gilkinet's cabinet. Mr Gilkinet may have referred to that consultation in his answer to one of your questions. Mrs Pas, you are asking whether colleagues are further urged to implement that passage on asymmetric policy. Again, I can refer to what I said a few months ago. At that time, I set out, on a subject-by-topic basis, which aspects have been implemented or which have been planned for implementation. This can be found in the comprehensive report of the relevant committee meetings. I can confirm, especially for myself, that the government will continue to do so, particularly in the areas of health care and labour market policy. Mrs Pas, once again you asked a question about the possible discussion of the asymmetric policy as a whole at the Council of Ministers. I can also refer to the Committee on the Constitution on 16 February. The main starting point is that asymmetric policy cannot be discussed and viewed in isolation, but is always linked to substantive policy areas. As already mentioned, health and labour market policies are the main policy areas that are eligible and which are also explicitly mentioned in the government agreement. That's what we've been working on. Asymmetric policy must always be designed by taking action in a concrete policy area, which is why it is primarily up to the federal and also the sub-state ministers to give concrete effect to it. As in the previous sitting, therefore, I can tell you that you are best addressed to them for further questions.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u8	Madam President, I have a fundamental problem with ministers telling untruths in Parliament in response to our questions. I'm not saying you do, Madam Secretary. In the past, you have repeatedly said who you have received a written reply from, by letter. You have confirmed again today that the four same ministers are involved. When I put the question to Mr Van Quickenborne, he replied that "I did indeed reply to colleagues Verlinden and Clarinval in a letter dated 13 December 2021'. I quote from the report of the discussion with Mr Gilkinet. I said it's polite to send back a letter when they receive one. Mr Gilkinet replied: 'I did.' It is truly outrageous that ministers lie to Members of Parliament and give false information. I will make that a formal point. This is not how we can do our job. Your job is to control, our job is to check that that happens and to make constructive proposals for it as far as possible. We are happy to do so, but this can only be done if we are provided with correct information. I also very much regret that these letters are not delivered to Parliament. You refer to Mrs Dedonder's answer that this would be private correspondence between ministers. In this country there is openness of administration, and par excellence on policy issues. This is a policy theme, not a personal letter of compliment or congratulations on the birth of a child. Moreover, this policy issue is not only addressed here, but also in the Joint Committee of the Chamber and the Senate, where we have had to pull and drag to get those sheets up. This has to come up, too. We will take the necessary steps to appeal to the right we have as a Member of Parliament on public administration. I do regret that for a government that says it is the most transparent, with the new political culture, which will change policy. That government doesn't even succeed in proactively sharing information. It's not about very sensitive information. Mr Vandenbroucke, for example, answered the question in great detail and went over his speaking time in order to do so thoroughly. I should not ask for that letter, because the Minister replied correctly in Parliament at least. In any case, I will take action to ensure that these other ministers communicate transparently. It's embarrassing. I could go into the content of the asymmetric policy, but that is a waste of time.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u9	Madam President, Minister, thank you for your unsatisfying reply. We are asking for a state of affairs and you are referring to answers you gave three months ago. Since you are referring to the reply of that time, I can only say that no progress has been made compared to three months ago. This state of affairs is therefore very clear. You also confirmed that the situation was the same as it was a year ago when only four ministers replied to the formal question put by their colleagues in the implementation of a point contained in the coalition agreement. Two of them even communicate wrongly about that, not to use the word lying. Of course, that's below all levels. It shows how keen it is to achieve something about asymmetric policy. You may refer as much as you want to to previous answers, but I will not fail to ask for a regular state of affairs. After all, I understand that there is no formal reminder of the hard-working colleagues who refuse to reply. That too is significant.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u10	Madam Minister, I would like to take stock of the institutional reforms in the area of health care. I have the answers to my previous questions on this, so you will not have to refer to them later. The further communitarisation of health care is the only concrete commitment to institutional reforms in the government agreement. That is what this legislature should be doing. On 27 October 2021, you said that you would discuss the method with the Prime Minister. I quote: 'I will at least urge the Prime Minister to define the method and timing of the political dialogue in this regard'. On 16 February 2022, the Commission announced that the first steps to this end had been taken in the Council of Ministers on 11 February 2022. You were then instructed, together with Minister Clarinval, to establish bilateral contacts with the Deputy Prime Ministers, which would run until May, hence my question about a state of affairs. What have the contacts achieved so far? Is there a willingness on the part of all government partners to take effective action on the implementation of the relevant passage of the government agreement? We can see the opposite from all kinds of statements in the press. Have the method and the timetable been established and what do they look like? Are there any substantive discussions about this and what have they achieved so far? When does the government plan to land with this? In what way does it intend to involve the opposition, because a majority in the Dutch language group and a two-thirds majority will be needed? Some debate in advance therefore seems useful to me.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u11	Mrs. Depoorter is absent.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u12	Madam Minister, you committed yourself here in committee as Minister that the concrete process would be launched by the coming summer after the citizen consultation around the passage in the government agreement on the division of health care, a topic that was already on the agenda in other fora. In particular, I would like to have more clarity on this point. You have indeed succeeded in starting the citizen survey, so that it will be completed by the summer. I therefore assume that your communicated timing for amending the legislation on the division of health care can be respected.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u13	Mrs Pas, Mr Loones, I already indicated at the committee meeting of 16 February 2022 that the timing and method of the discussion on state reform with the implementation of the passage on the homogenisation of health care at the level of the Länder were discussed in the government agreement at the meeting of the nuclear cabinet on Wednesday 19 January 2022 and 11 February 2022. Following this, the nuclear cabinet has given the mandate to the ministers of Institutional Reform, i.e. David Clarinval and myself, as well as to the Minister of Health, to establish contacts with the various Deputy Prime Ministers on the implementation of the passage in the government agreement. In the meantime, Mr Clarinval, Mr Vandenbroucke and myself are working on this. At present, it is not possible to provide further information on this. I cannot give you any further information about the method after the various contacts and timing. Obviously, on the basis of the outcome of the citizen survey through the government platform, the way in which the dossier will be further addressed will be examined. For the questions on how the Flemish opposition will be involved in the discussions, I would like to refer again to my reply of 16 February 2022. Given that a transfer of powers requires a special majority and that the federal government parties do not have that majority today, it is logical that talks should also be held with parties that could provide the majority. However, it is too early to communicate on this issue at the moment.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u14	I would like to thank you, Madam Secretary, for your very vague answer. This time, you do not refer to previous answers, but simply state that you cannot provide information. I can understand, however, that you do not want to set a deadline for the completion of the work, but you could at least tell me at what point you are planning the end of the consultation. In this way we can plan our next follow-up question. Nor can I get the impression that such a vague answer is simply trying to mask that the mood for the subject is much less than for the asymmetric policy of my previous question. That makes me less happy per question, Madam Secretary. I think it's really bad.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u15	I understand it's not easy for you, Madam Secretary. You entered the government without being involved in the government negotiations, and now you are responsible for the implementation of the government agreement. It is well known that your party's trophy cabinet is not filled with prizes from the coalition agreement. We also see that people are looking to steal the single trophies out of your closet. I remember, for example, the communication from CD&V chairman Joachim Coens that the response of doctors' quotas was one of the main reasons for joining the Vivaldic coalition. The agreement on last week's RIZIV numbers now shows that your party is not even granted that trophy. Similarly, the communitarisation of health care policy is not easy. It is therefore not easy for you to do so, which is why we asked for the power to be granted to a Deputy Prime Minister, so that the issue would also be addressed in the core of the government. I therefore wish you much strength, courage and the necessary file power to send the issue to the government stop. You have our full support for this dossier. Communitarisation of health care is also needed in the field. We cannot get out of it if we want a well-organised health care tailored to the needs of the people. The MR will have to see that as well, unless you want to push the federal government further into bankruptcy and the people who don't want to give health care. Communityization will therefore have to take place and we are at our disposal to discuss it further. I would like to take this opportunity to make a proposal to you. Suppose, after your consultations, it becomes clear, and I hope not, that there will still be nothing in this legislature, can we perhaps make agreements to get back to work on the ground? The Joint Committee of the Chamber and Senate had to complete its work, because the citizen survey was coming and because health care would take steps. So we were not allowed to analyse the totality of the economy. I hope that the brake will be lifted if it becomes clear that communitarisation with this government will not happen. Then allow us at least the opportunity to make the analysis decent here in Parliament.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u16	Madam President, I am so curious to hear the answers that I am referring to the written version for each of my six questions.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic770x.u17	Madam President, I had asked the minister and the minister in part last week. I will therefore not resume my presentation on Thursday and will confine myself to the outstanding issues. First of all, with regard to the lack of accessibility, the site offers a telephone number that can be dialed if you wish to obtain a paper version. That's what I did. When I asked questions about the practical modalities, my interlocutor replied that he was not trained to explain the process. Have the people at the end of the line been trained to guide citizens? I now come to the deadline. Why did you set one for six weeks? It is indeed very short for a popular consultation. It is also known that awareness-raising and consultation work takes time. Finally, what about the award of the public contract? Why did you opt for a restricted tendering procedure? Did the choice go well with the company that had handed over the lowest regular offer? We are talking about EUR 1.2 million. Why this communication enterprise, and not another one? Can the details of the qualitative procedure be obtained? How many companies had submitted their applications?
