ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u2	In accordance with the opinion of the Conference of Presidents of 6 July 2022, you have received an amended agenda for today's meeting. In accordance with the opinion of the Conference of Presidents of 6 July 2022, you have received an amended agenda for today's sitting. Is there any comment on this? Are there any comments on this? Accordingly, the agenda was adopted. The agenda has therefore been adopted.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u3	Madam President, have we now received the report from the Conference of Presidents? After all, it was agreed that we would get that before the beginning of the plenary session.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u4	We will check where the report is.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u5	I insisted on this at the Conference because it is pointless to have a report on a meeting after that meeting. I refer to the misunderstanding about the end hour we had last week. At that time, a gentlemen's agreement was reached that we would get that report on time, which I also think is obvious. So I regret that we are already without a report the first time.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u6	I'll have that checked.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u7	Madam President, ladies and gentlemen, I have tabled an order motion because we do not have the management agreement between Infrabel and SNCB. I have asked for this several times in committee, both to the chairman of the committee and to the minister, but we have still not received it. This is a very important document for the next ten years, in which we will identify which trains will be running, which counters will be open and how much will be invested in the railway lines. This is very important for transport and climate. Since 2013, the law provides that the legislative chambers are to be briefed by ministers on the proposal for a management agreement. We had a first discussion with Minister Gilkinet, unfortunately without video and only with slides, which made it rather difficult, but we did not get the documents then. How can Members do serious work, ask questions and make proposals under the management agreement if we do not have those documents? Madam President, can you ensure that all Members of this House get this document? Now only a few Members of Parliament and the media have gotten that. I would also like to address the Ecolo-Green colleagues. The Minister belongs to the Ecolo party. The Green Group itself tabled a legislative proposal in this area, document 53K0835. This proposal was intended to launch the parliamentary debate before the start of negotiations on management agreements between public undertakings. The explanatory memorandum to this bill was signed by Mr Van Hecke van Groen. It says: 'As far as participation in decision-making is concerned, Parliament is worse off. It is not consulted and rarely takes initiatives to steer the content of the management agreement in a specific direction. To try to interfere in that debate, Parliament has only long meetings with oral questions, but they often do not produce anything." I therefore call for these documents to be received so that we can do our job and prepare ourselves for the next discussion on the management agreements.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u8	Mrs. Vindevoghel, I have received your order motion. I still have to judge its admissibility. If your motion is declared admissible, it may be submitted at a time specified by the chairman. We shall therefore first assess its admissibility.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u9	Madam President, I would like to take this opportunity to endorse Mrs Vindevoghel's question. It concerns the management contracts of SNCB and Infrabel. These are very important documents, they are among the most important documents on the management of our railway companies, not only for this year but for the next ten years. As Members of Parliament, we are being asked to speak out on this. It is incomprehensible, then, that the government would not make these documents available to the Chamber? We must at least be able to learn, including through the government, about documents that are being submitted for consideration. The Court cannot carry out its duties and do no proper work if the Government refuses to make available documents which are the subject of the discussion.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u10	Madam President, I agree with the request just made by my two colleagues. Indeed, we have never received these documents, which are essential to "help" the minister to have better control of SNCB and Infrabel. Without these documents, management with the support of Members is totally impossible. I therefore hope that we will receive them as soon as possible so that we can examine them in depth. Of course, we have heard the minister's statement that we have already responded to, but we have no document at all. More recently, we were receiving the unions. We are convinced that they had these documents. I therefore do not understand why the representatives of the people, or at least some, cannot have access to them.
ParlaMint-BE_2022-07-07-voorlopig-55-plenair-ip192x.u11	Colleagues, we will consider the admissibility of your motion.
