ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u1	Colleagues, Mrs Fonck, Mrs Merckx and Mrs Zanchetta are excused. Their questions will be deferred.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u2	Mrs Depoorter must be on another committee until 4 p.m. Wherever possible, she'll postpone her questions until she gets here. Her current question is without object.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u3	Minister, as we know, vaccination remains a very effective tool. It protects serious forms and nevertheless reduces transmission and contamination. Following the emergence of variants, pharmaceutical companies have embarked on a race towards more specific vaccines. However, few studies are currently available on the potential for improved efficacy of other vaccines. Research on other vaccines is, of course, an effective weapon that we must support. My question is about the information you would have about new vaccines that are better suited to the variants we are encountering today. What's the status of Novavax deliveries? What about muconasal vaccines? We talked about this during the hearings on compulsory vaccination. I wanted to know if you had any information to give us about these vaccines. When it comes to "recall" on vaccination, of course, it must be linked to the availability of new vaccines that would be more effective against variants or more specific in terms of routes of administration.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u4	Question No 55025789C by Mrs Sophie Merckx is not applicable.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u5	Minister, the recent epidemiological situation has led to the lifting of the latest health measures. We are all satisfied with this, but we must remain cautious, especially in view of the latest figures that are going up as well as the seasonality of the virus – which exposes us to another possible rebound from the epidemic to the fall of September. In this respect, all the experts we have had the opportunity to hear in the hearings on compulsory vaccination have told us: this epidemic is extremely variable, especially in the light of the emergence of new variants, hence the need to have vaccines that are constantly adapted to these same variants. In this regard, the fourth dose of the covid-19 vaccine has been open to immunocompromised people since January. This is obviously an excellent thing, except that the possibility of a fourth dose has not yet been extended to other categories of the population. I am thinking in particular of people who suffer from co-morbidities or the elderly, who have always been given priority in previous vaccination campaigns. It was logical to see the vaccination task force recommend today the second booster dose for September 2022 to vulnerable people, including the elderly. Health professionals and adults with co-morbidities could receive this reminder as early as October of this year. And finally, those who wish to do so could also benefit, in consultation with their doctor. Another possibility that was envisaged by this task force would be to immunize the most vulnerable from July this year. These individuals would be vaccinated early in the summer, and the entire adult population would follow in the second half of the year. Minister, when will we have a more precise schedule for administering this fourth dose for the rest of the population, especially the elderly and those with co-morbidities? What is the basis for the possibility of administering this vaccine in September 2022 or July 2022 for the most vulnerable? Why is this fourth dose considered so late in view of the evolutionary nature of this epidemic? Is it related to the price of the Pfizer vaccine, adapted to the omicron variant, which is particularly high? Will the fourth dose be with vaccines that will be adapted to the omicron variant as well as to future variants? Does the government finally stand in the framework of a structural policy of protection against covid-19? If so, what is the place of anticipation in this same policy?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u6	Since November, Mrs Sofie Merckx has already submitted three written questions to determine the price per dose of the vaccines and the pills against covid-19. To all these questions you and Secretary of State De Bleeker refuse to answer. The complete lack of transparency makes it very difficult to identify prices. SudPresse researched and described that, I quote - "C'est la croix et la bannière." Nevertheless, according to their research, we would pay on average EUR 13 per dose. From the tweet of State Secretary De Bleeker of December 2020, in which she accidentally leaked the prices, we know that in that period 12 euro per vaccine from Pfizer/BioNTech was paid. Recently the federal budgets have been adjusted and an additional budget has been made available for vaccines that have been adapted to the omicron variant and are produced only by Pfizer/BioNTech. It also mentioned how much is paid and how many doses we get for it. If we convert that, it is 19.5 euros per dose. That is EUR 7.5 more than the price paid in December 2020, an increase of 62.5%. This price increase cannot be in a reasonable proportion to an increase in the costs borne by Pfizer and BioNTech for the research, development and production of those specific vaccines. We should also recall that basic research into mRNA technology has been carried out by public research institutions. For the development and production of the vaccine, Pfizer and BioNTech received EUR 725 million public funds from, among others, Germany and the European Union. The main investments in the development and production of these vaccines have long been made, as the mRNA vaccine lends itself more easily to adaptation than the other types of vaccines. A price increase of 62.5% seems to us to be illegal. How could you agree to a delivery of the vaccines to that price? Will you finally answer Mrs Merckx's questions and release the price per dose for the different vaccines we ordered and administered in Belgium? Finally, so far the government has not been transparent about the prices of these vaccines. Why don't you announce those prices unless you do today? In this way, countries can take a stronger position in negotiations with producers.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u7	First of all, I will answer Mrs Rohonyi's relevant questions, but my answers are, at this stage, still general. Then I will come to Mr Bacquelaine's more specific questions. Finally, I will answer your questions, Mr. Chairman. Mrs Rohonyi, it is obvious that we are following the evolution of the circulation of the virus in the population on a daily basis. If the current situation has given less attention to it since the easing of the measures decided by the Conciliation Committee, our vigilance remains intact. She has to stay that way, I think. We'll come back later in the afternoon. The increase in both contamination and hospitalization is a factor that must be of concern to all of us. Caution remains to be exercised. This also underlines the need for good preparation. It is in this context that the Vaccination Task Force identified five scenarios aimed at anticipating any evolution of the epidemic by matching them to the audiences involved in a new phase of vaccination, the places of administration of vaccines and the types of vaccines used according to the severity of a potential new wave. I will not go into details since these five scenarios are to be found on the website infocoronavirus.be You will find that their range is going to crescendo. The most optimistic formula foresees a new vaccination of the most vulnerable audiences, only next year. Its most pessimistic version includes vaccination open to the whole population, starting in April. This scenario work is primarily intended to provide a framework on the scope and nature of the action to be taken and does not prevent a slight adaptation of the mentioned timings. Thus, in the most optimistic version, it is not to be excluded that vaccination of seniors and people with co-morbidities can already begin in mid-August. This is not the way it was presented, but it is a degree of flexibility that we must have in mind. The only parameter that will define the level of our action is the strength of a possible resumption of the epidemic. As we have demonstrated over the past two years, managing this epidemic requires significant adaptive capacity and these scenarios will not derogate from this rule. The reflection of the task force naturally incorporates the use of vaccines adapted to the evolution of the virus while exercising caution. At this stage, they are not yet available and in so doing, it is impossible to define precisely when we will have them. As things stand, these new vaccines are not expected until July, as I will explain in response to Mr Bacquelaine's questions. He asked me what information I had in this regard. On 25 January, Pfizer BioNtech began a study to test a specific vaccine against the omicron variant in 1,420 adults aged 18 to 55. This study consists of three groups in which different patterns of the current Pfizer vaccine and the appropriate omicron vaccine will be compared. Depending on the results, a suitable Pfizer vaccine could be approved in this month of March. It's still pending. On 26 January, Moderna also announced the start of a Phase 2 study with an omicron-specific booster that will be compared to a two-dose schedule of Moderna vaccine in approximately 600 adults 18 years of age and older. That is not clear yet. What about nasal-mucosal vaccines? According to the World Health Organization (WHO), eight nasal vaccine candidates are currently being studied in clinical studies, including one Phase 3 vaccine and seven Phase 1 or 2 vaccines. Phase 1 or 2 studies first and primarily test safety and immune response, while efficacy in preventing SARS-CoV-2 infection is tested in Phase 3. Phase 3 vaccine is a nasal spray vaccine. It is based on a viral vector of influenza. It is developed by the University of Hong Kong with which two Phase 3 studies were recently launched in Ghana and the Philippines, the results of which are expected from September 2023. Currently, no intranasal vaccines have been submitted to the WHO or the European Medicines Agency (EMA) for approval. Mr. Bacquelaine and Ms. Rohonyi asked whether future recalls should be made with a specific vaccine. Clinical studies and field data show that a primary vaccination regimen and, to a lesser extent, a booster vaccination offer less protection against symptomatic infections caused by the omicron variant compared to the delta variant, and that protection decreases more rapidly over time. However, the effectiveness of a booster vaccine against hospitalization or death resulting from an omicron variant infection remains high, although it decreases slightly over time with regard to hospitalization. I'm not going to give all the details here. But, as you know, Sciensano has published site records and studies on the subject. Finally, whether or not to use variable-specific boosters depends on additional data on the long-term effectiveness of current vaccines against the omicron variant and whether or not new variants are emerging in the future. It would therefore be a little premature to make a final decision. Considering the five scenarios proposed by the Task Force, it is possible that the existing vaccines will be used. But, for now, we're not sure of anything. We are waiting for authorizations for variant vaccines and for more extensive clinical studies. Obviously, everything that can be observed about the impact and duration of the impact of existing vaccines on the omicron variant is also monitored. Mr Warmoes, you asked a different type of question. Mrs Merckx has already asked me several times in writing about the price per type of vaccine. Let me first say that contracts for the new vaccines are being negotiated at European level. The Member States are informed about the progress of the negotiations during our steering committee, the so-called steering board, in the context of European vaccination purchases. Subject to the contractual conditions and scientific data on vaccines and the epidemiological situation, several experts and administrations shall decide whether or not a purchase is appropriate. Such a proposal or opinion will then be submitted to the Inter-Ministerial Conference of Health Ministers, which will finally take the decision. So when we decided, that was always a joint decision of all health ministers at the Inter-Ministerial Conference. I do not need to remind you that we have systematically participated in European contracts for the purchase of vaccines, that there is an obligation of confidentiality in this area and that I cannot therefore communicate about the pricing of vaccines. All Member States are confidentially aware of prices. In other words, it is not necessary to make these prices public, so that fellow health ministers in other countries would know them too. Everyone has access to the same confidential information.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u8	Minister, thank you for your answers. I would like to make a further remark in relation to the studies under way at Pfizer or Moderna on the specifically omicron vaccine. If the conclusions reach us in March or April, it will be necessary, depending on the results, to carry out the orders. I assume this will be done in a European market. It will be necessary to ensure that Belgium has sufficient quantities of vaccines from the moment they have a real added value compared to the current vaccines.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u9	Minister, I thank you for your answer and for reminding you of the importance of being vigilant and, therefore, of being well prepared. This implies having the different possible scenarios at our disposal, depending on the severity of a new potential wave. It is in this sense that the vaccination task force worked. This is obviously extremely positive, especially in view of the recent concern expressed by both Mr Facon and Mrs Vlieghe, who called for forward-looking planning. But this schedule must also be readable. However, I went to see the opinion of the task force in question. These scenarios include target audiences and vaccination sites. But I wonder what these scenarios correspond to. Are we going to rely on your barometer? Do you consider that your barometer is flexible enough – you talked about flexibility – to accommodate new variants? These could affect us in a different way than anmicron or previous variations, which affected older people and vulnerable people more. In the future, variants could, for example, be more targeted at younger audiences. I think that alongside these scenarios, it is important to have consistency in the continuation of our vaccination strategy, to make things clear to people, why you need a booster dose precisely, especially before the fall, before a peak of the epidemic, a bit like you do for the flu. It is very important to explain why this booster dose is needed for understanding and adherence to vaccination measurement. Moreover, the opinion of the vaccination task force begins by saying that to date there is no scientific evidence to establish the need to administer a second booster dose to the total population, or to the more vulnerable groups. If tomorrow's booster dose is expanded, we will have to explain why, with scientifically sound arguments. In addition, there is a need for a pre-order strategy at European level for new vaccines, which we do not have today. They could be extremely valuable in our vaccination campaign, precisely because they are based on technology other than messenger RNA. I am thinking in particular of the vaccine produced by the French-Austrian laboratory Valneva, which is based on the more conventional technology of the inactivated virus that can attract people who are not necessarily antivax but who do not adhere to messenger RNA technology. We must be able to anticipate things and operate pre-orders at European level.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u10	Minister, I was a little surprised by the shortness of your answer. Now I know a little bit better how the procedure works. It is also clear that all the health ministers who are rich in this country are taking part in the decision. I regret, however, that you do not want to release the information on the price. It is a question of transparency. The unreasonable prices are the result of the monopoly practices of Pfizer-BioNTech and Moderna. However, I would like to point out that the basis for those mRNA vaccines was laid by EUR 725 million in public funds. South Africa, which has discovered the omicron variant, which probably does not come from that country, has immediately provided all the information on the variant. Pfizer was also eagerly used to work on the vaccine. South Africa has been punished for this by a blocking of air traffic. It is a bit poignant that scientists from a country like South Africa share their knowledge, so that it could be used for the vaccine, while punishing the country. That's a pretty perverse dynamic. We have tabled a proposal here, which was voted down because the government also does not want the patents to be shared. You did not comment on the prices I mentioned, nor on the price Sudpresse gave, nor on the price we calculated, of 19.5 euros per dose, which means an increase of 62.5 %. Then I assume that that information is correct.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u11	Minister, the number of cyber attacks on Belgian companies increased by 81% last year, according to figures published by Check Point, an Israeli company that develops security software. Health care organizations have recorded twice as many computer attacks. According to Check Point researchers, a company or organization in Belgium suffered an average of 643 attacks per week in 2021. Health care organizations were particularly targeted, with an average of 1507 cyber attacks per week, up 124% compared to 2020. Minister, has a precise analysis of cyberattacks in the health care sector in Belgium been carried out? Where do these cyberattacks come from and what are the consequences of them, especially regarding patients' medical data? What tools are available today to effectively address the risk of cyberattacks in the health care sector? What about hospitals? Are these tools sufficient? Do they have to be strengthened in view of the impressive figures of 2021?
