ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u2	Ladies and gentlemen, David Maria Sassoli, President of the European Parliament, died on the night of 10 to 11 January. Tomorrow, his state funeral will take place in Rome. In his memory, the European flag hangs half-mast. We are all deeply affected by the tragic loss of a passionate European and a dedicated President, who led the European Parliament through the difficult times of the pandemic. He was a convinced European who devoted himself fully to the task, a man of conviction with strong values. It is thanks to him that our Assembly was able to meet in October 2020 in the Chamber of the European Parliament in Brussels to organise the government declaration and the debate on it in good health. I have addressed to the first Vice-President of the European Parliament, Mrs Roberta Metsola, the heartfelt condolences of our House.
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u3	Ladies and gentlemen, we have heard that our former colleague Jos Dupré, Honorary Chairman of our Assembly, died on 2 December 2021. Jos Dupré was born in 1928 in Veerle, a rural village on the border of Brabant and Limburg. His parents, both teachers, taught him worklust and perseverance, two virtues that would later come into his political career. After obtaining a doctorate in law, our former colleague took up his professional career as an economic editor at the newspaper De Standaard. In 1963, Jos Dupré became director of the intercommunal Zuiderkempen, which still plays an important role in the region today. That versatile assignment demanded all his energy and required much willpower. For example, he was responsible for designing industrial sites, attracting companies and creating jobs in the region. He developed numerous activities and attracted a lot of investment to the Kempen, a region with very high unemployment rates at the time. A few years later and almost in line with this assignment, Jos Dupré became director of the Economic Council of the province of Antwerp. He expanded his professional horizon and gained more responsibilities. Jos Dupré put the province of Antwerp on the map nationally and internationally. Also for the results in this area, the noest and perfectionist worker enjoyed a lot of appreciation. His work and achievements for his region naturally lead him to politics. In 1974, he was elected, with an impressive number of votes, as representative for the CVP of the district of Malines-Turnhout. He then began a long and fruitful career as a parliamentarian. Indeed, Jos Dupré can avail himself of some twenty-two years of remarkable parliamentary work. The impressive list of his speeches shows that he focuses mainly on industry and employment, but the economy, in particular economic expansion and the regional economy, as well as social housing, transport and energy policy are receiving his full attention. Public finances are also of great interest. His numerous reports on the state budget have always been excellent reference documents. In 1987 and 1988, Jos Dupré became a member of the so-called "executive" of the Flemish Community. In particular, he is responsible for housing, the environment and SME policy. From October 1988 to March 1992 he was Secretary of State for Institutional Reforms and Small and Medium-sized Enterprises in the Martens VII and IX Governments. Shortly afterwards, he became responsible for the Restructuring of Public Works, focusing on the delicate issue of the evacuation of the Berlaymont building and building office space for the European institutions in Brussels. In 1995 he was also President of the Chamber where he had been so competent in his duties as a representative of the people. In 1996, at the age of 68, Jos Dupré withdrew from national politics and resigned from office as mayor of Westerlo. Whoever knew him appreciated him. He always listened to his friends and his fellow citizens, both for better or for worse. He had an eye for what lived in his region and took on the fate of the disadvantaged and the least fortunate. On behalf of the Chamber of Representatives, I expressed my sincere condolences to his family.
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u4	Ladies and gentlemen of the House, we have all been saddened by the death of Mr Jos Dupré on 2 December 2021. As a convinced Christian Democrat, Mr Dupré was a respected member and chairman of the Chamber of Representatives, Community Minister in the Genes II and III Governments and State Secretary in the Martens VII and IX Governments. It would be difficult for him to forgive us if we did not immediately add that he was for many years mayor, mayor and ultimately honorary mayor of his beloved Westerlo, his home. Mr Dupré was a Kempenson. His heart was not only in the Kempen, but also in the rhythm of his native region and its inhabitants. When he was asked in an interview a good year ago what had stayed with him in his political career, it sounded first of all: "Once on a Monday I received no less than 102 people." That was Jos Dupré: a man with the ability to serve the country with great conviction without losing sight of the small and great concerns of the people in his immediate surroundings. For his entire career he would defend the interests of the country, his region, his region and his congregation. Without distinction, and always with equal knowledge, energy and surrender. Prime Minister Dehaene would build on the work prepared by Mr Dupré as Secretary of State for Institutional Reforms for his Sint-Michiel agreements. The structures, corners and sides of our state knew as little secrets to him as the art of regional development, in both he was master. After the creation, strengthening and flowering of the Intercommunal Development Society for the Kempen, Mr Dupré arrived in this house from a battleground and with the support of thousands of Kempenians as a representative of the people. A house in which many minister with a handkerchief had to wipe the sweat off the head, after the fire had been laid on him by MP Dupré. Because doing politics was something very natural for him, or he took care of it anyway. He liked to leave the theoretical, parliamentary work to his colleagues. The essence of politics was crystal clear to him. It was daily fighting for that in which he believed and for those people who deserved to fight for it. He had seen a lot of poverty in his youth, and that was his fuel to ensure for years that we would all have it better together. He did politics as he was as a human being: socially engaged and with much knowledge of matters. I would also like to add his well-groomed language, which made him, above all, a correct and very courteous man. We are very grateful to Jos Dupré for his years of commitment to our country and its inhabitants. He gave one of his last interviews together with his wife and many years of support and support, Lutgard. They complemented each other, literally and figuratively. He ended by saying: "During my time in politics, I was never comfortable. I've always had to fight for the Kempen." The results of his struggle to date are visible and tangible and will be inspirational for many years to come. Get some rest now. Dear family, dear Koen, you lose a loving pillar, the country an absolute statesman and the Kempen a champion. Christian democracy and my party certainly also loses one of its biggest monuments. The government sends its deepest condolences to the family and neighbors of Jos Dupré.
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u5	Madam President, ladies and gentlemen, first of all, I would like to send you all my best wishes. We have submitted an interview addressed to the Minister of the Interior. We would like it to be dealt with in plenary. We have the support of the necessary number of Members of Parliament for this.
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u6	Madam President, we have also tabled an inquiry into the floods, addressed to the Minister of the Interior. We want her to be treated as a matter of urgency. The Chair: On the same subject?
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u7	Yes.
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u8	The Minister of the Interior is present. Is she available to answer your inquiries? Yes, thank you. In accordance with the opinion of the Conference of Presidents of 12 January 2022, you have received an amended agenda for today's meeting. In accordance with the opinion of the Conference of Presidents of 12 January 2022, you have received an amended agenda for today's sitting. Is there any comment on this? Are there any comments on this? Accordingly, the agenda was adopted. The agenda has therefore been adopted.
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u9	Mr Prime Minister, we in this country are quite common in the field of clumsyness and inconsistencies in the Corona approach. Now, however, we are on a dangerous slope. On national television this week it became clear that a party chairman of one of your government parties does not regard freedoms as civil rights but as a reward or a bonus, something that the government distributes to its own nationals at its discretion. You use fake news to defend Maoist toys like the coronapas. You claimed this week that it's bullshit that the coronapas would be unscientific. You argued that yourself with utter nonsense, such as the thesis that science is very clear about the usefulness of the coronapas and the theorem that infected vaccinees are nine to ten times less likely to transfer the virus. That doesn't make any sense. Even the very friendly media did that in a fact check as complete error. Science - at least virologist Emmanuel André and biostatist Geert Molenberghs - previously stated that the CST caused additional infections. I asked your Health Minister on Monday in committee what circumstances we are getting rid of the corona pass. To the many questions about the CST exit strategy there was no answer, no criteria, no scientific arguments. There was only silence. That is why I repeat that question to your address today. I ask one question, which I hope will be answered. What is the current government's CST exit strategy?
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u10	Prime Minister, Minister, we hear a lot about the future barometer. Finally, we look forward to the prospects that it might offer. I will save you the money to come back to the disastrous episode of the last Codeco, with these pathetic but fortunately indispensable retropedals – thanks to the Council of State – on culture. Other sectors are still struggling and dying today. I am thinking in particular of the event sector, which is a little too likely to be reduced to the mainstream entertainment sector, forgetting that this sector also includes cultural actors who are not subsidized by the Communities, independents, SMEs, businesses active in business to business (B2B). Is it worth reminding you that Belgium, especially Brussels, is the world's second largest hub – after Singapore – for the organization in B2B of symposia, congresses, symposia? All of this is at a standstill! Eighty thousand families are still in difficulty, without the slightest prospect, having on them only the eyes of entertainment makers and omitting that it is also cultural actors, independents, SMEs that need to be helped. I urge you, in the context of your future barometer, to integrate the reflection on these sectors, as on that of games rooms, sports bets, casinos. Let's not have this bias to look at them with a guilty look! Thousands of families are waiting for opportunities! Offer them with a barometer – for once – credible!
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u11	Prime Minister, the Council of State has shirked you, the government and all of us here by retiring the measures in the cultural sector. A motion had been tabled by Mrs Fonck and could be voted on immediately. However, you have voted against hypocritically. That's very odd. In the meantime, you have also had three weeks to adjust the other measures. I would like to quote: "Can you tell me, for example, why you can use 200 in the theatre with a capacity of 300, but with no longer in a theatre with a capacity of 1300? Can you tell me why you're allowed to perform in the theater in the cultural sector when you're not allowed to rehearse there? Can you tell me, Prime Minister, why you can go to the cinema with 200 people when you can't watch a cyclocross in the open, even if it's a Belgian championship?" Mr Prime Minister, ask the people of your own football club FC Brakel why they can all go into the cafeteria, where they can all sit together, when they can't stand next to the field and look at the kids when they're playing. After all, the risk of infection in the open is virtually nil, one in a thousand. "Can you also tell me, Minister, why in the shopping streets, from the Meir to the Nieuwstraat and in the shopping centers you are caught by soldiers or Dutch lockdown refugees, when you can't watch a bowling game with your family or cone yourself? When does this absurdity stop, Minister? Explore it, don't wait until January 28th, because the population mort, sire."
ParlaMint-BE_2022-01-13-voorlopig-55-plenair-ip157x.u12	Madam President, Prime Minister, Minister, the corona crisis weighs heavily on all of us, but especially on our young people. They see the most beautiful time of their lives as it were passing by. As the father of two teenagers, ex-KSA leader and associate of Kazou, my heart bleeds. Our young people may not have a strong lobby like many economic sectors, but they too have an urgent need and right to perspective. CD&V has fought for the coronabarometer. We are therefore extremely satisfied that it will finally come after a long push. Our group is therefore very clear. The measures set out in that barometer should be as wide as possible. They must not be limited to the economic sectors alone. Our young people also deserve perspective and clarity in the barometer and as much predictability as the other sectors. Young people should not become cards to keep other sectors open or reopen. In December, the culture sector came out on the street. The rules were adapted and rightly so, but sport and youth remained in the cold. Christmas parties of youth movements had to go on in the cold and the rain. Birthday parties couldn't go on in the indoor playgrounds. For the second year in a row 16- and 17-year-olds could not celebrate with a party. CD&V therefore advocates equal treatment of youth, sport and culture in the barometer. At the same time, we need to look at what is possible for our children and young people in the short term. I am thinking, for example, of more activities in the youth movement or in the sports club with parents on the sidelines. This is not easy with the current contagion rates, but a good test policy should be able to do so. With the Krokus holiday on its way, where multi-day activities or ski holidays take place, the sectors want clarity. I have two simple questions. What perspective can you give to young people in the short term? Will the barometer also provide ready-made wine for our young people and children and the sports and youth activities?
