ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u1	Debates of the European Parliament Mrs Dierick's 55023193C is converted into a written question.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u2	Mr President, Minister, on 8 November 2021, we last met in committee and, a few days later, it was reported that a third derogation had been granted for neonicotinoids banned since 2018 at European level, for beet crops in 2022. This derogation is given when, last February, the Council of State sent five questions for a preliminary ruling to the Court of Justice of the European Union. The purpose of the questions referred for a preliminary ruling is to clarify the contours of the article in the pesticide regulation, which allows farmers to provide derogations for the use of these substances, in particular on the notions of "special circumstances" and "which cannot be controlled by other reasonable means". This derogation is also given while the European biodiversity strategy calls for a 50% reduction in the use of our pesticides and a reversal of the decline in pollinators. On the other hand, Belgium still seems to be among the most generous countries in terms of derogations, in any case for those which target the most dangerous products at European level, those which are already banned. Minister, can you clarify the extent of the exemption granted? What crops and products are targeted, specifically for 2022? What areas were treated with neonicotinoids in 2021 following your previous exemption? Has the derogation dossier properly included an update of the "special circumstances" for 2022 and an update of the actual analysis of "other reasonable means" as well as documented information on the financial loss of compliance with European standards? Finally, how many derogations, all plant products combined, were given for 2021 at Belgian level? How does this put us at European level?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u3	Madame de Laveleye, the derogation was granted for GAUCCO 70 WS (product based on imidacloprid). This product is used for coating beet, lettuce and endive seed. This derogation has allowed farmers to avoid applying insecticide treatment in the form of general spraying of crops subjected to insect pests and carrying viral diseases such as beet jaundice. No surface area has been treated with neonicotinoids since emergency authorizations relate only to the treatment of seeds. For your information, about 12,500 hectares of surface area have been sown with imidacloprid-treated seeds. No lettuce surfaces were treated with imidacloprid and idem for endives. Finally, I am particularly careful to ensure that the appropriate FPS Public Health department evaluates each application on an individual basis, taking into account the circumstances and the availability of alternatives at the time of application. As you know, and unfortunately, there is no conclusive alternative.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u4	Minister, thank you for your answer. A few elements, however: you place a great deal of emphasis on the "treated surfaces" and "sowed areas" factor. All right! I accept, of course, that you make the difference, but I know that it only concerns the coating of seeds. You're talking about 22% of the area sown, which means that about 78% of the area sown for beets has not been subjected to neonicotinoids this year. It is still a significant figure which shows that the vast majority of productions have decided not to use it. However, our territory is very small and I do not see how there can be a significant difference between a field or two fields and the field next door. On the other hand, with regard to the analysis by your services of the exemption files, I mean that it is rigorous. I do not think that significant work is being done on the particular circumstances. We cannot imagine that every year the same particular circumstances come back. These are no longer specific circumstances, they are recurring circumstances that require another approach to the file. Other European countries are making efforts to use alternatives. Contrary to what you said, there are alternatives for many beet producers. Belgium must live up to its efforts to reduce the use of neonicotinoids. It is not because they are the world's best-selling and most lucrative pesticides that we must afford to look little at their derogation. We will continue to do this work in the coming months.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u5	If 22% use neonicotinoids, the others have no alternatives and use sulfoxaflor. Is that what you prefer? It's plague or cholera. There is no credible alternative that is sufficient. It is the proposals that are made, and it is a bit regrettable. It should not be thought that those who do not use neonicotinoids have no alternative. Unfortunately, this is the debate: it is one or the other.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u6	Mr Minister, first of all, I think that 100% of those who do not use neonicotinoids do not use sulfoxaflor. There are beet producers in Belgium and neighbouring countries that do not use neonicotinoids or sulfoxaflor. We know them. They exist. They produce. Moreover, the productions of neighbouring countries are imported. Even Tirlemont does significant tests in this direction. It has been shown that this pale alternative argument is limiting, and probably not representative of the reality of our farmers. These products are banned at European level because they are too dangerous. At some point, a political choice will have to be made as to the direction to be taken: either we accept that these products are too dangerous and we are more rigorous, or we pretend that we are not in the midst of a crisis in the biodiversity of ecosystems and we continue to release derogations. But a political choice has to be made and we want it to be more ambitious.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u7	Mr Minister, ladies and gentlemen, the Foodwatch Consumer Association analysed 152 food products purchased in France, Germany, Belgium, the Netherlands and Austria and found that 19 products were contaminated with aromatic hydrocarbons of mineral oils - MOAH (Mineral Oils Aromatic Hydrocarbons), i.e. one in eight products. As Foodwatch explains, these MOAHs are suspected to be carcinogens and mutagens and also to be present throughout the production chain. Their influence on the functioning of the hormonal system – endocrine disruptors – has also been shown. It would be found in dust binders, lubricants used in product machines, release agents or adhesives. In 2015, Foodwatch was already alerting its presence in products such as rice, couscous, lentils, pasta or baby milk. The European Food Safety Authority has established that any food exposure to MOAH poses a hazard. Therefore, a tolerance 0 must be applied for all MOAHs. Minister, have you been aware of the study conducted by Foodwatch? Since the problem is obviously not confined to Belgium, have you ever had contact with your European colleagues to prevent MOAH from being present in our food chain? Do you intend to strengthen the controls to see the presence of MOAH in the various products mentioned and to warn the consumer?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u8	Mr. Chair, Minister, Mr. Prévot described the Foodwatch investigation and the risks associated with the use of mineral aromatic oils. As far as I am concerned, in particular, the AFSCA. Minister, is the AFSCA already aware of this situation? Has it also found the presence of hydrocarbons in these products? What are its conclusions in this regard? Will these products be removed from the shelves? Finally, are you considering reviewing the standards for the presence of MOAH and MOSH in food products? Do you have any contact with FPS Public Health to do this? Have you given any instructions to AFSCA on this?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u9	Mr President, ladies and gentlemen, AFSCA has closely followed the publications on the various studies carried out by the NGO Foodwatch on the presence of mineral oil compounds in foodstuffs. His collaborators were informed of the latest study, notably via the issue of RTBF We're not pigeons!. After the first Foodwatch study mentioning the presence of mineral oil compounds in food, a study entitled MinOil was financed by the Department of Contract Research of the SPF Public Health to determine the migration of mineral oils from cardboard food packaging, identify the hazards and assess the exposure of the Belgian population. In this study completed in 2019, the presence of these compounds was found in food. These are often complex mixtures with very different characteristics. Some components in these mixtures may potentially pose a risk to public health and may be carcinogenic and genotoxic. However, the analytical methods for MOH compounds developed as part of this research project did not meet the quality and analytical performance criteria required by the official control. Discussions on the analytical performance of analytical methods are currently taking place at European level within the Joint Research Center and the European Community Reference Laboratory working groups on materials in contact with foodstuffs. The European Union reference laboratory has found analytical problems in various European laboratories involved in inter-laboratory tests in this field. It is therefore continuing its work to improve and harmonise the methods of analysis to be used by official laboratories. In addition to the analytical problems, there is currently no legal maximum limit for the presence of MOAH in foodstuffs, but the issue of its compounds in our diet is regularly addressed in the working group of the Committees of Experts on Chemical Contaminants at the European Commission. The Commission has mandated EFSA to carry out a health risk assessment of the presence of MOAH in foodstuffs. EFSA is expected to deliver an opinion in the course of 2022. In the face of these delays due to the European Commission, Belgium, in order to obtain a harmonised response to this problem more quickly, has invested heavily in the drafting of a Council of Europe resolution. This resolution recommends keeping the migration of MOAH as low as technically inevitable and ensuring that the migration of MOAH does not happen again. The AFSCA shall, as soon as it is aware, take measures to remove foods on the market that contain unacceptable amounts of mineral oils. On its website, recalls for different products can testify to this. Priority is given to infant food. AFSCA has scheduled analyses on this issue for 2022. They will be carried out if official methods and laboratories are available. Depending on the opinion of EFSA and the availability of laboratories, we will be able, if necessary, to strengthen controls on this matter.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u10	Minister, thank you for taking the moment of the current situation. In any case, your answer confirms that it is necessary to be very careful about these aromatic hydrocarbons of mineral oils. I also note that there are currently no standards for MOAHs but that an opinion should be given in the 2022 court by EFSA. On the other hand, I am pleased to note that the AFSCA is also addressing this issue and regularly removing non-compliant foods, with particular attention to infant foods. In the coming months, attention should be paid to their use, as these products have already been recognized as endocrine disruptors by many organisms. Of course, Belgium and the European Union will have to take a position on this issue. As my reply is over, Mr President, I would like to ask you and the committee secretariat to turn my question No 55024812C into a written question to save everyone time. In this way, I will also be able to rest my voice and be less unpleasant in the ears of the interpreters.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u11	Thank you, Mr. Prévot. That's a good note!
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u12	Minister, thank you for your answer. I have good news for you. If you want to get as low a limit as technically possible, it's zero. The maximum legal limit is a wrong approach. For example, in the Walloon Region, for geothermal drilling, glycol has been replaced by food glycol; for chainsaws, vegetable fats have been substituted for oil, etc. All manufacturing lines that fold cartons and handle plastic and packaging products must work with vegetable fats and oils. This is a low-cost solution that avoids the presence of mineral hydrocarbons in food products. That is why I believe that the limit must be zero. In this way, our fellow citizens will be protected from these risks. The limit of products exerting hormonal influence is infinitesimal. I've worked in immunology, I can tell you that these are pictograms. Thank you again, Minister, and good work!
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u13	Mr President, I have an answer for both questions; I propose to read them and to answer Mrs Matz's question at the same time. Ladies and gentlemen, I am very attentive to the development of this problem, which has serious consequences for the farmers concerned. However, it also calls for greater caution in the safety of the agri-food chain. Indeed, if these standards set by Europe have been reviewed, it is on the basis of an update of the potential risks to the consumer of heavy metals. In this context, the management of soil and environmental pollution, reported here as historical, as well as the support of producers affected by the application of environmental standards, are exclusively regional competences. It is therefore for the Regions to draw up a clear picture of the nature and extent of environmental contamination, both in terms of the degree of contamination and in terms of geographical distribution. In addition, the Regions, through their expertise in agriculture, have a precise inventory of crops. They must be able to inform farmers of environmental risks and inform the AFSCA which will then manage the food security component with the farmers concerned. The AFSCA's sole task is to control agri-food products on the basis of European standards and to ensure that products placed on the market are healthy for the consumer. Within the limits of our respective powers, I have informed the Walloon Minister for the Environment, Mrs Tellier, and the Walloon Regional Minister for Agriculture, Mr Borsus, that I am prepared to work with them to find solutions to this problem. I have also given my consent to the participation of AFSCA in the working group set up by the Walloon regional bodies. The AFSCA is obviously ready to contribute its expertise to any initiative set up, as it already does in the case of metal grinders or in the PFAS files in Flanders. Indeed, the local control unit of Liège participates in the information and awareness network for a group of local marketers set up by the province of Liège through its agronomic service. AFSCA's risk assessment services are also mobilized. Operators are prohibited from marketing products that do not comply with the maximum levels set out in the Regulation. In 2021, three non-compliances with the maximum levels for metals, specifically lead and cadmium, were found in vegetables produced in Belgium, two of which were in market gardeners in the province of Liège. In the event of non-compliance caused by an exceedance of a maximum content included in the European Regulation, the food must be withdrawn from the market, as it is considered harmful to health. All operators are placed on an equal footing. There is no two-speed food security. As a reminder, the producer is responsible for its product. AFSCA cannot prohibit an operator from growing vegetables or other crops on land known to be in an area heavily contaminated by heavy metals. It is up to the producer to provide for measures to avoid contamination of these plant products during cultivation. It must seek information and, where appropriate, consult specialised bodies for the choice of crops and good agricultural practices to be foreseen. The environment and the support of producers are also regional competences. Nevertheless, the AFSCA is obviously ready to contribute its expertise to any initiative put in place to ensure food security.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u14	Minister, thank you for your detailed and comprehensive response. I have, of course, also had the returns of the Walloon ministers concerned. For me, it is really a case of school, between the concern, which we share, to have the most ambitious standards for consumer protection; and at the same time the concern to support economic and agricultural actors in our regions. I can see the difficulty in which we are, which must also make us realize that every time we pollute soils, those who pay for the broken pots afterwards, it is the economic actors who can no longer produce, because these soils are no longer suitable for consumption, and of course the consumers we are, who take the risk of being contaminated. The only thing that asked me, at the federal level, about this issue is that these new actors finally received very little information from AFSCA when they started operating. I think there's still room for improvement here. I know that AFSCA is doing a lot to improve its support for small producers. But there, they were very surprised to discover the magnitude of the difficulty they had to face and that they had not been accompanied upstream to understand that the risks were known. Besides, they were confronted with the news of AFSCA like that when they came out of nowhere. So I think there is still room for improvement and we can support AFSCA still in this direction.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u15	The analysis of samples taken in the Westerschelde by the Dutch environmental chemist de Boer of the Vrije Universiteit Amsterdam shows that these samples contain more than 800 times the standard for PFAS. He conducted the investigation because the Westerschelde is contaminated, not least because it is close to heavy industry. The focus was on the eastern part of the Westerschelde, between Terneuzen and Antwerp. The factory of 3M is nearby and there have been PFOS discharges. Water quality on site was already monitored, but now it was specifically about the sediment. The bottom material of the river appears to be full of PFAS. The fish get that in. There would also be an impact on drinking water safety. According to Mr de Boer, these discharges really have to stop. He refers to DDT, a drug which has been banned in Belgium since the 1970s, but which we still encounter at checks. Will fish from the Westerschelde be marketed in Belgium? Drinking water quality is a regional competence, but the safety of the drinking water chain is a competence of the BFSA. Is that properly monitored?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u16	Mrs Creemers, the catch of fishery products in the Westerschelde is done by Dutch operators. Their products can end up anywhere on the Belgian market. The primary responsibility for placing food on the market lies with operators according to European regulations. Each operator, including the fisherman, must consider the safety of its production or catch. The control of food safety in the Dutch fisheries sector is the responsibility of the Dutch authorities. In Belgium, the BFSA checks whether Belgian operators assume their responsibilities and also carries out checks, in the form of inspections and sampling of products on the Belgian market. Therefore, Dutch products can also be included. No exceedances of the action limits for PFOS and PFOA in fish developed by the BFSA have been established in these samplings so far. The control of drinking water is a regional competence. The BFSA only controls the safety of drinking water packaged or offered in food establishments or used for the manufacture and/or placing on the market of foodstuffs. To date, the BFSA does not carry out checks on PFAS in fishery products or drinking water from the Westerschelde. As you know, there are currently no legal standards for PFAS available for food and drinking water. In addition, no action limits are available for drinking water. The European Commission is the only body competent to define harmonised standards at European level. The Authority does not set standards. The process of setting standards for different foods started in 2021 by the European Commission, following the opinion of the European Food Authority EFSA dated 2020. Those European standards are expected in the course of 2022. At Belgian level, the FPS Public Health, Food Chain Safety and Environment is the competent authority to define and propose national food safety standards to the competent minister. The FPS is also responsible for following up the discussion of food standards at European level. For the specific case of water, the BFSA has already urged the FOD to quickly set and propose standards. During European consultations in which the BFSA participates, there is consultation between EU Member States on specific food safety-related dossiers, such as PFAS in food. The control of possible environmental contamination of waterways is a competence of the Regions.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u17	Thank you, Minister, for the answer. As far as the action limits on drinking water are concerned, I know that they are mainly regional powers, but if the water is used for weatherkin, there are also BFSA controls. What I have read on this is that the guidelines at EFSA level are very difficult to monitor with our current equipment, especially when it comes to drinking water quality. I hope you'll pass that on to the BFSA. Are their planes tuned to that? I also hope that the limits will come soon. I will ask Minister Vandenbroucke, but I understood that Belgium would move faster if we did not get standards from Europe by the end of 2021. After all, we are faced with the PFAS issue in Antwerp.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u18	Minister, in October 2021 I asked you about Belgium's position in the European negotiations on restrictions on the use of sulfoxaflor insecticide. As a reminder, the Commission recommends strict use under permanent greenhouses in order to preserve our biodiversity. In your reply, you mentioned that the proposal for a restriction on the inside alone was unnecessarily severe and that Belgium had expressed its non-support for the Commission's proposal to restrict the use of sulfoxaflor to indoor uses only. All this while EFSA already confirmed in 2020 that no external use was safe. The issue of sulfoxaflor was regularly placed on the agenda of the Commission's Standing Committee on Plants, Animals, Food and Feed, and this was again the case at the meeting held on 28 and 29 January. A vote had been taken, and it seemed that Belgium had abstained. It was you who defended Belgium's position. Minister, do you confirm to me that Belgium has abstained? Has the Commission's proposal received sufficient support? Has the vote been coordinated with the federal Minister of the Environment and the Minister of Health? What recommendations have you received from the federated entities? How do you reconcile an abstention with the intention of adopting an ambitious position on pesticide reduction? How do you explain that the neighbouring countries voted in favour of the Commission's proposal? I would point out that it would appear from the information in my possession that 15 countries voted in favour of the proposal, and only 7 against. How does this forbearance fit into the national pollinator strategy and other biodiversity initiatives? Finally, how does this abstention respect our majority agreement that Belgium will hold an ambitious position at European level on the issue of chemical pesticides?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u19	Minister, I agree with Mrs de Laveleye's question and have two further questions. I have always understood that pesticides are a shared competence of Agriculture, Public Health and the Environment. I do not fully understand the path to our voting in Europe. I thought that the three ministers concerned should also discuss this issue and that you should come to a common position. How has this been done and how will it be done in the future, because there are still votes to be taken? Mr de Laveleye has already referred to the coalition agreement, the biodiversity strategy, the precautionary principle and the Farm to Fork strategy. I would like to add the One Health principle to that. This is often reflected in the policy statements of the three ministers working on pesticides, and I wonder how that fits in.
