ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u1	Questions Nos. 55029219C, 55029260C, 55029261C and 55029262C by Ms. Daems and Nos. 55029299C, 55029330C, 55029331C and 55029391C by Mr. Senesael were deferred.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u2	The questions raised by Mr Senesael and Mrs Daems are irrelevant.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u3	Mr President, Minister, on the night of 28 June 2022, the European Environment Council reached agreement on a number of aspects of the Fit for 55 package. Madam Minister, the post-communications have created quite a bit of confusion from the camp of the ecologists. I'll explain why immediately. Of course, you are not responsible for the communication of, for example, the European Member of Parliament, Sara Matthieu, on television. I will, however, put it literally what she has said. "If you want support for the energy transition, don't do it." What's she talking about? She talks about the carbon tax or CO2 tax on heating and fuel. She doesn't think that's a good idea. That is very strange, because I remember that a few weeks after your arrival you ended up somewhat in the eye of a media storm over that carbon tax. I know what you will say, namely that social justice must also be taken simultaneously. However, Mrs Matthieu was not satisfied either. She was also not very enthusiastic about the reduction of the Social Climate Fund budget. That's very strange. Otherwise, Mr President, I will not read my full question. After all, the Minister has that at his disposal. However, I will ask my questions. Madam Minister, can you explain the agreement reached at the Environment Council and the Belgian position? Is it true that the impact of the Social Climate Fund has been weakened in the light of the European Commission's initial proposal? Is it also true that, for example, Member States should no longer co-finance half of the funds?
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u4	Madam Minister, an agreement was reached on European climate action last week. There have been quite a few proposals from Frans Timmermans' plan, and this barely a year after he proposed them. This illustrates the urgency of the dossier. This climate package must now be transposed into legislation. Can you give an overview of some important decisions? Such an agreement often requires a number of exceptions or transitional measures, especially in the final phase. The situation is not the same everywhere. I have the impression that this is not or hardly the case for our country. Does that have anything to do with our position in these negotiations? I have seen that we have abstained in at least three of the five dossiers. How did we arrive at that position? That's what I'd like to hear from you. Are we going to remain in the cold as far as exceptions or transitional measures are concerned?
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u5	No one disputes the need for climate transition measures. Climate security and energy security are needed. You're judging that balance in this package? With regard to urgency, to what extent do we not want too much at once, by launching one plan after another even before the existing action plans are knocked off and in progress?
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u6	Ladies and gentlemen, I will allow myself to answer the first question concerning my colleague's statements. It is as minister that I answer, but as an environmentalist – so, not as minister – I can only acknowledge that questions deserve to be raised. However, in my capacity as minister of a seven-party government, I appreciate the stakes of the negotiations and different positions, as well as the presence of the 27 parties, and I can only welcome the conclusion of an agreement. Of course, as an environmentalist, I can tell you that we will never do enough. Before addressing the concrete issues, I would like to present you with a general reading of the decisions taken at this Council. That seems necessary to me if we want to understand the decisions taken by our country. On the night of Tuesday 28 on Wednesday 29 June, the Council took up its position on the climate dossier and the Fit for 55 package, in particular the Effort Sharing Regulation, the ETS, including ETS aviation, the extension to the maritime sector and its buildings and road transport, the Social Climate Fund, LULUCF and CO2 standards for persons and vans. This is an important step towards achieving the European target of reducing emissions by at least 55% by 2030 and becoming climate neutral by 2050, as required by the European climate law. Hopefully, we will soon find agreement with the European Parliament so that we can provide clarity and investment security for our citizens and businesses. I would also point out that it is the Council's position that has been adopted, so that the trialogue can only begin. That's what we're talking about. Although the positions finally adopted by the Council adapt the Commission's initial proposals on various points, in the form of a number of temporary exceptions and postponements of the entry into force of certain measures, the general level of ambition has fortunately been preserved, which guarantees the achievement of the target of - 55%. It is a clear signal from the Council that the climate challenge remains at the centre of concerns. This is, to an important extent, part of the solution to the current energy crisis, rather than being a cause or an obstacle to the resolution of this crisis. I would also like to express my appreciation for the efforts of the technical experts from the administrations of the various authorities and of the diplomatic representatives. Over the past year, this historic climate package has been intensively worked on, and not without results. I would like to give some examples of things that have emerged from the negotiations: the study of the possibility of speeding up national phasing-out of combustion engines, the inclusion of smaller ships in the carbon pricing of EU ETS or the protection of innovative investments in the steel industry. All these points are included in the final compromise of the Environment Council. These are points for which Belgium has also worked. This shows that if we take a position together with the four governments, we can weigh at the European level. Environmental organisations have therefore assessed Belgium's efforts in transport and energy, including in the file on CO2 standards for vehicles and the ESA, as being among the best of all Member States in Europe. Unfortunately, Belgium finally had to abstain explicitly on three crucial issues, namely not only the European Emission Trading System (ETS) and the Social Climate Fund, but also the Effort Sharing Regulation (ESR), which allocates efforts among Member States. With such a position, we have, in fact, placed ourselves out of play and we have not been able to weigh on the negotiations in the last straight line on these issues. We have thus sided with a small minority of Member States. What has put us in this situation is the position adopted by the Flemish Region which has formally requested that Belgium abstain on these three dossiers, regardless of the developments resulting from the negotiations in the Council. The position of the Flemish Region was unconditional, which deprived us of any possibility of further pleading for concessions in our favour at the Environment Council, although the federal and the other two Regions could offer the French Presidency the prospect that the package would be approved. I do not, of course, deprive anyone of the right to defend his political interests, but at some point it is necessary to realize that the total absence of the will to compromise has the effect not only of getting Belgium out of the negotiations but also of putting its own interests out of play. I can only hope that the internal blockage on these three dossiers can be quickly lifted so that we can quickly regain our place and role in the trilogues with the European Parliament and thus make constructive progress on the European project on climate transition. Specifically with regard to your question about the ETS-BRT and the Social Climate Fund, as you know, I have always advocated that the climate transition should be a socially just transition. The Council has indeed chosen to introduce the new ETS, which is to give a price signal, a year later than initially envisaged. The introduction of the Social Climate Fund, which should mitigate the possible social impact of this price signal, is therefore also being postponed, which indeed reduces the volume to EUR 59 billion in the period up to 2032. In reality, however, this does not reduce the aid to compensate for the social impact, as the timing of the SCF continues to follow the timing of introducing the carbon price through the ETS BRT. So you can hardly talk about shortwings. Moreover, the SCF remains a very substantial fund, slightly smaller than the Cohesion Fund. In addition, our country has the opportunity to use all other revenues from the new ETS BRT also for families and SMEs. Within the federal government there is a consensus that this can be done with a climate bonus, for which I have worked, to achieve a progressive effect on the incomes of families. In the context of the debate on the Social Climate Fund, it is important to ensure that support through the Social Climate Fund for direct investment and measures effectively benefits the least favoured households. For my part, I will make every effort to ensure that this is at the centre of the social climate plan that we must submit to the European Commission in 2023 in order to be able to claim our share of this fund.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u7	Madam Minister, thank you for your explanation, particularly in relation to the non-ETS sectors, enlargement and the link with the revenue for the social climate fund. I thought there was an agreement in the European Parliament that the system would be introduced first for the commercial sector and then for households?
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u8	That is why I have referred to the fact that, in this case, each actor in the trialogue has adopted his position beforehand. Parliament has therefore adopted for itself the position that you have mentioned. This will be the position he will take in the trialogue. It has nothing to do with the position of our Council. That is Parliament's negotiating position.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u9	What happened is good. Europe has shown that it can work. The legislation needs to be put in place as soon as possible. We don't have much time left to make it to the 2030 level. We are seeing the consequences of global warming in many places today, including in Europe. In Greece there are currently very many forest fires. There was the glacier accident in Italy yesterday. All this has a clear link to global warming. You were clear about the negotiations. There were indeed three abstentions, including around the ETS Social Climate Fund. I think your analysis was very clear. That's why we're putting ourselves out of business. Belgium was sitting around the table to negotiate European climate action. We must all be aware of the consequences of the abstentions and the lack of ambition of the Flemish Government and the Flemish Minister for Climate which is holding us hostage. Our country is no longer being taken into account at the negotiating tables. Some countries have been granted exemptions or exemptions on, for example, the phasing out of fuel vehicles or allowances. Our country, however, has received nothing in this respect. I would therefore like Mrs Demir to explain this to the Flemish port industry and companies. She leaves her own businesses in the cold. So we shoot in our own foot, and I hope that everyone concerned realizes that.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u10	Madam Minister, on 13 May you had a note approved in the Council of Ministers on the organisation of the long-announced conference on a socially just transition. This conference aims to link climate and environmental objectives with an extension of social achievements and to reduce socio-economic risks. The official start-up has now apparently moved to 2023, while there was first 2021 and then 2022. Apparently, a note has finally been approved. In your recent May 1 message, you also referred to the social partners, who called on you to express their desiderata and concerns. Could you give me a more detailed explanation of that note? To what extent are the Länder involved in this conference? Has this been discussed in the Consultative Committee or in other bodies? Unless I am mistaken, was it not the intention that the social partners should also play an important role in that national conference?
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u11	Mr Ravyts, the note I submitted to the Council of Ministers, as the procedure requires, is intended to mandate me to start negotiations with the sub-groups in preparation for the Consultative Committee in autumn of this year, with a view to organising a national conference on a fair transition. In this sense, this note does not contain any substantive orientation. This démarche is intended to involve the sub-entities in the process of the national conference. I am therefore counting on good interaction and cooperation with my colleagues from the Regions and the Communities, because the subject is important. If we did not reach an agreement within the Conciliation Committee, the conference would only be organised at federal level in 2023. Let me touch on the State-General Justice Transition that I launched on 24 May 2022. Today there is no systematic and coherent dynamic around the theme. I would therefore like to make this preparatory work in preparation for the national conference. The States-General consists of four shutters to deliver results by spring of 2023. The High Committee on Righteous Transition, consisting of 22 scientists under the co-chairship of Professor Bea Cantillon of the UA and Marek Hudon of the ULB, gives me a scientific report. Agora, a citizen's participation, gives her perspective on a just transition. There will also be a forum to ask for memoirs from civil society. The Federal Council for Sustainable Development and other advisory bodies, such as the Central Council for Business, will publish the results of their interactions. The social partners and other stakeholders will thus play an important role in the preparation and process of the National Conference.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u12	Madam Secretary, thank you for your explanation of that note. Indeed, this note does not provide any substantive orientation, but does outline the framework for the preparation of that national conference. As the Flemish Government ultimately has a very concrete and practical energy and climate plan and offers its constructive cooperation, I expect you to agree on this. That seems logical to me on this issue. We will undoubtedly talk about this again in the autumn.
