ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u2	In accordance with the opinion of the Conference of Presidents of 22 June 2022, you have received an amended agenda for today's meeting. In accordance with the opinion of the Conference of Presidents of 22 June 2022, you have received an amended agenda for today's sitting. Is there any comment on that? Are there any comments on this? Accordingly, the agenda was adopted. The agenda has therefore been adopted.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u3	I propose that you devote one discussion to these bills. I propose that a single discussion be devoted to these draft laws. In accordance with the opinion of the Conference of Presidents of 15 June 2022, the following words have been agreed: - for the general discussion: 20 minutes for opposition groups, 15 minutes for majority groups and 10 minutes for non-recognised groups; - for questions to ministers: 5 minutes per speaker; - for any interruptions: they may only be addressed to the speaker and shall be limited to a maximum of 2 minutes. In accordance with the opinion of the Conference of Presidents of 15 June 2022, the following speaking time shall be agreed: - for the general discussion: 20 minutes for the opposition groups, 15 minutes for the majority groups and 10 minutes for the non-approved groups; - for questions to Ministers: 5 minutes per speaker; - for the possible interruptions: they should be addressed only to the speaker and should be limited to a maximum of 2 minutes.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u4	The general discussion is open. The general discussion is open. The rapporteurs, MM. Laaouej and Leysen, refer to the written report.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u5	Madam President, Madam Secretary of State, Minister, once again we are dealing with the budget and budgetary control. I would like to start by taking you to the year 2004, especially October 2004, to be precise. Then there was a very interesting piece of opinion in the newspaper entitled 'Only leadership can bring salvation'. It was an open letter, then written by the Flemish Minister for Work and Education, Minister Frank Vandenbroucke. It was an excellent piece of opinion, which essentially and in summary meant that there was great urgency. As a Flemish minister, he criticized the Belgian government, which he felt had to take urgent steps and intervene fundamentally, to keep social security affordable in the future and to respond to the ageing of society. There was great urgency and great need due to the ageing of society. We had to do business and structural reform. We are writing 2004 and the document was a huge warning of costs. For those Members who do not remember him correctly, the letter was almost the beginning of the temporary end of Minister Frank's career and became the beginning of Master Frank's renewed temporary academic career, because the letter caused quite a stir. However, it was not the first letter that Frank Vandenbroucke wrote that year. In January 2004, he also wrote a letter, together with Johan Vande Lanotte, at that time Deputy Prime Minister of the Federal Government. It was a very interesting letter, from which I brought you a number of quotes. The letter was about the fact that the budgetary needs were enormous and that there really had to be reform. I will come back to the quotes later, but first I would like to explain why I begin my speech with those two letters. Colleagues, I remember those letters very well. I just graduated. For me, these letters were the start of my interest in the budget, in the budget, in pensions and in the ageing population to which society evolved. What's that gonna cost? What are the challenges? How do we deal with things? I remember the momentum of Frank Vandenbroucke's letter very well. The letter has also been the beginning of my interest in the Wetstraat. You may have forgotten a little more, but we saw how the letter reacted immediately. Frank Vandenbroucke had made an interesting analysis, but he had also suggested a solution in his letter. That solution was next. The CD&V, who was in opposition at that time at the time of the Verhofstadt government, absolutely had to enter the purple-green government. After all, that would be the solution for everything, being the classic tripartite, to save the policy. The whole debate has immediately been postponed. It wasn't about the content anymore. It wasn't about the budget anymore. It wasn't about pensions anymore. It was about the dolls. It was about which minister exactly would make the change. It was about the political game. However, the challenge was completely different. It was a really cool time, wasn't it, Servais? At that time CD&V went into opposition to the purple-green fools. The situation is somewhat different now, even though it is economically worse than the Verhofstadt government. Anyway, that's another discussion. I found those letters very interesting at the time. I found them very remarkable, precisely because the content message was so quickly snowed under by the political puppet stories of October 2004. Frank Vandenbroucke was very sharp at the time, as we know him. I have a number of quotes from those letters from Frank and Johan. "Is 2004 going to be a lost year because necessary decisions, necessary reforms, will be postponed? The problems are getting bigger and bigger. Ageing is one of those problems. There isn't much time left for us to really cut the buttons." Not so much time anymore. We write: 2004. "We are not on the right track in terms of employment, either. The Belgian employment rate is well below the European average. The difference is untenable." That is still the case today. "Belgium is after Italy the country with the greatest regional differences across Europe." That was in 2004. That's still the case today. "As far as the employment of immigrants is concerned, we are the worst pupil of the European class." That was in 2004. That's still the case today. "And there is the Brussels tragedy: massive unemployment, while there is a shortage of labour in the immediate vicinity of Brussels." That's still the case today. That's an analysis that's still going on today. The years under the Verhofstadt government have become lost years. But also your first two years, the years under your government, the Croo government have become exactly that: lost years. And so I come to this budgetary control. It's about the essence. It's about the labour market. It's about pensions. It is about the analysis of a top politician from the Flemish government, who dared to open his mouth to his colleagues from the federal government. The alarms were already there and they have not diminished today, quite the contrary. The European Commission, the OECD and the International Monetary Fund all say that Belgium has the worst budget of all, with the highest debts, the biggest deficits, the highest taxes and the lowest growth. Our productivity growth is also among the lowest of all countries in the European Union. You'd think the reaction to that would be urgent. I don't see it. Moreover, the Planning Bureau and the National Bank say very literally in the reports discussed in the committee that the financial sustainability of Belgium and this federal government is not guaranteed. The sustainability of public finances is not ensured. She's not sustainable. We're definitely gonna hit the wall. Not only international experts, but also experts from our own institutions make this analysis. Once again, we would expect urgency, especially from a government that has been saying that it will finally start listening to its experts and that we should not criticize experts. Apparently, you only listen to experts you want to listen to, but not experts from the National Bank, from the IMF, from the OECD and from the Court of Auditors who argue very clearly that your story is not financially sustainable.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u6	Mr Loones, we also had the discussion in committee and you are rather focused on the passage in the reports on the sustainability of public finances. Like you, I went back in the past, not until 2004, but a few years ago. The Court of Auditors' report on the 2017 budget states, and I quote: "for the rest, the description of the medium-term impact of the planned policies on public finances is limited. This is particularly true of the measures taken under the tax shift. Although these policies are far-reaching in budgetary terms, the multiannual framework does not contain any information on them. As a result, the impact on the long-term sustainability of public finances cannot be assessed." On the 2018 budget, the Court of Auditors states, I quote: "The Court of Auditors finds that the information contained in the general explanatory memorandum does not comply with Article 124 of the above-mentioned law. An assessment of how the envisaged policies could affect the long-term sustainability of public finances cannot be assessed." Therefore, the budgets in which you have contributed will also receive comments on sustainability. In this sense, there is a certain consistency in budgetary policy. I expected a little more enthusiasm from you about the current budget.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u7	Mr Vanbesien, I expected a stimulating question, but unfortunately I have to say that we do have that information in the meantime. When action is taken, the challenge is always to assess the impact using simulations. Meanwhile, we know the impact of the tax shift, because the tax burden has fallen and the purchasing power, especially of people with lower and middle incomes, has increased. We've created over 200,000 jobs. The positive return of the tax shift is fully guaranteed and funded. We have also combined this with a policy that has also led to a fall in public debt. At the moment we have acted as best we can and on the basis of simulations, but in the meantime everyone can see, factually substantiated, what the real impact has been, in particular positive. In that respect, I do not think I am inconsistent. However, I think, coming back to my speech, that we are looking very carefully at the very clear alarm signals of the experts, much stronger than ever heard before. Yesterday we had the National Bank on the Finance Committee. Each of us who have spoken there, both opposition and majority, has made the same analysis, namely that the situation is really worrying. Potentially, the public debt will go towards 130 %. In the current situation, we are already among the worst scores of all countries in the European Union. I can throw in another element. Your own purchasing power expert group published the temporary report last week, on which Mr De Roover asked a question in plenary. The expert group says very literally that there are no buffers at all. It's a big story of macroeconomic negativity. Every expert pulls the alarm bell. But what are you doing with this budgetary control, Madam Secretary of State? A disastrous situation of the EUR 16 billion deficit simply makes you even worse. All experts warn and say that things have to be different, but this government is doing more of the same, because there is an extra EUR 4.7 billion in deficit without a single compensatory measure. There are no reforms against each other. Of course, it could be even worse, because the green parties come up with a new wish list of EUR 3 billion and the PS with a list of EUR 6.5 billion, just to excel in additional spending, without the absolutely necessary reforms. This leads me to the conclusion that we are experiencing lost years, and I find that particularly worrying. For the sake of clarity, I do not place all responsibility on the government, but it is a sign of the typical Belgian mediocrity: this country simply cannot work properly. That is an analysis that we have already made and will continue to make. It would be unfair for us to say it's all your fault. It is also the fault of how Belgium works: it is congenital mediocrity. Everyone can see that, but unfortunately you can't. By the way, you want to prove that Belgium does work. Well, then prove it. You insisted on this minister's post, you insisted on this government, you said you'd do everything differently and better. What's stopping you? Prove it. Come up with the reform of the labour market, come up with the reform of pensions, come up with a better migration policy that not only costs us more money, but also puts stones in the river. However, you do not. You are only continuing to accumulate deficits, including with this budgetary control, and there is growing criticism of this. People on the streets sometimes think that I am still in the European Parliament, but when I say that I am in the Chamber, they talk about the circus in Brussels. In all honesty, I find it a hugely painful analysis and rather punitive language to put Brussels politics on the market as a circus, but I have thought about it. Look at Alexander De Croo, who is thought to be the director of that circus, who controls things and ensures that the program is followed and that the agreements made are respected. However, the Prime Minister has nothing under control. He's not the director of the circus. At best, he's the magician, the Houdini. When it comes to debates and the budget, we do not see him anywhere. In other cases, he is the magician who said in the coalition agreement that he would save EUR 3 billion, which suddenly becomes an exercise of only a few hundred million euros, which he is communicatively selling as EUR 2.4 billion. He puts that back in his big black magic hat and go, add 4 billion euros extra short. Welcome to circus Vivaldi with magician Alexander De Croo. Madam Secretary of State, I see you're wondering who you are in the circus, if Alexander De Croo is the magician, which you might have liked to have been. You're not the ticket salesman at the entrance. That is the Minister of Finance, who, by the way, makes the tickets more and more expensive. To come and see the Vivaldishow, we can all pay more and more: at the pump, in the shop, inflation, tax burden. Your role is that of the knife thrower, Madam Secretary of State, or perhaps rather the person who opposes the purpose where the knives are thrown. I often feel sorry for you when I see what you're going through. All your partners at the government table are doing nothing but constantly throw knives at you. They want extra money all the time, and there's nothing you can do. You just have to stay still, because once you put your foot down... maybe you shouldn't have been the knife-thrower, but you should have been the sword-licker. Maybe there was some more iron in the lady. Who else do we have in your government? Minister Dermagne. If he already has a role to play in that government, it is that of ventriloquist, and then of the doll rather than of the ventriloquist himself. We saw him before the start of budgetary control at a press conference, together with his party chairman, Mr Magnette. What was that? Since when do we think it is normal for ministers to quote party programmes in function? Since when has that become the new reality? And that while Minister Dermagne is just sitting on the authority where the biggest difference can be made. Witness today the figures of economist Bart Van Craeynest. If you look at the possibility of growth if real labour market reforms or pension reforms were to be implemented, Belgium's is the largest of all European countries, but Minister Dermagne cannot reform his President. He can't do anything, he can only plead for more spending, he can only slow down, even at the press conference, and that's where it stops. His own chairman is not in the circus, but is outside the tent arguing against his own company. We see the result in this budget. The PS makes its move: with additional expenses and payback effects that are calculated, but which are unsubstantiated. What about the clown? Every circus has a clown. Does Vivaldi have a clown? Members of the opposition think that I will now start talking about Kristof Calvo and people from the majority about Mr Bouchez. You're both wrong. Mr Kristof is absolutely not a clown. I know him as a hard-working MP trying to fight for his files. He must do so earlier today from the gallery, although in the royal lodge between the other knights and commanders. There are many stories about Mr Bouchez too, but my personal analysis is that he is far from a clown. He's the only one who's trying to put some fire, some pepper, some liberal ambition into this government team. He does so from an honest position, from outside the government as party chairman, not from within as minister sabotaging his own colleagues. That is the way the debate can be conducted and, as far as I am concerned, that is the right thing to do. If Mr Bouchez were asked what he wanted to be in the circus, I think he would probably answer "Lion Bucket." I think he'd like to tame lions, but he's not very successful at that. Maybe he's more of a fireblower, and as far as I'm concerned, he might be. A little liberal fire from the MR might please this government. Madam Secretary of State, budgetary control is a missed opportunity. There's just nothing under control. You are part of a team that has no connection and where colleagues seem to want to sabotage each other before or to perform their own show. This means that the last few years have been effectively lost years. I would like to say a few words about what you stand for now.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u8	Mr Loones, you have spoken several times about lost years. About Verhofstadt, about this government. If you're talking about lost years, I'd like you to talk about all the lost years. There has also been a lost year and a half that began in December 2018, when your party left the Swedish government. That was a good government, but you left the ship there. You left the budget at an impasse and what follows. You did not even approve it in December, when there was an agreement on it in the summer. If you talk about lost years, don't forget to say yourself that those lost years were organized by you.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u9	I'm terribly sorry, but I expected some more exciting questions this afternoon. When we left the government, it was with a budget deficit of only 0.8%. At that time, purchasing power had increased, public debt had fallen and the tax burden had fallen. The work for the future, the jobs, was prepared: it was ready in Mr Peeters' slide. Mr Peter De Roover has clearly stated in this House that we will always be available to continue to support the job deal, but you do not want that. Once the N-VA has left the government, the ambition of the Michael government disappeared. We could have approved that job deal perfectly, but your party didn't want that. Your party didn't want to organize that vote with us. It was on the table, but you wouldn't do it.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u10	Mr Loones, you are speaking almost 19 minutes. You have not talked so much about budgetary control, which is, however, on the agenda today. You are mainly concerned with political historiography and, above all, with fake news about political historiography. My suggestion would be that you devote the remaining part of your speech to budgetary control and you remember that although you had approved a budget for 2018 and a work deal at the government table, you did not want to approve it in Parliament.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip188x.u11	It is a pity, however, that Mr Kris Peeters did not do so. The drawer open, the job deal out, and then the job deal was approved in Parliament.
