ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u1	Colleagues, our agenda normally starts with a topical debate on judicial expertise.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u2	Madam President, I have a habit of being collegial. Several colleagues are not yet present. I therefore propose that you give me the floor for an oral question which is not linked to any of my colleagues' questions.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u3	Madam President, you will hear that I am still struggling with voting problems. I assume that the written question will be included in the report if I refer to it.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u4	Yeah, that's right.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u5	Madam President, Minister, I refer to the text of my question as tabled.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u6	Mrs Dillen, the spirit of cooperation between the Strong House maintains a coherent vision for a transition home, as developed in the framework of the pilot project aimed at strengthening active citizenship of detainees. Because of their active role in the program the residents of a transition house are called participants. The concept uses three pillars to support participants, namely strength, recovery and connection. In accordance with the force-oriented methodology, in different phases, specific work is carried out around ten domains of life. From a recovery perspective, work is always done around four connections, being the participant himself, the victim, the social network and society. However, in addition to the individual strength of the participants in strength- and recovery-oriented work, the connection between people is also central. Participants learn to live together, communicate and deal with problems and conflicts through group-oriented working in the collectivity. As for your second question, the team of the transition house consists of a multidisciplinary team of eleven employees: seven living coaches, three strength coaches and one coordinator. It is a team in which different psychosocial education backgrounds and expertises are combined, including psychologists, orthopedagogists and criminologists. In the transition house there is at least one life coach present 24 hours a day, 7 days a week, who supports living together and has the task of following the daily course of events in the transition house. Force coaches then re-launch on power and recovery-oriented trajectories. Each participant has an individually defined strength- and recovery-oriented trajectory. The strength coaches assist the participants and act as coach, guide and mediator. It focuses on the talents, without denying the risks, and provides guidance to the existing care, assistance and services. Each power coach accompanies five participants in the transition house and succeeds one to three people in a follow-up course. As for your third question, the penitentiary administration, together with the team of the transition house, urges the participants to prepare the transition house efficiently. Since the start, 60 prisoners have been placed in the transition house of Mechelen. Inmates who are no longer staying there have been there for an average of 192.4 days, so just over half a year. As far as your fourth question is concerned, 38 participants were already able to leave the transition house in a positive way. 32 of them are under electronic supervision, while 4 were released on parole and 2 had reached the end of their sentence. In addition, 12 participants were sent back to prison. One of them himself indicated that the regime was not suitable for him. As for your fifth question, about the modality of the execution of the sentence following a stay in a transition house is decided by the SURB. The guidance for e.g. electronic surveillance or conditional release is provided by the courthouse, where a judicial assistant is designated to further follow the conditions of the convicted person. The transition house no longer plays a formal role in the supervision after the stay. However, in order to ensure that the transition to the outside takes place as far as possible and with the necessary care, participants can use an aftercare course, in the form of visits to the transition house and interviews with the coaches. The duration and frequency of this are determined by the individual need. These moments are always recorded in the case of electronic surveillance in consultation with the judicial assistants. You also asked about the cost. During the pilot project, a participant cost the transition house 166.25 euros per day. This means that the entire pilot project cost €2,274,300 between 1 September 2019 and the end of February of this year. By comparison, in a classic prison, the average cost per day is 200 to 250 euros. In order to be admitted as a participant, five conditions must be met. One must be 18 months after the conditional release period. In addition, one must have the ability to live in community. There must also be no counter-instructions that we cannot manage with special conditions. The prisoner must also agree in writing to the location plan and the internal rules. The power of attribution and withdrawal belongs to the detention management service. Only the warden can initiate a placement request. Before the director transfers the final site plan for decision to the Board of Detention Management, an intake interview will take place between the interested prisoner and coaches of the transition house. For example, the prisoner knows what to expect or not, should he be admitted. Finally, after the pilot project, a call was launched in the Belgian Official Journal. The operation was extended to three years. This allowed the transition house in Mechelen to continue. The transition house of Enghien was taken over by a new operator and the preparation of the opening is ongoing. A file about a third, new transition house will soon be submitted to the Council of Ministers for approval. During the next month we plan to launch a new call inviting organisations to submit a dossier. Unlike the previous call, we will not close it until 100 places have been filled. There's still no visual on the location of the new transition houses. However, we are striving for a balanced geographical distribution.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u7	Thank you, Minister, for your very detailed reply. You went a little too fast, though. How many people have returned to prison because they did not think the regime was appropriate?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u8	Mrs Dillen, 38 involved have left the transition house in a positive way and 12 participants have been sent back to prison. Of those 12 involved, one person himself indicated that the regime was not suitable for him.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u9	Minister, 12 people are still quite a number of them. However, if they themselves realise that the regime is not suitable for them, that says a lot about their self-knowledge. In your answer to my seventh question, you said that regardless of the facts for which someone has been convicted, that person may be eligible if he fulfils the five conditions you have listed. I am pleased to note that quite a few positive results have also been achieved. You can take care of me here and you can, of course, check it out, but I have always said that someone who is in prison must be properly supervised, especially with a view to returning to society. Releasing someone in society without any kind of guidance is not the best solution. As the positive testimonies of the pilot project in Mechelen now show, positive results can be achieved through such a transition house for a number of detainees. I'm glad to hear that.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u10	Madam President, Minister, the Latest News recently went undercover and discovered how the desire for more and more followers and likes can end up in sexual exploitation. On Instagram, teenage girls increasingly fall prey to so-called shout-out pages that, in exchange for little cover-up photos, promote their profile, which can then lead to exploitation. In the Netherlands, there has recently been a use of decoy profiles in this struggle through the virtual creation of a minor. I refer to a particularly interesting letter dated 17 December 2021, entitled "Investigation and Persecution Trafficking in Human Beings 2021', in which Ankie Broekers-Knol, the Dutch State Secretary for Justice and Security, informs the Dutch Chamber and thereby distinguishes between, on the one hand, decoy profiles for the approach of human being in human beings........................................................................................................................................................................................................................ Especially the first form seems to have potential. As regards decoy profiles in dealing with exploiters and traffickers - Variant 1 thus - she referred to a recent trial and noted that, although the defendant was acquitted in that particular case, the case law had basically confirmed that the use of decoy profiles under specific circumstances could contribute to the fight against trafficking in human beings. This has also been confirmed by the police and the Public Prosecutor's Office, and decoy profiles can now also be used as a means of detection, subject to a number of conditions. The Dutch State Secretary also pointed - quite rightly - to the preventive effect of the use of locus profiles. Firstly, do you consider, in principle, that decoy profiles can also be an important added value in Belgium in the fight against sexual exploitation and trafficking in human beings - Variant 1, therefore, focusing on the shout-out pages, for example? Secondly, do you believe that current Belgian law makes it possible to use decoy profiles in the fight against traffickers, once again Variant 1? Thirdly, if you consider that this approach would provide an important added value, and if your analysis shows that the current Belgian legislation is not sufficient, will you take an initiative? Finally, if you are convinced and if the current Belgian legislation would suffice, will you take an initiative to put this into practice, for example by developing standard modules with minimum conditions so that we are also inclined to take the next step on the ground? Thank you for your answers, Minister.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u11	Mr Segers, I have read with some consternation the undercover investigation of the Latest News. They have also worked closely with Child Focus for this purpose. It is partly thanks to them that this underexposed phenomenon has surfaced. Minors, often girls, who are pushed through a feed news overview to post sexually tinted images of themselves online, run a major risk of being sexually exploited. Groomers, older men who lure underage girls online for a sexually tinted encounter, find their way to Instagram. I immediately contacted Meta, the parent company of Instagam, as well as Child Focus, for consultation. Safety teams will delete highly unwanted images after reporting, but I agree with you that much more proactive action is needed. Lock profiles are indeed an example of such a possible good proactive approach. I would also like to stress the importance of prevention. Children should be reminded of the dangers of sharing photos on Instagram. Young people must learn to deal with their sexual development, especially in relation to social media. According to my information, the technique of deploying any decoy profiles is not yet used in our country in this context. You know the caution in using such techniques. After all, we must not end up in situations of provocation of crime, which is prohibited in our country. This matter has not yet been discussed at the level of the Public Prosecutor's Office. In order to monitor the correct chronology, it seems advisable to consult with Meta first. Then we can look at whether and what initiatives might be called for. So this is being prosecuted.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u12	Thank you, Minister, for your active attitude, because trafficking in human beings is an absolute policy priority. That's what the coalition agreement says. It must not only be on paper, but it must also be in the facts. For a number of years now, we have seen a drop in the number of police findings and an increase in the number of dismissals year after year. We can't get minors on the radar at all. In addition, there is also the evolution towards an online reality at all stages of human trafficking, from recruitment to exploitation. We are increasingly seeing that everyone is a potential victim because of the proximity, the ubiquitous presence of the Internet. The National Security Plan also states that there is more hidden sexual exploitation than before, that this has been reinforced by corona, that there are fewer findings. In the National Security Plan this trend is noted, but no solutions are proposed. If trafficking in human beings changes shape, then our fight against this must also be followed. The journalist of Het Laatste Nieuws has given an insight into what is really happening. What that journalist can do, the police and the courts have to do even better. Of course, it is wonderful that this journalist has ensured that these accounts were suspended via a virtual profile, but the police can ensure that the man behind the profile is arrested, that exploitation stops structurally, that a possible network is rolled up. The intention must be to get human trafficking on the radar. You rightly say that there should be no entrapment, but I refer to what the Dutch court has said on this matter. When the police deploy a decoy profile, this should not lead the suspect to further acts than his pre-determined intent, because there is then an entrapment by the police. In principle, the court has accepted it, but I share your concern that we should be careful with this. Hence my questions to you to work out a certain standard module, so that people are also inclined to use this new technique on the ground. What can be done in the Netherlands should also be possible in Belgium, especially in view of the great preventive effect.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u13	I refer to my written preparation.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u14	Mrs. Dillen, I'm giving you an update. As you know, a first meeting with the experts took place on 9 December 2021. A second consultation session was held on 15 March 2022, after all the notes and proposals that my policy cell received were analysed in that context. The most interesting elements selected from these consultations were explained, discussed and refined. Certain elements were not withheld or had to be further investigated. The drafting of the text has already been started for those parts which will certainly be taken into account. The aim is to finalise the text as soon as possible, once all the buttons are finally cut. Afterwards, the text will first be reviewed by the experts and then discussed with stakeholders. In reply to your second question, I would like to say that, in cooperation with the bailiffs, a number of slopes are being discussed which should lead to a reduction in recovery costs. In the context of the reform of the statute of bailiffs, which is another project, a solution is being worked out to reform the rates for bailiffs' documents laid down in the Royal Decree of 30 November 1976. We did the same for the notaries, as you know. In addition to these measures, we have in mind another set of measures aimed at early detection of insolvency and at reducing recovery costs for debtors. With a view to the early detection of insolvency, efforts are being made to optimize or improve the famous Central file of reports of seizure, delegation, transfer and collective debt settlement and protest*, with a view to faster intervention in the event of problems. In addition, we want to reduce costs for people facing different debts and therefore having to pay multiple execution costs. This should be avoided as far as possible. However, a real reduction in implementation costs requires further thought to find solutions that take into account all the situations that may arise in the implementation process. No proposal received by my policy cell provides a clear answer to that. Your third question. I would like to stress that I am doing everything I can to make progress on the dossier as quickly as possible. Although the many proposals often contain good elements, they usually do not offer a ready-made solution and sometimes there are disadvantages. This is also apparent from the feedback given by various experts who are not in line with the same approach on a number of issues. It is important to strike a good balance, in which all parties can agree and which also really benefits the citizens. When we come to the Committee on Justice with proposals, I must honestly say that we do not yet have a legislative text. The discussions are ongoing and we have a number of ideas that are being tested. I repeat, however, that some experts sometimes differ. I hope, quite frankly, that I can have an IKW by the summer, and then come to Parliament with the proposals in the autumn.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u15	Minister, I understand that this is not a simple dossier. There are many aspects to this matter. In any case, your coalition agreement contains the promise to put an end to the 'debt industry', as mentioned in the agreement. It is a fact that a limited number of debt collection agencies and bailiffs are not all making large sums of money on the hood of people in debt for the sake of clarity. That is something that needs to be contained. I would urge you to step up your efforts and, hopefully, in the autumn, provide the committee with texts, because the discussion in this committee will also take some time. There has recently been a hearing in Parliament on this issue, among other things. Representatives of the OMCW of Antwerp were present who worked with the bailiffs in the pilot project of the communication platform to put the file on hold. They were particularly positive about that pilot project in Antwerp and his requesting party to roll it out throughout the country. According to them, in most cases it produces positive results. Of course, the debtor must also cooperate, which is not always evident in practice, but that is another story. I therefore wish you every success and hope that we will receive your texts very soon.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u16	I refer again to my question, Madam President.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u17	Madam President, Minister, the forensic doctors are sounding the alarm. The Council of Europe recommends that we do an autopsy in 10% of deaths. We are between 1 and 2 per cent. "Perfect crime exists in Belgium only by default from the public authorities," said Dr. Philippe Boxho, former French-speaking vice-president and spokesperson of the Order of Physicians, in the newspaper Le Soir. He denounces the lack of resources available to forensic doctors, to the extent that the students do not want to work for justice, and that the overload of work pushed Dr. Boxho to resign in April. The forensic institute in Liège had to threaten the Ministry of Justice with prosecution in order for it to repay a share of the arrears. What an absurd situation, Minister! Forensic doctors must have their expenses approved by the investigating judges or prosecutors of the King, but they have many other tasks. Magistrates and forensic doctors are forced to work in untenable conditions. This results in losses of money for forensic doctors, who are not reimbursed for advanced costs, but also for less good service in the light of European objectives. By way of comparison, the autopsy rate would be around 8% in Germany, 12% in the United States and 24% in England, and even 30% to 50% in Scandinavian countries. It is estimated that 15% of the deaths declared natural in Belgium would not be natural. This represents 75 crimes per year that are not even reported as such. The experts estimate that an annual budget of EUR 20 million would be needed to put an end to it. Minister, the question is therefore very simple. Are you going to put those $20 million on the table to allow forensic doctors to do their job and to achieve, at a minimum, this 10% autopsy rate?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u18	Madam President, Minister, I have also read the article in Le Soir carefully. You will find by hearing my question that I did not voluntarily choose to dwell on the crimes that there is no evidence that these are really crimes. Finally, there are rumours that 75 crimes per year are not potentially elucidated in Belgium when no one really knows. This is an unhealthy way of doing things. In addition, it may have defyed the exit and posture of some while these rumours are not based on any concrete facts. On the other hand, one thing is certain: there is a real chronic underfunding of the auxiliaries of justice. This has also been seen in the past for doctors who practice in prison, etc. There are significant backlogs in pay, increased red tape, and an overload of work. All these elements make the function complicated and complex, difficult to perform and much less attractive, because it is, like other sectors, underfunded. Mr Minister, I would therefore like to ask you concrete and factual questions. So, could you tell me what financial resources will be released quickly in order to eliminate the arrears in question? Are there any measures in place to improve the status and profession of judicial expert? Is administrative simplification on the agenda?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u19	Mr Minister, I obviously have the same news readings as my colleagues. The fact that Europe is advocating an autopsy for at least 10% of deaths and that Belgium is only able to make 1% or 2% of deaths raises questions. I will not draw any more conclusions than my colleague Mr Aouasti on the other figures put forward by the interviewee, but there is clearly a problem. I wish to extend this problem to all judicial experts in criminal matters, who face a disheartening administrative burden, an increased workload and, above all, numerous arrears in payment. It has been a long time since these experts sounded the alarm and it is a fact that public disinvestment and lack of consideration for judicial experts generate a certain degree of impunity. You yourself are not insensitive to this situation and have already identified this issue in your previous policy note. In particular, you announced the immediate payment of judicial experts, the reform of the system of judicial experts in terms of tariffs and administrative procedures. Minister, what are you doing with the measures announced in your October 2021 Policy Note? Has the resolution of arrears, as a matter of priority, been achieved? What are the status and conclusions, if available, of the external audit of tax and liquidation offices? Have the employees dedicated to the clearance of this backlog been hired? Since when? And how many are there? More generally, what follow-up do you follow up on the situation of judicial experts and, in particular, forensic doctors? Finally, according to the director of the Forensic Institute of the University of Liège, no student envisages the career as a medical examiner because the situation is precarious. What measures are in place to prevent a potential shortage of forensic doctors and forensic experts?
