Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanPeelValerie	Van Peel, Valerie	F	1979	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeJongeTania	De Jonge, Tania	F	1969	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ReuterFlorence	Reuter, Florence	F	1969	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanPeelValerie	Van Peel, Valerie	F	1979	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeJongeTania	De Jonge, Tania	F	1969	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ReuterFlorence	Reuter, Florence	F	1969	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ReuterFlorence	Reuter, Florence	F	1969	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	HoutmeyersKatrien	Houtmeyers, Katrien	F	1981	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	BayetHugues	Bayet, Hugues	M	1975	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	BayetHugues	Bayet, Hugues	M	1975	
ParlaMint-BE-en_2022-02-01-definitief-55-commissie-ic679x	ParlaMint-BE_2022-02-01-definitief-55-commissie-ic679x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2022	2022-02-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
