ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u1	Mr Demon apologized.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u2	Mr President, that is a pity, because I asked him the question rather than the Minister, because we ourselves took a legislative initiative on 22 December 2021. A few months later, the CD&V fraction did exactly the same thing. You can rest assured that in the meantime both groups have also had a joint discussion with the football association. Interesting things have emerged in this regard. The union representatives found very strong points in both our proposal and the CD&V proposal. So it was my question to Mr Demon to sit together again, to work together. The Minister himself, of course, has very little to do about this. The questions I am asking today are rather about the status of stewards, volunteers who earn EUR 35 at a time. So, Mr President, I would very much like to refer to the six questions that have been tabled.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u3	Mr Metsu, I should like to point out to you that no reference can be made to the questions tabled when an oral statement is also made. So I'm afraid you'll have to ask the questions.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u4	Mr President, I am happy to do so, which is no problem at all. Firstly, Madam Minister, are you aware of the growing shortage of stewards and other security officers? Secondly, have you already had talks with the stewards or their representatives about the increasingly violent context in which they have to work? What conclusions have been drawn from these talks? What actions have been proposed for the future? Thirdly, stewards and security officers are complementary to police officers during football matches and events. They both have an essential role in maintaining public order in and around the football stadium but have different powers. The stewards are now asking for more powers, such as searching supporters instead of carrying out superficial checks. How do you feel about that question? Do you intend to extend their powers? If so, in what way and on what time do you intend to do so? Fourthly, are you working with internal or external partners in this area to promote the safety of the stewards and the security services? If so, which partners do you work with? Fifthly, what initiatives do you intend to take in order to improve safety prevention and repressive during football matches? When can we expect these initiatives? Sixthly, do you discuss this with your international colleagues? Is there a partnership? Recently, a newspaper report has been published from you which has already referred to certain initiatives. So I'm just asking for an update.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u5	Mr Metsu, I cannot, of course, answer Mr Demon's questions. We are indeed working on safety at football stages. I cannot do that alone; that must be done together with all the partners, both the football world and all the public actors. Everyone must do this from their own roles and powers. We have drawn up this plan together in response to incidents that have taken place in the last season. As we also announced at the presentation of that plan, this will be rolled out gradually. Some aspects require regulatory intervention. It must also be aligned with European regulations, such as the use of cameras with respect for privacy. In that plan, we want to work with three principles. First of all, we want to increase the chances of getting caught, including with cameras and thorough controls. Secondly, there will be a better and faster sanctioning and follow-up of the rioters, so that they know their sanction more quickly. In addition, there will also be a uniform approach to incidents in all Belgian stadiums. After all, we know that there is some diversity today. For this we are going to set up a monitoring and evaluation committee in which the Pro League and the Football Federation play a role. Of course, there is also an important role for the local level. They can further concreteise the actions for a particular stadium, together with the police and the other security actors. As far as your questions about the stewards and security officers are concerned, it is indeed important to protect them better. As I have said so many times here, violence against people with safety professions and therefore also against stewards and other aid workers cannot be accepted. That is why we want to change the penal code and I will also propose an amendment to the football law. On my proposal, there will also be a penalty increase if violence is used against security personnel. This is in line with the proposal put forward by Mr Demon. In addition, we want to ensure that access control is improved, including with KB ticket management, where people with stadium bans can no longer get access tickets. They are then identified in a database, including for subscriptions. There is no way of circumventing sanctions. We also want to help the stewards with better technology, including high-quality cameras for identification. This must, of course, be in line with European privacy rules. That is where things have to be coordinated. In addition, it is necessary to be able to effectively check the name on the ticket during access control. This way, people with a stadium ban can't get into the stadium. The extension of the privileges of the stewards should be a relief here. That's definitely what we want to do. Within the current rules, a thorough fouille by the security personnel is difficult. That is a police authority, which cannot be assigned to stewards. There too, we will have to consider whether we can manage access control by other means, for example with registered tickets. We also want to increase sanctions for other categories of infringements, such as violence, racism and discrimination, but also the illegal use of pyrotechnics. That's what we want to work on. Finally, the phenomenon of football violence can also be identified in other countries. That's what we saw last weekend in France, where it went all the way. In this context, we are particularly working on research in the Benelux context. We also discuss with our Dutch colleagues the cross-border stadium ban. Football hooligans travel for special matches. There is even exchange of information but also of tickets within the ultra-supporters groups of football clubs, also cross-border. We must therefore first of all work on the exchange of information across national borders. We are working on this, but we need to be able to share the systems and databases with each other. However, I can absolutely confirm that we are also taking this up internationally.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u6	At least I thank the Minister for the ambition. I heard her clearly say that there will be a proposal from her cabinet. Maybe that's why it's in a bit of a mess in the area of legislative proposals. As long as the problem is solved, that's by far the most important thing. I'd like to encourage some sense of urgency. The football season is over. Let's not let this go to waste during the recess, but let's do it over the next few months. For example, the beginning of the next football season can be a celebration again.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u7	Mrs. Matz and Mrs. Chanson apologize.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u8	Madam Secretary, I read with increasing amazement in an article in Het Nieuwsblad that shipping police will be able to carry out fewer patrols through savings in federal police. Apparently, only during office hours should there be patrolling in the port of Antwerp, overtime should be kept to an absolute minimum and weekend services will also be cut. It goes without saying that this will result in fewer patrols, making targeted operations in the fight against drug trafficking de facto impossible. The police unions are rightly displeased with these savings and even speak of the bankruptcy of the federal police. Will you have it verified who approved these instructions? Will you give instructions to the Commissioner-General to withdraw these instructions immediately? Will you ensure that the operation of the shipping police is supported as much as possible? How will you do that, or what have you done by now? Do you recognise that it is too crazy to say that the shipping police can only patrol the port of Antwerp during office hours? After all, night and weekend patrols are essential, both for deterrent and prevention, in order to be able to combat drug trafficking in the port of Antwerp with maximum efficiency. The annual report of the EU Drugs Agency shows that the port of Antwerp plays a central role in the European drug market. What are the main conclusions that you take from that report and what concrete actions will you launch in the short term?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u9	Mr Depoostere, it is the police that observe the services of the police in the ports and on navigable waterways, inland waterways, and that in all waters belonging to the jurisdiction of Belgium. The shipping police in Antwerp monitors both the port of Antwerp and the navigable watercourses of the provinces of Antwerp, Limburg, Flemish Brabant, East Flanders and the capital. From this role, the shipping police in Antwerp provide support on drug cases to the judicial police in Antwerp and to customs. The judicial police direct the judicial investigations of the criminal organizations in the port. So they certainly don't work alone. People always work multidisciplinaryly together. In the port of Antwerp, the shipping police still carry out daily targeted patrols on the hotspots in the port, both on land and on water, on public places and on all roads. They do that with intervention teams, but also with other teams of support. I can confirm that all obligations and legal orders of the shipping police, including in Antwerp, are still carried out on site, both during the day and at night and during the weekends. It is true that a number of additional actions, in addition to legal tasks, have decreased during the weekend and at night, without prejudice to legal obligations and assignments. You may also know that the fight against production has been included in the new national security plan as one of the priorities of the FGP, focusing on large-scale imports and exports of cocaine, heroin and cannabis, but also on commercial cannabis production and production and trafficking of synthetic drugs. Particular attention will be paid to national and international cooperation, as well as new technologies and a perpetrator, group and spoiled approach. As I said earlier, the federal police are clearly using a multidisciplinary approach to drug crime. In recent years, many initiatives have been taken to tackle organised drug crime more efficiently and more thoroughly. Cooperation is taking place to improve the security of the most vulnerable areas, such as the port of Antwerp. As far as Antwerp is concerned, the actions also fit in with the Stroomplan, which is based on an integrated and integrated approach. The Prosecutor of the King of Antwerp coordinates the Stroomplan. Similar initiatives are being taken for the port of Ghent and there is international cooperation between the port of Antwerp and, inter alia, the ports of Rotterdam and Hamburg. The actions of the Streamplan are specifically focused on the problems in the Antwerp region. It is a strategic plan aimed at cooperation and a focus on a 360 degree approach to crime. The strategic objectives that are being implemented are as follows. A first objective is to reduce the flow and import and transit of cocaine through the port of Antwerp, which, of course, has an impact on secondary phenomena, such as the undermining crime. A second objective is to reduce illegal power bases in the Antwerp region which originate in activities linked to drug trafficking. We believe that this phenomenon can be further combated through the Streamplan and the multidisciplinary cooperation between different administrations. This is not only the task of the Antwerp shipping police, but also of all other services, such as the FGP, the local police, customs, and should also be done in cooperation with the companies in the port area and through international cooperation, to which I referred.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u10	Madam Secretary, thank you for your answer. Of course, I do not deny that there is a need for a multidisciplinary approach involving the various services, not least the judicial police themselves, which initiates investigations as initiator. The shipping police must play a supporting role in this. From your reply, I remember in particular that the shipping police, which, with its supporting role, only carries out the statutory tasks, confines the tasks to the minimum minimum. You say that it is only about additional actions that would have been reduced at night and at weekends. It remains unclear to me what additional actions you specifically have. You also refer to the Stroomplan of Antwerp, on which the Attorney General of Antwerp is in charge. Now it is a coincidence that the same attorney-general of Antwerp made a strong plea at a hearing in our Committee on Home Affairs. I am euphemistically expressing myself for more resources, not only funds but also more men, for dealing with all this organized crime. In particular, the port of Antwerp is about drug trafficking. Even the competent agency of the European Union refers to the port of Antwerp in its annual report as a major hub in Europe of a strong drug trade, which we must nevertheless tackle. That will only succeed if you effectively respond to the distress call of several prosecutors. The port of Ghent, which you also mentioned, also calls for additional resources, modernisation and manpower to combat drug trafficking. I hope and trust that you will be able to rectify all of this, so that we can report positively on the good and efficient fight against drug trafficking.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u11	Mr President, this is a generic title that I repeat on every question. I might as well call my questions "the traffic of art and antiquities". Minister, we are once again in this debate. I feel like since my first question, it's kind of the myth of Sisyphus. I push my stone to the top of the hill, then, after the debate and the answer, the stone falls back into the bottom and we have to start over again. This cycle seems infinite. I honestly feel like we're turning around in this case and I would really like to break this vicious circle. Many questions have been asked. We had a debate in plenary in which you took a fairly firm and fair position. There was the statement of the president of the College of Attorneys General on this Art and Antiquities cell. Hearings were held on the means of the police in general, and of the Federal Judicial Police in particular. The problem is not only in Belgium. From the beginning, it has been said that the problem is international and that there is trafficking. The newspaper Libération devotes several pages to an interesting article entitled "The traffic that makes museums tremble". We're talking about art thefts at the Louvre Museum. In view of the situation, there is therefore a need for a concerted response at European and international level. In particular, on 30 March you replied that the procedures were still well carried out by the local or federal police services. Further on, you were talking about integrated police. Again, local police can contribute to some field investigations, but they do not have the expertise. The only solution for me is a cell with expertise at the level of the Federal Judicial Police with coordination and monitoring of the ARTIST database at the international level and coordination of investigations at the international level. We're still at this point. In the meantime, the question having been postponed the last time, Mr Mestdagh, the President of the Royal Chamber of Antiquaries of Belgium, also called for the reopening of this cell by saying that for the moment there was a suspicion on everyone of antiquaries. He called for investigations to be conducted and for the identification of those who commit misconduct. Minister, my questions are recurring. Since our last exchange, what are the real means for the Federal Judicial Police to combat trafficking in works of art and antiquities? It is about replacing two officers, one of whom is not yet retired and could train one of the two new recruits. Follow-up is still possible. What measures do you intend to take to make the fight against trafficking in works of art effective? You mentioned having contacts with the Commissioner General. Have you convinced him to devote the necessary resources to this cell?
