ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u1	I refer to the extensive written version of my question.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u2	Mrs Dierick, the producer is responsible for the safety of his products, in accordance with European legislation. The poultry sector certainly accepts its responsibility for the presence of salmonella. Auto-control ensures the safety of the food chain at different levels, but that is the responsibility of the operator and cannot therefore be taken over by the government. Since 2007, appropriate and efficient measures for the detection and control of salmonella have been developed at both national and European level to reduce the risk to public health. No more analyses are carried out in any sector and for no zoonoses than for salmonella in poultry. European legislation lays down a process hygiene criterion for salmonella for roast chickens and turkeys. The verification of compliance with the process hygiene criterion shall also be carried out by the operators of the slaughterhouses in the context of the auto-check. The BFSA carries out checks on that mandatory autocheck. European regulations impose both process hygiene criteria and food safety criteria. In non-compliance with the criteria, companies must take corrective action. During the BFSA checks, it will be checked whether these measures are being taken. If problems are identified repeatedly, the BFSA will monitor more closely and impose additional measures, in accordance with EU rules. However, there is no zero risk; even with the best systems contamination is possible. The salmonella serotypes that are transmitted to humans do not cause animal diseases - they do not make animals sick - but they do cause zoonoses. It is therefore logical that salmonella was not mentioned in the relevant question. A brief overview of the results of the Belgian monitoring can be found on the website of the BFSA. Not all serotypes of zoonotic salmonella are equally pathogenic or virulent. The presence of the main human serotypes is between 1.3 and 3.6 %, depending on the type of poultry. There is therefore no question of a problematic circulation. The situation in our country is similar to that in our neighbouring countries. In August 2021, the European Commissioner responsible for food safety replied to the European Parliament that, following the disproportionate number of RASFF messages for salmonella contamination of Polish meat, she acted. An action plan is now being implemented by Poland. If necessary, an audit may also be carried out by the European Commission services. Just as the European Commissioner says in her reply, I can tell you that salmonella controls are harmonised in the EU and that there is therefore a level playing field for all operators in the EU. It is therefore up to Poland and the European Commission to take action. Of course, the file will be followed up by the BFSA. In view of the harmonisation of salmonella control and controls in the EU, no targeted controls are carried out on products produced in another Member State. Each Member State has a responsibility in Europe to ensure food safety on its territory.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u3	Thank you, Minister, for your comprehensive reply. I am, however, somewhat reassured by your statement that self-checking is being carried out precisely, that every country in Europe must comply with the same control and quality requirements and that a level playing field must certainly apply. In the reportage that was not really clear and it seemed to be different. That line must not be exceeded. As consumers, we must be sure that the meat or product we wish to consume is subject to adequate security controls, regardless of the country of origin.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u4	Minister, I asked you about the crisis in the pig sector about a month ago. You then referred to some of the measures you announced when discussing your policy paper, including the reduction of contributions to the Sanitary Fund and more transparency in the chain, by asking the Price Observatory of the FPS Economy to carry out an update of the analysis of pig prices and margins in the pig sector. As regards the updating of the analysis of pig prices and margins in the pig sector, you announced that you would receive them shortly thereafter. Hence my questions. Has the Price Observatory finalised the update of that analysis of pig prices and margins in the sector and provided you with any findings? What are the main findings and conclusions of this analysis? Will the report also be made available to Parliament, the Länder and the various actors in the chain talks? What impact will you have on this analysis in order to tackle the crisis in the pig sector? Have you already taken action to facilitate and activate the chain consultation?
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u5	Mr De Caluwé, the Price Observatory is working on the actualisation of the 2015 study on prices and margins in the pig sector. The study has not yet been completed, but we already received a first overview of the main findings in mid-February 2022. It appears that the pig sector is still an important part of animal production. It is noted that the number of pigs in Belgium has remained relatively stable over the years, but that the number of pig farms has fallen sharply over 15 years. It is also seen that pig prices and costs fluctuate greatly over time, but that costs increase systematically over the last few years, which means that profitability in the course of the years is indisputably declining. It is noted that the curves in our neighbouring countries are similar. At times when profitability is falling in Belgium, this is also the case in neighbouring countries. The graphs also suggest that consumption prices of pork and charcuterie increased over the years. Once the report is completed, it will be published on the FPS Economy website and accessible to everyone. We must, of course, wait for the study to be completed, but in addition to the measures I have already taken and which I explained in my reply to your questions of 26 January, I will continue to work at the level of the European Commission on the liberalisation of aid. I also study which slopes can still be viewed at federal level. As I have already mentioned, I would like to give the Food Chain Consultation Agrofood a new dynamic and make it play an active role in the dialogue between the various links of the chain. The Ketenconsultation meets on the initiative of the sectors, but during meetings in the cabinet, which I will continue to organise with the various links in the chain, I always stress the importance of this consultation and call for its active participation.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u6	Mr Minister, the comprehensive report is not yet available, but it will be accessible to everyone on the website of the FPS Economy. I will probably come back to that at that time.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u7	Mr Minister, my question is more specifically about influencers. This is a new trend in which people on social media do all kinds of posts for which they sometimes get a refund. They're worried. In our country it is mandatory to mention the contact details and address of the registered office on its own website and on company pages on social media. Since entrepreneurs can no longer live without their own website and must be active on social media, no one escapes that law. Self-employed influencers, a new trend on social media, where they do all kinds of posts and sometimes get a refund, are worried. If they have placed their activities in a company, they are obliged to indicate the address of the registered office on the web page. Often the registered office is at the same address as the private address. They are therefore forced to state their private address on their posts, on the social media they are active on, and fear that this will violate their privacy. Their often thousands of followers know exactly where they live. They ask if it is really necessary for the address to be mentioned. Furthermore, it is still unclear to them how to signal their followers that a post is about promotion. Minister, is a self-employed person obliged to mention the address where the company is based also on social media such as on TikTok, Facebook or Instagram? How can the mandatory address statement of the registered office of a company be consistent with the privacy of, for example, an influencer? Do you possibly provide for an exception for them, because their registered office is often also their private address? Can you explain why you are considering this or not? When posting social influencers sponsored posts online, it should clearly display through the addition of a particular hashtag that it is about advertising. There is now a lack of clarity among the various public authorities as to which hashtag should be used. Can you clarify which hashtag they should use effectively?
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u8	Mrs Dierick, first of all, each company is legally obliged to make certain data available, including the geographical address where the company is located. If the independent Facebook or Instagram is used as a digital display for its business activities, it is obliged to state its geographical address on that page. There is no exception for influencers. Once the influencer can be regarded as an undertaking, it must comply with the legislation applicable to all undertakings. The information to be made available to a company is based on European legislation. It is not possible to deviate from this at Belgian level. Secondly, in accordance with the legislation under my jurisdiction, it should only be explicitly stated that it is an advertisement, provided that the context does not already clearly indicate that it is a commercial message. The legislation does not require specific hashtags to be used. In the light of the prohibition of unfair commercial practices, the hashtags must be sufficiently clear to show that they are advertising.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u9	Thank you, Minister, for your clear answer. I understand that no derogation can be granted because it is a European legislation, and that there is no need for a specific hashtag. It is sufficient that it is clear that it is only a promotion. Then it's clear to everyone.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u10	Mr President, Mrs Houtmeyers, the legislator has repeatedly required certain safeguards in fire insurance for simple risk derivatives. For example, any fire insurance that provides cover for simple risk derivatives requires the guarantee against the damage it causes in an attack. An attack means, among other things, all forms of rebellion and popular movements. Damage to buildings resulting from such events shall then be borne by the fire insurer. If the trader has not only taken out fire insurance for the building but also for its contents, then it is also covered for damage under the warranty attacks. Damage caused by vandalism or theft, outside the context of an attack, can also be covered by fire insurance. Vandalism is a cover that is not mandatory, but is often endorsed in practice. Given the possibility of covering vandalism damage by insurance, the creation of a fund does not seem to be relevant in this context.
ParlaMint-BE_2022-02-23-voorlopig-55-commissie-ic711x.u11	Thank you, Minister, for your clear answer.
