ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u1	Mr. Ben Accour is sorry.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u2	Madam President, Minister, 16 Belgian organisations wrote a letter following your visit to Palestine a few weeks ago. They also added a number of recommendations, including strengthening humanitarian and development aid to the Palestinian community in zone C on the West Bank and stressing the need for a stronger and more ambitious European response to the Israeli demolition of Palestinian structures in zone C. You have already indicated that you are continuing Belgian support for Palestinian civil society, despite the accusations made by the Israeli government of the 'terrorist' organisation, I deliberately place that word between quotes of activity. We naturally support this recommendation and also believe in the role of Belgium at European level in the dossier. We therefore support you in your role as Minister for Development Cooperation and in the actions you have already taken within that role. I have a few specific questions about that. What is your response to the recommendation to strengthen development aid and humanitarian support in zone C? What initiatives will you take at European level, both in the context of the dismantling of Palestinian structures and of the shrinking scope for action of Belgian partner organisations in Palestine? Will you actively work at European level to ensure that the European Union and the other Member States reject Israel's designation of six Palestinian NGOs as terrorist organisations and publicly declare that the evidence provided proves no guilt? If so, what specific steps will you take? If not, why won't you? What is your response to the analysis of the Palestinian, Israeli and international human rights organisations as well as the NGOs that the situation in occupied Palestinian territory and in Israel meets the criteria of the international legal definition of apartheid under the anti-apartheid convention and the Rome Statute? Have your services and/or your foreign colleague already carried out their own legal analysis in this respect? If not, why didn't that happen? Is that analysis still going to happen? I was somewhat surprised by the few responses to the fact that you could not go to the Palestinian territories. What actions are you going to take to oppose that decision?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u3	Thank you for your questions, colleagues. As you know, Palestine is one of the 14 partners in our governmental cooperation. My partner in this cooperation is therefore the Palestinian authority. On my mission, therefore, I had talks with the Palestinian Prime Minister and the Foreign Minister. We just concluded a new cooperation agreement with Palestine. That was the framework for the visit. The new portfolio has a budget of 70 million euros over five years and focuses on the West Bank, Gaza Strip and East Jerusalem. It will build on the successful interventions of the previous programme on work and vocational training for young people. A focus will be on young people's empowerment, ranging from developing skills to access to employment and entrepreneurship. Particular attention will be paid to education and learning. We're gonna build four schools and renovate five schools. Specific attention will also be paid to social engagement and the protection of young people, to promoting entrepreneurship and the labour market participation of young women. There will be 2,100 young people trained professionally. At least 40% of them will be girls. At least half come from the most vulnerable groups. There is also innovation in the sense that a pillar 'climate and environment' was included. Specific attention will be paid to strengthening value chains and opportunities for socio-economic entrepreneurship and job creation in an emerging green economy. In addition, sustainable cities, public services and territories with a focus on waste management, recycling, renewable energy and energy efficiency will be developed. The Belgian Development Agency Enabel is now in the start-up phase of the portfolio. During this period, the exact list of partners will be established with whom to work. Pre-selected partners include universities, schools and colleges, NGOs, public institutions, chambers of commerce and public authorities. The follow-up and evaluation of this portfolio will follow established procedures, i.e. annual progress reporting, an interim evaluation by external evaluators, a final external evaluation and a final report on the results achieved. There is also the usual external financial control. I also had a meeting with Dr Issawi Freij, who, as Minister for Regional Cooperation in the Israeli Government, is responsible for relations with the Palestinian territories. I had an exchange of views with him on the Israeli initiatives aimed at improving the economic situation of the Palestinian people and the difficulties they are experiencing as a result of the occupation. Indeed, the Israeli authorities refused to grant me access to the Gaza Strip. The reason given was that Israel currently does not allow a political visit to Gaza. A group of MEPs has also recently been denied access to Gaza. I regret this refusal. A visit to Gaza would have enabled us to learn about the activities of our major multilateral humanitarian partners and our own development agency, Enabel. Our disappointment at this decision was therefore officially communicated to the Israeli authorities. As for the participation of members of my policy cell, there were four staff members: my spokesperson and my communication assistant, my diplomatic advisor and my advisor Gouvernement Cooperation and Education. With regard to European aid to the Palestinian authorities for the year 2021, I am very pleased to inform you that a solution has been found and that yesterday, during her visit to Ramallah, the President of the Commission, Mrs von der Leyen, announced that this aid would be paid out quickly. Mrs Creemers, as far as your questions are concerned, I agree with the recommendations. In the Belgian context, this is reflected in the launch of the new government cooperation book and the adoption of the new non-governmental programmes. As regards humanitarian aid, Belgian funding for UNRWA in Palestine remained stable from 2021 to 2022. The Belgian Government will continue its financing of UNRWA's general resources in 2022 at the level of EUR 7 million, as provided for in the Agreement for 2021-2023. On the question of the dismantling of Palestinian structures, you know that Belgium is a very active donor of the West Bank Protection Consortium, a group of humanitarian NGOs operating in Zone C. Their aim is to support the most vulnerable communities, to prevent the movement of population groups and to support communities affected by degradation. Since 2017, at the initiative of Belgium, the EU and the Member States of this consortium have developed a common strategy in the event of destruction and confiscation. They systematically demand financial compensation for destruction carried out by the Israeli authorities. As regards the question about the designation of six Palestinian NGOs as terrorist organisations and our continued support for Palestinian civil society, I have explained my position in this committee on several occasions. That is also the position we maintain in contacts with our EU partners on this issue. In the meantime, like Belgium, other EU Member States have also publicly indicated that the elements provided by Israel do not allow the accusations to be confirmed. I have taken note of the various reports describing Israeli policy towards the Palestinians as an apartheid regime. That's a legal qualification. It's not for me to judge. However, regardless of this qualification, Belgium and the European Union will continue to work for respect for international law in Palestine, in particular international human rights and international humanitarian law. Unfortunately, they are already being violated too often.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u4	Madam Minister, you indicated that you met the Israeli Minister for Regional Cooperation, but you did not really go into my question about the courtesy visit. I found it very special that in the interview in De Morgend you said you were disappointed that you could not visit Gaza. I can understand that, but in one sense we were going to pay a courtesy visit to the Israeli authorities. I think it is really important diplomatically that our country is impartial and that this is expressed in this way. I have asked you clearly what the diplomatic significance for our country is of the fact that you were not admitted to the Gaza Strip and of your statement on the courtesy visit. You have gone quite far there and it is remarkable that a minister in office communicates in this way about a friendly state. You have also mentioned an issue that we have talked about before, namely the six terrorist organisations, which the European Union still regards as such. You keep saying that our country does not provide assistance through these organisations, but I am still hungry when it comes to genuinely independent investigations from our country. You always refer to the investigations that are going on in Europe, but I think we should follow the Dutch model and examine independently whether the funds are being put in the right place in Gaza. The Palestinian territories and the Palestinian population can and must be helped. Everyone has the right to respect, education and human rights and that right must be guaranteed. As far as the country agreement is concerned, I find it difficult to find on your site the concrete agreements between the different partner countries. Perhaps in the future you can ensure a little more transparency around that and around the agreements made, so that we do not have to ask for this every time in committee.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u5	I understand more and more the sensitivities. For me, that disappointment that you have officially communicated that you could not go to Gaza may not have sounded loud enough and may have sounded too loud for others. We trust you to find the right balance. At the same time, it is a pity that this is considered normal. The Members of the European Parliament who were there are denied access. The more often it happens, the more normal we find it, while you are still a representative of our country. We're allowed to demand that we go there. You are very careful to say that it is not up to you to express the classification of apartheid. At the same time, you can use your vote in order to take even more action against matters that we will increasingly regard as normal. You know that you will always find a partner in Ecolo-Green if you want to make that sound louder.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u6	Madam President, Minister, we have already mentioned briefly the fact that medicines have been sent to Ukraine by your fellow Minister Vandenbroucke. However, this is, of course, one of the humanitarian actions undertaken by our country. It appears to be medicinal products that were almost decayed or expired. Minister Vandenbroucke states that the funds will be recovered from the Public Health Office. I myself asked you in committee whether there were any humanitarian aid funds involved. Maybe I can get confirmation of that again? Madam Secretary, the logistics part would be paid for by Europe. However, what is important to you is that international rules have been exceeded by sending those expired or almost expired medications. To what extent is this taken into account? To what extent will you add adjustments to this? There is also the loss of the expired medicines. After all, the Ukrainian government should now pay for the loss. It is also special that you had the experience with COVAX and the vaccines that are being sent to the South. In this respect, it was very clearly stated that the vaccines have an expiry date of more than three months. How come it's not discussed? Were you aware that those medicines were being sent? Were you aware that the expiry date of three months was not respected?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u7	Madam President, Mrs Depooster, thank you for your questions. You yourself mentioned it in your question, so you know that this is the responsibility of Mr Vandenbroucke. He already answered questions about the delivery of medicines to Ukraine at the plenary session of 19 May 2022. If you have any further questions on this matter, I suggest you ask them to the Minister responsible. As far as I am concerned, the delivery was not carried out by Belgian Development Cooperation, nor was it financed by the budget for development cooperation or humanitarian aid.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u8	Madam Secretary, you're in the government together. When humanitarian aid departs for Ukraine, consultation on the medication that is being sent, with the experience you had with Covax, is definitely a small one. It is easy to refer to your colleague now, but these are things with which we do not make ourselves very popular at international level. There was a mistake that could have been avoided.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u9	I refer to the written version of my question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u10	Mr De Vuyst is not here.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u11	Madam Minister, two years ago, the FAO established a strategic alliance with CropLife International, a global interest organisation representing the agrochemical and biotechnological industries and the pesticides industry. When we spoke recently about food security, the FAO representative in our committee explained the FAO's long-term vision and underlined that agro-ecology and sustainable agriculture are its pillars. The fact that the FAO is entering into a strategic alliance with a company such as CropLife makes the eyebrows frown. CropLife International is at odds with the values highlighted by the FAO here and in its long-term vision. Several actions have already been taken. Already when the partnership was signed, NGOs and scientists called on the FAO to be cautious. More than 180,000 individuals and organisations from 107 countries signed a petition in 2021, but the alliance remained intact. Now, civil society is looking at FAO Member States to take seriously the concerns of civil society, scientists, farmers, farm workers and indigenous communities, and of the UN Special Rapporteur on the right to food, and to urge the FAO to stop that partnership. What is Belgium's position on the partnership between the FAO and CropLife International? What action can and will you take to the FAO? How can we prevent such partnerships in the future? Do you follow the memorandi or understanding that the FAO closes with private actors and can be consulted by the Member States in general? What principles do you test to decide whether or not to take action? If you don't do that yet, how will that happen in the future? The second question is of a very different order, but certainly not unimportant. You may have been able to follow with us in all media that the dangerous cocktail of circumstances leads to a lot of hunger in the world. In some regions, the situation is becoming critical at the moment. I have a few specific questions about this. David Beasley, the director of the World Food Programme, calls for a pragmatic approach to the financing of projects. How do you respond to that question? What concrete policy choices does this lead to? Which priorities do you choose? What measures are you taking in the context of global famines? What budget has Belgium allocated to the problem? What is this budget specifically built up from? How will you ensure that the issue is given due attention at national, European and international level?
