ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u2	The general discussion was resumed. The general discussion has resumed. Madam Secretary of State, you have the floor for the answers.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u3	Madam President, ladies and gentlemen, I would like to thank you for your explanations, reservations and sometimes history lessons, but I have not heard many questions that are addressed to me. Mr Verherstraeten mentioned that today we are talking about budgetary control of the 2022 budget. As there were few questions for the government and for me in particular, I will briefly explain this budgetary control of the 2022 budget and deal with some of the issues raised in the whole speech. When we drew up the 2022 budget, we all dreamed out loud of going back to normal situations, the end of the corona pandemic and an economic revival, which would put a difficult chapter behind us. Unfortunately, we find that we are moving from crisis to crisis, from the corona crisis to the Ukraine crisis. This last crisis brings with it an increase in energy prices, as has already been explained, and an unprecedented inflation. The rate of inflation in May is 8.97 %, which is the highest since 1983. All these crises have affected a lot of people and a lot of companies. Just as during the corona crisis, the government is taking everything out of the closet, as Mrs Depraetere said, to protect citizens and businesses. We are still focusing on technical unemployment and support for companies where this can be done. These are, of course, all political choices, and those political choices do indeed cost money. The choices made are incorporated into this budgetary control. In many cases, the government had no choice. With regard to the energy bill, we have taken measures to support families and we have also opted for solidarity with Ukraine. As Secretary of State for the Budget, I have, of course, been involved in the search for ways in which we could spend on the crisis, while at the same time making it clear that crisis expenditure must be as targeted and as temporary as possible. We have tried to integrate all these measures into budgetary control. The aim of budgetary control is always to give the most accurate picture of our country's financial situation. That situation is clear, I believe. This government has never made it clear that the impact of the crisis is enormous. At the end of the ride, financial support measures always cost a lot of money. As has already been said, the result is that this year's budget deficit has risen to 20.7 billion, while we naturally hoped that after the corona crisis we would be recovering from economic revival and that our public finances would move to better times. It is true that the country's situation was already bad for the corona crisis and for the Ukraine crisis. In the absence of a government with full powers, the structural deficit has begun to rise. No efforts could be made at that time. The medium-term challenges were not addressed either. New structural expenditures were approved with rotational increases. That is why, as we know, there is a major structural challenge in this country. I have always been very clear about the fact that we had to spend on the crisis and that its impact would be great. However, we must never use this as an excuse not to tackle the deficit. We do, too. We have created a structural path in the budget for 2022, and we have continued to monitor this with this budgetary control. That's what's going on, and we're sticking to it. We have a route for the coming months. It has already been explained here, there is a fixed annual component of 0.2 % and a variable component of also 0.2 %, or more if possible based on the economic situation. We're sticking to that. It has often been said that this would not be real budgetary control and that only the expenditure side would have been looked at. I would like to come back to what the Court of Auditors said about this. It has said that it is indeed a budgetary control and that the adjustment of revenue and expenditure has been looked at, that we have been monitored and monitored where we stand with the 2022 budget. I admit there's been a lot of spending. I've told you how that is, because of all this crisis spending. As Secretary of State for the Budget, I am not really happy with extra expenditure, but I think we all know, both the opposition parties and the majority parties, that there was a need for measures for purchasing power, for our citizens, for our businesses, as well as for support. I also believe that all parties here agree that we should give humanitarian and defence aid to Ukraine. I repeat, these are political choices. Those political choices cost money. Apart from the fact that we are dealing here with things that we do not understand, such as economic uncertainty, or matters that we simply have to do, such as crisis spending, we continue to carry on the usual work. So we are working on the budgetary path, as agreed in the budget. Mr Vermeersch, you asked how long we would continue to spend and when we would intervene. I agree with you all that the situation is serious. I've never put that under seats or couches either. We will indeed have to make every effort to say it in the language of Van Rompuy. We're all gonna have to do it together. I've never said anything else. We can't wait for it either. We have started with the budget format for 2023. That's really the time to work on that. We are indeed missing crucial buffers at the moment, which are really necessary to cope with the next crisis and to cope with the future challenges facing us, such as the whole green revolution, the climate crisis and the digitisation of our country. I agree with what the National Bank of Belgium has said very clearly. We need to build buffers for worse days. The dynamic budget path, which I mentioned earlier, has also been drawn up in this way. We are consistently making an effort. When things go well, we make an even greater effort. The most important thing for me is the stabilization of debt. If we have managed to stabilize the debt, we can carry it through. Then we can move towards a balance and reduce the level of debt as a whole. However, sticking a figure to that level of debt is very difficult. In normal circumstances, Europe is asking for a maximum of 60%. This is going to be a very long journey, but it is clear to everyone that the level of debt has to be reduced. I now turn to Mr. Van Hees, who's been away. With regard to the debt ratio and the costs of this debt, the Treasury has done a good job of ensuring that the interest rate is low for debts to date. But the interest rate has already started to rise and is currently around 2.3 or 2.4 %. This will already have a considerable impact on all debts. Therefore, in this budgetary control, an additional EUR 200 million was entered to pay interest. The spread between Belgium and Germany has increased from 36 to 60 since the beginning of this year. This will therefore have an impact on the interest rate that we will have to pay on all the debts that will be incurred in the future. To give you an order of magnitude, the interest we are already paying now amounts to €7 billion. These are huge amounts! And if the interest rate increases, the effect will be exponential. Finally, I am an optimist, like Mr Vanbesien, but we must also be realistic and take seriously the comments made by the National Bank of Belgium, the OECD and the European Commission. We must therefore continue to have the ambition to reduce the structural deficit, to stabilise public debt and to reform the country so that we can tackle the structural problems. I often call on the reform of the labour market, because I really think that is so important. This, of course, has an impact on public finances, but it is also simply important in the human field. What's better than having a job, what's better than being able to vouch for his existence, what's better than having social contact on the job floor? This is of course also interesting for public finances. We have calculated that 700,000 additional people would be employed if we went to an employment rate of 80%. This is still quite conservatively estimated to be an improvement in public finances of EUR 14 billion. Then we will have the space to tackle future crises and we will be able to fully support people and companies who are struggling. I have said this on several occasions, and that is also my mission within the government. With rising interest rates and high public debt, this is absolutely necessary to get our country back on track after it has experienced more than four years of adversity. This was first due to the government that had no leverage, because the budget that was on the table was not approved in 2019, and then by the exchange rates with which expensive measures were adopted. After that, our country was also affected by the corona crisis, but the government took its responsibility in very difficult circumstances and led the country through the corona crisis. As during the corona crisis, this government does everything it can to protect citizens and businesses during the Ukraine crisis. I know that some of you want to prove that this country does not work or would rather see it go down, but that is not my belief. It is my ambition and that of this government to get out of this and face these challenges in these very difficult times. There will undoubtedly be things that are going well, things that could run better and things that are not going well, but we take responsibility. That's part of the job. Of course, people who just stand aside or run away and do not take responsibility do not know the problem that sometimes things don't go the way they should. I will continue to pull and push to make public finances sustainable. I will continue to push and drive reform and I will continue to work to get this country in order.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u4	The order's turned around a little bit. I assumed that, as in previous budgetary rounds, you would be speaking at the very end. I have two observations. First of all, you say there are parties who want to prove that this country is not working. I think you're just proving that this country isn't working. Secondly, I think budgetary debates and debates are tout court important. We, as politicians, often talk side by side, and a debate gives us room for a real pulse to the true purpose. What is meant, very concretely, when certain words are used in a debate? I have already learned a lot in the discussion we had in the committees, but also today. For example, we have discussed for a long time what exactly is meant by 'buffers for the future'. For your government, that does not mean that there is free budgetary space. No, for your government, that means there's less deficit. So there's still a shortage, but one smaller. That's a buffer. I didn't know that. For me, that is a new definition of buffer, but it is important, if we do not want to talk side by side, that we know exactly what is meant. It is important not only to know how words are used, but also how data is interpreted. You refer to the hearing we had yesterday with the National Bank, where a graph on the debt was shown. You also refer to that as "a debt rising exponentially." It's important that you use that word here. Yesterday, the National Bank used the same word. Exponentially, that's not an innocent word. If you mean anything else, I would ask you to clarify that. After all, in debates it is important that we know the value of certain words. When I hear "an exponential rise in debt," I don't sleep comfortably. A third word that has received a definition is 'budget control'. I've always understood it differently, but now I might understand. I assumed something was being checked. Since this round, I understand that budgetary control is actually simply a matter of changing a few figures into a number of tables and then it has been adapted. I will perhaps rather use the word 'budget adjustment' in the future, because I do not see much control. Madam Secretary of State, you also say it in your reply: 'These are all political choices and they cost money'. In this round you have made new political choices and not just checked agreements made. You have decided to spend more money and not use it as a lever to speed up reforms. When's the first adaptation sheet due? In today's debate we have heard that there will be additional expenditure on fuel oil premiums and so on. You state that the budget set-up of 2023 will be launched by the summer. Last week, the Prime Minister said that at that start-up it will only be about the fixed budgetary effort of 0.2% and not about the rest. Can you confirm that?
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u5	First of all, it is significant that the PS group does not give at home at this time in your reply. Mr Laaouej spoke of respect, but it seems that his group does not pay respect to anyone to listen to your answer. I said in my speech that it is only a question of whether your statements impress your colleagues. Your question was answered with this. We share some of your concerns. These concerns transcend the Flemish party boundaries. On the other side of the language border, however, there is no doubt about that, as you can see here. However, we could do more with better figures for our own people, but I explained this in detail in my speech. We called you an inflationary denier in December. You denied the impact of inflation on the budget. You called that budget-neutral. In the meantime, thankfully, you've come back to that. In February, I asked you questions about double digital inflation, two-digit inflation. You laughed then, but that 10% inflation is now frighteningly close. In the meantime, you also take note of this and of its negative impact on the budget. We are on the eve of an unprecedented economic crisis. Unfortunately, we have to note that there is no buffer left in Belgium to deal with this threat of recession or stagflation. Madam President, I shall begin the final part of my speech. I had noted two questions, identical to those of Mr Loones. In the meantime, is there any prospect of further budgetary adjustments? As regards the summer agreement, Mr Verherstraeten pointed out in his speech on the budget format of 2023. What's the status there? We found out last summer that you were behind the facts. It was clear before the summer that energy prices would rise and inflation increased, but your government waited until October to intervene for the first time. Will you continue to go behind the facts while all the economic indicators are on blood red? Or will you take action for the first time this summer? What will you do?
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u6	My colleague Van Hees is no longer here and so I will repeat for a moment. It is clear that both N-VA and Flemish Interest are always calling for this budget deficit and are constantly calling for less spending and more saving. Madam Secretary of State, your discourse also worries me. You want to get the country in order, on the tracks. I did not get much explanation from Mr Leysen just now, but he also clearly called for savings. You say that a serious reform of the labour market is needed. That is the only reform you have referred to in your reply. I am, of course, concerned when I see how this reform of the labour market is taking place today. I see that more and more people want to work for bad wages and under poor working conditions. The work deal talks about 10 hours of work a day, about night work. That's gonna give more sick and inactive. In that sense, these plans could well fail. With us you can at least go for a completely different story. If you want a buffer, go get the money where it is. The millionaire tax, an asset tax, taxing the excess profits, if you want a buffer, if you want income, think about those slopes. Then there is the abolition of the wage standard and the freedom to negotiate wage increases back where business is doing well. And there are companies where things are going well. It is not only a good thing for our social security if wages increase, but also, above all, for people's purchasing power. Anyway, Monday we walked the street with 80,000. I think autumn's gonna be hot.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u7	Perhaps I was not quite clear, Mr Loones. I'm heading for debt stabilization by the end of this legislature. The deficit has to go down in order to strike a balance in the next legislature or afterwards. Then there is surplus and buffers can be built. That is, of course, a discussion. I was talking about an exponential increase in interest charges. The effect of the debt depends on how strong the exponential increase is. There are two specific questions, such as the first adaptation sheet. We'll see what we need to do. At the beginning of the political year, we will start it. It's gonna take some time. That has to go to committee, is being discussed there. I cannot say exactly when that will be in the autumn. We've been working on budget 2023 for a long time. On a technical level, we're already looking into all of that. We've had a lot of IKW's. Of course, we're already working very hard on that. In the summer agreement we will have a firm effort, and I would also like to put variable efforts on the table. We'll see how far we can get with that last one. That's part of the challenge. The more we can discuss or start up in advance, so much better. That is the state of play.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u8	Do you also have a response to Mr Verherstraeten's proposal that the budget should be drawn up not for a year but for two years?
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u9	From the beginning of this legislative period, we always have a multiannual plan for the budget. Of course, that is not the same as a budget, but it is certainly a good idea to do so for two years. I'll see how far we can go in there.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u10	This concludes the general discussion. We can move on to thematic discussions, starting with Mr Gilkinet's skills.
ParlaMint-BE_2022-06-22-voorlopig-55-plenair-ip189x.u11	Minister, you have promised heaven for the last two years in terms of rail policy: more trains in the morning, in the evening, in the week and on weekends, in the interior and abroad. In short, you promised a better offer everywhere and for everyone at the same time. Every ten minutes a train should leave in every direction in each major station and in the small stations at least twice an hour. You also promised to double passenger transport and freight transport. So your promises were magnificent. You also like to tell us that your predecessors have not baked anything of that. For 20 years, ministers of consecutive CD&V, PS and MR have been saving. That is the story we keep hearing from you, and it is precisely the parties you call in that story that applaud for it. That's always a strange story. As Emperor Augustus would restore the Roman Republic after a threatening dictatorship and the Carolingians carried through the renovatio imperii during the dark Middle Ages, Minister Gilkinet would roll out his own trace renaissance after the passage of the detestable, naughty MR ministers who preceded him. That was the plan of the sky storming in rail policy. What has happened so far, ladies and gentlemen? Let's go over it for a second. International passenger rail transport is in crisis. Thalys is in difficult papers; the low cost link between Brussels and Paris has been cancelled. The planned Flixtrain connection on the same route has not been established either. The support mechanism for night trains set up in the latest budget review remains unfulfilled for the time being, just when the majority introduced a flight tax on the grounds that the passenger can take the train, because there are enough international connections. Just at that moment, international connections are being cut off. The policy fails, because international rail connections are weakening. Freight transport is also in difficult paperwork. Full of enthusiasm and hope, the sector lived up to the announcement of the Minister's policy plans. A cross-sectoral policy plan within the framework of the Rail Freight Forum was worked out, where Minister Gilkinet himself expressed his full support for the outlined way of working and for the financial trajectory outlined at the closing session. Less than a year later, Minister Gilkinet himself put a knife in the back of the sector with his reform of subsidies for combined and distributed transport, to the shock of the sector. The result is that our national carrier Lineas is in great difficulty today. Those responsible leave, the numbers are pink. Here too, your policy fails. We can only hope that Lineas will stay alive, otherwise the freight transport, which is so important for the logistics of our ports, will be the cornerstone of our prosperity, also handed over to French or Germans, who knows. Were the promises on national passenger transport fulfilled? It is interesting to discuss this in detail. The green rail policy is based on two major dogmas. The first is that when trains are put in, passengers will follow. Hence the notion that each station must be operated by at least two trains per hour, even if that means that there are more trains than passengers. The second dogma is that if one gives more money, all problems disappear. Problems are the debt of savings, savings are bad and the adage is just to give more money. Now, among other things, hundreds of millions more have been given to SNCB and Infrabel to compensate for the covid effect, which is of course force majeure, but also 100 million for the Boost Plan, millions more for ecological soil management, 365 million under the National Recovery and Resilience Plan and 250 million for the Recovery Plan. The government gives up completely carte blanche, masses of money for the railways, it cannot stop, so all the breathing space to make the green dreams come true. The result is that the invoices are not covered today. Despite a gift after a gift, the CEOs of the two railway companies say that they have EUR 3.4 billion in deficit to live up to the government's ambitions. For the first time in years, SNCB is increasing debts again rather than reducing them. For the green track there will never be enough money for the simple reason that there is no brake on dreams. In return, do we get the promised mega-offer from the railroad? No, the supply is falling due to staff shortages. Lines are abolished, connections suspended, the supply is reduced in the Flemish window. You promised growth, the supply is shrinking. Your policy is failing, Mr Gilkinet.
