ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u1	The Minister of Mobility tells me that he will have to leave us at noon.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u2	Mr President, Minister, I am not going to dwell on the context, especially since it has evolved since the beginning of the crisis. Various initiatives have been taken, but it is true that rail has played an important role since the start of the Ukrainian refugee crisis. The SNCB initiative to make its network free for refugees was welcomed. As a first step, it is essential to allow them to travel and reach both the bodies in Brussels - the Fedasil centre, the reception centre at Heysel - and the municipalities. This free of charge will also allow them to move on the network because families are sometimes dispersed. In a second stage, there is also an opportunity for Ukrainians to work in cities. Today, given the price of fuels in particular, it is important to have a means of free mobility. As is well known, Ukrainians have problems with the use of languages not only in terms of the alphabet but also in terms of the type of language. It is extremely important to have dedicated information messages to guide them in our territory. In this regard, what is planned at the stations? I am thinking of some essential stations, such as Liège - there are all those refugees who come from the German network in particular - and Brussels as a central place. What is planned as informative messages for refugees? Do you already have any returns in terms of numbers of Ukrainian refugees who used the Belgian railway network? How is SNCB staff aware of the issue of reception, given that there are different categories of people travelling on the network with or without refugee status? What information is provided to them? Like the Guillemins station premises, are other initiatives planned at the stations, particularly in consultation with the local authorities?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u3	Mr. Secretary, war is, of course, a terrible thing. We must all be concerned about the people who are now on the run. We therefore welcome the fact that public enterprises are considering a solution to help these war refugees. SNCB has decided to help the Ukrainians flee by having them tracked for free. We think that is a commendable decision, but we still have a number of questions about this decision. We are told by SNCB staff that there are some problems. At the start of the measure they had to charge the Ukrainians who were on the run a ticket. In practice, only Ukrainians who come from Germany with a special ticket from the Deutsche Bahn in Belgium may use the SNCB train free of charge. Those who do not enter our country via the Deutsche Bahn must pay. That's what we heard in the beginning. Maybe that's changed in the meantime. In Germany, only identity is considered. Ukrainians get a free ticket. How's that with us now? Does it also happen in Belgium on the basis of the identity card? Are you aware of the problems involved? In addition to the people of Ukraine, there are other war refugees, from other countries such as Yemen, Syria, Afghanistan, and also Palestinian people. What about these people? Will you also give them free tickets? How do you see the difference that is now being made with regard to war refugees?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u4	Mr President, Minister, I refer to my written questions. I should also like to apologize, because there is also an actua debate this morning in the Committee on the Interior on the same subject. I'm probably gonna miss part of the answer.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u5	Mrs Verhaert and Mr Rigot are not present.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u6	Mr President, ladies and gentlemen, this is an important topical debate which will give me the opportunity to stress the positive role of SNCB, its workers in this terrible crisis that we are also experiencing but that we are still living much more in Ukraine. In the face of Russia's unspeakable aggression against Ukraine, it is our duty as democrats to stand in solidarity with all those who flee the war, who leave their homes, friends and relatives, sometimes under bombs. We're on the rendezvous as Belgians. I am proud of the solidarity that our citizens show every day by giving clothing and food or sheltering refugees. The Government is doing its part. We have taken important decisions at European level that we are implementing in Belgium. I also meet her as Minister of Mobility, first of all with regard to the Ukrainian railways when I see hundreds of thousands of women and children on these trains who continue to ride in spite of the bombs. You may have seen, like me, quite impressive reports and the ingenuity of Ukrainian railway workers. It's a big family. This train has become for them more than a symbol of security and freedom but the tool of their freedom, the means of their freedom. It is also a pride in the rapid reaction of SNCB, which has shown, from the very first days of the conflict, the exemplary path of strong solidarity with all the people displaced by this war, in collaboration with the other European railway companies. The Ukrainians who arrive in Belgium do so via Germany. SNCB contributed to an easy and safe exit from Ukraine thanks to trains with a special "Help Ukraine" ticket. The Deutsche Bahn allows all refugees from Ukraine to travel free of charge through Germany but also to other destinations including Belgium. In practical terms, since 1 March, Ukrainian refugees may, at the time of arrival or on their journey to Belgium, travel free of charge on the SNCB network and on cross-border trains from or to Germany, the Netherlands, Luxembourg and France. To do so, they must present the Deutsche Bahn "Help Ukraine" ticket and/or their passport, Ukrainian identity card or any other proof of identity. I have asked SNCB to show flexibility in this check, given exceptional circumstances. This freedom to flee the war by train is offered free of charge to all persons who, without being Ukrainian, have a Ukrainian residence permit, in accordance with the spirit and letter of European decisions. For the period from 4 to 28 March, a total of 7,181 refugees from Ukraine were reported throughout the network. The majority of them – between 80 and 90 % – arrive through the Brussels-Midi station, from where they can be easily redirected to the Heysel recording centre. They are told the bus to take, which is chartered by Fedasil. The main Belgian stations concerned are therefore Brussels-Midi and, to a lesser extent, Liège-Guillemins. At these two international stations, SNCB has made available a space reserved for the reception and information of refugees. In Liège-Guillemins, the SNCB has planned an information point, which is under the responsibility of the City of Liège, which I thank. The Belgian authorities quickly contacted me. Together, we found a welcome solution. Since 5 March, the City of Liège has been managing this reception from 9 a.m. to 10 p.m., in order to inform and redirect refugees to the dedicated centres. Mr Segers, a cooperation has been set up with the Brussels authorities at the Brussels-South railway station to accommodate refugees in a special area and to inform them as well as possible upon their arrival. For example, in order to lead them to Palace 8 on the Heysel, SNCB has prepared information leaflets and posters in collaboration with the cabinet of State Secretary Mahdi. SNCB shares with me that it will set up a new space, as opposed to the present one; normally that would be the case in the next few days. The current space will then only be used for the first reception and for the registration. The second room will then act as a waiting room for the bus, train or any other type of transfer. In the station there are mainly automated toilets. We have therefore asked whether the local government can also provide mobile toilets. In addition, SNCB is in the process of strengthening the Wi-Fi signal and increasing the number of possible connections. The Red Cross has also announced a strengthening of the reception of refugees in Brussels-South. The SNCB website contains useful information for people from Ukraine. Staff in contact with customers have been informed of the conditions for free travel and make leaflets available to travellers. To ensure optimal information and reception of refugees, SNCB is in close contact with the relevant federal, regional and local authorities. For the Brussels-Capital Region, for example, SNCB participates in the weekly meetings of the security cell convened by the Brussels-Capital High Official, bringing together all the authorities and emergency and response services involved in emergency aid. If further requests for station space from local authorities were received by SNCB, it would explore the possibilities depending on availability and operational feasibility. When the SNCB examines the buildings that it can immediately make available to people for their stay, dignity is the first priority. The buildings must be ready for use and meet many standards in terms of the conformity of sanitary facilities, electricity, heating, reception quality. Comfort is essential here. As you can see, SNCB plays an exemplary role of mutual aid and humanity, which I would like to greet warmly. In order to continue this solidarity-based approach, I have asked SNCB to adopt a comprehensive approach to the problem of refugee reception and to reinforce, as far as possible, the effort already made with the provision of complementary buildings. The war brings with it part of the suffering and some people with bad intentions are shamefully taking advantage of the situation, especially with women and children. Over the past few days, the police have identified various cases of abuse or attempted abuse of all kinds. This is absolutely unacceptable. SNCB does not currently have information on abuses or situations of possible abuse in railway stations. However, the railway staff has become more vigilant for suspicious behavior. If the station or train crew detects suspicious behaviour, the SNCB Security Operations Center should be called, which in turn informs the police or Securail. SNCB's Security Operations Center cooperates in real time with the dispatch offices of the railway undertakings Deutsche Bahn, SNCF and the NS, which organise international passenger transport. The refugees who do not travel are immediately referred to the social care network for registration and emergency care in Belgium. In exceptional cases, for example while waiting for a connecting train, the refugees are taken in the station. The staff of Securail is responsible for the first reception of refugees in the absence of support services. Therefore, they provide the contact details of the registration centre and provide food and drink. To facilitate contacts, Securail staff have been instructed to install a translation app on their mobile phone. Beyond the SNCB, it is the drivers, escorts and escorts of trains, as well as the agents of Securail who, together, demonstrate a great deal of humanity by informing these displaced and lost families in a country they often do not know by train or train at best. I would also like to thank all the railwaymen who are helping all these refugees from a war that we hoped would no longer live at the gates of Europe.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u7	Minister, thank you for the figures: 7,181 refugees have borrowed the network to date. This is extremely important in relation to the number of refugees in Belgium. Hence the relevance of the SNCB measure which we have welcomed and which we still welcome. As a first step, you recalled the initiatives. The rapid response on the ground was strong and essential at the level of Brussels and Liège-Guillemins for SNCB. Thank you for the additional information. I think that now a second time has to be opened. Refugees are now spread throughout the Territory. It is necessary to see how to continue to inform them well about the network, about useful information and the network of stations may have an interest in terms of informative messages, as well as the SNCB website, especially with messages directly in Ukrainian. I also hear reflections on the issue of housing. I believe that all federal or regional public entities will have to ask themselves whether war and structural housing solutions must be pursued. The SNCB must certainly be involved. Finally, with regard to the mobility of people fleeing wars, all wars, it is well known that this debate is sometimes complicated in our country, often for bad reasons. There needs to be further discussion on this issue. Since SNCB has been open today, this openness and reflection must continue on this issue of people's mobility.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u8	Thanks for the answers. I would like to express my deepest respect for the railway workers in Ukraine. They are very committed to their fellow citizens so that they can flee. I would also like to pay tribute to the railway workers in our country. During the Corona crisis, they have consistently supported the citizens through their service. In conclusion, I would like to warn that people are sensitive to the fact that there is a difference. Whether there is a Yemeni or Ukrainian war fugitive in the wagon, there should be no difference in treatment. Nor do we forget that many people in distressing poverty in Belgium cannot use the train. I am therefore concerned about the reaction of the population. We must pay attention to the sensitivities of everyone and we must not forget anyone. So we need to consider how we deal with war refugees on the one hand, and on the other hand, what policy we are pursuing for citizens who are certainly struggling in today's energy crisis and who have no money to take the train.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u9	Your answer is very much appreciated, Minister. I appreciate your efforts. The incoming refugees need stability. They've been through the most terrible things. I have visited the information point at the Brussels-South station a number of times, and I have noticed that the service is getting better and better, which I am pleased about. I am also pleased that you will have a bigger room, because it is really necessary. That room must be multivalent. There are children playing and there is a lot of noise upon the arrival of large groups. I have noted that the groups arriving on the platform are accompanied by Securail, the railway police and volunteers from the Red Cross up to the info point. That's going pretty well. My interviews with staff from Securail and SNCB show that they are not aware of the phenomenon of trafficking in human beings or exploitation. Despite their very great efforts, which I particularly appreciate, I have to say in all honesty that they did not really know what those phenomena meant. So I would ask you to remind me again. As signals of exploitation have been detected throughout the country, I would be surprised if there is no exploitation in Belgium. I would also like to ask you to pay attention to the phenomenon of trafficking in human beings getting on the train somewhere in the middle of the journey and arriving with the other refugees. Finally, there is a need to address the people who are waiting in the stations consistently. This is also happening in Germany, for example. They're asked who they're waiting for. If they can't answer that easily, they'll be suspicious immediately. I haven't seen that in Brussels-South, for example.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u10	Question No 55024860C by Mr Patrick Prévot is postponed.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u11	Mr Minister, in 2020, the Chamber unanimously adopted my resolution on the cooperation of Infrabel and SNCB in the realisation of bicycle motorways in Flanders and RAVeLs in Wallonia. Last year I asked you about the state of implementation of this resolution. You then informed us that SNCB has been actively cooperating for years in the development of the bicycle infrastructure and that it is receiving many questions from the local authorities. Nevertheless, I have recently received reports that SNCB often takes a problematic attitude in case files for the construction of bike highways. In mid-February, you yourself received a letter from the province of Antwerp, from deputy Luk Lemmens, who complained about the cooperation with SNCB for the development of the bicycle highway F1. These were repeated and late terminations of agreements made by SNCB. These led to a lack of legal certainty for the builder, difficulties in acquiring the necessary land, etc. During the discussion in the Chamber last year, you also announced that your administration had started consultations with SNCB and Infrabel to see how they could facilitate the construction of bike motorways. That brings me to the following questions. How do you explain the persistent complaints? The question of adopting a more flexible attitude is already two years old. Have you taken any steps to implement the resolution or are you still waiting for the negotiations on the new management contracts to be completed? What segments of bike highways to build have Infrabel and SNCB not yet agreed with local authorities because companies believe that certain conditions are not met for them? Have Infrabel or SNCB concluded agreements with local authorities since the adoption of the resolution, which includes the construction of cycle motorways? Are there any further considerations on which Infrabel would like to conclude cooperation agreements for the conclusion of consideration or the construction of bike motorways?
