ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u2	Madam President, Prime Minister, Minister, now that your barometer is finally here to give our fellow citizens perspectives, tomorrow's Concertation Committee (Codeco) cannot under any circumstances disappoint them, even less since you confirmed yesterday that we are going to take a new stage, an important step, namely the passage into orange code, which implies the end of the restrictions imposed on the Horeca and the event, but also the reopening of the world of the night. This is a huge relief for those sectors which, for too long, have been unjustly stigmatized. For the rest, unfortunately, your barometer does not prevent contradictory messages sent to the population that fuel anxiety. First, on the conditions for recovery. They will have to ensure the profitability of these sectors but also avoid unfair competition from clandestine evenings in Belgium or legal evenings in neighbouring countries. Second, the fate of the Covid Safe Ticket (CST). You have always promised that this CST would not be used "one day too much", while the Minister of Health hears it as a vaccine pass. In other words, the end of the CST when we are in the yellow code is not at all achieved, despite all the experts' opinions, who now believe that the CST is no longer justified. Third, the wearing of the mask in young children. You refuse, Mr. Minister of Health, to lift this measure despite the insistent demands of the Ministers responsible for Youth and Education, but also of the actors on the ground. However, the paediatric task force had been very clear about this last December, namely that this measure should be the first to be released as soon as the pressure on our health care system is reduced, which is the case today. What measures are you going to lift tomorrow, for what date and under what conditions? Do you now have a scientific study attesting to the health effectiveness of the CST in order to be able to maintain it or not? Thank you.
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u3	Madam President, Prime Minister, in Sweden, Denmark, Finland, Spain, Ireland, the United Kingdom and so on, the corona measures are virtually abandoned. But in this country the epidemic emergency is going to be extended for a few months. This will be approved by the majority here today. That will happen without scientific justification. On the contrary, every forecast predicts a very rapid improvement in the situation in the coming months. Also in the opinion to the Consultative Committee by your corona Commissioner, which has already been leaked into the media, that favourable forecast is clear. Am I saying that all brakes have to be lifted, as shown by the offer of the vivaldi parties in the last week? No, but there is no justification for a legal exception. Vigilance and caution have nothing to do with the discriminatory CST pass, which is still being applied today. The use of the corona pass is even reinforced by making it dependent on the third prick from 1 March. While you promised that this coronapas would not last a day longer than necessary, we hear your liberal friends in the European Commission openly pleading to extend the CST pass until the summer of 2023. Complete madness, Prime Minister. We know that, with your European ambitions, you are always waiting for President Macron before you dare to move. Well, yesterday, the spokesperson of that French government, Secretary of State Gabriel Attal, announced the end of the vaccination pass, possibly at the end of March or early April. Hence my very simple question. Are you going to do what you need to do on the Consultation Committee tomorrow and finally get rid of that totally counterproductive CST pass?
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u4	Madam President, Prime Minister, Deputy Prime Minister, no coronapas, no mouth mask, not a meter and a half. Forward has always said to relax step by step and safely, so that we can finally get our freedom back. And it's getting closer and closer. People have had to sacrifice a lot in this corona crisis: no hug, no relaxation, no sport, no parties and endless amount of time in their own home. We must never underestimate how heavy this weighs on people. We see it in all generations, we hear it from friends and family. Fortunately, we now have a barometer. A barometer with a clear path towards our normal life, a barometer that gives people clarity and perspective. Yes, we must be well prepared for the unexpected, for a situation that we hope will not come. But that does not mean that we must retain measures that are no longer necessary. I am therefore pleased that the Minister for Health is dealing with these corona measures exactly in the same way: not to use them if necessary. This is precisely the line to be maintained during the next Consultative Committee: what needs to be done - what can be done. Tomorrow, of course, is not just about the colour of the barometer, as it does not determine all the measures. Those other measures must also be decided, and that creates an important responsibility for you. Prime Minister, Deputy Prime Minister, can you promise that tomorrow our security will be protected where it should be and that we will get our freedom back where we can?
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u5	Prime Minister, Minister, tomorrow the Consultative Committee will meet again, and thanks to the predictability of the barometer, we already know that a number of relaxations are coming when we go to code orange. Those relaxations were also a topic of conversation at my kitchen table this morning, because my children also hear that there will be no need for mouth masks in the catering industry, at certain events and at many of their hobbies. That is of course good, because it indicates that we can be hopeful that the corona figures allow that at the moment. Right away, the question came as to whether the mouth masks should still be in the classroom. I understand that question, because children and young people are rightly tired of it. They have two years of switching behind the back between digital classes and going back to class, quarantined, quarantined out, keeping their boyfriends away, keeping their grandparents away. The Commissioner for Children's Rights also rightly warns this morning that the mental well-being of our children and young people is in code black. That doesn't go to code orange. It calls for children and young people to be put at the centre of the first relaxations. I can only welcome that. I have two questions about this. What proposals specifically for children and young people are on the table tomorrow and what does the GEMS say about this? What will the Consultation Committee do in response to the child rights commissioner's question to blacken our children out of their mental code?
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u6	Madam President, Prime Minister, Minister, during the Corona crisis, CD&V has always called for special attention to be paid to children and young people. This week, our Flemish minister, Benjamin Dalle, was the first to launch a campaign for the abolition of the oral masking obligation for children from 6 years of age. As a former primary school teacher, I support that 100%. As far as I'm concerned, the duty of mouth masking children in primary school will be the first to get kicked tomorrow. Mouth masks hinder social contacts and concentration and especially affect the weakest pupils. In addition, almost 30% of children between 5 and 11 years of age have received their first shot. Let's face it, Prime Minister, children shouldn't pay for more freedom for adults. Mouth masks in the schools, while discotheques, restaurants, cafes and concert halls re-open, I can't get that explained. (a Member of the European Parliament says: "we don't either"l Flemish Health Minister Wouter Beke has argued that Flemish young people between 12 and 17 years old can voluntarily receive their booster shot. Here, willingly, is the key word. We need to ensure that whether or not it opts for a booster shot does not affect the validity of the CST of young people. If a young person chooses not to receive a booster shot, he should not receive a red CST. Finally, a word about teleworking. As far as we are concerned, we are moving away from mandatory telework and moving to a recommendation for teleworking. (...) (micro is switched off)
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u7	Madam President, Prime Minister, Minister, Omicron has plunged us into red for many weeks. But now the situation is getting better every day. Hospitalisation is decreasing, and the same applies to contamination. Even if I particularly like red, I wish that color could be pale and we could switch to orange. Of course, it would be a great pleasure for our friends in the CDH! Prime Minister, Minister, tomorrow's Codeco must lead to relaxation. I'm certainly not going to be playing lessons here. I leave this to others. However, there is a certainty. Our people, our citizens, want only one thing: to return to life before, to remove the mask of our children in schools, to reopen sectors of activity too long closed and suffering from this crisis but also to be able not to be in a hurry when we go for a drink with friends or when we go to eat at the restaurant with family. Yes, we have a lot of hope in tomorrow's Codeco. That's right, I'm hoping we'll eliminate the requirement to wear masks in schools. I hope we can go back to the workplace more. I hope there are fewer constraints on recreational activities. But, as I said, I will not participate in the stallion race that always prevails on Codeco's watches. I trust you to make the right decisions. Prime Minister, Minister of Health, what measures will they be on the Codeco table this Friday? Are you considering reviewing the use of the CST? While it certainly had its usefulness at the beginning of the pandemic, it is very much to bet that it no longer fully fulfils its objectives today. An evaluation is required. Finally, have there been consultations with the various sectors on the changes envisaged and the precise deadlines for their implementation so that (...)
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u8	Prime Minister, I think that Members of the majority did not go through the Chamber's agenda properly, because they will soon approve the extension of the epidemiological emergency. You think this is necessary, even if it goes against logic. Is it true that tomorrow, on the Consultation Committee, you will be advocating the introduction of code black? What further stricter measures will you put on the table? Soon, under the fervent leadership of Minister Vandenbroucke, we will introduce the epidemiological emergency, while on all sides we will advocate relaxation. Something is not right and public opinion is probably tired of that joke. The questions are obvious. What happens to the CST? I would like to address the Minister for Health: what happens to the mouth cap? Can elementary school kids go to dancing? There they can take off their mouth cap to get from a long day at school. It is expected to be answered in a consistent manner tomorrow. I would like to point out a subtlety, noted by Mr Jiroflée. According to her, we may soon be able to abolish the CST and then keep it ready to enter it back when the time comes. May I conclude from those words that it is a keeper, that this is simply being cradled to sleep for a while, but must always remain on our mobile phones to be activated again when some situation gives rise to it? Will the CST be abolished or, like the Group of the European People's Party (Christian Democrats) and European Democrats and European Democrats, will it simply be temporarily put into action, in order to keep it ready for final use when this is necessary?
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u9	Ministers, Denmark is lifting all measures, including the health pass. Catalonia lifts the sanitary pass. Sweden, France, the Netherlands: all countries are reducing pandemic-related restrictions. And what is happening in Belgium this afternoon in this Parliament? We're going to extend the Pandemic Law, not for a month, not for two months, but for three months! This Pandemic law allows you to close sectors overnight. That is what you are busy voting this afternoon. Tomorrow the Codeco will take place. After two years of anti-democratic and ineffective crisis, people are really tired of it! First, I'll approach the Covid Safe Ticket. Too often we forget it, it is a huge infringement of our fundamental freedoms. But it was put in place by saying, "This will allow us to regain the kingdom of freedom." It's a promise that hasn't been kept. Today, more and more studies show that it is more ineffective. I repeat: people don't want it anymore! Second, the world of the night. If there's an area that's been sluggish for two years, and has been almost continuously closed, it's the world of discotheques. A few months ago, they bought thousands of self-tests at their own expense to have to close a few days later and stay with all these self-tests on their arms. They've invested in extractors. They collaborated on the covid protocol in the sector. Today, they are asking for a date, not only to be able to reopen but also to be able to guarantee the survival of their sector in the long term. That's really what they need. Thirdly, there are schools; this morning the teachers were still on the street, not only because of the chronic underfunding of which they are victims, but also to ask for the lifting of certain measures. Here we are thinking especially about wearing the mask for children.
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u10	Madam President, ladies and gentlemen, I will answer your questions together with the Minister for Health. First, I'm gonna go into the epidemic situation. Indicators are clearly evolving in the right direction. We look mainly at the number of hospitalizations and the pressure on intensive care, but also other parameters indicate how the pandemic is evolving and the main dimensions are positive. The corona commissioner therefore indicates that it is recommended to switch from the code red to the code orange for the barometer, which we use as a structure. It is good to see that there is at last a political consensus on the possibility of a step being made more flexible. The barometer gives us predictability and also clearly indicates which relaxations can take place. It means the nightlife will open. That is what we define as dynamic indoor activities. The barometer also makes clear which relaxations can take place in the catering sector. Those are important steps. These steps can be taken on the basis of the results achieved, which are a credit to all of us. Questions have been asked about how we dealt with the pandemic. The evaluation will take place at some point, but I would like to highlight some of the features of how we have dealt with the pandemic in our country. We have always done so with the necessary gradualness, always in a very step-by-step way. We have always implemented soothings step by step. The first results indicate that this approach has worked well. The objective was to ensure that our healthcare system is not put under too much pressure. Well, I see that, both last year and early this year, the pressure never got too high. Another objective was to avoid high excess mortality. The figures of excess mortality for 2021 indicate that we have succeeded. Another objective was to prevent the destruction of our economic fabric. The figures for the number of bankruptcies and the unemployment figures indicate that we have succeeded. So we have opted for a gradual, step-by-step approach, and I urge that we continue to use it. This is how the barometer was designed. It is necessary to proceed step by step. The barometer is clear in some areas. With regard to others, it is less precise; here I am thinking in particular of wearing the mask and teleworking. Of course, steps must also be taken in these areas, but in the most progressive way possible. This method has been of great help to us so far. We must continue in this way. A lot of questions have been asked about the CST. I understand that Parliament has questions about the epidemiological value of the CST. Understand, however, that we have decided in the Conciliation Committee that the debate on this matter is just to take place in Parliament. The Consultation Committee has asked Parliament, where a debate is already taking place on how to increase the vaccination rate, to look very specifically at the epidemiological value of the CST today in the management of the pandemic. I hope that the debate here can take place properly and that the Consultation Committee can take Parliament's input on how we should use the CST. I've been making myself clear. We won't be using it for a day too long. Allow me to point out that I think a debate on this in Parliament would be very useful. Finally, we are not in an endemic situation today. Many suggest that omikron is less heavy than expected and that we are steadily leaving the pandemic. I hope it is, but the European Centre for Disease Prevention and Control warns that it is premature to say that COVID-19 is an endemia today. There are two reasons for this: firstly, the fact that the number of infections remains high and, secondly, the fact that the risk of increased pressure on our health system remains very noticeable. I would therefore urge that, despite the fact that we will be able to implement a number of relaxations tomorrow, which will begin at the end of next week, we retain the necessary caution. We were always faced with uncertain factors in the pandemic. A number of things are in our hands. What we ourselves have in hand is the gradual phasing-out of our measures and is the booster campaign, which I can say is a very great success compared to other countries.
ParlaMint-BE_2022-02-10-voorlopig-55-plenair-ip162x.u11	Colleagues, the barometer forces us with the simple scheme of red, orange and yellow to recognize colour. Are we able to keep to agreements, agreements we made a month ago about a safe step-by-step plan and relax safely? Can we stick to that? That's the question. After all, the citizens wanted predictability and therefore politicians who keep to agreements. All signs indicate we'll be going to code orange by the second half of February. The situation in health care points to this. This means no more closing hours for cafes and restaurants and more opportunities in cultural events venues. This also means that nightlife opens under safe conditions. We will talk about teleworking and wearing mouth masks. Agreements were also made with the state governments, Mr De Roover. That's right. Something's not right. You're absolutely right. Something's not right in your speech. Appointments have been made with the state governments that we will use the covidticket in code orange and no longer in code yellow. Mrs Rohonyi, as far as scientific studies are concerned, you will be able to read a rather robust one which has been published in France and which shows that, in the latter country, 4,000 deaths have been prevented as a result of the well-organized introduction of a Covid Safe Ticket. As I said yesterday, we can criticise the way in which we introduced it, because it was late, and we should have avoided certain effects. It is probably a form of self-criticism to formulate. But when you say that it has no consequences, then invite these people here! They'll tell you that there were 4,000 fewer deaths in France thanks to the Covid Safe Ticket. This is a study, and others have also been published. Mr Demon, you asked about the application of the Covid Safe Ticket for young people. The screen is indeed turning green for adults who have been vaccinated with the booster, but since there is no authorisation from the EEA for boosters for minors, we will not be demanding that they be boosted. I agree with you and we will try to organise it in this way. Mrs. Creemers, you spoke of the masks. You generally agree with the experts, I think. The same goes for me, and I therefore fully agree with the advice of the experts in Ghent regarding oral masks for children. I hope that is also the case for you. They advise not to immediately abolish the mouth masks, but to work with a safe step-by-step plan, starting with thinking about the youngest children and taking the time they talk about after the crocus holiday and working gradually. That can happen in a safe step-by-step plan, even when it comes to mouth masks. I think you can explain that to your children. It's also about school security, if there's a lot of virus going around. It is also about the fact that children who have not yet been vaccinated do not become ill. We can explain that. I can perfectly explain why we decided to open cafes months ago and why we should not wear a mouth mask when drinking a pint. That's kind of hard, too. At the same time, we say that in schools where children sit together and where virus can collect in the air, especially if there is not enough ventilation, one must wear a mouth mask. I can explain that perfectly. I can perfectly explain why the sector of nightlife after so much misery can finally be opened again, with ventilation requirements and under conditions, because one can only enter with a Covid Safe Ticket. In schools, however, we will follow the expert advice in terms of mouth masks and be careful to relax. Mrs Merckx, in the end, you are against all the measures. You're extremely predictable. It's like the barometer. You're against masks, for the immediate opening of discotheques. You were also against the closure of the Horeca. You're against the Covid Safe Ticket. The Belgian Labour Party is the party of the virus! You are against all the measures that have been put in place to limit the virus. Viruses from all countries, unite! Finally, a party defends you!
