ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u1	Ladies and gentlemen, Minister, we have until 2 p.m. today to answer questions.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u2	Mr President, Madam Minister, during the last budgetary adjustment under discussion with you in the Committee on the Interior, we were pleased to see an increase in the allocation to the areas of the order of 8% included in this budgetary adjustment. So there was an increase on our federal budget of 2021 of 63 or 64 million euros in total. This decision obviously welcomed all the mayors of the country, knowing that the police areas have a budget which is spent almost 90 per cent on staff costs. Fatally, the inflation that we are experiencing today, with the many wage indices, affects and greatly influences the spending of our areas. Unfortunately, it is learned in the zones that the guardianships which are exercised in the front line by the governors claim that, in the budgets of the areas of 2021, it will not be possible to foresee this increase in appropriations which, however, will be included "in the near future" in the federal budget. We are told that the final allocation of a police area is calculated in December on the basis of the December health index. Of course, when the situation and inflation are normal, there is no problem with this system. It doesn't change much. On the other hand, when, in a year and a half, you have six indexes to swallow in your staff budget, of course, it's much more complicated. Today, however, the areas must do the same thing as they did in 2021. Finally, there was still a first adjustment, I think, for an index. In other words, it is the communal allocations that have to bear the 8% increase in staff costs for almost the whole year. Since funding is about 50/50 in the areas, this means an increase in communal allocations of 16%. There is therefore a huge lifting of shields from all the mayors of the country who believe that the communes are not the federal bank and must not advance money that is normally provided for in the federal budget of 2021. Minister, are you aware of this problem? Do you intend to take initiatives to allow for the adjustment of federal staffing in our policing areas?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u3	Minister, on two occasions, the eight mayors of the Hesbaye police area refused to vote for the 2022 budget for their police area, not that they did not support their police, on the contrary, but to show the financial pressure exerted on the communes. They felt that the gesture was strong in order to make the government understand that they needed more resources. They sent you a letter to which they unfortunately did not receive a reply. Then, forced and forced by the need for the police zone to function, they finally voted on the budget a few days ago. But today the financial situation of the municipalities is catastrophic. The budget of the Hesbaye police area is equivalent to almost EUR 9 million, increased this year by EUR 400,000, most of which will be borne by the municipalities. The €400,000 contingency fund has been absorbed. Currently, we pay much more for a service that does not change and that is reduced to two men, two intervention police for the eight communes, Monday to Friday. It is not sustainable, neither for our communes, nor for our fellow citizens who need to feel safe. In the face of this situation, minister, are you considering additional measures to support the relief areas? Nearly 90 per cent of the costs are staff costs, an increase of 8 per cent. We cannot afford these increases! Do you intend to meet the representatives of the different police areas? Could you consider alternatives to having police officers on the street? Is there any provision for strengthening the federal police force to indirectly improve police areas during the summer period of major events?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u4	Minister, I am not going to repeat what my fellow mayors have said. Since I myself am the mayor of a commune in the province of Luxembourg, I have the same situation. We hope that you will propose budgetary solutions to make things easier for us in our different police areas. Minister, I look forward to your answers.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u5	I'd like to join the mayors list. The questions have been asked. I therefore refer to my question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u6	I am doing the same thing, Mr President, and I am referring to my question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u7	I also refer to my written question, Mr President.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u8	Mr President, I will not be able to do the same as colleagues and refer to the text of my question because I want to provide additional information, which I could not include when I tabled my question. Minister, today we know how much the federal government is supposed to play a role in supporting police areas to honour their various personnel and operating expenses. That is why we did indeed welcome the recent budgetary effort to increase the planned appropriations. The problem, as we see it today, is that this support remains largely insufficient given that the KUL standard, which has been the basis of the funding law, has not been updated since 2001, while the needs and constraints have changed. I am thinking of events and demonstrations to cover, crime, population growth and road traffic. This is in addition to wage indexing, increased pension contributions, the loss of regional subsidies, the explosion of energy costs, and your government's plan to upgrade police officers' salaries. Funding for this upgrading would probably be provided by the municipalities alone. As a result, it appears that today local police areas are strangled by what they call chronic underfunding by the federal government, so that, to name but a few, the chief of the Hesbaye police zone had to explain that he had so little means that at night, out of the nine communes covered by the zone, there would be only two police officers available, while the population has increased by almost 25 per cent since the establishment of the police zone. That's an example. Minister, what concrete steps are you going to take to temporarily reduce each of the burdens that I have mentioned, which weigh heavily on these areas? How long? Several mayors of the police areas in difficulty asked you for a meeting as soon as possible. Mr Rigot tells us that he has not yet received a reply, which is quite disturbing. Do you intend to accede to their request and within what time frame? Do you not think that today federal endowments should be able to evolve according to wage indexation and not just the consumer price index, at least in terms of the share of staff allocations? Finally, do you intend to update this famous KUL standard? On this basis, should the need arise, should there not be an increase in the allocation of police areas?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u9	Madam Minister, with the budgetary adjustments we discussed here two weeks ago, you are making EUR 64 million extra for the local police areas on the basis of indexation for the financing of our police. This is an increase of 8%. Meanwhile, Belfius' annual study on the finances of our local authorities is pressing us with the noses on the facts. Local authorities are in severe financial conditions and high inflation rates are causing wage costs to rise significantly. The budgetary approach was based on a single wage index adjustment in 2022. In the meantime, however, that number stands at four. The fear is therefore that the current budget increase will not be sufficient to fully cover rising labour costs. Local police are faced with many challenges, including the budgetary ones. Just yesterday, our West Flemish police chiefs raised the alarm about the continuing staff shortage. Two weeks ago, we discussed recruitment in plenary. In West Flanders we feel that very hard. The underfunding of the West Flemish police school also worries our chiefs. They now offer to organise the selection at provincial level. I myself referred to that slope in my question, which you are prepared to examine. In short, we can say, Madam Minister, that the challenges for local police remain great. You know that, too. That is why it is all the more important that the federal dotation is sufficiently large to absorb rising wage costs. Firstly, is it right to fear that the increase in the budget by 8% in the index adjustment will not be sufficient to meet rising wage costs? Do you see any possibility of adjusting this increase by means of a subsequent budgetary adjustment? Secondly, when will the local areas be informed of the index adjustment and any other adjustments so that they can take financial account of this in their accounts?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u10	Ladies and gentlemen, I am of course aware, as well as my services, of the impact of rising inflation on the budgets of the local police areas. The amounts are certainly adapted, initially, to the real evolution of the health index, which is calculated on the last annual basis available at the time of the preparation of the general expenditure budget – in this case, December 2020. However, in a second phase, the amounts thus updated to the real evolution of the health index are increased by the projected growth rates respectively for the increase of the health index from 2020 to 2021 and from 2021 to 2022, by the Federal Planning Office, to obtain the provisional amounts for the year 2022. Finally, these forecasts are faced with the actual evolution of the health index, which was adopted in December of the current year, i.e. here in December 2022. Indeed, the 8% budget increase will not be sufficient to finance the definitive basic amounts 2022. For the calculation of the basic amount 2022, we shall take into account the inflation parameters applicable for the current year 2022. The amount of the federal basic dose will only be definitively fixed in January 2023, as it is based on the health index of December 2022. Therefore, before that date, we cannot deliver the final amounts to the police zones. I understand that this leads to uncertainties for the police zones, but fixing the final amount of the payments at the end of each financial year has the advantage of taking into account the inflation parameters of the current year, and should, if necessary, allow the increase in wage costs due to the inflation which weighs on the budget of the zones. The financing of wage indexation is therefore already structurally supported through the current mechanism. In any case, I would like to examine whether the annual guidelines for the preparation of the budgets of the police zones, such as the ministerial letter, could introduce more flexibility in order to respond more quickly to unexpected inflation expectations in this case. We must not make structural adjustments. This year, hopefully, is an exceptional year with exceptionally high inflation and we need to look at how we deal with the phenomenon. I would like to warn against a structural anchoring of solutions to exceptional situations in the normal organisation of our police forces, in particular the allocation of the federal dotation.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u11	Minister, I remain a little puzzled at your answer. Indeed, you have re-explained how the calculation is carried out, but I already knew it. Guardianship has already explained it to me. What I expect is measures and proposals. For example, you tell us that the 8% increase foreseen in the budget adjustment will not be enough to adapt to inflation. So we already know that what is provided for in our federal budget will be insufficient in relation to the recalculations that will be made. But at the same time, the tutelage tells us that this 8% cannot be included in this year's budget. This is terrible because it means that the municipalities will have to put almost 16 to 20 per cent more funds to finance their police areas, while the federal government will not change anything until the end of the year. That's not admissible! You said you were going to study a solution.
