ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u1	Mrs Muylle and Mr Bacquelaine apologize. Their questions therefore become without object.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u2	Mr President, Minister, a function model for care and nursing was drawn up in Flanders, in which the so-called HBO5 nurses continue to play a role. The federal government agreement confirms the full own profile of the HBO5 nurses. A federal task force would now be set up to shape the so-called care ladder. At what stage are the discussions currently taking place? Which partners are involved? Is there agreement on the shape of the care ladder and the place of the HBO5 nurses in it? Will they also clearly know their place within the care landscape? When is the final discussion expected and will clarity be provided, especially to the sector?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u3	Minister, I have already questioned you about this. The question about the HBO5 training and possibly a new interpretation of the profile continues to worry the nurses in the field. That is not unfounded: there is the shortage of staff, there is a lot of staff who are ill for a long time and are suffering from burn-out, there is high workload and stress and there are already 5 corona waves. Today there is still a lot of delayed care to be done. Is the government working on new job profiles? Is there going to be a new name for HBO5 nurses? When are you going to put a proposal on the table? In September last year, a task force was set up to formulate opinions to the various governments. That was postponed, but in the end the report is ready. It makes it clear that current HBO5 nurses and students can retain their visa without changing anything for them. That is, of course, positive. It is also thanks to the fact that they have continued to draw attention to the fact that it has been put right. At the same time, there are no conclusions on the implementation of the new job profiles or on the improvement of working conditions in the field. There's a CD&V bill pending, but I need to know what's going on. What do you want to do with the final report and the advice? Will you discuss them at the Inter-Ministerial Conference on Health, or have they been discussed? What is the time frame for possibly drawing up a proposal? What concrete steps will be taken? Will you also consult or inform the trade unions representing the care staff about this? Do you think that a new job profile could lead to frustration in a sector that is already on the tip of the toes today? More generally, what measures do you take to make work in the healthcare sector more attractive?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u4	Mr President, Mr Minister, it is true that the debate focuses on profiles and on the training and recognition aspect, with the whole debate on HBO5, etc. The denominations are somewhat different on the francophone side. In any case, this is an important debate in terms of recognition of the nursing profession. Allow me, however, to stress once again the importance of much more important work on all matters relating to the attractiveness of the nursing profession, the upgrading of this profession, the revision of the standards of supervision for stronger support both in hospital work and in home work or in nursing homes, even if these are not exclusively within your competence, but also within the competence of the Regions. In this respect, certain measures envisaged under the former legislature have, of course, been taken; here I am thinking of the White Blouse Fund. But it can only be seen that recruitment is a problem. Today, the rate of absenteeism in the nursing profession has never been so high in hospitals, resulting in the closure of a number of beds and therefore the postponement of care, but also a very high workload for nurses still in operation. As you know, the nurses had made a whole series of very concrete proposals which I consider very responsible and very reasonable. But nothing has yet been achieved, including in the area of recognition of penitibility. I would therefore like to draw attention to these various points in this topical debate on the issue of training and recognition. I'll give you an example. Since the establishment of IFIC, when your predecessor, Mrs De Block, was in place, and since you took up your duties, I keep repeating how problematic this Institute's decisions have been. Of course, you made a correction for intensive care nurses. However, for other nursing specializations and for other caregivers such as hospital pharmacists, no correction has yet been made. These are major issues. I therefore hope that concrete measures can be taken in this regard.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u5	I agree with Mrs. Fonck. There needs to be a broad debate on the issue of attractiveness, but I would still like to focus my answer on the specific question concerning the problem of functional profiles and the discussions that have taken place on the definition of a new model of function. In the Flemish jargon that is called the care ladder. I would like to concentrate on that, Mrs Fonck, because it is an important problem. I will not be able to offer the Members who have asked questions on this issue a ready-made solution today. I would like to stress that I absolutely want to move forward with this. As the speakers have said, an interfederal task force has been set up. It actually consisted of two working groups. There was a working group on basic training and a working group on specializations. The specialization working group actually produced the final report by the end of January. The basic training working group submitted a report in February. The discussion in the interfederal task force involving the Länder, but also the representative organisations of the nurses themselves, was not easy. This indicates that there are different opinions. I do want to stick to what is in the coalition agreement and what, I think, was correctly quoted by Mrs Gijbels. We really have to work on the basis of the available competences and a diversified set of professional profiles and thus, among other things, continue to give the HBO nurses their place within the existing system. That's my conviction, too. I am not going to go into what I actually think should be the conclusion. I've got the reports now. What I do want to do now is to consult the Länder again on this matter in order to see if I can resolve a number of differences of opinion. This is how I hope to achieve a greater consensus. In the end, I will assume my own responsibilities and make proposals which must fit in with the law on the exercise of health professions. I think Mrs Merckx is right to point out that the reports now prepared by the interfederal task force do not yet contain a detailed description of what the legal capacity of, for example, a primary nurse would be. I think, Mrs Merckx, that we should work in stages. The aim is first to achieve maximum consensus on occupational profiles that we apply in the law on the exercise of health professions. As far as I'm concerned, those should be profiles at levels 5, 6, 7 and 8. We need, I think, the whole ladder in its complementarity. If we have registered that in the legislation, I think we need to define the precise powers of action. I will, of course, do so in close consultation with the organisations of the nurses and the nursing advisory bodies. Now that that report from those two working groups is available, I want to get to work and not drag it out. I think it's important to put those profiles in place. I would like to stress once again that it is the intention to achieve an attractive set of profiles, in which people with different talents and different possible developments of competences find their place and thus give the sector a lot of extra attractiveness. I come back to what Mrs Fonck said, namely that this is not the only answer, but I think it is an essential answer. I hope that the debate on this can be conducted without prejudice, vested interests and existing situations. We must make a breakthrough. This passage of the coalition agreement is extremely important to me. That's all I'm gonna say about this right now. Ladies and gentlemen of the committee, it may be a little frustrating for you, but I do not want to take the lead in the search for the broadest possible consensus now that these reports have been submitted. However, I really want to make progress on this.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u6	Minister, I am pleased to hear that you are still determined to implement the government agreement on this point. I understand that this is not easy if the regions have different opinions, but I think that the sector does not need to go into this further at the moment, but needs perspective. The nurses have been severely tested and there are not so many active nurses. There are quite a lot of trained nurses, but there is also a lot of outflow from the sector. I believe that the attractiveness of the profession is indeed very important and that this care ladder is a very important aspect of it. As you point out, we need them all. The fact that they are not recognised at European level seems to me to be secondary, as long as this is well communicated with the people who are taking up training. Furthermore, the function model is best applied so that it will pay to continue studying within the healthcare sector. It is a pity to note that people with certain competences are better paid abroad. I think we should avoid this. In this respect, it is important to create jobs that are additional contributions for nurses with additional specialization, such as urgent or intensive care. That would also be arranged within the IFIC, but as far as I know that has not worked out. Those people are waiting for that, too. I hope that works quickly.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u7	It is, of course, frustrating to have an answer in which you state that there are differences of opinion but do not explain them further. It's all a little vague. You say that you will talk to the Länder about this again. The trade unions were not represented in that working group, but only the representatives of the General Union of Nurses of Belgium. I think that representativeness is a problem. There is a lot of pressure on the healthcare sector today. There are many caregivers who quit and feel unappreciated. We must ensure that it represents a general improvement in the attractiveness of the way of working in the healthcare sector. What is now on the table is not enough. There has also been the evaluation of the Health Care Staff Fund. It is clear that it is not enough. Both the specialised nursing profession and the basic nursing profession must be revalued. The IFIC has slightly improved this, but not enough to ensure that people start working in the healthcare sector.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u8	Minister, thank you for your answer. Although I do share the frustration of some colleagues, I hear a political will from you. We were waiting for her, she's here, and I'm glad. I hear your willingness to make the sector more attractive, to finally be able to work on the basis of these reports made by the inter-federal task force in order to reach the broadest consensus with the federated entities and therefore not to waste any more time. This is extremely positive, but it remains extremely vague because we need guarantees to be able to tell us today that concrete measures will come in the coming weeks, or even in the coming months, to finally improve this nursing profession but also to include professional organisations in this task force. There's an emergency. There is a need to recruit additional staff, but there is also a need to ensure that professionals are maintained in the field. Too many graduate nurses leave the field because they are disgusted with their working conditions and lack of political consideration for them. For this to happen, a real global recovery plan is needed. That was the goal – you had presented it to us like that – of this inter-federal task force. The challenge is to be able to show students who want to embrace these studies to be nurses that they can do so, to show graduate nurses that they can stay in the field, and to ensure that hospitals are no longer obliged to tinker with solutions to overcome the shortage of available staff. As part of my written question, I referred to the example of Saint-Luc's Hospital and CHU Tivoli, who now intend to transform conventional units into week units or day units so that they can put their scarce available staff where it is most useful. Minister, this situation is untenable both for them and for patients. I expect a precise timetable from you to show us that there is indeed a concrete will – and not just announced in your leadership – to finally arrive at this promised revalorization for too long.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u9	Minister, I would like to hear you say that HBO5 must continue to exist. I wrote it down in big letters, I'll remind you when the time comes. You also say that there must be as broad a consensus as possible. That's right. However, there is also a European directive at stake. This has reinforced the discussion on the future of nursing training and job profiles. You have just said in plenary that we cannot get out of these European directives and regulations. I hope that you will not open your umbrella in this dossier and say that we must take this step and do so because Europe is imposing it on us. I hope you will stick to your view that this HBO5 is very important. 41 % of nurses have an HBO5 diploma. That's a lot, that's a very large group. We certainly must not lose them in times of cramped care.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u10	Mr Minister, for the first time, Sciensano has linked the most common diseases to quality of life in a study of long-term illness and premature death. It is concluded that the Belgian population loses a total of 2.3 million years of life and that depression and excessive alcohol consumption significantly reduce the quality of life. This makes it clear that the well-being of citizens is not only determined by medical intervention, but also by the way of life and habits that have been discussed before. An important thesis of researchers is that there is still much to be gained in terms of prevention and disposal. What importance do you attach to this investigation, Minister? In the past, we have already talked about phasing out the use of psychopharmaceuticals, which resulted in the adoption of a resolution on mental health care. I myself have tabled a bill on the day-to-day supervision of patients in drug disposal in the pharmacy. How are your plans on the disposal of funds, the reimbursement of the titration of certain doses and the delivery in the pharmacy, accompanied by the pharmacy? I would also like to know whether you have provided sufficient capacity for the reduction of drinking. How will you arrange that and keep it affordable for the patients?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u11	Minister, in March, Sciensano first published a burden study. In part, we already knew that people died prematurely from lung cancer, heart disease and Alzheimer's, but there had not yet been a comprehensive study of the impact of diseases on the number of healthy life years, with a major impact on quality of life. The study has shown that depression, heart disease, lung cancer, as well as low back pain and excessive alcohol consumption are the most common reasons for loss of quality of life. The study also showed, however, that Belgium scores the worst for the total burden of disease among 14 EU countries. One of the researchers' conclusions is that our country is not sufficiently committed to prevention. Professor De Maeseneer also calls for the prevention budget to be increased to at least 5%, while at present it is only 2%. In general, Minister, I would like to ask you whether you have taken note of this study and whether you are drawing certain conclusions for policy. Some of the mentioned diseases are located in mental health care. Are there any additional investments in mental health care planned to remedy this? With PVDA, we are calling for more prevention, including in primary health care, which needs to be strengthened. Are you considering raising the prevention budget in Belgium to 5%?
