Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	HermantAntoine	Hermant, Antoine	U	-	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	HermantAntoine	Hermant, Antoine	U	-	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	WittoeckPeter	Wittoeck, Peter	U	-	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	HermantAntoine	Hermant, Antoine	U	-	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	BuystKim	Buyst, Kim	F	1976	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	FlorentJeanPhilippe	Florent, Jean-Philippe	U	-	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	HanusMélissa	Hanus, Mélissa	F	1992	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	RavytsKurt	Ravyts, Kurt	M	1968	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	CzekalskiAurélie	Czekalski, Aurélie	U	-	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	HermantAntoine	Hermant, Antoine	U	-	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	DaemsGreet	Daems, Greet	F	1980	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LeysenChristian	Leysen, Christian	M	1954	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VerduycktKris	Verduyckt, Kris	M	1977	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic722x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic722x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	HermantAntoine	Hermant, Antoine	U	-	
