ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u1	Ladies and gentlemen, the Minister can stay until 6 p.m. today.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u2	Minister, I would like to take the floor immediately to ask a number of questions on a very important subject, namely energy bills. Until recently, you did not consider that there could be any reduction in VAT on energy. However, our party was very much in favour of this. We have tabled proposals on this in committee. Last week, you made a 180-degree bend and suggested temporarily reducing the VAT on gas and electricity from 21 % to 6 %. Flemish Interest can only welcome your moving insight. You were to put that proposal on the government table as soon as possible, you stated at the VRT last week. However, last week the Prime Minister did not seem to have won for that VAT reduction. He said there were still several proposals on the table. That is what he said in plenary last week, including in response to a question from our party. First of all, Minister, I would like to quote what you said at the VRT: 'We are well aware of the fact that we need to do something about energy prices and that, as a government, we must make efforts to do so. We put the idea on the table yesterday that the additional revenue we have from VAT will be returned to the families." You stated that as Minister of Finance in October 2021 at the VRT. In the meantime, we know that the budget for the energy standard provides for a sum of 156 million and for the extension of the extended tariff to an amount of 208 million. However, these are certainly not the total additional revenue that would be returned to the population. Hence my first question. How much is the estimated monthly increase in excise duties and VAT on gas and electricity due to the recent increase in prices? I would like an answer in millions of euros. Secondly, when are you going to put the proposal for a VAT reduction on the government table? When will this proposal be discussed and put to the vote in Parliament? Thirdly, the analyses of the VAT reforms indicate that temporary VAT reductions lead to higher prices in the long term. For the record, our party is in favour of a permanent VAT reduction. A VAT reduction is only reduced, while the subsequent VAT increase is fully passed on to the consumer, giving rise to a permanent price increase. In 2014, VAT was temporarily reduced. Tax experts point out that this temporary VAT reduction has ultimately led to a permanent increase in the price of electricity. How can we avoid that the temporary VAT reduction that you are proposing will result in a permanent increase in gas and electricity prices? Is a permanent VAT reduction not preferable? Most people who get an advance bill for gas and electricity on the bus this month will pay as much as 36 % more. This is demonstrated by a calculation of the VRT. After a first sharp increase in the autumn, prices are now rising if possible even stronger and improvement does not seem immediately in sight. During the first weeks of this year tens of thousands of customers saw their monthly advance bill double or triple. For some people, the sharp increases in energy prices are really getting out of hand. A listener of the program The Inspector on Radio 2 saw her advance bill rise from 400 euros to almost 1,300 euros per month. What opportunities do you see to help these people? I also have a question about the latest topicality. You have launched a number of proposals, such as a temporary VAT reduction which would then become conditional or be linked to higher excise duties. Several newspapers report that you are proposing to lower VAT on gas and electricity to 6% from 1 February, at least until 1 July or 1 October. Only families and single people would benefit from this VAT reduction. This is a temporary VAT measure which aims to buy time until a detailed solution can be presented that will apply until the end of the year. Can you confirm that your proposal of temporary VAT reduction would start on 1 February? Should that temporary VAT reduction end for you on 1 July or 1 October? Is it true that only families and single people will be able to benefit from the measure? For the solution that has been worked out, you would put two proposals on the table. The first proposal concerns a mechanism whereby VAT on gas and electricity for households falls to 6% when wholesale prices exceed a certain threshold. Can you confirm that? Where would that threshold be? Is that as in Spain at 35 euros per megawatt hour? The second proposal concerns a system whereby VAT is simply increased to 6%, but its cost for the State Treasury is offset by higher excise duties. Can you confirm that this proposal is on the table? Finally, have you discussed the temporary VAT reduction and the two proposals for a detailed solution within the government? If not, when will they be placed on the government table? If so, what was the reaction of the coalition partners? How feasible and realistic are the proposals?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u3	Mr Minister, as you know, the population can no longer pay high energy prices. There are two components: fuel and domestic energy. As far as fuel is concerned, at the plenary session on 20 October 2021 you were in line with my colleague and colleague, Raoul Hedebouw, who suggested that you lower the excise duties by announcing that you would propose to the government to apply the reverse cliquet of reducing excise duties to compensate for the price increase. You obviously delayed making this request, but it is assumed that it was finally formulated since you recently stated on RTL that within Vivaldi, the liberals, the socialists and the ecologists were not hot for this inverted click. As far as domestic energy is concerned, since 2007 the PTB has been defending a reduction in VAT from 21% to 6%. To date, our petition for this measure has received 300,000 signatures. Since you were Minister of Finance, you have repeated to us an incalculable number of times that it was a bad idea, before declaring to the VRT, a few days after the Epiphany, like a fourth Mage king guided by the red star of the PTB, that you found this idea excellent but in a temporary form. Within Vivaldi, it is not unanimous, but we can see that more and more training seems to be in favour of this idea of a reduction in VAT on energy. Minister, on these two energy issues, where are we? Is your political weight sufficient within the government to achieve these two advances or at least one of them? As I said, we feel that there is, in any case, some progress on VAT with certain parties that seem to be moving in that direction. I would also point out that there are French-speaking and Dutch-speaking socialists who have 6 per cent VAT bills. Why do you only consider 6% VAT on a temporary basis? Is energy not a basic product justifying the application of the reduced VAT rate, such as for water, food or medicines? Would a temporary VAT not be counterproductive to the purchasing power of the population since it would not bring a lasting reduction in this VAT while having a possible negative impact on wage indexation? In other words, does it require smart VAT for employers or smart VAT for workers, i.e. a reduction in permanent VAT? Finally, do you intend to review the taxation of the profits of energy producers so that they contribute to the financing of a reduction in the bill for the population? The PTB's research department calculated that there was an over-profit of 2.5 billion released by Electrabel on the basis of the current increase in energy prices. There's plenty to go for money to finance such a drop in VAT.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u4	Madam President, I wanted to join colleagues' questions in this fundamental debate for our citizens. This was recalled last Thursday in plenary, and many of our fellow citizens have extremely difficult endings because of the drastic rise in energy prices. The most fragile and disadvantaged audiences already have - and this is happy - access to the social tariff. More and more middle-class people - workers and single-parent families even with good wages - see at the end of the month the difficulties that are growing. This situation is a source of great concern for my Ecolo-Groen Group, as you know already in plenary, Mr Minister. The government is asking itself what it is going to do in the very short term, just as Parliament is asking itself. Several solutions are under discussion and I would like you to take stock. Through the press this morning, whether in L'Echo or De Tijd, several formulas on the table were mentioned. Environmentalists are not in favour of a general reduction in the VAT rate indefinitely because it does not target those in need of urgent and concrete assistance. As we say to the disadvantaged, we plead for continuity and the extension of access to the social tariff, also for the middle class, those workers who have difficulties at the end of the month. For us, this group is not the whole population. It is therefore estimated that this measure is not sufficiently targeted and risks undermining wage indexation, which points to a rise in inflation: around +/- 5.5%. Employees will benefit from an indexation of their wages, which we look forward to. But if we structurally lower VAT, it is likely to be much less important. Therefore, the efficiency/cost ratio of such a measure is not ideal. On the other hand, there are other options on the table. There is a question of extending the social tariff, of cheques. It's something interesting, as long as it targets families who need it first. Finally, I was referring to articles in the press, especially this morning, on the various options around VAT. As I said, the option of lowering it completely, for all audiences, is not for us the best. On the other hand, there are others. It is possible to play in particular on excise duties according to the price of energy, in order to be able to lighten the bills of households. These are obviously interesting options. I wanted you to take stock with us in this debate. I do not teach you anything, for us, a concrete solution in the very short term must be found because households are increasingly in difficulty because of this rise in energy prices.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u5	Minister, I had a very specific question about different possible VAT rates for a product, but you have already replied in the newspaper. I understand you can't do this. I have looked at the situation in Europe for a moment and I must say that there is no straight line. I do not see that aspect anywhere, but in some places it makes a distinction in the VAT system for the user. We do not need to engage in this extensive debate today, but I would like to mention a number of countries such as Cyprus and the Czech Republic, which still apply different types of VAT arrangements. This has also been done in Romania, for example, for families with a monthly consumption of up to 300 kilowatt hours. So there is a difference. However, all this is not so important to me. The most important thing is what we will do with the huge invoices that are threatening to get all the families in our country today. That is what the debate is about. All solutions are good, but you know which solution is ahead in the first place, namely a reduction in VAT to 6%. Mr Vanden Burre has just spoken about extending the social tariff, and that is interesting, but of course it is not possible to protect every family in the country with the social rate. So I do not understand the resistance to the VAT reduction. A VAT reduction is quick, has an impact and makes sense to us because energy is a basic product. There may be a number of side effects to such a VAT reduction, but smart policies can be used to steer it. Ultimately, the VAT reduction also fits in with the energy transition, in which, according to everyone, electricity should become cheaper. As far as we are concerned, therefore, this still seems to be the best measure. I will leave it at that, but perhaps you can say something about the different VAT rates?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u6	Mr Minister, I would like to inform you that the MR is very attentive to the critical situation of the middle class, given the rise in energy prices in the markets. You are not without having that the price of gas is ten times more important than about a year ago and that the price of electricity is five times more important than about a year ago, this being related. This staggering increase is also to be analysed in a particular geopolitical context and in a context of recovery after the health crisis. Perhaps in a few months, will it calm down? In any case, the situation will never return very quickly to acceptable levels. The social rate that already covers 20% of the population should not, in our view, be extended beyond because someone still has to pay. You, as Minister of Finance, are well placed to know that. The middle class remains in the middle of the bowling process because, by means of its bill, it supports, on the one hand, the social tariff and, on the other hand, the competitiveness of our enterprises, which also suffer, mainly small and medium-sized enterprises. This large middle class is the self-employed, it's the traders, it's the small and medium-sized enterprises, it's some employees, it's the pensioners, it's some civil servants. We never talk about it, but it represents a lot of people who are already having great difficulty in taking on the corrections that are made on their electricity bills by their supplier. Those who have chosen a fixed contract and who are often linked to an energy producer have a little more chance during the sale of the fixed contract but when the contract expires, it will be renegotiated with the operator and it will be influenced by market prices at that time. As a result, there are several avenues open to the government. I think the solution is there and that is what we are defending. These leads must all be explored at different dosages. We are in favour of a deepening and widening of the cliquet which is a driver which can be used at the outset of the new excise duties which have been created in the bill but this still does not solve your problem which is that of the feeding of this money which will return to the consumer to such a great extent since this middle class still represents not bad of our fellow citizens. The increase in revenue you see from VAT on electricity bills will not be enough. I therefore encouraged the Minister of Energy to have the surpluses raised by any energy producer (gas, renewables or nuclear) examined and to see that they were the profit margins that they gained by increasing prices on the market. This will determine what can be captured to add strength to your mill. This will also allow you, in addition to the reduction in VAT that you are now advocating and to which I have always been open – although the solution is not perfect and it must also be nuanced – to have enough means to give consumers a share of their effort. That's why we could talk about a discount. It's an idea that was launched within the MR by Mr. Piedboeuf. Let us return to Caesar what is Caesar's! This concept is a very interesting concept because when citizens, through their electricity bills and fees, support renewable energy, for example, it is clear that this support is now excessive in view of the very large profits generated by renewables operators. It is therefore normal for a rebate to be made at the start of these over-profits, for example by renewable operators, at this extremely critical time for consumers. I am waiting to hear what good news you are going to tell us following this morning's Kern, which I have no doubt dealt with these questions, unless I am wrong, but you will correct me. So we're listening to you.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u7	Madam President, ladies and gentlemen, many of you have stressed the importance of this debate. Prices for gas and electricity are rising significantly and the energy bill is becoming particularly heavy for many people. The theme of the rising advance invoices and the year-end account that is to come is very hard. In this discussion, I am fully on the side of the citizens and the families. This month, energy prices have increased exceptionally and dramatically. The current situation is different from that of November. An exceptional situation requires exceptional measures. The measures already taken by the federal government to protect the most vulnerable, such as the social rate, the 80 euro premium and the additional support through the OCMWs. This protection is important, but today we notice that the very large group of people affected by rising energy prices is increasing. Madam President, you rightly referred to the fact that middle-class families are getting harder to pay their invoices today. We must also support them. We have been looking for solutions for that group for a long time, but if we decide something, it must be effective and legal and it must also produce more for the citizen than any unintended side effects. I have always repeated this in this House. The federal government has only limited tools to support people: cheques, excises, VAT. As far as excise duties and VAT are concerned, I have drawn up concrete proposals, as Finance Minister, which are currently under discussion within the government. I was asked by several Members of Parliament exactly what that proposal means. My proposal involves a sensible and sustainable solution, a sustainable solution that takes time, a proposal that also takes into account the impact of all possible consequences and, at the same time and above all, has a quick and significant impact on our families' bill. After all, that is a question that I have received here several times. The proposal I submitted to the government is in stages. A first phase is the fastest and most effective option, i.e. a temporary reduction in VAT from 21% to 6%. During that first phase, we need to take the time to work on a solution that is sensible and sustainable, so that we can get in touch with energy suppliers in this way. That's why I worked out two slopes. One slope is a slope that we call the Spanish model. Mr Verduyckt, you referred to different possibilities. Well, the Spanish model is one of the options. As you know, any proposal to reduce VAT on electricity and gas must be submitted to Europe. This proposal has already passed that EU test, so we will make VAT rates depend on the level of the daily price for electricity. A second slope is the slope where we reduce VAT to 6%, but make the link with excise duties. In this way we can differentiate much better and we have more room for manoeuvre with these excise duties. That is the proposal that I have put on the table: in the first phase a temporary reduction quickly and effectively and in the second phase work towards a sensible and sustainable solution, depending on the slope chosen. It is clear to me that by putting this proposal on the table we have entered into an important debate, a debate on the energy bill of the most vulnerable, but also of the large group of people who are getting more and more difficult to pay them. Like you, I hope that the decision will be taken quickly, so that we can offer our families, the large group of the working middle class, quick relief.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u8	Minister, I fully agree that the context has changed. Just before Christmas, a hearing was held to show that there is not only a significant increase, but that it is clear that these prices will remain high for a long time. It is very good that you say that we now need measures with a rapid and direct impact. In advance, your proposal for a temporary reduction in VAT will certainly be supported. It has always been said that this is a good and logical measure. I have no problem with you considering how to implement this further. We do need quick measures that our families feel. We'll see what it's gonna be eventually. It is clearly progressing and this is in stark contrast to other levels today. The Flemish Minister for Energy puts a lot of energy into reaching out to others, but does little today. It's a good thing you're working on it. In any case, this debate will continue with a great deal of attention.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u9	Minister, you promised to reduce VAT for the greatly increased gas and electricity bill from 21% to 6%. We'll keep that promise. Earlier, you promised to tackle the greatly increased price of diesel and petrol at the pump by introducing the reverse cliquet system. A proverb says: "Many promises and little give, makes the madman live in joy." At the request and initiative of Flemish Interest, you confirmed in Parliament that you would intervene in the price of petrol and diesel. That was in all the papers, but ever since then it has remained deafeningly silent about it. Until today, we have heard nothing of this proposal, a real bitch. The increase in the price at the pump means that many hundreds of millions of euros disappear into Mr Van Peteghem's pockets, or at least into the pockets of the state treasury. The same applies to the energy bill. The increase in gas and electricity bills also means that many hundreds of millions of euros will disappear into the pockets of the state treasury. In the budgetary negotiations, you promised to give that money back to the people, but nothing is less true today. If millions of development aid are to be distributed in Africa or new asylum centres are to be opened in Flanders, it cannot be done quickly enough for this government. When it comes to our own people, who are having trouble paying their gas and electricity bills, when it comes to our own people, who are having trouble filling up their car, suddenly it's slow, there's no money and suddenly it can't all go so fast. We will stay on your heels here as a Flemish interest. We stand up for our own people. Give the many millions you're bringing in today by increasing taxes on the rising prices of diesel, petrol, gas and electricity back to the people, to our people at last. Lower the price to the pump and remove all the plague taxes from the energy bill.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u10	Minister, thank you for your answers. I am pleased to see that the lines are moving. This 6% VAT that the PTB has been defending since 2007 was totally impossible for you a few weeks ago. You had a battery of arguments against this measure. Today, you are making a proposal that incorporates this idea of 6% VAT and we can only welcome it. As far as the modalities are concerned, there is room for discussion. Your proposal can be summarized as follows: after a provisional phase, you would either switch to a yo-yo VAT or to yo-yo excise duties. That's not exactly what people expect. People expect a 6% VAT rate without increasing other taxes such as excise duties. Energy is a commodity of primary necessity. VAT on water, food products and medicines is 6%. VAT on champagne is 21%. Why not charge 6%? It will be said that money must be found for the financing of the measure. The PTB's research department calculated that ENGIE Electrabel would realize 2.5 billion overprofits. I am positively surprised to hear the chairman of our committee say that she has always been open to reducing VAT.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u11	Mr. Van Hees, you missed a few steps! You were never in the Committee on Energy when I was a minister. Do not imagine that the PTB is the pygmalion of the policy defended today by one or the other. You have contributed to this, but the role of the PTB should not be expanded.
