ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u1	Mrs Farih is not here. Mr Boukili apologized.
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u2	Minister, my question dates back some time ago. A Walloon doctor was suspected of falsely registering about 2,000 corona vaccines, which also made the derived Covid Safe Tickets incorrect. The corona vaccines are entered into the central database of Vaccinenet. A doctor needs a national registry number and the lottery number of the vaccine, but in Vaccinenet there is no limit on the number of lottery numbers a doctor can enter. For the record, such a lottery number is not linked to one vaccine or one vial, but to an entire production unit. Dr. Roel Van Giel of the GP Association Domus Medica also stated that the system is not 100 % waterproof. How many other doctors have committed similar crimes? How is that tracked down? In the meantime, have you taken action to avoid such fraud? What solutions have you worked out for this? Have you discussed this with the Länder and the Minister of Justice?
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u3	Mr. Chair, Minister, at the end of the last concertation committee and the presentation of the famous covid barometer that involves the use of the CST as long as we are in red or orange code, the Prime Minister was reassuring in saying that the use of the Covid Safe Ticket would not be maintained one day too much. At the same time, however, the Codeco strengthened the CST by reducing its validity to five months for both vaccination and healing certificates. Indeed, as of 1 March, the CST of all our vaccinated fellow citizens will be automatically deactivated five months after the injection of their second dose, if they have not received their third dose in the meantime. The CST will also be removed five months after the last covid infection. This decision was strongly criticized by some experts, including Yves Coppieters. I quote: "The change in the conditions of validity of the CST leads us to a vaccination obligation. We're gonna force people to take their third dose. Moreover, reducing the validity period of recovery certificates is not correct especially after an omicron wave that will necessarily produce a lot of them." These decisions also raise questions as the reflection on the CST and the future of it, which was promised by the Prime Minister, but also by Commissioner Corona, has never finally taken place. However, this assessment is essential and urgent, as Mr Callens, who is a member of GEMS, said, and who believes that this health pass should be reconsidered, saying that the CST had had less effect than it should have had, compared to other European countries. Minister, can you clarify the government's position on the CST? Does it intend to increase or reduce its use? On what basis has the Codeco decided to reduce the period of validity of the CST to five months? Is there some coordination at European level in this respect? Has the CST at least been assessed as to its impact on contamination, but also as to the population's adherence to vaccination? Is it possible to see the CST reactivated in the event of a further increase in contamination, especially in winter, given the seasonality of the virus? If so, how would this be combined with the opinion of the Council of State that the CST should be a proportionate and temporary tool? This strengthening of the CST leads me to ask you about the vaccine pass. In addition to the Prime Minister's statements that it would be better to bother the virus, not the people, you are nevertheless part of the same strategy adopted by the French President, Emmanuel Macron, namely this famous vaccine pass, i.e. a tool that conditions outings in a bar, a restaurant or a museum with vaccination alone. It is also an option defended by Commissioner Corona. The CST would therefore be further strengthened, by setting aside the negative PCR tests but also the healing certificates, which is strongly criticized by the experts still heard yesterday in the Health Committee. They insisted on immunity acquired through infection. Here's what they said: "It's amazing to ignore some kind of protection acquired after the wave of contamination in the delta and the omicron." It is certain that Commissioner Corona will be heard here in order to be able to compare his position on the vaccine pass with the positions of the various experts who have been heard. However, Minister, I would have liked to hear from you about the problems that this vaccine pass would pose. Do you recognize that erecting such a means of restraint is ultimately a disguised and therefore hypocritical vaccination obligation? What do you answer to the experts who criticize this vaccine pass and even the current CST, in that it would give a false sense of safety, since unfortunately it is known that vaccination does not protect 100% from contamination and, therefore, does not exempt us from respecting other barrier actions? What do you think of the proposal of the president of the Socialist Party to add the vaccination obligation to a vaccination pass, seeing it as a means of monitoring compliance with this possible future compulsory vaccination. Finally, I wonder about the controls on the CST and this future vaccine pass. I called his assessment earlier. However, it is likely that the results of this evaluation will automatically be distorted if they are not respected by everyone. Now, like Mr. De Caluwé alluded to it, whether it is the use of the QR code of a relative, the false bites" that some doctors agree to do for remuneration, the registration of contact details of people who did not come to vaccination, etc., the cases of fraud at the CST explode. Last December, I was already asking you about this to see whether this situation was being assessed and whether there was any knowledge of its practical impact on health security. At the time, I didn't get any answers. That is why I would like to repeat them. Minister, how does the government respond to the various forms of fraud at the CST? Is this phenomenon assessed? Is its impact measured in terms of health security? How are the various sectors now supported in order to be able to carry out the control of the CSTs? Is effective communication carried out in order to empower the citizen by focusing on the concrete consequences of such fraud, both in terms of law enforcement and health, including contamination and hospitalization? What is the specific role of the police in situations of fraud at the CST? Are we aware of the number of minutes that were prepared as a result of fraud at the CST? Finally, does not the updating of the Covid Safe Ticket when taking the third dose into account today provide a good opportunity to strengthen anti-fraud measures?
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u4	It has been decided that the third prick on the Corona Safe Ticket will be mentioned. We are left with the problem of our young people leaving on holiday. I asked you a question about this in plenary last week. In the meantime, have any steps been taken to ensure that young people could leave the CST on vacation even without that third shot? Doctors have been reported to have fraudulently contributed to obtaining a CST. Apparently, CSTs are also being sold. How's the investigation coming? What are your findings? We've talked a few times about the recovery certificate. You always point out that the repair certificate after an antigen test is not validated at European level and therefore you are not in favour of applying a repair certificate to the CST after a positive antigen test. However, this is the case in the Netherlands. On the one hand, I follow your reasoning that we must apply European uniformity to travel. However, someone who's tested positive in the pharmacy has proof that he's been through corona. I therefore do not understand why the CST in our country is not declared valid with a certificate of recovery. Can you consider that? There's also a huge inconsistency in the whole story. If the pharmacist tests the patient and the test is negative, the patient can collect the negative antigen test for his or her CST via itsme. However, the positive antigen test cannot be retrieved. That is, of course, working with two sizes and two weights, which is very difficult for the patient to accept. That is really something that could be reconsidered. Finally, I have a question about your statements on the vaccination pass. You indicated that you were in favour of the Corona Commissioner's findings. Yesterday and last week we had a number of hearings, which made it very clear that it would be better to put forward transparent legislation. What are your insights into the matter?
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u5	Minister, my group has been wary of the Covid Safe Ticket since the beginning, which would lead to polarization and discrimination. What was originally meant to be a travel pass and then reserved for major events became a disguised way of forcing citizens to be vaccinated. However, based on the data provided to us, some experts say that CST did not have a significant influence on the number of doses administered. In France, this had been the case, but the vaccination rate was already higher at the time of the introduction of the pass. Do you think that the CST had an influence on the vaccination rate? Can you prove that? As of March 1st, you will have to have received the booster in order to be able to benefit from a valid CST. Why did you make this decision and, in the end, why do you keep the CST today, given the omicron variant? Indeed, it appears from the hearings that we have had over the last two days that the effectiveness of the vaccine against the omicron variant is still strongly questioned, in the sense that being vaccinated does not prevent being contaminant at all. Therefore, why did you decide to maintain the CST until today? I have another question a little more specific. The rules for the number of quarantine days after a positive test have been amended recently. At first, it was ten days; today is only seven days. After seven days, we can go to work and get out of the isolation after a positive test. Some caution is suggested until the tenth day. On the other hand, the data subject's CST will become red from the moment it is positive and will only become green again from the twelfth day following the day of the test. This means that this person remains blocked and cannot go, for example, to the theatre. She can therefore go to work, but not to the theatre, the cinema or the restaurant. Minister, can you tell me why it takes so many days to get access to his CST? Is an adaptation envisaged, given that the number of days a contaminated person must be isolated has been reduced?
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u6	Mr President, Minister, I have already asked you at length about our testing capabilities, their need, the variety of tests to be planned and their accessibility, particularly in the context of cooperation with official pharmacists. The rules have been changing steadily for months. It is necessary to adapt, taking into account the knowledge and analysis of scientists and experts, but also, of course, according to the evolution of the pandemic, the variations, their degree of contagivity and dangerousness. In this context, regulations on quarantine and isolation have evolved and no longer require as many tests, or the conduct of a PCR test, but they incorporate, on the other hand, antigenic tests and self-tests. The recovery certificate after contracting covid-19 is currently issued only if a negative PCR test result is communicated. On the other hand, since January 19, it appears that the RAG recommends that a positive autotest no longer be confirmed by a PCR test. Minister, what specific instructions are given to tracing managers in the tests to be performed when the virus has been contracted? Is it true that tracing can require people who have had covid-19 to be tested in a pharmacy using an antigenic test in order to comply with the rules in force and thus be able to resume a more normal social life, especially when not vaccinated? Finally, considering these guidelines, have you received any recommendations to recognize antigenic tests as valid tests to receive a recovery certificate and to allow for the granting of a valid CST?
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u7	Mr Minister, during the discussion of the cooperation agreement in this committee you replied to one of my questions concerning the CST that people's vaccination status is based on the second injection and that would remain so. In other words, people would remain considered fully vaccinated, regardless of whether or not they received their booster shot. One of my questions was whether you stick to that position, but we already know the answer to that. In the meantime, there are already several booster shots. Will you therefore maintain that position consistently? How many shots will someone need to have a valid CST? Another question I had prepared was what status people will get who did not receive their booster shot or did not receive it in time, but that question too has now become obsolete. It may be interesting to know whether your decision will also apply to the next shots. In the context of hearings which may be held in our committee on the usefulness or necessity of the CST, would I like to know what the conditions are for the disposal of the CST?
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u8	Mr Minister, the first group of questions concerns whether the CST is still useful and relevant today, given the epidemiological data, the fact that a triple vaccine can be contaminant, the evolution of Omicron, the decision of governments, including yours, to no longer test or isolate high-risk contacts, and given its limited impact as a stimulant for vaccination in Belgium. The question is very clear. Was the Codeco's decision to evaluate the CST organized? We have seen that the discussion on this subject in the Health Committee was particularly nebulous this morning for the parties of the majority. The second question concerns the screw trick that you have decided within the framework of the Codeco. You changed the conditions over the validity period after a recovery certificate and reduced the validity period to 150 days after the booster. On what scientific basis did you make this decision and how do you justify it? With regard to the recovery certificate, more and more people have been infected with Omicron. In addition, you still do not accept taking into account the antigenic test when there is no sense in having it confirmed by a PCR test when it is positive. A fortiori, it is not appropriate to vaccinate in the weeks following covid contamination. For young people aged 20 to 30, the majority of whom have been or will be affected by Omicron, it is not logical to impose this booster dose after 150 days. How do you justify this decision? In most European countries, the deadline is nine months. Except in France, where it is seven months old, few countries have decided to reduce it. I therefore confess that, from a scientific point of view, I do not understand this decision which raises a real question.
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u9	I would like to make a distinction between the different questions. Firstly, I am asked about the transition from the current CST to a vaccination certificate. Secondly, I am asked about the role that the CST is now playing. Thirdly, there are specific questions about, among other things, fraud and the certificate of recovery. I have already spoken on the first aspect in public debates and in a personal capacity. In the committee, in which I represent the government, I will not dwell on this for long. We are looking forward to Parliament's opinion. Together with the Consultative Committee, I invited Parliament to hold a thorough debate on the vaccination requirement and the vaccination certificate. So I look forward to a clear and clear position from Parliament. I find it strange that as a minister I should now say what I think. I will do that one day, but first I would like to see Parliament's position clear after the hearings. I fully believe in the current CST with three dimensions, namely recovery, a negative test or a vaccination certificate. What does it mean that someone's CST turns red when it's scanned at the entrance of a cafe? One cannot enter that cafe if one is checked for it. That means two things. Firstly, he or she has not been vaccinated, he or she is not in possession of a negative test and certainly has no immunity based on the disease's previous experience. It is clear that the risk involved, both to be infected and to infect others as well as to become infected, possibly to become quite ill and possibly to enter a hospital, is greater when the screen is red than when it is green. Because the risk is greater, we decide that it is better that the person concerned does not go to the café. The second possibility is that the person concerned was vaccinated, but did not take a positive test that long ago. In that case, his or her screen will display red for 11 days. Those 11 days are more than what we've recorded today about isolation and more than what we've documented today for a number of people about quarantine. I'll get back to you on that. This prevents people who have recently been infected and may still be contagious from entering a cafe and infecting others. Is that useful in a society where so much virus goes around? That's absolutely what it is. I challenge everyone to claim that the difference between a red and a green screen means nothing. After all, that means absolutely something. Is that enough in itself to decide that we are completely safe? That is certainly not the case. Many debates on the CST, including in scientific circles, are related to this. However, I would like the political debate on the CST to finally take place, as we do on any form of risk management. Think of road safety: if someone said that it was enough for him or her to be able to drive 200 km/h, by driving the red light, not having a driving licence and driving without tires that were in order, we would find that crazy. There is also a seat belt requirement, the brakes must be in order, the tyre pressure at a certain level, there must be a stop for red, a driving licence is required. These are all measures that together contribute to increased road safety. Road safety is not absolute, as is evident from the large number of road deaths that we regret. Is there anyone who is here to ask Parliament to abolish the driving licence right away, since there are still road accidents? Nevertheless, I hear arguments, not directly in this sitting, but this morning in Home Affairs, which follow this logic and suggest that someone has gotten sick despite vaccination. I urge you to stop that kind of argument. My reply is that last week people left their lives on the road, and yet they do not call for the compulsory seat belt and driving licence to be removed immediately, and for tyre pressure and the braking system to cease to conform. That's not a good argument. A correct approach to the debate is what package of measures ensures that in a society where there is still a lot of virus there is less risk of infecting others, or getting seriously ill after infection. The CST clearly belongs in that package. The CST plays a useful role in the whole of measures when there is still a lot of virus circulating. I am firmly convinced of this, and with me the Consultative Committee and all the governments that sit on the Conciliation Committee. Of course, measures must be kept under constant review. Clarity is needed with regard to the barometer and the roadmap. The roadmap is a plan for safe easing. In that roadmap it is agreed that the CST will be used in code red and code orange, and then expires. It is my firm hope that we will be able to move fairly quickly to code orange and soon afterwards to code yellow. Since I don't have a glass ball, that's a lot and by no means a prediction. In any case, I would urge you to hold on to the barometer. We have assured the citizens that we want to give them a grip. Now, inciting a debate to dismantle the barometer, I don't think it would be wise, I wouldn't do that. Let us use the barometer as it is now set up. The CST is in there as one of the many instruments in code red and code orange, and I think we should continue to use that. If there is another situation, described as code yellow, the CST is no longer necessary and we must put it away as soon as possible, as the Prime Minister said. Supporting the usefulness of the CST is also precisely in the observation that, unfortunately, in a number of places, different by region, city, age group and social group, quite a lot of people still haven't gotten their booster shot. Those people aren't so well protected from the omikron variant. For this reason, we want, in principle, to be somewhat dependent on the pace of the legislative process as from 1 March, because democratic approval must be given to a legal cooperation agreement in which people must either be boosted or have had their basic vaccination rather recently, not more than five months ago, or have to provide evidence of infection, not more than five months ago but at least eleven days old. For the basic vaccination, the limit is five months, because we know that the strength of the basic vaccination programme against omikron decreases considerably after four months, which means that the booster is really needed. The reduction for the recovery certificate applies because there is reasonable doubt as to what an old recovery certificate still means in a context in which omikron is the enemy. They are repair certificates based on the delta variant, but they do not protect against omikron. That is why we are shortening this period, not very strongly, but somewhat. To keep it simple, we also opt for five months, with which we follow scientific advice. We base ourselves here on what the experts say, but of course it is a political decision and we are not hiding behind the experts. I think that this kind of discussion shows exactly how useful it is for the CST to distinguish between those who are boosted and those who are not. From the beginning of March onwards, we want to make that distinction, because those who are boosted are less likely to be infected, less likely to infect others and, above all, less likely to become ill. Mrs Merckx asked why one can go to work when one has been in isolation for seven days, but cannot go to a café or a cultural event, which is prevented by the CST. That is perfectly defendable. Work is absolutely necessary for many people and is also important for society. People can be asked not to have a contact at the café when there is still a risk of being contagious, as people can be asked to stay away from large public events. One can go to work, because we dare to assume that this is more necessary. That is not a negative opinion about going to a café or a cultural event, but it is a reflection of what is most urgent that people should be able to do again. Working is more urgent than being able to go to a café, no matter how important it is to go to a café. For the cafe we use the CST, which turns red for eleven days after a positive test. That is the period in which one can still be contagious. We'll make that distinction. That is a matter of safety considerations. The CST is a security tool for society and for the people concerned. That will remain the case, but if there is less virus circulating, it will become less relevant. The criticism of the CST, also from many experts, is that the CST is associated with 'now you can do your way because you are completely safe. You are wearing a seat belt and you are allowed to drive 200 km per hour', but in fact these experts want to say that we decided too quickly in September to abolish the duty to mask the mouth. They say that we have not emphasised enough that people, apart from vaccination, also had to observe other forms of caution and that through the CST we have created a false sense of safety. That's the story. The story of these experts is that our package was not complete, that the danger was not gone with the CST, but that there was still something missing in our arsenal, such as mouth masks and other measures. I think that this debate is a different debate from the debate on vaccination certificates in principle. I am very curious about the clear position Parliament will take on this issue. I am really looking forward to that, and I think that is important from a democratic point of view. I will not anticipate this as a member of the government, but I think we should continue to follow our barometer. Then I would like to address the question of why we should not also use a rapid antigen test in support of a recovery. According to Regulation (EC) No 2021/953 of 14 June 2021 on a framework for the issue, verification and acceptance of interoperable COVID-19 vaccination, test and recovery certificates, a recovery certificate should not be issued earlier than 11 days after the date on which the person concerned first undergone a NATE test such as a PCR test, which indicated a positive result. And, says the regulation, the recovery certificate must not be valid for more than 180 days. The recovery certificate cannot therefore be issued on another basis, e.g. a serological test or a positive rapid antigen test. We are applying the European regulation here. If that regulation were to allow the granting of a certificate of recovery on the basis of other observations, we would implement it immediately. I would like to repeat what I said earlier: having recovered from a delta infection does not necessarily give immunity against a re-infection with omikron. So we need to think carefully about how long we will continue to work with such certificates in the distant future. That is exactly the debate: are we going to stay with the current multidimensional CST or are we going to go to a more one-dimensional vaccination certificate? I would also like to stress that a positive rapid antigen test at a pharmacist means that someone is infected. So that person must go into isolation and the contact tracing must be started. That result shall be recorded, with a temporary suspension of any vaccination certificates available to that person. If that person is unable to work due to symptoms, he will have to call on the general practitioner for a medical certificate of incapacity for work to justify guaranteed pay. If this is not the case, he may rely on a quarantine certificate which can be generated immediately through the application. Mrs Taquin, you asked what instructions are given regarding the tracing questionnaires. When someone has contracted the virus – a person with a positive result of an AG or PCR test administered by a healthcare professional – they must not be retested, but must respect a isolation that they can leave after seven days, provided they have not had a fever for at least three days, and provided that the symptoms have also improved clinically. The isolation is followed by a period of extreme prudence of three days, with among other things the continuous wearing of a mask when you are in interior spaces with other people. Then, for a period of five months, these people should be tested only in case of evocative symptoms. What is the tracing going to ask people? Tracing will require high-risk contacts to take quarantine and testing measures depending on the situation they are in – vaccination status, previous infection. As indicated, contact with a documented infection within a period of less than five months will be considered fully immunized and should not be quarantined or tested when there are no symptoms. Mr De Caluwe and Mrs Rohonyi asked questions about fraud. Let me go into that in more detail. There are general principles within Vaccinenet that relate to the deontology of a doctor. To register correctly, only doctors can apply for access to Vaccine Network. Also for vaccination entities, there is always a link in Vaccinenet with a responsible doctor. This doctor can add staff, but this always happens under his or her responsibility. In addition, there is the vaccine network user agreement that every user must sign before they can use Vaccinenet. More specifically, I stress that each state is responsible for the access management, in particular the approval of vaccineers and employees, and for the control of the registrations by their vaccines. In general, data analysis is used for monitoring as far as possible, allowing the detection of anomalies. Based on the findings of the existing data analysis controls, the controls are continuously refined, for example according to the geographical distribution of vaccinees compared to the doctor's location. So that's something one can control. In principle, the Länder also contact each other if anomalies are detected with citizens from other Länder. Mr De Caluwe, in the QR code of each certificate, a digital character key is encoded from the country issuing the certificate. It is CovidScanBE that will initially check if a QR code was drawn correctly when scanning a CST. This means that fake QR codes, issued with an unprecedented or missing signature, will immediately turn red when scanning. Purchasing certificates via fraudulent websites will thus lead to a red CST because of the lack of the right digital key. This applies both to certificates offered digitally via the CovidScanBE app and to printed certificates. The digital key with which the QR codes are drawn is also renewed every six months. The CovidScanBE app also displays the certificates in an official format. Around the QR code is a moving watermark. This allows visual validation when scanning whether a screenshot of another person's QR code is displayed. In addition, Belgium has developed a system with a suspension list, allowing individual certificates to be suspended in the event of fraud. As a result, the CST will immediately color red when submitting a suspended certificate. For example, a few thousand certificates from one fraudulent doctor from Wallonia have been suspended so far, as well as ten certificates issued by other countries for which fraud has been detected. Other cases of fraud have not been reported to date. Furthermore, in the event of the loss of their certificate, citizens may request the suspension of the lost certificate and request a new copy via a call to one of the three regional call centres. Again, these suspended certificates will scan red. In addition, citizens were also informed about the personal nature of a certificate with previous press releases. They were encouraged not to share and keep it carefully. They were also informed about the possibility of suspending the certificates. In addition, certificates are linked to INSZ numbers in Belgium and can only be retrieved through the various government portals and the CovidScanBE app, through strong authentication, i.e. itsme, eID and other FAS authentication tools. This ensures that the certificates are made available to the right person in a safe manner. In addition, an application for a certificate is sent by post only to the known residence address from the National Register. Since the certificate can only be delivered to the officially known address of the certificate holder, the use of false delivery addresses is excluded. If a European decision is applied, the primary vaccination certificates over nine months of age will expire on 1 February. This means that only the newly issued booster certificates will generate a valid CST, which will automatically lead to the renewal of the certificates. A transitional period is provided for 12 to 17-year-olds, until they can also receive booster vaccination.
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u10	Minister, I find it particularly charming that Parliament is finally being heard. Actually, it's almost heartwarming when I hear you so busy. When important debates had to be held on curfew and even on access to vaccines, on vaccination contracts and on the measures to be taken for freedom, you did not consider it necessary to consult Parliament for months. However, now that your government's seven-headed dragon does not agree on the further approach, it is up to us. That is of course very charming, but it is a pity that it is only after two years. As far as the vaccination pass is concerned, you have, of course, already spoken out. The government has given as many opinions as it counts parties. In any case, yesterday's hearings gave a very clear signal that the obligation of vaccination is no longer at issue today and that the 1G policy is not correct legislation. We are only halfway through the hearings and we still have a lot to do. It is quite clear that vaccination works very well against serious covid, but also that by obliging them to make the health gains are today, for example, 93 % of vaccinees in Flanders would be very minimal and that the basis for it is far from acceptable. As far as the evaluation of the CST is concerned, the Consultation Committee has also instructed this Parliament. It is clearly not so well understood by the seven parties, because this morning we debated the question of whether we can now effectively proceed to its evaluation in the Committee on Health. That committee should consider the epidemiological usefulness of the CST, but we did not get out this morning. Perhaps you could talk to the Vivaldists again, because that is absolutely very important. You mentioned the CST and the risks involved. You said it gives a false sense of safety and you also reiterated road safety. There are, however, a number of points that need to be made very clearly. First of all, you yourself mentioned that the CST did not emphasise sufficiently communicatively that other measures, such as mouth masks, hygiene and so on, should also be respected. Citizens still expect to be safe when using the CST, that they can go to some kind of activity and no longer have to pay attention. So there is still work to be done on this communication. Secondly, most of the transmissions are still in the home environment. You have given the example that it is more important to go to work than to go to cafés. That's absolutely right. However, many people invite other people. In addition, there is no CST and there is a great deal of chance of transmission when there appears to be another problem. Thirdly, with the whole discussion on the CST there is a problem in terms of acceptance. That is absolutely avoidable. You mentioned that the oral mask measures were omitted in September. However, you forgot to decide on the booster shot, which was really necessary and which would have made a big difference for Omikron. Mr Minister, you point out that the delta recovery certificate will apply and not to omikron. The immunity is indeed not great compared to omikron when someone has had a delta infection. However, if the pharmacist does a positive omicron antigen test or now it appears that a positive antigen test is currently mostly related to omikron, it would only be logical for that test to be seen at the CST. Even if you don't want to use the recovery certificate in March, there's still a few weeks to go. So that is somewhat illogical. You say that a positive test is recorded, but that test does not appear on the CST. So the patient can work much harder. I just can't explain that. The European regulation you are talking about is not being applied by the Netherlands for internal use. It would be much more patient-friendly and consistent, especially with the testing policy you have now and which many doctors believe is insufficient, to include a positive antigen test on the CST. After all, you mentioned it side by side, the burden on the general practitioners is still very great and it is up to us to ensure that it is minimal.
ParlaMint-BE_2022-02-01-definitief-55-commissie-ic680x.u11	Mr President, Minister, the CST is causing a great deal of turmoil. It's a means that we need to be careful about. However, I do not doubt the added value of the CST. That can certainly be useful. But maybe there's bad communication about it. The experts also have many different views and opinions about the usefulness. We also hear this in the hearings on the vaccination obligation. As requested by the Consultative Committee, with all the governments in this country, a debate will take place in Parliament. Contrary to what my colleague has just said, it was not decided this morning not to have that debate, but to have the debate where it belongs best. That is why we asked this morning for the Conference of Presidents to look into this matter. Here's what's troubling me. There are people who want a CST at all costs without being vaccinated. That is why they are consciously infected. They do that by going to contamination parties or even through crazier things, by pushing saliva from an infected person into their own noses. We all know that example. Now that people think that omikron is much less sickening and is actually nothing more than a cold, I hear more and more people hoping to get infected quickly. It's about people who haven't been vaccinated, of course. Furthermore, we also see, as the doctor in Wallonia did, that trade is being set up to help people get a CST without vaccination. I would like to thank you for your explanation of how you deal with these abuses, because I do not think that we can tolerate them and that we need to take the necessary measures.
