ParlaMint-RS_2000-10-24-0.u2533	Who is this Ristic?
ParlaMint-RS_2000-10-24-0.u2534	Don't ask me, I didn't ask him. Be nice, sit down. I would like to inform you that, according to official record, 140 MPs attend today's session. In order to determine the quorum, I ask the MPs to place their identification cards in the MPs. Please, you know how we determine, if we can't use the electronic system, the officers will have to count. But wait a little longer, the MPs are coming. I use my business procedure the way my Rules of Procedure tells me to. I ask professional services, since we cannot determine by electronic means, to count the MPs. The SRS are leaving the O.R. I ask professional services to count the MPs in the O.R. We've determined by counting that there are 107 MPs. So we don't have a quorum. I suggest a break by 12.00 hours. ( AFTER PAUSE - 15.20 p.m.) We're continuing our work. To determine the quorum, please place your cards in the MPs' units. If the electronic system doesn't work, I'd ask professional services to count the MPs in the O.R. Since we don't have a quorum, I'm taking a five-minute break. I would ask the MPs not to move away from the O.R. Having obtained the conditions, I propose that we establish the mandate of Members of the People's Parliament in the National Assembly of the Republic of Serbia for vacant seats, in order to enable them to participate in the work of the National Assembly. You have been presented with a report by the Republic Election Commission on the selection of MPs in election units 5 - Subotica and 6 - Zrenjanin, to fill seats in the National Assembly of the Republic of Serbia. You have also received a report from the Administrative Board, which has established that the conditions for confirming the mandate of Members of Parliament have been met with a proposal that the National Assembly, as set out in Article 27(5). Law on the election of MPs finds confirmation of the mandate to the MPs: Mihalju Vermeš, candidate from the Socialist Party of Serbia, the Yugoslav Left, New Democracy - Slobodan Milosevic in Election Unit 5 - Subotica and Mr Milovan Vukoje, candidate from the Socialist Party of Serbia, the Yugoslav Left, New Democracy - Slobodan Milosevic in Election Unit 6 - Zrenjanin. On the basis of the report of the Republic Election Commission and the report and the proposal of the Administrative Committee, as referred to in Article 27(5). The law on the selection of Members of the People's Parliaments, I would like to confirm the mandate of the People's MPs Michael Vermesh and Mr Milovan Vukoi. Congratulations to the MPs of the election. I ask the MPs to take part in the work. I remind you that at yesterday's session, the National Assembly decided on Members of the National Assembly at the National Assembly of the Republic of Serbia. The Administrative Committee, meanwhile, has proposed another decision on Members of the People's Permanent Work in the National Assembly of the Republic of Serbia, which has been given to you. I'm opening a unique search. Does the Proposer's representative want a word? He doesn't want to. Do any of the MPs want a word? There's a word from the MP of Life Cvetkovic.
ParlaMint-RS_2000-10-24-0.u2536	I would like to make a proposal to add the name Đusic Dusana to the members' permanent work in the Assembly.
ParlaMint-RS_2000-10-24-0.u2537	Does the Proposer's representative accept this proposal? Acceptance. I ask the Members of Parliament to place their cards in the MPs' units. We have a quorum. I am putting to the vote a motion for a decision on Members of the People's Parliament on permanent work in the National Assembly of the Republic of Serbia, with the addition proposed by MP of the People's Life of Cvetkovic. I find that 123 MPs voted in favour of this proposal, against which there were no one, with abstentions, voted six MPs. It was present in the room of 129 MPs. I find that the National Assembly, most of the votes, has adopted a proposal for a decision on Members of the People's Parliament on permanent work in the National Assembly of the Republic of Serbia. I propose that when preparing for publication in the "Official Messenger of the Republic of Serbia" both decisions on Members of the Permanent Work at the National Assembly of the Republic of Serbia, adopted by the National Assembly at this session on 23 and 24 October 2000, legal -- technical unity and publication as one act. I remind you that at yesterday's session, the National Assembly established the agenda of the Second Regular Session in 2000 of five points and launched a principle search for the first item of the agenda. We move to the 1st item of the agenda: - Proposal for a LAW ON SUPPLEMENTS OF MINISTRATIVES 28 MPs participated in the general search. We're continuing the search on this proposal. Is anyone answering for a word? There is a word from the People's Messenger of Spasoje Krunic.
ParlaMint-RS_2000-10-24-0.u2538	Ladies and gentlemen, honourable MPs, we have endured a lot of things - what and yesterday and I am sorry that we are not in a position to endure even more for the simple reason that we fought for the public transfers of work of the highest body in the Republic on 9 March. The SPO has never accepted, nor can it accept to work in a cave. The truth is, there are some cameras up until a little while ago, and now, but the truth is, in these conditions of humiliation, each of us has to ask if we should work. I believe, Mr. President, I really don't believe that the Assembly ordered the termination of the transfer. I believe because yesterday was the attempt of the New Radio Television, or as it's called, it doesn't matter to me, so after 15 minutes, it was all arranged, so this morning the cameras were removed to send a letter to the president of the Assembly that one day they would probably be transferring congregation sessions, but there are no technical possibilities today. There were, of course, transmissions from the Sava Center and it's a good thing it was, there was transmission yesterday, but it's not a good thing it's not here today. The three basic requirements set by the SPO in the negotiations on the formation of a transitional government were not met and it was important for all sympathisers and members of the SPO to know why we insist. We insist for a simple reason because we believe that Mr. Govedarica, Krsmanovic and Markovic represent and are a symbol of something that cannot stay where they are. If we want respect for the rights and the state in which the right is respected for everything the agreement has been signed on. I remind you it's nine. In June of last year, he proposed a transitional government, realizing that following the horrors we survived by the criminal aggression of NATO, there is something urgent to be done to save this country and to move towards a better one. Others were second opinions, one of them was without an opinion, or at least they were not giving it up. Today we are actually in a situation where the new structure, or DOS, which seems to dictate behavior in this country, determines whether there will be a transfer, whether there will be no transfer, whether the public will know what MPs as representatives of the people in this assembly are saying or what they have failed to do. We were in favour of early elections, we were in favour of a transitional government, we signed an agreement, because we believe that 45 MPs in the Republika Srpska Assembly represent a great commitment, a force that the government can make until the 23rd December early elections. True, last night, a lengthy interview with Mr. Markovic that she said lasted two hours, I was in a forced prison like you here, that he could resign only to Mr. Kostunica. That means there's no Republic Assembly for him, there's no one in this room. If so, I'm sorry if any of you had a chance to hear so it's something different, then I'm pulling what I'm saying, but I think it's too much to intervene. We will continue our joint work, which I believe will be in the interest of everything we have signed, work hard on it, and demand that what we have proposed be respected until the end and that the position of the SPO be respected for the simple reason that we cannot, and you know very well, accept that, in time, we cannot accept that Mr. Bevekarica is one of the members of the electoral commission. I remind you of that because even if some of us heard, which is a symbol of theft, a symbol of abuse and a symbol of what the past government was actually playing at. Gentlemen, ladies and gentlemen, Mr. President, I'm sorry it may not be directly related to the first act and the agenda. Thank you for listening to me. Remember, we're very defeated, very humiliated by the fact that television broadcasts don't have the will of anyone in this room we don't know. I believe none of us. Thank you.
ParlaMint-RS_2000-10-24-0.u2539	Thank you. Anybody else answer for a word? Yeah. ) There is a word from MP Bojana Ristic.
ParlaMint-RS_2000-10-24-0.u2540	Injury of the Rules of Procedure.
ParlaMint-RS_2000-10-24-0.u2541	You spoke, Mr. Ljuboevich, about this point. We'll talk about it later.
ParlaMint-RS_2000-10-24-0.u2542	The Honorable Presidency, ladies and gentlemen of parliament, despite the obstruction of the New RTS despite the lack of television transmission of this session of the Serbian Parliament, the SPO will take part in a decision on Serbia's transitional government. The people of Serbia want a transitional government to be formed as soon as possible, in order to bring about changes in the republic's elections legally. It's a good thing the SRS MPs decided to stop the obstruction. The SPS, the SRS and the JUL have been in Serbia's coalition government since the 1997 elections and have had time to show what they can do. Citizens want to change, and now they want to know when they're going to have heat, when power outages and so on. The people don't want to hear anymore, they don't want to wait any longer for a transitional government to pay their salaries, pensions, child benefits. Serbian citizens want a transitional government now. I know that the MPs of the SRS did this because in Serbia, the media is regulated, and I understand that somewhat. I know that if this continues, we will have to say that in Serbia, the media has one editor and that we have one brain, especially electronic media. We from the SPO can complain a lot more about the media than anyone. In the election campaign, and even now, RTS is completely closed to the SPO and our President Vuk Draskovic. Radical President Vojislav Seselj has already been on New Serbian TV several times, so after the elections. He was also on the old Serbian TV before the election. About the SPS not to talk. Their representatives are on state television all the time before and after the election. Last night, an interview with Radet Markovic, the head of the DB service, was held in parallel with the Serbian Parliament's New RTS session last night. Having asked the journalist question, would he resign, he replied, if it is requested by Yugoslav President Vojislav Kostunica, so here is the opportunity to ask Mr Kostunica, why does he not request the resignation of Radet Markovic, head of Serbia's DB service? After all, do we need to listen to Radet Markovic's threats to Vuk Draskovic? Through Serbia's New Television. Is this a Nazi state, and members of the SPO of Jews who can kill and harass anyone without any responsibility? Did New Television's show of Serbia mean DOS support for Radet Markovic? In a normal, democratic country, only because of an unexplained assassination attempt on the president of the main opposition party, full police leadership should resign or better, to be replaced. The new RTS head of state security is given an appointment, and the victims and families of the murdered and missing are not given an appointment. In addition to two assassination attempts at Vuk Draskovic, Rade Markovic should also explain the abduction of Ivan Stambolic, the murder of Slavko Curuvija, a number of other unexposed murders. Rade Markovic must not be under anyone's protection. At least we expected the New RTS to defend Radet Markovic from the SPO. What kind of head of the DB service says we should ask Dodik and Milo Djukanovic where Ivan Stambolic is, instead of him knowing and protecting his citizens? If many ministers have resigned, if the DOS has taken over RTS, etc., why so much restraint when it comes to the head of the DB, the president of the Supreme Court of Serbia, a republican prosecutor? If the SPS and DOS do not want to support the SPO's request that the Head of State Security Rade Markovic resign, why are you protecting him? In addition, if the SPS and DOS feel that because of the SPO and Vuk Draskovic are not needed, let Rade Markovic resign because of the unenlightened murder of Slavko Curuvija, due to the abduction of Ivan Stambolic. Is there still a list to be made? For beating up students, for beating up citizens, does it still have to be reminded?
ParlaMint-RS_2000-10-24-0.u2543	Please, I've let you do enough to make an introduction, and now stick to the agenda.
ParlaMint-RS_2000-10-24-0.u2544	The SPS MPs are asking the president of Yugoslavia and the DOS to support the SPO's request that the DB service chief resign. The resignation is a moral act. Responsibilities will be determined by the competent authorities. Thank you.
ParlaMint-RS_2000-10-24-0.u2545	Thank you. What?
ParlaMint-RS_2000-10-24-0.u2546	Injury of the Rules of Procedure.
ParlaMint-RS_2000-10-24-0.u2547	Did you register?
ParlaMint-RS_2000-10-24-0.u2548	Yeah.
ParlaMint-RS_2000-10-24-0.u2549	Now you can, but please state exactly what a breach of the Rules of Procedure is.
ParlaMint-RS_2000-10-24-0.u2550	Ladies and gentlemen, MPs, in order for the Assembly to work and to make a full decision, there must be 126 MPs in the Assembly room, not 126, 127 or 128 identification cards. In determining the quorum, four MPs sit on the front row, there were five parliamentary cards. I assume one card from Zoran Angelkovic - Bucky, Secretary General of the SPS. That's why I demand that the quorum be determined by a pronunciation. Now that double cards have been drawn, my card has 122 MPs. So there's not enough to work with.
ParlaMint-RS_2000-10-24-0.u2551	Okay, you've put your remarks on. Be nice and sit down.
ParlaMint-RS_2000-10-24-0.u2552	Please confirm the quorum by calling, 126 MPs were not in the O.R. for one moment.
ParlaMint-RS_2000-10-24-0.u2553	The quorum will first be determined. Sir, you made your proposal and be kind enough to sit down.
ParlaMint-RS_2000-10-24-0.u2554	You can also work with 100 MPs, you can vote the government with 100 MPs, but this government, like everything you do from this moment on, is neither legal nor legitimate. You from the Serbian Renewal Movement know very well what the Socialists and the JUL were doing in the previous term and you are doing the same now.
ParlaMint-RS_2000-10-24-0.u2555	The MP has the right to advertise the quorum. I ask the Members of Parliament to place their cards in the MPs' units. We have a quorum. Anybody else answer for a word? Nobody. ) I am concluding the principle of shock. I ask the MPs to, in order to determine the quorum, insert their cards into the MPs' units. We have a quorum. I'm asking the tech people to check this out. I am putting the draft law on the amendments to the Ministry Act in principle. The vote was - 131, against - no one, with abstentions - has voted two, a total of 133 MPs. I find that the National Assembly has mostly voted in favour of the bill in principle. I'm opening a search of the bill in particular. Does anyone want to talk about the bill in particular? He doesn't want to. ( ) Since no one is answering, I conclude a search of the bill in particular. I ask the MPs to, in order to determine the quorum, place their cards in MPs' units. We have a quorum. I am putting the bill to the vote on the law supplementing the Ministry Act in general. The vote was - 125, against - no one with abstentions - no vote, no votes - 8, total attendance - 133 MPs. I find that the National Assembly adopted by majority the draft law supplementing the Ministry Act. We propose on item 2 of the agenda: - Proposal for a Law on the work of the Government of the Republic of Serbia and of the Ministry until the education of the Government of the Republic of Serbia after the parliamentary elections of 2000. FOR years, you have received the bill of law submitted by the Government of the Republic of Serbia. It's an open principled search. Does the Proposer's representative want a word? He doesn't want to. Do any of the MPs want a word? He doesn't want to. ) I am concluding the principle of shock. I ask the MPs to, in order to determine the quorum, place their cards in MPs' units. We have a quorum. I put to the vote the draft law on the work of the government of the Republic of Serbia and the ministries until the education of the Government of the Republic of Serbia following the 2000 parliamentary elections in principle. For voting -- 127, against -- no one, abstentioned one, voted -- five, a total of 133 MPs were present. I find that the National Assembly has mostly voted in favour of the bill in principle. I'm opening a search of the bill in particular. Does anyone want to talk about the bill in particular? He doesn't want to. ( ) Since no one is answering for a word, I conclude a search of the bill in particular. I ask the MPs to, in order to determine the quorum, insert their cards into the MPs' units. We have a quorum. I ask the People's Messengers not to have fun. I am putting to the vote the draft law on the work of the government of the Republic of Serbia and the ministries to the education of the Government of the Republic of Serbia following the 2000 parliamentary elections in general. For voting -- 128, against -- no one, abstentioned -- one, voted -- four, a total of 133 MPs were present. I find that the National Assembly adopted by majority the draft law on the work of the government of the Republic of Serbia and the ministries to the education of the Serbian Government after the 2000 parliamentary elections. We move to the 3rd item of the agenda: - THE CHOICE OF THE PRESIDENTS AND MEMBER STATES OF THE REPUBLIC OF SERBIA You are presented with a proposal for a candidate for the Prime Minister of the Republic of Serbia, in agreement with Article 83. The constitution of the Republic of Serbia, which was submitted by the president of the Republic of Serbia, Milan Milutinovic. You were given the consent of Milomir Minic, a candidate for the Prime Minister of the Republic of Serbia, to accept the candidacy. In this way, and in accordance with the provisions of the Constitution of the Republic of Serbia, the Law on the Government of the Republic of Serbia and the Rules of Procedure of the National Assembly of the Republic of Serbia, the conditions have been met that: - the candidate for Prime Minister shall present his programme to the National Assembly and propose the composition of the Government of the Republic of Serbia (Article 92(1)). The Constitution of the Republic of Serbia), - to open a search on a candidate for Prime Minister, a programme of candidates for Prime Minister and candidates for government members, - when the government is elected, determine the number of Deputy Prime Ministers and elect the Prime Minister and Prime Minister in the Government (Article 73(10). Constitution of the Republic of Serbia, Article 5. Law on the Government of the Republic of Serbia and Article 187. Rules of Procedure) and, yes, government members take an oath. Is Milomir Miniæ in the O.R.? No, it's not. Please, call him. I ask Milomir Minic, candidate for Prime Minister of the Republic of Serbia, to present to the National Assembly a programme and propose a composition of the Government of the Republic of Serbia. There is a word for candidate for the Prime Minister of the Republic of Serbia, Milomir Minic.
