ParlaMint-NL_2020-02-18-eerstekamer-5.u1	Then I give the floor to Mr Rietkerk.
ParlaMint-NL_2020-02-18-eerstekamer-5.u2	Thank you, Mr. Chairman. I tabled the motion on the basis of written questions, the debate and the Minister's reply. Considering the reaction of the VNG, the IPO and spokesmen of a number of other groups, I have modified and modified the motion, which brings the amended motion into line with the system of the Environment Act. The term "industrial sites of regional importance" has been replaced by "industrial sites of provincial importance." In addition, the operative part of the Supplementary Noise Act was replaced by the operative part of "IenW Collecting Act'. That's better under state law and better under law.
ParlaMint-NL_2020-02-18-eerstekamer-5.u3	The motion-Rietkerk c.s. (' point ') has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, under current law, provinces are competent, under the Noise Act, to designate industrial sites of regional importance in the provincial regulation;]] [[Whereas this competence of Provincial States does not return under the Environmental Law;]] [[Whereas under the Environmental Act (Article 2.11a), although it is possible for the Provincial Council to request that noise production ceilings be set around industrial sites, this is not the same and is not in line with the starting point for joining the existing administrative division of labour;]] [[Whereas existing practice has shown that it is efficient and effective for the provinces to have independent competence because of the importance of the municipality;]] [[Whereas the Environment Act does not allow the local authorities to take more effective and effective action in the decision-making of industrial sites of provincial interest (as designated in the environmental regulation);]] [[Whereas the scheme increases the burden on the municipalities;]] [[Whereas in the future it will continue to be more efficient and effective to establish and manage noise production ceilings for industrial sites of provincial importance, especially those areas where the municipal boundaries are exceeded;]] [[Calls on the Government to include in the IenW 2019 Collecting Act that provinces remain competent to designate industrial sites of provincial importance in their environmental regulation, including the power to amend and set and comply with noise production ceilings for those areas,]] [[and goes to the order of the day.]] [[This amended motion was signed by Mr Rietkerk, Mr Essers, Mr Dessing, Mr Kluit, Mr Van Gurp, Mr Van Dijk and Mr Verkerk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35054-I]]
ParlaMint-NL_2020-02-18-eerstekamer-5.u4	Thank you, Mr President. Last week, of course, we debated this issue extensively. For the VVD Group, the Minister's opinion is particularly important. It indicated that the VNG and the IPO, the two umbrella organisations, are still in discussion on this issue. We ourselves have also received information from the domes. They expect to come to a conclusion within two to three weeks. If the domes are still in conversation, the VVD-group thinks it is very important to leave it to the fellow governments for a while. I don't think it's up to the First Chamber to force a verdict there right now. Hence an order proposal on the part of the VVD Group, president. We propose that this motion be postponed for another month. We will then keep it limited, because it is said that in two to three weeks we will be able to come to an conclusion. In a month's time, we can see whether that has been achieved and then, if necessary, put the proposal to the vote. I therefore urge the CDA Group, Mr Rietkerk, to hold the motion for a resolution for another month. Thank you.
ParlaMint-NL_2020-02-18-eerstekamer-5.u5	Thank you, Mr. Arbouw. Mr Arbouw therefore proposes that the vote on the motion be postponed by one month, unless the CDA Group holds the motion for a month. I propose that we finish the third term with any other speakers and then deal with the order of business on the votes. Does one of the other Members still wish to speak in the third term? That's the case. Mr Crone.
ParlaMint-NL_2020-02-18-eerstekamer-5.u6	Thank you, Mr. Chairman. The proposal for a regulation seems to me to be a sensible one, but there are also substantive considerations for it, because we have not discussed it in detail. We did mention this last week. I have also pointed out that there can be a super-municipal interest. So you're gonna have to decide who's gonna make the decision. I have said: you can also agree procedures in which, for example, a majority of municipalities are controlled if one municipality is obstructed. But now the Environment Act is being turned upside down, because the Environment Act was just meant to decentralize. This is getting a little back to square one. So I acknowledge that there may be a problem, but not in this way. In the motion, that only becomes more unclear. It does not make it clear whether the province is going to mediate, so it comes out, or whether the province has a separate power to set all the noise production ceilings itself. In the latter case, it is not a question of overruling municipalities, but of filling in themselves. Then it is also the question: is that only for sound, or is that instantly going to happen for nature, smell and what not? We'll get a piece of the law. I would like to know whether the Minister thinks that this is consistent with the line of the law itself. Mr. Chairman. I would also like to ask Mr Rietkerk what area we are talking about. The motion states that these are areas with a provincial interest, 'especially those in which municipal boundaries are exceeded'. It is therefore clear that these areas are also areas of provincial importance in which the municipal boundaries are not exceeded. In any area only in Leeuwarden, or only in Amsterdam, or only in Rotterdam, the province can say "it is within that municipality, but I overrule it," or even "I am competent." In the latter case, you don't overrule, but you're ahead of time. It seems to me that we need to be more legally precise about what we mean by this. The key question is, of course, whether the province can say: we set that noise ceiling higher, because we consider that to be a provincial economic interest? As a result, the municipality will be burdened with noise and may have problems with its overall environmental plan with the neighbours of that industrial area, the residential areas next to it. It is precisely because of these considerations that we have said: let the municipalities do it. Solutions must be found if there are differences between municipalities and there must be remedies, but we believe that this is a step too early at the moment. In addition, the argument is that the provinces and the municipalities themselves say they will be out within four weeks. But even then, I would advise you to come up with a somewhat unambiguous explanationable motion. That might help us.
ParlaMint-NL_2020-02-18-eerstekamer-5.u7	Thank you, Mr Crone. Does one of the other Members still wish to speak in the third term? Mr. Nicolaï.
ParlaMint-NL_2020-02-18-eerstekamer-5.u8	Thank you, Mr President. I do not think the motion is entirely clear and I also wonder whether it is necessary. If I understand correctly, there are two aspects. Mr Crone was just talking about it. It may be that an industrial site is situated at the borders of different municipalities and that these municipalities have different views. Is the purpose of this motion, then, that the province should be given more control in that situation? If that is the purpose, is my question to the author of the motion, but also to the Minister: is it not provided for in the Environment Act? That's one. Secondly, if the aim is to intervene in situations in which the municipality is compatible with its standards, then I can imagine something. That is not the case, but if that is the case, then one could say that a super-municipal interest, a provincial interest, an overriding interest, can therefore be a reason for the province to intervene. But then again my question is: do we need that motion, or is the Environment Act already sufficiently regulated that, in such an overriding interest, the province has its own power to intervene? Those were my questions. Thank you.
ParlaMint-NL_2020-02-18-eerstekamer-5.u9	Thank you, Mr. Nicolaï. Does one of the other Members still wish to speak in the third term? That is not the case. Then I would like to give Mr Rietkerk the opportunity to react from behind the interrupting microphone.
ParlaMint-NL_2020-02-18-eerstekamer-5.u10	Mr. Chairman. I have three questions: first, those of Mr Nicolaï. The starting point of the Environment Act and the Introduction Act is a policy-neutral translation. In our view, this is not the issue here, because it is currently a provincial competence and it is changing. Perhaps the Minister will be able to explain that. Then there is Mr Crone's question as to which areas we are talking about. I'm not going to repeat last week's debate. In any case, as far as cross-border areas are concerned, noise can also have cross-border effects. People live there, too. For those residents, in the current situation, the province has that competence. The question of how this is worked out: it is a motion. At the request of a number of fellow spokesmen in the operative part, I also replaced the term 'Applying Act Sound' with 'IenW Collecting Act'. I ask the Minister how it works when the IenW Collecting Act comes here over a certain period of time. Then we can also see if the motion has been interpreted correctly. Then again it is about the quality of legislation.
ParlaMint-NL_2020-02-18-eerstekamer-5.u11	Thank you, Mr. Rietkerk. The Minister is going to answer later, but I would like to begin by raising Mr Arbouw's procedural proposal to postpone the vote on this motion by one month, four weeks. Let me see if there is broad support for this order proposal. Mrs. Bikker?
