ParlaMint-NL_2020-06-16-tweedekamer-6.u1	I now give the floor to Mr De Groot on behalf of D66.
ParlaMint-NL_2020-06-16-tweedekamer-6.u2	Mr. Chairman. I would also like to ask on behalf of the CDA to postpone the votes under item 6 by one week. No, it's point 14; excuse me.
ParlaMint-NL_2020-06-16-tweedekamer-6.u3	Point 14, yes.
ParlaMint-NL_2020-06-16-tweedekamer-6.u4	The motions for resolutions tabled to the debate on research results on COOVID-19 in minks.
ParlaMint-NL_2020-06-16-tweedekamer-6.u5	Anybody mind? No? We shall then postpone the votes on agenda item 14. Mrs Ouwehand on behalf of the Animal Party.
ParlaMint-NL_2020-06-16-tweedekamer-6.u6	Thank you, Mr President. Now that the 14 votes are postponed for a week, I withdraw my Amendment No 2. 7 to item 20, Amendment of the budget statement of the Ministry of Agriculture, Nature and Food Quality, for the time being. I know that's final, but we'll come back with this plan after the Chamber has ruled on the motions.
ParlaMint-NL_2020-06-16-tweedekamer-6.u7	The Old Man's Amendment (Doc. 7 (35452) has been withdrawn. I note that this is agreed.
ParlaMint-NL_2020-06-16-tweedekamer-6.u8	I would like a roll-call vote on our motion on biomass (22813, No. 515), because I think it's extremely important to know where everyone is.
ParlaMint-NL_2020-06-16-tweedekamer-6.u9	That's what we're going to vote on later. Is that the request, Mr. Baudet?
ParlaMint-NL_2020-06-16-tweedekamer-6.u10	Yes.
ParlaMint-NL_2020-06-16-tweedekamer-6.u11	Okay. If no one objects, this motion will be added to the list of roll-call votes. Mr Van Otterloo or Mrs Van Brenk? You're on my list. You said you'd hold a motion.
ParlaMint-NL_2020-06-16-tweedekamer-6.u12	Mr President, I had already reported it to the Registrar during the break, but I would now like to report it to all colleagues. The motion 34919 in part No. 62 at the vote under item 23, the notation consultation on real estate defense, we are happy to hold. It's about the Westerschelde tunnel.
ParlaMint-NL_2020-06-16-tweedekamer-6.u13	At the request of Mr Van Otterloo, I propose his motion (34919, No. 62). That is what is decided.
