ParlaMint-NL_2020-12-08-tweedekamer-69.u1	Finally, we move on to the last VAO: the VAO Nature. I am happy to give the floor to Mr Wassenberg.
ParlaMint-NL_2020-12-08-tweedekamer-69.u2	I have three motions. I'll read it to you as soon as I can. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that, according to the UN, increasing the share of nature makes an important contribution to the restoration of biodiversity;]] [[noting that Dutch nature is under severe pressure due, inter alia, to fragmentation;]] [[calls on the Government to take measures to speed up the integration and expansion of nature reserves in the Netherlands,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands is committed to eliminating environmentally harmful subsidies;]] [[calls on the Government to map all subsidies that have a negative impact on Dutch biodiversity and nature,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Cabinet reports annually on the state of Dutch biodiversity and nature, including in the framework of the United Nations Convention on Biodiversity;]] [[noting that the biodiversity.nl website is the means of communication of the Dutch government;]] [[noting that the biodiversity.nl website is not or is hardly kept up to date and is apparently not linked to the government;]] [[calls on the government to update the biodiversity.nl website and to keep a half-yearly record so that the state of Dutch biodiversity and nature in relation to the goals to be achieved can be seen at a glance,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-203]] [[This motion was tabled by Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-204]] [[This motion was tabled by Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-205]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u3	Thank you, Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government has called on National Parks to come up with plans to better link nature and economy;]] [[Whereas most of the National Parks have now come up with ambitious plans with strong support from all concerned;]] [[Whereas National Parks do not add barriers to nature but offer opportunities for entrepreneurs;]] [[Whereas the partners concerned at National Parks have jointly drawn up a standard which could contribute to a quality label to be established;]] [[Whereas the "National Parks" quality label needs to be clarified among entrepreneurs and other stakeholders;]] [[calls on the Government to provide clarity by establishing a quality label for National Parks, using and ratifying the existing standard,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr De Groot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-206]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u4	Then there are two motions on the Caribbean. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that tens of thousands of animals run loose on the islands of the Caribbean Netherlands;]] [[Whereas these animals eat the islands bald and prevent the growth of trees, shrubs and grass;]] [[Whereas good progress has been made on Saba and Saint Eustatius but there is still work to be done on Bonaire;]] [[Calls on the Government to control on Saba and Sint-Eustatius all wild grazers and invasive species threatening flora and fauna before 2025, and on Bonaire before 2030,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, if no action is taken, the coral in the Caribbean Netherlands may disappear in five to ten years;]] [[noting that, according to the Caribbean Netherlands Natural and Environmental Policy Plan, the targets for coral cover are only set in 2024;]] [[calls on the Government to set targets for coral cover in the islands by mid 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr De Groot and Mr Bromet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-207]] [[This motion was tabled by Mr De Groot and Mr Bromet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-208]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u5	Thank you.
ParlaMint-NL_2020-12-08-tweedekamer-69.u6	Then I'll look at Mrs. Bromet.
ParlaMint-NL_2020-12-08-tweedekamer-69.u7	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas nature in the Caribbean Netherlands has been in very poor condition for years;]] [[noting that the Caribbean Netherlands Nature and Environmental Policy Plan sets ambitious targets for 2030 but gives little insight into how the intended results will be achieved;]] [[Whereas, for the development of the policy, reference is made to the implementation agendas drawn up per island and the ambitions of these plans thus determine the success of the restoration of nature;]] [[invites the Government to inform the Chamber of the implementation agendas for each island as soon as they have been drawn up,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the State Real Estate Company has more than 40,000 hectares of agricultural land;]] [[noting that it is possible to impose conditions on the land leased by the National Real Estate Company;]] [[having regard to the opinion of the Committee on Agriculture, Fisheries and Rural Development,]] [[calls on the Government to prohibit the use of debt securities on the grounds of the State Real Estate Company,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bromet and Mr De Groot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-209]] [[This motion has been proposed by Mr Bromet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-210]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u8	Finally, Mr President. I filed a motion a year ago to ban the sale of the Japanese knot. Also there is a problem with the water crassula, so I thought: then we do this this year. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the water crassula settles as an invasive exot and thereby displaces native aquatic plants and associated insects and animals;]] [[Whereas this plant is still sold in garden centres and (online) plant shops;]] [[Calls on the Government to prohibit the sale of watercrassula as from 1 March 2021,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bromet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-211]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u9	It's six topics, Mr. Chairman. The next topic I would like to mention during this VAO Nature are the wolves. I have two wolf emotions. Because in 2020 you can almost find a wolf in your own backyard. Also in the new building districts you can see wolves nowadays. In that respect, wolves know of neighborhoods. That's got a double charge right now. In order to regulate some matters, I will table the following two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that within the European protected status of the wolf it is possible to grant exemptions for the expulsion or killing of a wolf, to prevent harm to farmed animals and to protect public safety;]] [[noting that the interprovincial wolf plan makes it clear that in certain circumstances it is possible to grant an exemption to expel or kill a wolf;]] [[Whereas it is necessary for these situations to have clear criteria enabling the competent authority to grant an exemption, e.g. where there is an acute safety problem;]] [[calls on the Minister to work together with the provinces and the security regions on a clear set of criteria for granting a waiver for the expulsion or killing of wolves;]] [[calls on the Minister also to include this issue in the national wolf committee,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-212]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u10	Does Mr von Martels know that much more sheep and farm animals are killed by dogs than by wolves? And that the only wolves that kill farm animals are wandering wolves looking for their own territory? If you learn that they are not allowed to go to sheep by, for example, placing electric fences or doing it in other ways, then they will never catch farm animals again. Because a wolf goes into the woods and has his own diet there. But basically, farm animals aren't one of them. You can teach them early. Does Mr. Von Martels know that?
ParlaMint-NL_2020-12-08-tweedekamer-69.u11	The minister just got a lecture and I'm getting a lecture again. Most of the facts are known to me, but in order to prevent a surprise from the Netherlands, it is necessary to act in a regulated manner.
ParlaMint-NL_2020-12-08-tweedekamer-69.u12	Thank you. Please continue. No, I still see Mr. Graus.
ParlaMint-NL_2020-12-08-tweedekamer-69.u13	I think Mr von Martels is leading the red-hooded syndrome, because in countries where the wolf has lived for the last 100 years there have been no insurmountable problems. We're panic-mongers here. There's nothing wrong. Mr. Von Martels is suffering from red cap syndrome, and I'd like to help him out of it, so I'll do that bilaterally.
ParlaMint-NL_2020-12-08-tweedekamer-69.u14	The definition of red cap syndrome needs to be clearly explained. I do understand what Mr Graus is trying to do, but I would like to insist that we at least have thought in advance about how we can act, should undesirable situations arise. That's what I'm arguing for. Then my next motion, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas damage caused by wolves has a significant impact on animal farmers and on the acceptance of the wolf in the Netherlands;]] [[noting that wolves can cause major damage in particular;]] [[Considering that in the current interprovincial wolf plan, structural assistance for the prevention of wolf damage for animal farmers is only possible if there is a territorial wolf and not in the case of a wandering wolf;]] [[noting that it has not sufficiently prepared provinces for the prevention of damage caused by wandering wolves;]] [[calls on the Minister, together with the provinces, to close this gap in policy and also to address this issue in the recently set up national wolf commission,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-213]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u15	Thank you, Mr. Chairman. The first motion is tabled with some reserve, because Mrs Bromet has also tabled a motion on the water crassula, but I have promised Mr Weverling that he will table a motion together. I'd like to see if we can put them together afterwards. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the overflowing water crassula poses a threat to important indigenous natural values;]] [[calls on the Government to prohibit the sale of this harmful invasive exot as soon as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Moorlag and Mr Weverling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-214]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u16	Mr. Chairman. I've seen the effects of that water crassula on Terschelling. I have also seen that the province of Friesland and State Forestry there with man and power try to preserve the very special wadden vegetation. We spend incredibly much money for the conservation objectives if nature is affected by nitrogen, but the water crassula, called "green concrete" is not the green asphalt, because that is raaigras you really have to deal with. That task transcends the strength of State Forestry and the province of Friesland, hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the overflowing water crassula poses a threat to important natural values, including the unique Wadden Nature;]] [[noting that the province of Friesland and State Forestry are making disproportionate efforts to combat the water crassula at Terschelling;]] [[calls on the Government to contribute appropriately to the fight against the water crassula on the Wadden to preserve and protect the unique indigenous nature of the Wadden,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Moorlag. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33576-215]]
ParlaMint-NL_2020-12-08-tweedekamer-69.u17	Finally, I have a comment to make to Mr Graus, President, but he is in intensive conversation. Mr. Graus, this is about fighting an exotic threat to Dutch nature. I would therefore very much appreciate the support of the PVV in relation to the water crassula.
ParlaMint-NL_2020-12-08-tweedekamer-69.u18	Thank you. Then I shall suspend the sitting for a few moments until the Minister has received all the motions.
ParlaMint-NL_2020-12-08-tweedekamer-69.u19	The Minister will answer immediately; very handsome. I am happy to give her the opportunity to do so.
ParlaMint-NL_2020-12-08-tweedekamer-69.u20	The motion in part No. 203 I must advise against. You have today received the Nature Programme and have all been able to see what we have agreed with the provinces. The motion in part No. 204 I also advise against. I am already mapping things out in the CBD Treaty, but this is going a long way. So I'm not suggesting this motion. Then the motion to part No. 205. We will update the biodiversity.nl website. Whether everything is insightful at once, I don't know, but we will update the website as requested here. So I can give this motion judgment Chamber. It is just not that everything is visible at a glance, but you will get more information on the website.
ParlaMint-NL_2020-12-08-tweedekamer-69.u21	Then we'll go to the motion in part no. 206 on national parks.
ParlaMint-NL_2020-12-08-tweedekamer-69.u22	The motion in part No. 206 I don't recommend. We are just working with the national parks with the new standard. Based on the learning experience, it can be translated into a quality label. So I'm not suggesting this motion. The motion in part No. 207 is a very sympathetic motion, but it is also a huge task. As things stand here, I can never make it happen. We are in the process of doing all kinds of things in order to reduce the problem of goats. That's what we do with the public bodies. What is being asked in the motion, I will discuss with them, but such years are really complicated.
ParlaMint-NL_2020-12-08-tweedekamer-69.u23	Mrs. Bromet, it's not your motion.
ParlaMint-NL_2020-12-08-tweedekamer-69.u24	No, but it's practical: we don't have the motions. If only the song is mentioned, we don't know which motion it is, because we don't have all those songs in our head.
ParlaMint-NL_2020-12-08-tweedekamer-69.u25	Okay. Sorry, I didn't know. Why don't I wait a little while?
