ParlaMint-NL_2020-12-17-tweedekamer-6.u1	No, we'll continue with the Temporary Law Second Chamber Election Covid-19.
ParlaMint-NL_2020-12-17-tweedekamer-6.u2	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2020-12-17-tweedekamer-6.u3	Thank you, Mr. Chairman. I just signed the letter of amendment. I will come to that in a moment, because that was about your comment just now. But let me first say that I am extremely pleased that we are here today, indeed in the plenary, as some of the Members have said, appropriate to a legislative proposal which is so directly related to the existence of your Chamber, namely the elections. Here too, I would like to thank the Chamber for having been so diligent in dealing with this bill, so that it looks as if it will be voted on before Christmas. That's really nice. Of course, the Upper House must also consider it. I've already announced that they can expect it very soon. There is also little time, because the elections are in three months' time and that is fast. Precisely for elections, which need to be prepared so carefully and for which so much needs to be laid down in the law, it is crucial that we have enough time to do so. It might be good to say here that most of the work is of course in the municipalities. There are a lot of people involved and preparations are also in full swing. But that's all about preparation. Finally, you cannot take irreversible steps at this stage, because that requires the agreement of Parliament first. I intend to bring the law into force by 1 February at the latest. Mr. Chairman. Before I begin the substantive discussion, I would like to respond to your request. You will see that the bill states that the Chamber will meet on the thirteenth day. You are saying that it is unfortunate that the old House of Representatives should meet on Monday, because then all kinds of work would indeed have to be done at the weekend to ensure that everything is ready with the credentials, etc. This has to be settled in the Tickets Act. These kinds of deadlines are now also included in the Election Act. It is simply a question of establishing the result and an orderly procedure on the matter, with the approval of the new members. So a change will have to be made as Minister for Foreign Affairs, but certainly in that respect as your humble servant. So that is how the proposal should be seen. I agree with the President, I say to all Members, and therefore to the whole Chamber, that given the fact that we are now dealing with this corona situation, it would indeed be unfortunate to have both the old House of Representatives and the new House of Representatives here in one day. I therefore asked for a letter of amendment on that point immediately after the request. I just signed it, so we can work that out today. Instead of thirteen, it will be fourteen days, and I think that is just the one day that is needed to allow it to be done in an orderly manner. So I hope that I have met the President's wishes.
ParlaMint-NL_2020-12-17-tweedekamer-6.u4	Thank you very much for that.
ParlaMint-NL_2020-12-17-tweedekamer-6.u5	Mr. Chairman. Then there are the questions and comments that have just been made. Let me start by saying that I understand it all very well. I am also very pleased that the Chamber has looked so thoroughly into the whole process, made room for the technical briefing, looked closely at the letter sent by the municipalities and so on. So I see here a Chamber that has prepared itself extremely thoroughly for the handling of this bill, and that is also very good. That's why I recognize a lot of what has been said. I'll be very happy to deal with it. I'll do it on the next route. First of all, the questions that have to do with the vote in the letter, then the questions that mainly concern the early voting, the early voting, then the organisation of the elections themselves, the number of polling stations, polling stations, etc., and finally a number of other questions, and I would like to announce that the exit polls section will be dealt with by me there. As far as I am concerned, that is the order. I'll start with the letter vote. That is, of course, a major change. When we first talked about this, I sent a letter to the Chamber in May on the March 2021 elections. That is the first time I have suggested that we should look at the possibility of voting in letters. I then said in the next step, which was in September, that we should also vote with the municipalities in consultation on the feasibility of the letter. And finally, partly resulting in meeting the wishes of the Chamber, in the proposal before us. So that was a process that, of course, took some time, but it is really new to our country. I think there's every reason to do this, given the situation surrounding the corona virus. I shall begin with a few questions from Mrs Özötuk, Mr Van Otterloo, Mr Van Raak and Mrs Kuik. The question was, "Just say it again. Why only for 70 and over? Why can't we extend that to, for example, the group of people with vulnerable health?" I would like to stress once again that it is really impossible for municipalities to determine who is or is not vulnerable to the coronavirus under 70. That's the main reason. I hope that Mr Van Otterloo says that this does not apply to every 70-year-old. That's true, too. But it is the generic vulnerable group. It is defined by RIVM, so by our experts, as by definition vulnerable to the coronavirus. That is also quite obvious, because mortality rates and mortality rates are increasing with age and from 70 onwards that is a risk that you should not want to take anymore. That extra vulnerability to the coronavirus means that you can define that group and you can easily define it in the systems, because it is very clear whether you are 70 or not. It is not objective for people to determine whether they have vulnerable health. Of course, it can be done by determining people themselves. But then you actually get into the situation that you should basically make it possible for everyone to vote by letter. Then we will also face implementation problems and a problem of desirability. But let me start with the implementation problems. The period between the day of candidacy, 1 February 2021, and the election day is simply too short to provide all voters with written voting documents on time. Some Members of Parliament have also referred to this: the printing, folding, sending the votes and sending the votes back by the electorate must all fit in with that time limit. We are already talking about a large group, 2.4 million people, for which you should make it possible in principle. You can't increase that any further. Then, of course, there is the fundamental point. I shall say a little more about this later on in connection with questions. But the lettering is a bit of an emergency grip, because you have to weigh it up. We'd like to see the turnout not affected, reduced by the corona virus. For that we accept a little more risk in some parts. That is, of course, the case with letter voices. When you vote in a letter, you don't have a polling room with a voting booth, so you can be sure that the voter himself, without anyone interfering, has colored in on who he or she wants to vote for. You can't do that at the letter vote. I think it is an acceptable risk, precisely because I expect that it is important for that group of people to be able to exercise their right to vote. There will be a lot of 70-plussers who simply rely on the safety of the polling stations, but those who do not will be able to vote and will not be hindered. That is why I think it is an acceptable risk, but only under these circumstances. Under normal circumstances, I think we'd say... We'll evaluate it, so I don't want to anticipate that. But we're really doing it. These are special times, special elections and a special measure. Mr Bishop suggested that the GP should play a role in this. For example, he said that the GP could issue a statement stating that someone has a vulnerable health. My GP knows which party I'm voting for, but that doesn't apply to most of them, of course. There are no secrets to the general practitioner, but the secret of voting is not one of the secrets people share with their general practitioner. Apart from that, I think it's complicated to give this task to general practitioners. General practitioners have their hands full with the care they need to provide. It's not an administrative act they'd like to have. I am therefore not in favour of Mr Bishop's proposal. I understand, but this additional action applies to both the municipalities and the general practitioners, while their primary task is mainly to provide care and not to help make elections possible for everyone. We're looking for other ways. I'll get there in a minute to make sure they can just vote. So we have not considered having a separate application process for these people.
ParlaMint-NL_2020-12-17-tweedekamer-6.u6	To avoid misunderstandings: I do not ask the GP to investigate which party the patient would vote for. A general practitioner often gives a statement about someone's health. The suggestion was that a municipality could organize that. Why wouldn't you experiment with that? You can use those experiences later. You may be able to embed that at a later stage in a set of election options. So I am not asking the Minister to open it now, but to leave room for a municipality to organise it.
ParlaMint-NL_2020-12-17-tweedekamer-6.u7	Okay, it's good that Mr. Bishop adds that. Moreover, I had of course understood Mr Bishop well; I did not think that the general practitioner should be involved in the choice of the electorate. If we had all the time now to think together and make some experiments possible... in the past we have done so with central counting. We will continue to do so, because these experiments have succeeded well. We also looked at another form of the ballot. You want to experiment with that, too. I understand Mr Bishop very well when he asks: couldn't you experiment with this too? So I do not want to rule that out for the future either, in case we ever say to each other that it is a problem for people with vulnerable health how the elections were organised. However, I do not think it would be wise to impose such an experiment on the 17 March elections, which we are already substantially adjusting. I can't guarantee that that's going well on the basis of my responsibility. For those who are concerned by Mr Bishop, there are other possibilities to vote, if they do not want to vote on 17 March. After all, they can choose to vote on Monday or Tuesday. That's something that's never normally possible. For those who are concerned about their own health, we explicitly highlight the possibility of going to the polling stations in peace. I'll get to that in a minute. In addition, there is, of course, the possibility of voting by proxy. We also introduce the possibility of an additional power of attorney. This is also a vulnerability in the process, but I believe it is necessary to prevent people from voting in the end. Mr. Chairman. With that last point, I immediately answer a number of questions that have been asked, namely those of Mrs Kikk, Mrs Özütok and Mrs Van der Graaf. Then what is possible for the other people who are less than 70 and vulnerable? I think the power of attorney and early voting are the answers for them. I also see, and I understand that very well, that people say, "I'm not 70. I've been incredibly careful for nine months now and I'm almost nowhere. Then why would I go to a polling station? Why can't I vote in a letter?" I understand these people. I'd like to respond to them, but we can't make letter voting possible for everyone. These people cannot be identified in our systems and can therefore not be traced to offer them a letter voice. The route through the application is really not possible before the forthcoming elections. So I want to communicate with those people as best I can to bring to their attention that it can be done on Mondays and Tuesdays. That is actually an appeal to all people: just go on Wednesday's 17th votes and show solidarity. If you're just fit and healthy, you're gonna vote 17. And if for any reason you care a little more and just want to have all the rest, then you will vote on Monday or Tuesday. We offer these opportunities in this way. Mrs Van der Graaf also asked if we could have started earlier. I already outlined at the beginning that I think we started thinking about alternatives in time, including the letter vote. That was suggested in May. In September we did so because the Chamber asked for the feasibility and in November we created the possibility. I think that has been the fastest possible trajectory. If you would like to vote even more broadly, then the bottleneck is finally in the day of the nomination and the time between 1 February and 17 March. Well, that's too short. Then we couldn't have made it to March 17th that way. I had indeed recorded the phone line in the documents as something being investigated. I have heard from several Members, including Mrs Van der Graaf, that they think it is important that 70-plussers, i.e. potential letter voters, should be able to put their questions somewhere. Fortunately, I have now been assured that there will be a national telephone line where 70-plussers can indeed turn up with their questions. It's supposed to open that phone line from February 26th. So that's more than enough for the election. Mr Öztürk and others have asked where the letter votes will be cast and when. Let me get this straight. A voter may cast his letter vote as soon as he has all the voting documents, i.e. the ballot card and the ballot note. At that time, the voter also has the envelope for the filled-in letter-voting note.................................................................................................................................................................................................................................................... The voter receives the vote-plus pass between 10 February and 3 March, and the other letter-voting documents come somewhere between 24 February and 11 March. The voter can return the letter by mail, and then he goes to the letter polling office of the municipality. It's on the pre-printed envelope. Or the voter can drop him off at a meeting point. Those issuing points shall be open from Wednesday 10 March. In communication, we will press the voters to put your letter in the mailbox by Friday 12 March at the latest, because we have the confidence that the letter voice will be delivered to the municipality in time. The next few days, you can put him on the bus, but then there's a risk he won't make it. The issue point is until the last day and the last minute of course also still a possibility for the letter tamper. He doesn't have to give it up himself, but can also ask a roommate or someone else to do it, suppose it's someone who's bad on his feet. Mr Bosma asked whether it could eventually lead to more invalid votes. I told you, the voting of letters is more complex than the normal voting in the polling room. I think it is very important that we do everything we can to prevent more invalid votes being cast. There's testing with real people, I'll say, to see if it's understandable enough for the voter. Information will be given on voting by letter. There's gonna be a movie explaining how to do that. The telephone line I just mentioned could also help with that. So we have to do a lot to bring people into how this works. Then there is the question, including Mr Bosma, whether it could affect the outcome. Letter voters can vote sooner. They can vote earlier; that's right. The same applies to the group that is going to vote on Monday and Tuesday. But yes, that has... I mean, there are so many people who have already expressed their minds about their voices, even if they can't release them until the day of the elections. The letter votes will only be counted from Wednesday 17 March and the results will be later. In that respect, I do not expect it to work. Then how do you know your letter voice is coming? That is what Mr Öztürk of Denk asked. You choose: you do it by post or you give your letter voice at the delivery point. Eventually you put it in an envelope at the polling station and drop it off at the drop-off point. But somewhere, it stops and you let go of your ballot. In this way it is transferred to the polling bureau members, who handle our votes and ballots very carefully in the Netherlands. There were some questions about the mail. PostNL is doing an incredible job. They set up a very separate process to ensure that the votes in the letter are handled properly. Mr Van Otterloo and others asked. The return envelope for the letter voice will contain a reply number and codes, which allow PostNL to separate the letter voices from other postal items in the sorting centres. This is all necessary and important to do, so that these postal items can be delivered to the municipalities as soon as possible. PostNL has announced that it will set up a dedicated process for this, I say with a wink to Mr Van Raak. This means that they organise this process extra well, with as few links as possible, so that the chance of errors is reduced, with the use of extra permanent staff, from sorting to delivery to the municipalities, and by checking for machine processing, so manually. In other words: PostNL will cooperate as much as possible in ensuring that we vote on the letter, which we are going to do for the first time in the Netherlands, with each other to a successful conclusion. Mrs Van der Graaf asked whether people could also post a letter on the bus after 12 March. It's possible, but we'll advise you to do that by Friday the 12th. But it's possible. The mail generally arrives neatly on time. But the opinion will be that if you wish to vote in a letter on Monday, Tuesday or Wednesday, you should have it brought to the issue point or brought there yourself.
ParlaMint-NL_2020-12-17-tweedekamer-6.u8	Mr Öztürk and then Mrs Van der Graaf.
ParlaMint-NL_2020-12-17-tweedekamer-6.u9	I find it particularly regrettable that the Minister does not switch to a track-and-trace system, with which you can follow your vote. It is very easy; nowadays almost all companies do so. I am happy that you have spoken to PostNL and that they want to take action, but when you put your voice in a mailbox, you do not know whether it will end up okay. I think that's a very strange feeling for a lot of citizens. Let me give you another example. If we do not get 500,000 or 600,000 out of the 2.4 million votes, then what is our election result worth? What happened to those voices? Who's got them? If we can't explain that to citizens, how are we going to establish an election result?
ParlaMint-NL_2020-12-17-tweedekamer-6.u10	Every Dutchman sometimes orders something online. You usually get a track-and-trace code, which allows you to see where your package is about. I think that's a fantastic system. But that is a digital system in the opposite direction, not towards me but away from me. I wouldn't want to enter into an experiment with a digital system and something that has to do with elections right now. I think that the discussion with PostNL about the route I just outlined, the care with which they are going to do so in the sorting centres and the speed with which they will act, should be sufficient guarantees. And if a voter really wants to be sure that nothing happens in the trajectory to the place where his voice is counted, then the solution is to go to the issue point, or to ask someone else to do so for you.
ParlaMint-NL_2020-12-17-tweedekamer-6.u11	The Minister is taking a great risk by not using a technique which exists and which can be introduced very quickly. This puts the risk that hundreds of thousands of votes will not end up where they belong and that citizens will have to live with the question of whether their voices have ended up there. That's a really big risk. I'm going to table a motion on that anyway. We warned the Minister not to take this risk. We are doing this for the first time and we are talking about 2.4 million letter votes. Something will go wrong with a number of votes. If you do not enter a track-and-trace system, I find the risk too great to take.
