ParlaMint-NL_2020-12-02-tweedekamer-7.u1	We have arrived at the answer and assessment of the Minister's motions.
ParlaMint-NL_2020-12-02-tweedekamer-7.u2	The Minister has the floor.
ParlaMint-NL_2020-12-02-tweedekamer-7.u3	Thank you, Madam President. Thank you also to this Chamber for the questions and comments, for the motions of course and for the three amendments. A number of questions have been asked. I will go through that very briefly. A question from Mr Van den Nieuwenhuijzen on reciprocity in the investment agreement with China. It is indeed an investment agreement. A broad and comprehensive trade agreement, such as Vietnam, is not being negotiated. Agreements on access for NGOs, journalists, etc. are not yet part of the negotiations and are not part of the mandate. I referred to that by saying that I no longer knew how broad the mandate was. The EU-China Investment Treaty will contain a sustainability chapter containing agreements on the protection of labour rights, multilateral environmental conventions and OECD directives. In the chapters agreed in accordance with mandate, civil society has a role to play in monitoring compliance with commitments made. However, as I have already indicated, I indicated at the RBZ Trade that we really must first have firm agreements in the investment agreement before we can at all discuss a concept. So we're a long way from here. There is a question from GroenLinks about export credit insurance, in particular about the ecv for Mozambique. This transaction has been looked at very carefully. The transaction will do. That is the explanation of the still existing policy framework of the ECV, including as regards support for gas projects abroad. It has a number of advantages, but we are well aware of the potential risk and the potential disadvantages. The assessment looked in detail at the safety and imvo risks in the field of ecology and impacts for residents. The measures currently taken comply with the relevant international standards in this area, but are followed closely, including by the embassy. Mr Van den Nieuwenhuijzen asks whether I agree that it should be broader than just economic interests for reasons of reciprocity in the investment agreement. I just said that the mandate had been set. A broad and comprehensive trade agreement as agreed with Vietnam, for example, is not being negotiated. I have just said how we want to regulate access for NGOs and others through the sustainability agreements. I've just given that further notice. A question from Mr Alkaya about strategic dependencies, based on the Segers/Heerma motion: do I share the view that research should not only cover the specific strategic sectors of care, food and energy, but also the full breadth of the economy and, for example, the technologies of the future? I said at the time that I would like to see where EZK and JenV stand with the investigation. The motion you are referring to, of course, provides for the start of the investigation. There are five sectors, including cyber, energy and defence equipment, arising from the motion of the Chamber. It's a complex matter. The research is still in full swing, and the results are shared. I do share the view that we should also look further, but I must first consult with the cabinet colleagues to see how we can shape that. But I'd say, let's wait and see what the initial findings are after it's started. It's not good to add a few things in the middle of the ride, but I think a broader view and look can be very important.
ParlaMint-NL_2020-12-02-tweedekamer-7.u4	Yes, I see you. Only if it is really very short, because I also want the Minister to carry out an assessment of the motions.
ParlaMint-NL_2020-12-02-tweedekamer-7.u5	Yes, Mr. Chairman, thank you very much. It can be very brief, because I had asked the Minister whether she also felt that human rights and so on should be part of such investment agreements. And I actually heard her refer to it twice that this is not part of the mandate, but isn't it time to review that mandate again? 'Cause what do you think? I cannot imagine that you would agree that this was excluded from the mandate. Shouldn't we talk about that?
ParlaMint-NL_2020-12-02-tweedekamer-7.u6	I will come back to that separately. I can do that in writing. We need to see when that mandate has been established, because I honestly do not remember it; it has been going on for a while. We then look at the possibilities, so that I do not promise things that we cannot meet at all, as the mandate lies with the Commission. But human rights, in any case, we are very keen on that. So I'll share the search and come back to it in writing. Ms Van den Hul of the PvdA on the SDG test and gender; a survey on policy and legislation. Well, I note that the SDG test is indeed in the four key proposals from the Building Change study. They have been applied, perhaps briefly. You also referred to the Invest International and Source Tax Act. That's going to look at the effects in developing countries. The application of the SDG test remains a challenge. It is intertwined in the integrated balancing framework, which I referred to. It's getting more and more complex. Fixed guidelines for the answer of IAK questions in legal texts are still lacking. And then, of course, it is even more difficult if the basis is missing or partial; then, of course, testing is more difficult. As I said earlier, I think it needs to be improved, and I can also make a proposal to that effect, also towards a subsequent cabinet period for successive directors, because this is too important. Then the Animal Party, Mr De Raan, asked whether I could call a free trade agreement that would contribute to the improvement which the cabinet claims to pursue.
ParlaMint-NL_2020-12-02-tweedekamer-7.u7	Mr Ván Raan.
ParlaMint-NL_2020-12-02-tweedekamer-7.u8	Van Raan, excuse me. Bilateral EU trade agreements naturally put additional pressure on the implementation and compliance with sustainability agreements. More and more, I would say, especially since the adoption of the SDGs and the Paris Agreement, but also when it comes to international labour standards. I mentioned the trade agreement between the EU and Vietnam. Is it perfect? No, but I also said that a number of ILO conventions have just been ratified by Vietnam, under pressure and pending the conclusion and ratification of the Convention. So it could be a way to promote this. I think that the great battle is about following the work of the Chief Trade Enforcement Officer, who is really going to see whether all the sustainability provisions agreed in trade agreements are being complied with. Then we can follow up on that. And I already mentioned the new complaints mechanism. Another question from Mr Van Raan: whether China is in favour of a trade agreement with a dispute settlement mechanism other than that of the EU; is that a hard negotiating point for the Minister, yes or no? For the record, you know, it's an investment treaty, not a trade treaty. And it is true that China is committed to the old Investor-State Dispute Settlement system. Well, we certainly don't want that anymore, not the Netherlands or the EU. It is not an option for the EU. We're putting in a book, but that's also something that not everyone agrees with at the modern Investment Court System. We do not agree with the old-fashioned and obsolete ISDS agreements. However, there are still a lot of issues, including sustainability, where the EU and China are still far apart. So there is no negotiation yet. We remain committed to the agreements we have agreed with the EU, and we will not be put under pressure from China in this regard.
ParlaMint-NL_2020-12-02-tweedekamer-7.u9	I believe that this point has been discussed in detail.
ParlaMint-NL_2020-12-02-tweedekamer-7.u10	Yeah, so it's okay to conclude this, as it's called. The question is then clear: is that then a breaking point for this minister to continue with that China journey?
ParlaMint-NL_2020-12-02-tweedekamer-7.u11	That's what you call closing down?
