ParlaMint-NL_2020-06-10-tweedekamer-3.u1	The next item is the VAO Department of Nursing, with Mr Van Otterloo, the first speaker of 50PLUS.
ParlaMint-NL_2020-06-10-tweedekamer-3.u2	Good morning, Mr. Chairman. 50PLUS has long been calling for attention to be paid to the problem of malnutrition in the elderly. In 2018, my group colleague, Mrs Sazias, has already tabled a motion to better guarantee the environment and healthcare professionals with the tools that are being developed to better signal malnutrition. Now, one and a half years later, the Malnutrition Steering Group will consider how the use of these tools can be promoted by healthcare professionals and then monitored. That takes 50PLUS far too long and therefore the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that malnutrition is a serious problem especially for the elderly;]] [[noting that malnutrition is still not sufficiently recognised and recognised as a problem by the elderly themselves, their environment and the care professionals around the elderly;]] [[Whereas different tools have been developed to support the detection of malnutrition by healthcare professionals and carers, but are still not sufficiently applied in practice;]] [[Whereas the Malnutrition Steering Group will examine with other interested parties over the next three years how to promote the use of these instruments and monitor the increase in use at the end;]] [[Whereas the problem of malnutrition among the elderly who live independently at home has been for too long and three years of research and monitoring is still too long;]] [[calls on the Government to speed up this process and to sit down with interested parties in the short term to promote the detection of malnutrition by health professionals in the neighbourhood,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Otterloo and Mr Sazias. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-203]]
ParlaMint-NL_2020-06-10-tweedekamer-3.u3	Mr President, two motions and a question to the Minister. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the financing of care for the elderly in the home situation is fragmented in the Health Insurance Act, the Long-Term Care Act and the Social Support Act;]] [[Considers that it is desirable to remove the financial divisions in care for the elderly at home and to simplify funding;]] [[calls on the Government to examine the possibility of a single source of funding for care for the elderly at home and to inform the House of this in the autumn,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the corona pandemic has resulted in intensive cooperation between healthcare providers in the healthcare sector;]] [[Considers that the coronapandemic has led to a shift in competition in favour of cooperation in care;]] [[expresses the need to maintain the lessons learned from the corona pandemic where positive developments are concerned, such as increased cooperation and less bureaucracy;]] [[calls on the government to come forward with proposals for Princess Day 2020 to further curb market forces and competition in healthcare,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Gerven and Mr Hijink. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-204]] [[This motion was tabled by Mr Van Gerven and Mr Hijink. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-205]]
ParlaMint-NL_2020-06-10-tweedekamer-3.u4	Finally, a question to the Minister. In general, we have discussed in detail the intensive care of children. We have also received a letter from the Minister, but I do not know whether this will resolve the problem we have all identified. Is it not true that what the parents consider desirable and necessary in conjunction with the aid should actually be a guiding principle for the assistance that families receive in that case? If we take that as a starting point, isn't that the solution to the problem? Thank you.
ParlaMint-NL_2020-06-10-tweedekamer-3.u5	Thank you. I call Mr Slootweg of the CDA.
ParlaMint-NL_2020-06-10-tweedekamer-3.u6	Thank you, Mr. Chairman. I would like to echo what Mr Van Gerven said. We then discussed intensive child care in detail. I certainly do not want to pretend that this motion is the solution. One of the problems was that it was unclear for parents what they were actually entitled to, and the changes in them. I hope that this motion will at least contribute to some kind of clarification. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in the Zvw-pgb application for intensive child care the indication is indicated according to the V&VN occupational standard and that both in kind care and pgb an indication is considered for what the network itself can do;]] [[noting that the V&VN has undertaken to clarify the professional standard where necessary for child care at home, in particular for the use of usual care;]] [[Whereas additions or amendments for publication are submitted for advice to the parties concerned in the care and care of children and the document will be published on 1 August 2020;]] [[considers that this clarification of the professional standard should lead to the same assessment of the use of usual care by health insurers;]] [[calls on the Government, after clarifying and publishing the professional standard, to consult with health insurers in order to assess the use of usual care in the same way and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Slootweg and Mr Laan-Selschap. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-206]]
ParlaMint-NL_2020-06-10-tweedekamer-3.u7	The motion was co-signed by Mrs Laan-Geselschap because she had already asked written questions about it very early.
ParlaMint-NL_2020-06-10-tweedekamer-3.u8	Finally, Mrs Laan-Geselschap of the VVD has the floor.
ParlaMint-NL_2020-06-10-tweedekamer-3.u9	Mr President, thank you. We've had a very big discussion. For one thing, we would like to draw attention to one more thing. That's the five-minute registration. On 7 December 2017, the Minister says: "We will continue until there are no more people registering this in five minutes." 25 January 2018, the Minister: "How often can you abolish such a thing? As long as this still exists in practice, we have not gone far enough." 28 March 2018, the Minister: "We have agreed with the NZa that we are going to do a project to make sure that we are really going to work out the care of this five-minute registration." 30 May 2018: "Scrubbing is all-powerful tough." 4 December 2018: 1 January we are going to implement a new standard." On 20 December 2019 we received a letter about the alternative registration standard. What turns out is that two-thirds of district nurses still work with a form of five-minute registration. The Minister then says: "We will not be ready until the district nurses indicate that they are no longer affected by the five-minute registration." In that light, we have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the five-minute registration in the district nursing service was already abolished by law in 2009;]] [[noting that for two and a half years the aim has been to abolish this registration in practice;]] [[Notes that in November 2019, according to the V&VN, two thirds of district nurses indicated that they were still working with some form of five-minute registration;]] [[whereas the objective of removing the five-minute registration from the district nursing service on 1 January 2020 has therefore not been achieved;]] [[considers that this is an obstacle to and demotivating to the task that should actually be carried out;]] [[calls on the government to take further steps to ban the five-minute registration of nurses;]] [[calls on the Government to report to the Court in Q3 2020,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Laan-Selschap. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-207]]
ParlaMint-NL_2020-06-10-tweedekamer-3.u10	Thank you, Mr President. I was so excited to have another debate with the Minister, other than on corona. Now I almost missed it. I hadn't seen the change of time, because my phone had a few changes. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, as a result of the corona crisis (often forced), care at a distance has been used more often or more frequently in the neighbourhood care sector. e-health;]] [[noting that good experience has been gained in many cases;]] [[calls on the Government to examine and develop these experiences in order to better safeguard various applications of "distance care" in the sector and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-209]]
ParlaMint-NL_2020-06-10-tweedekamer-3.u11	The second motion was co-signed by Mr Van Gerven and may later be signed by Mrs Laan. I asked her through an e-mail, but she may not have gotten to her. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas parents of a seriously ill child who (after being trained and in consultation with the treating doctor) take up part of the medical care at home, thereby promoting the child's well-being;]] [[noting that, without changing the rules in this respect, these parents are confronted with the fact that such care (such as, for example, taking care of an infusion or catheter) is now regularly regarded as "usual care', as are, for example, reading or helping brushing teeth;]] [[calls on the Government to ensure that nursing care by trained parents is not considered as normal care,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kerstens and Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-208]]
