ParlaMint-NL_2020-09-08-tweedekamer-27.u1	I will proceed immediately with the next debate, the VSO Voorhang Decision adapting the Building Environment Decision (33118, No. 150).......................................................................................................................................................... We have two speakers from the Chamber. The first is Mr Koerhuis of the VVD group. He has two minutes' speaking time.
ParlaMint-NL_2020-09-08-tweedekamer-27.u2	Mr. Chairman. The decision tightens environmental performance requirements for homes from 1 to 0.8. This makes 10% of new buildings more expensive. The VVD was and is against this, but unfortunately a motion from us to prevent this did not succeed. To our surprise, this decision also proposes to step up environmental performance requirements by 2030 and to halve by 2030 at the latest. It is indicated that the elaboration will be offered to the House of Representatives in 2020.
ParlaMint-NL_2020-09-08-tweedekamer-27.u3	Mr. Koerhuis, I think you should take a little more distance from the microphone, because our earlobes are all shaking.
ParlaMint-NL_2020-09-08-tweedekamer-27.u4	Sorry. We have been told from the sector that this is not attuned. They had expected that it would remain from 1 to 0.8. The extreme tightening proposed is going to have a major impact on house prices. We can't use that now, not with today's news at all. The housing market has already suffered enough from all kinds of heavy demands. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government is proposing to increase the environmental performance requirement for new buildings from 1 to 0,8;]] [[noting that the government also sets the objective of gradually tightening the environmental performance requirement by 2030 and halving by 2030;]] [[Whereas the tightening of the environmental performance requirement from 1 to 0.8 already affects 10% of new buildings;]] [[Whereas half the environmental performance requirement will affect almost all new buildings;]] [[calls on the government to align with the whole sector, from Bouwend Nederland to Vereniging Eigen Huis, a possible halving of the environmental performance requirement, while also identifying the impact on new construction costs, taking steps to make the environmental performance requirement more stringent than 0,8,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the House of Lords. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33118-154]]
ParlaMint-NL_2020-09-08-tweedekamer-27.u5	The Netherlands has stated that in 2030 we are going towards a circular economy or halving, i.e. we are going to use only half of the raw materials and that there are half of the environmental impacts et cetera, et cetera. Eventually, we have to move towards a completely circular economy, but your motion goes against that.
ParlaMint-NL_2020-09-08-tweedekamer-27.u6	Eventually we also agreed here that we are going to solve the housing shortage.
ParlaMint-NL_2020-09-08-tweedekamer-27.u7	Thank you. Your next motion.
ParlaMint-NL_2020-09-08-tweedekamer-27.u8	I had one motion.
ParlaMint-NL_2020-09-08-tweedekamer-27.u9	Oh, the better. Thank you. The last speaker on the side of the Chamber is Mrs Van Eijs from the D66 group. You have the floor.
ParlaMint-NL_2020-09-08-tweedekamer-27.u10	Thank you, Mr. Chairman. This decision seems very technical and there are many different things in it, but when I read it, I also had to think of a scene by Friends in which someone becomes completely insanejorum from such a fire detector that goes off all the time and doesn't understand why it goes off. That was when I saw that it was proposed to make a smoke detector mandatory on each floor. So I had to stress once again from my colleagues to the Minister that they must be well-functioning and cost-effective fire detectors, as we are going to make this mandatory for everyone. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a proposal requiring the installation of a smoke detector on each floor;]] [[Whereas safety is of great importance, but measures must also outweigh the objective;]] [[calls on the Government to carry out a zero measurement and an annual monitoring of the effects of the mandatory installation of smoke detectors and to inform the Court of Auditors annually,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Eijs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33118-155]]
ParlaMint-NL_2020-09-08-tweedekamer-27.u11	Mr. Chairman. Let me begin with the motion in part No. President. - I call the Group of the European People's Party (Christian-Democratic Group). It actually sees the future development. Mr Koerhuis considers it important to consult with the sector. It seems to me to be a fair point that we do indeed pay attention to costs in future tightening up of an environmental performance requirement and that there is broad coordination with the whole sector, so I would like to leave the judgement to the Chamber. The motion in part No. 155 by Mrs Van Eijs sees on the smoke detectors. I also agree with her that it is important to keep an eye on that. I will therefore have a zero measurement carried out prior to the introduction of the requirement on 1 July 2022. I can leave the verdict on the motion to the Chamber.
ParlaMint-NL_2020-09-08-tweedekamer-27.u12	Clear. Thank you. Mr Smeulders, on a point-by-point basis.
ParlaMint-NL_2020-09-08-tweedekamer-27.u13	We do not yet have the motion, but I think I have heard Mr Koerhuis read out that we should not do that tightening up. If the Minister says that she leaves the judgment to the Chamber, I find that a bit crazy, because that tightening is in line with her own policy.
ParlaMint-NL_2020-09-08-tweedekamer-27.u14	I have read the motion in this way, but perhaps I have read it wrongly, that Mr Koerhuis agrees with the proposal that is now before us and that he is talking about the future, in which further tightening could be discussed.
ParlaMint-NL_2020-09-08-tweedekamer-27.u15	I note that Mr Koerhuis agrees with that. Thank you. So much for this debate.
ParlaMint-NL_2020-09-08-tweedekamer-27.u16	We also vote on these motions on Tuesday in the week after Princess Day. Thank you to the Minister for the Interior and Kingdom Relations for her presence. I'm gonna suspend for a minute and then we're gonna talk about the initiative bill.
