ParlaMint-NL_2020-02-04-tweedekamer-31.u1	We will continue with the VAO Tourism, with Mr Schonis as the first speaker.
ParlaMint-NL_2020-02-04-tweedekamer-31.u2	Mr. Chairman. Thank you for allowing me to read my motions first. I've got two. I will begin with the motion on the quarter-minute tourist cooperation, for lack of better. 'Cause I'd rather call him the Holiday Man. But, yeah, who remembers this guy? [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that tourism is an important pillar of the Dutch economy;]] [[noting that the opportunities and challenges for tourism vary considerably from one region to another;]] [[Whereas it is necessary to have a shared view of these opportunities and challenges among governments and partners;]] [[calls on the Government to appoint a quarter-hour tourist cooperation to identify the opportunities and challenges of tourism, to share provinces and municipalities best practices and to advise the Government on a coherent tourism policy,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Schonis. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-84]]
ParlaMint-NL_2020-02-04-tweedekamer-31.u3	And the second motion, about train holidays. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the CBS has calculated that the number of domestic and foreign tourists in the Netherlands will increase significantly until 2030;]] [[Whereas if this growth is accompanied by an equally large increase in car mobility, this will put further pressure on the accessibility of the Netherlands;]] [[calls on the Government to consult the tourism sector and national and regional transport providers to promote public transport for holidays in the Netherlands,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schonis and Mr von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-85]]
ParlaMint-NL_2020-02-04-tweedekamer-31.u4	Thank you. Mr Von Martels, CDA.
ParlaMint-NL_2020-02-04-tweedekamer-31.u5	Thank you, Mr. Chairman. It is good to hear that the tourism sector, i.e. the leisure economy, is getting more and more attention, even here in this house. I have two motions. It's a bit of a long motion, but they read like a novel. Apologies in advance. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that museums and other cultural institutions make an important contribution to tourism in the Netherlands;]] [[Whereas cultural institutions, such as museums, are a good tool to promote quality tourism, in line with the objectives of tourism policy, by telling the stories of the Netherlands, and to spread the tourism visit more across the country by their national network;]] [[Whereas tourism visits also benefit catering and retail trade in the location of cultural institutions;]] [[calls on the Government, in cooperation with other authorities, museums and other cultural institutions, to investigate what is necessary to increase the (name) awareness of medium- and smaller museums and other cultural institutions in the Netherlands among foreign tourists, in particular those from our neighbouring countries and in border regions, where there are opportunities for cross-border cooperation between museums/institutions and other day attractions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr von Martels and Mr Schonis. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-86]]
ParlaMint-NL_2020-02-04-tweedekamer-31.u6	For the second motion, I think I have 48 seconds left. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering the need to direct, coordinate and coordinate tourism policies, both on a horizontal level, between departments and on a vertical level, between national and local authorities and relevant partners;]] [[points out that, in this context, it would be a good idea for the Empire, provinces and municipalities to include tourism as an integral part of policies in existing structures and policies;]] [[calls on the government to implement the tourism vision by working with provinces and the NBTC to implement the Perspective 2030 principles and to take into account the results of the Rli opinion and thus work towards a secure and forward-looking sustainable tourism agenda, under the direction of EZK and with the active and structural involvement of other departments, local authorities and relevant stakeholders,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-87]]
ParlaMint-NL_2020-02-04-tweedekamer-31.u7	That was right on time, wasn't it, Mr. Chairman? Next time, I'll make the motions a little shorter.
ParlaMint-NL_2020-02-04-tweedekamer-31.u8	Thank you. Mr Van der Lee, GroenLinks.
ParlaMint-NL_2020-02-04-tweedekamer-31.u9	Thank you, Mr. Chairman. We recently had a critical-constructive discussion on tourism policy. According to the House, it was shared that there is a good vision, with pillars, but that some steps still need to be taken in terms of concreteisation. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Cabinet considers that it has presented a comprehensive vision of tourism with Perspective 2030 in line with the Rli's opinion;]] [[Whereas this vision is currently based on five pillars and three framework conditions;]] [[Whereas the action programme needs to be further fleshed out;]] [[calls on the Government to report to the Chamber on the progress of the implementation of the five pillars of Perspective 2030 by NBTC on the basis of concrete indicators and timelines and to inform the Chamber on the progress of the Agenda for Action,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van der Lee. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-88]]
ParlaMint-NL_2020-02-04-tweedekamer-31.u10	Thank you, Mr. Chairman.
ParlaMint-NL_2020-02-04-tweedekamer-31.u11	Thank you. Mr Moorlag.
