ParlaMint-NL_2020-10-14-tweedekamer-6.u1	We shall now proceed with the debate on the internal affairs budget.
ParlaMint-NL_2020-10-14-tweedekamer-6.u2	We had come to Mr Van Otterloo on behalf of 50PLUS.
ParlaMint-NL_2020-10-14-tweedekamer-6.u3	Thank you, Mr. Chairman. Also our congratulations, and you must think: even if it is a crown year; it is only a number. Health and fine work are more important than a number. Mr. Chairman. This budget is also devoted to the pitiful financial position of the municipalities. It has a long history. Looking back, I have to say that 50PLUS has always been opposed to the decentralisation that took place in 2015. The reason for this was that we felt that too little had been done to look at the negative experiences of the decentralisation which took place in 1995 with the Disability Act and the first WMO ten years later. The citizens do not see any improvements in quality. There's a bunch of waiting lists coming up at the D.A.'s office. Profit-taking providers in home care are walking in. All this leads to a deterioration in the position of the citizens. It is not about whether we are right, it is about helping the citizens. How is that the best thing to happen? The patronage compliment is no longer there. There are fewer people in debt relief. Sports facilities are getting in the way. Club and community homes have been cut down because, although they were originally in the law, they have been used to compensate for the rising burdens caused by the Wmo. When I look at the municipal finances, I have to say that the scaling-up discount has been used as an instrument in itself, but one could say that it has been abused. Now my first question to the Minister in that context is: what is the situation? The situation is that the two-year scaling-up discount does not take place, but is frozen at the same time through the accres. And when I look at the overview that Minister Hoekstra has sent, I do not yet fully understand what the negotiations on the new coalition are about. I would like clarity, because we still see cuts coming back in that overview. If that is the case, we shall be tabling a motion on this in the second term, because we believe that the next cabinet should be based on a real one where two things are important to us, namely that investment is not only made in the quality of public administration, but also in good relations in the financing of co-governments. We are still waiting for real measures to be taken. A report has been published, but what can be expected of improving financial relations between the two governments? Mr. Chairman. I would also like to pay attention to the Secretary of State, from his very special position, although it is so special that it may not be a coordinating director of digitalisation. But there are more in the cabinet, and that equals why there is a problem. Now the Chamber has adopted a motion that should be one coordinating ruler next time, but at the same time you see that society is further digitizing. It's up to both regiments. Others also mentioned it: government services are increasingly taking place by digital means. And in the corona time we have seen that this only increases more; town halls close, only accessible digitally or by phone. And behind that phone are people from a call center, who, if I may put it as kindly as I do, know nothing about horns and blows. Because it says on the paper that you get a telephone number from the municipality, but that is not meant to get answers to questions; that is to deposit your question and then hope that someone has an answer somewhere. We call for particular attention to be paid to include all people in society. And these are not only elderly people who have not grown up with digitalisation, but they are also others who are less skilled, whether they are low-literate or otherwise have a problem with coming. And those problems can soon arise. That's what you see with the corona app: if you don't have an iPhone 6 because you haven't joined the latest iPhone yet, you can't even download the app. That means that with something we introduce out of safety, we lose sight of an entire group. But the problems also arise, I think, and I am particularly addressing them to the Secretary of State because we have some coordinating directors but also many supervisors who are all involved in digitisation. At the round table we had with the Temporary Committee on Digital Future, there was a range of supervisors ranging from the Council of State to the General Court. I had never seen so many authorities together: the Authority for Financial Markets, the Personal Data Authority, the Consumer & Market Authority, the Justice and Security Inspectorate, the Telecom Agency, and then I am far from complete. One thing was clear: that these organisations do not consult each other. They're all looking at part of it. Some think they're the authority to look at the algorithms, while they don't share that with the others. So, in our view, there is an urgent need for structured consultation between all these supervisors in order to have a clear picture. One example: it was also mentioned that the telephony agency saw a great vulnerability in the system with which we are all banking online, but that was not known, either by DNB or by the Authority for the Financial Market. That is not possible, in our view. So please prepare the arrival of the next coordinating director, with a good platform in that regard. Mr. Chairman. This afternoon, we're also talking about the Tickets Act. It is very important that vulnerable people have access, but also that everyone has access, because that is a constitutional right and we need to regulate it as best we can. This may also mean that we should have a day-to-day spread. It may also mean spreading over the day, via nudging, with some hours that are especially for the elderly, and then not between 7.00 a.m. and 08.00 a.m. It's a misunderstanding that a lot of older people get up early. It is time for workers to get up early, but this does not necessarily apply to the elderly.
ParlaMint-NL_2020-10-14-tweedekamer-6.u4	Thank you. I now give the floor to Mr Bishop on behalf of the SP.
ParlaMint-NL_2020-10-14-tweedekamer-6.u5	Thank you, Mr President. Actually, I'm using the firm principle that you congratulate a year on the birthday itself, but if all colleagues congratulate you at the beginning of their speech and I don't, it's like I don't wish you luck on your birthday.
ParlaMint-NL_2020-10-14-tweedekamer-6.u6	Yeah, we don't want that either.
ParlaMint-NL_2020-10-14-tweedekamer-6.u7	So I break my own principle and I congratulate you on your birthday. I also wish you luck with the fact that you will soon be a young doctor, doctor honoris causa. Beautiful, heartfelt.
ParlaMint-NL_2020-10-14-tweedekamer-6.u8	Thank you.
ParlaMint-NL_2020-10-14-tweedekamer-6.u9	Madam President. It is remarkable, however, that we, the House of Representatives, are still discussing the budget of the Interior in this Chamber. For example, the planned renovation of the Binnenhof still has something positive. That is about the only thing, because after the earlier delay, it is now a question of whether the effects of corona and corona measures can be adequately taken into account in the replacement building. A positive quickscan in June seemed to be conclusive, but on closer inspection a few questions still appear to be open. That's how we're gonna go to my senses with horns and bumps a little bit further. Can the Secretary of State indicate whether, after all that has passed, there is sufficient confidence, and whether he has the confidence that the direction of this project by the Rijksbouwbouwdienst will actually lead to the desired result in time and within the agreed budgets? You feel that there is an undertone of great doubt in this question. It's a huge job. One of the colleagues referred to it in a different way. The Rijksvastgoedbedrijf................................................................................................................................................................................................... I would appreciate an in-depth reflection by the Secretary of State. The SGP thanks the government for the answers about the redesign of the Old Hall. I assume that the wishes of the House of Representatives will be carefully involved in the final draft, but I still have a question to be certain. The answer states that the preservation of the monumental value is a prerequisite. Is it true that not only is conservation intended, but that it is also provided with a more original arrangement of the Old Hall, which thus explicitly refers to the function of the hall before? I'd like a response. Then the financial position of the municipalities. That's a sad story. Many municipalities have been struggling for years to implement the decentralisations. This year, Corona recovered. The SGP considers it important that, in all these major concerns, municipalities should be able to carry out the full range of their tasks sufficiently, from their own responsibilities as other authorities, the government closest to the citizen. The spectacular increase in the youth care budget in many municipalities makes this very difficult. Aldermen seem to succumb to this. The social domain seems to have become an infected area, with all the consequences. What does this mean for the balanced development of the municipal administration? I would like the Minister's reflection on that. Now that we have a number of years of experience in decentralisation, the SGP also likes to hear the government's view on the status of municipalities as the closest government to the citizen. I therefore share, to a large extent, the concerns raised by Mr Van Raak's contribution. Can the municipalities now do what they have ever been set up to do and what they should still be equipped for? It was the intention, the idea, that the municipalities could support these decentralisations better than the provinces or the Empire, because they are closer to the citizens, but the opposite often seems to be the case. Municipalities are so close to the citizen that it may be more difficult to sell no. The idea of the Wmo and the Youth Act was that the municipality would first take the initiative with the citizen and only assist if it was necessary, but we often have the impression that the opposite is happening. Citizens' wishes are not always judged critically. What do these observations mean for the future? Should the municipalities better implement the philosophy of the laws and apply the philosophy behind the decentralisations, or is it the conclusion that this philosophy may have been too idealistic and that we should reconsider it and perhaps find a new relationship? I wonder what insights the Minister can share with us at the end of this cabinet period.
ParlaMint-NL_2020-10-14-tweedekamer-6.u10	Now that the word "citizen" has fallen, I think this is a good time to interrupt. Mr Bishop has just interrupted me on the issue of civil panels. I have a motion before me on civilian panels asking the government to investigate it. That motion was also signed by your colleague Stoffer of the SGP. You just asked about the state law. Can you please tell me what this is like under state law?
ParlaMint-NL_2020-10-14-tweedekamer-6.u11	That motion...
