Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u13	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-02-tweedekamer-7	ParlaMint-NL_2020-07-02-tweedekamer-7.u14	Report of the meeting of the Dutch Lower House, Meeting 91, Session 7 (2020-07-02)	2020-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 91	Sitting 2020-07-02	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
