ParlaMint-NL_2020-04-22-tweedekamer-4.u1	Then, before we vote, there is a brief arrangement of work. At the request of a number of Members, I propose that some motions be renewed: 29544-995; 29544-997; 32849-196; 35250-39; 35006-11; 35006-9; 34648-10; 34058-22; 34041-34; 34000-XIII-90; 33750-XIII-80; 33576-24; 33529-78; 33400-XIII-118; 33400-XIII-117; 33400-XIII-115; 33400-VI-110; 32813-31; 32370-134; 32336-37; 31936-207; 30196-270; 30175-208; 30175-207; 29383-238; 28694-107; 28694-106; 27858-257; 27858-1595; 27858-194; 27858-158; 27858-157; 27858-156; 27858-128; 27858-126; 27625-295; 27428-311; 27428-32-105; 21501-32-104; 21501-32-1019; 21501-32-1017; 21501-32-12-1717; 21501-1501-1501; 21501-1501; 21501-1501-1501; 21501-1501-1501; 21501-1501-1501; 21501-1501-1501; 21558-1501-1501-1501; 21558-1501-1501-1501; 21558-1501-1505-1501; 27858-1501-1501-1501; 27858-1501-1501; 27858-1258-1258-1858-1515; 27858-1515; 27858-1558-1515; 27858-1558-1525; 27428-1525-1525-1525-1515; 27428-15; 27428-15; 27428-15; 27428-15; 27428-15; 27428-15; 27428-15; 27428-1505-15; 27428-15; 274. Mrs. Marijnissen is already standing by. Then I go to Mr Krol, then to Mrs Ouwehand and then to Mrs Van Kooten-Arissen.
ParlaMint-NL_2020-04-22-tweedekamer-4.u2	Mr. Chairman. We'd like to see the by us tonight on piece number. 286 motion filed.
ParlaMint-NL_2020-04-22-tweedekamer-4.u3	At the request of Mrs Marijnissen, I propose her motion (25295, No. 286). That is what is decided.
ParlaMint-NL_2020-04-22-tweedekamer-4.u4	Mr Krol.
ParlaMint-NL_2020-04-22-tweedekamer-4.u5	As far as I am concerned, I am referring to the motion in part No. The Commission's proposal for a directive on the approximation of the laws of the Member States relating to the permissible sound power level of motor vehicles and their trailers is a step in the right direction.
ParlaMint-NL_2020-04-22-tweedekamer-4.u6	At the request of Mr Krol, I propose his motion (25295, No. 293). That is what is decided.
ParlaMint-NL_2020-04-22-tweedekamer-4.u7	Mrs Ouwehand and then Mr Veldman.
ParlaMint-NL_2020-04-22-tweedekamer-4.u8	Mr. Chairman. I'm holding the motion in part no. Two hundred and eighty-eight on.
ParlaMint-NL_2020-04-22-tweedekamer-4.u9	At the request of Mrs Ouwehand, I propose her motion (25295, No. 290). That is what is decided.
ParlaMint-NL_2020-04-22-tweedekamer-4.u10	Mr. Veldman.
ParlaMint-NL_2020-04-22-tweedekamer-4.u11	Mr. Chairman. I would like to propose that we hold the votes on agenda items 2 and 2a for a week, because there are still a number of colleagues dealing with amendments.
ParlaMint-NL_2020-04-22-tweedekamer-4.u12	Anybody mind? No? Then the votes on agenda item 2, votes on the Act on undesirable control of telecommunications, and on item 2a, the votes on motions will be held at the hearing of that law.
ParlaMint-NL_2020-04-22-tweedekamer-4.u13	Mrs. Van Kooten-Arissen.
ParlaMint-NL_2020-04-22-tweedekamer-4.u14	Mr. Chairman. I would like my motion (25295, no. 301) on the WOB requests for a week in the hope of a majority.
ParlaMint-NL_2020-04-22-tweedekamer-4.u15	At the request of Mrs Van Kooten-Arissen, I propose her motion (25295, No. 301). That is what is decided.
ParlaMint-NL_2020-04-22-tweedekamer-4.u16	Let's go to the voting list. We shall begin with agenda item 1, votes on motions tabled during the debate on the development of the coronavirus.
