ParlaMint-NL_2020-01-23-tweedekamer-9.u1	The Minister has the floor.
ParlaMint-NL_2020-01-23-tweedekamer-9.u2	Mr President, thank you. I would like to begin by congratulating Mr Jansen on his maiden speech. I would add that his input was in line with the tradition of the medical-ethical debates here. In terms of tone and atmosphere, they are always a bit different in character than otherwise. We saw that again this morning. For example, the SP reached out to the coalition through an amendment. VVD'ers complimented the SP conditions. The parties, also from the opposition, said out loud that the minister could speak out more often. I don't get that invitation every day either: an encouragement to more interviews. Mrs. Dijkstra said that you should especially count your blessings. All kinds of beautiful things happen during those medical-ethical debates. But much more serious: it draws the care with which we deal with medical-ethical dilemmas. There is more room for dilemmas and perhaps more curiosity about other people's arguments. These are all very big questions and we take small steps each time. We do this carefully and carefully. I believe that this is in line with what Mr Jansen had to say. Also this morning, and now this afternoon, it is about: how far does protection extend? That's a big question. When does freedom become freedom? That's a big question, too. How much space is there to use human action to prevent suffering? How much space is there for that? Those are all big questions. Within those big questions, we are indeed taking small steps this afternoon. In fact, the coalition agreement is similar. That is the task of four very different parties with which the cabinet has to deal when it comes to medical-ethical choices. The coalition agreement has commissioned that all medical-ethical questions be examined on the basis of a review framework with three partial questions: what is the state of medical-scientific research, what is the state of medical-ethical reflection and has there been social discussion and sufficient political reflection? That is also the lens that has been used to look at this issue. I'll start this afternoon with the part of the bill that's about allowing sex choice. For the second block, I chose the part of the bill that deals with quality assurance. The third block contains the questions that were not so much about this bill, but about adjacent issues, also in relation to the social dialogues that are being conducted on this issue, for example embryo culture and carriership. It's all the questions that touch on that. Finally, I will deal with the amendments. Mr. Chairman. Selection by gender is prohibited by the Embryo Act. A desire of parents to have a boy or a girl is not honored, because we do not want children to be reduced to just the object of parents' desires and desires. That was mentioned by some of you. However, it is different when there is a serious medical reason. I refer, for example, to Duchenne's disease. For someone who knows that this disease occurs in his family, the possibility of pre-implantation genetic diagnostics, or pgd, can be an outcome. In Duchenne's disease, which occurs only in boys, it is allowed to select via pgd embryos of the female sex, so that the child does not become ill. You can do that now. The Embryowet allows sex choice to prevent a severe hereditary disorder when it comes to a condition that is sexually bound. We find this admissible because of the underlying motivation. The same wish and the same motivation are at the root of the present legislative proposal. There are diseases that do not only manifest themselves in boys or girls, but where one sex is more at risk of the disease than the other sex. The best known example is the presence of a mutation in one of the BRCA genes, which can affect both men and women. As a result, both men and women have an increased risk of breast cancer, but for women the risk is many times greater than for men, with an increased risk of ovarian cancer. In this situation, it is still preferable not to select by sex but to select embryos that have not been affected by the mutation in question. On the basis of mutation detection, embryos that have not been affected by the disease can be selected. Then the sex doesn't matter either. With all healthy embryos, an IVF attempt can be made. That is the right thing to do now, and it will always be the first step after this legislative amendment. Sometimes this option does not exist because, for example, there are no embryos without that mutation. Or, for example, if the attempts made with healthy embryos have not led to continued pregnancies and there are only embryos left that have been affected with that gene. In this situation, you could use sex selection as a follow-up step to reduce the risk of breast cancer. There is therefore no need to create new embryos in this situation. Within the embryos already established for the regular PGD, additional use could be made of the embryos of the male sex affected, whereas they should be discarded in the current situation. The other example where sex selection may be an option is the untreatable eye disorder LHON. Here too, there is an unequal opportunity between boys and girls to actually be sick. This disease is passed on by the mother to all her children. That means that at the moment a regular PGD is not possible for LHON. All embryos are always affected. Only by gender selection can the risk of the disease be reduced. If we do not allow sex choice to be applied in that described situation, this would mean that in some situations parents will not be able to reduce the risk of a serious condition. It is precisely by offering this choice that serious suffering can be avoided, without compromising the protection of the embryo. I would like to make that introduction because many questions have been asked which touch upon it and which I can better answer by putting it in this context. I'll fill that in with the PGD procedure in a moment. Maybe it's wise to do that right away. In doing so, I take a number of questions from, among others, the Christian Union. Because later on, it will go according to a procedure similar to that in force today. Mrs Dik-Faber asked a question about this, but also Mrs Dijkstra. In order to understand this change, I would like to stress that the current procedure for PGD is surrounded with great care. There's not just going to be a PGD. Whether a pair is eligible is weighed by a multidisciplinary team on the basis of the PGD Scheme. This team should include at least one ethicist, besides, for example, a clinical geneticist and, if appropriate, an oncologist. If PGD is requested for a condition or disease that has not previously been eligible for PGD, thus extending the scope of application, this will be submitted to the PGD National Indicative Committee. It has a similar composition and checks whether the application is within the limits of what is ethically and socially acceptable. So we have already defined this from the political framework. Because a decision framework has been provided to the PGD Scheme, in which a number of criteria have been developed. These criteria relate to the severity and nature of the disease, i.e. the extent to which it occurs, its severity and the question of how early in life that disease will manifest itself. These are the questions about the nature and severity of the disease. It also covers the treatment options of the disease, the additional medical criteria, such as possible contraindications for an IVF, and other psychological and moral factors. This is the review framework which is already in force for PGD and which has already been established. That, of course, continues to apply. Both the multidisciplinary team, which evaluates each individual case, as well as the PGD National Indicative Committee, which looks at new indications within that scope, adheres to the decision framework that we have established. In that decision-making framework, the Penetration............................................................................................................................................................................................ In other words, it is about the incidence of the disease in people who have that abnormal gene, so how often that disease occurs in those people. If the incidence is higher, the condition is more likely to qualify for pgd. If this amendment is adopted, the difference in incidence between boys and girls will be taken into account in the same way. So the bigger the difference, the sooner the condition is eligible for pgd. This is in line with various questions from different groups. We have been asked why there is no exhaustive list. That's one way to ask that question. How is the level of inequality actually determined acceptable? This is also a question raised by the Council of State, which has been raised in several speeches in the written report. An exhaustive list assumes that this data is static, but that data is not static. This is evident from the practice of the current pgd. That's the special thing: you can already make a total sex-related disease part of pgd. That's okay. But also in the case of this sex-related disease, over time, we have been increasingly able to see by mutation detection of genes whether or not a particular embryo has been affected. Even now, you're getting less and less into the question of whether we should choose between a boy or a girl, because you can let that question go ahead by gene mutation detection. This means that the current testing practice is not static either. If you look at the number of diseases that have ever been eligible for pgb over time, I think it is about 150 diseases. Most of these diseases are n=1, n=2 or n=3, so they are almost non-existent, but they have been considered for this at some point. But if you look at how many times it is still necessary that an embryo is actually selected for slaughter, then that number decreases very quickly. This has to do with the fact that we in the Netherlands are getting better and better in gene mutation detection, so you never get to the question "well, if we don't know for sure in advance, then we have to choose for a boy or a girl." That will also play a role in this new situation. I think the way in which this procedure has been set up is indicative, first and foremost by the care with which this procedure is designed. So I am convinced that people are really looking at whether there are other ways of preventing you from getting to the question of whether we should choose between a boy and a girl. We know and consider that this is a serious question, which should not be lightly addressed. I think that reflects very well the political debate. The second element that is significant is the extent to which the state of science also determines the way you have to look at it. This can be seen in the extent to which gene mutation detection can prevent that choice between a boy and a girl. But I think you can also see that in terms of the extent to which you come to a coloration of the applicable criteria. So, for example, it is about the nature and treatment of the disease. Those aren't static data. The state of science and the extent to which one can predict in what way a disease will or will not be hereditary, and in what way a disease that is genetically determined can be expressed, are also not statically given. That's where science moves on. That is also the reason why we have opted in this legislative proposal for a design that is in line with pgd. It is not the case that politics cannot follow that, because the PGD annual report is sent to the Chamber every year. On this basis one can very well follow the way in which the application of pgd takes place. If one could see that there is an undesirable extension or an undesirable way of dealing with the criteria, then politics could raise this issue. That's okay, I guess. But I sincerely believe that this is not the case, precisely because of the careful conduct of the procedure.
ParlaMint-NL_2020-01-23-tweedekamer-9.u3	I think it is a clear explanation from the Minister, but he quickly crossed the point that there must be a difference between the odds between boys and girls, in the extreme case that this choice is necessary and desirable. I had said, like a number of colleagues, that this is still very general. How is that weighed? How are these conversations going? How big is that difference between boys and girls? And how much does that weigh compared to the other criteria? There are several criteria.
ParlaMint-NL_2020-01-23-tweedekamer-9.u4	There must, of course, be a clearly unequal gender incidence. But what I think is more important than that, is that this isn't the only way you look at it. All these other elements still have a role to play. So you look at the severity and nature of the disease, the extent to which the disease occurs, the age at which the disease manifests, etc. All these elements weigh in addition to the uneven gender incidence. Then there is also the possibility of looking in a regular pgd-course to see if you cannot achieve the goal by mutation detection in a way other than by gender selection, namely to prevent that serious suffering. In fact, this is the way you should imagine it. The scope of application of this legislative proposal is slightly widened, but the way it is going remains exactly the same. The way in which these criteria are weighted also remains exactly the same.
ParlaMint-NL_2020-01-23-tweedekamer-9.u5	I understand that, but that still is not quite an answer to my question. I understand that you only have to do it in the extreme and that other things also have to be taken into account, such as the severity of the disease, etc. Let me tell you by heart: between the two diseases that are now eligible for this, there is quite a difference in gender incidence. So there's just a lot of uncertainty left. It must be a substantial difference, but what is "essential"? Is that more than 40% or is 8% enough?
ParlaMint-NL_2020-01-23-tweedekamer-9.u6	What I am underlining is that it cannot be cut with scissors. Because that would suggest that all these other criteria should be weighed, also in relation to each other, but that this is a mathematical application. So it cannot be put down to that extent, in that way. There must be a substantial difference in gender incidence. For all sizes of application, you shouldn't want to answer this question at all if you can also do it by gene mutation detection. That is true anyway, but you have these criteria to weigh against others. In the case of hereditary breast cancer it is actually very clear; then it is 90-10. In the case of LHON it's a bit closer together; then it's called "then" out of my head. For now, these are actually the only diseases in the picture where there really is a difference in gender incidence. In the original treatment, in my opinion, in 1998 I believe that none of us was there, except Mr Van der Staaij, of course, were even mentioned as some diseases that would be mentioned. Duchenne has been mentioned and, among other things, haemophilia has been mentioned. In the meantime, this has also become apparent in a number of other diseases. I'm just saying this isn't a static list. Also the degree of inequality of that gender incidence.................................................................................................................................................. So the cabinet deliberately didn't want to do that either.
ParlaMint-NL_2020-01-23-tweedekamer-9.u7	I understand. You can't cut this and say it should be over 25% or so. I understand that, but I'm just wondering if that discussion is further specified, which we didn't know yet. But I understand that what is "essential" will be determined by that committee and by the multidisciplinary team. No, probably from the committee.
ParlaMint-NL_2020-01-23-tweedekamer-9.u8	Yeah, by the national guidance committee. Since this is a new condition within the scope of application, the discussion will take place in the National Indicative Committee, always in relation to other criteria. If the answer is "yes, this should be possible," then the answer is always "yes, if..." Then this weighting, also in relation to other factors and other criteria, is very well indicated.
ParlaMint-NL_2020-01-23-tweedekamer-9.u9	Another informative question is to be able to understand exactly what the widening of the scope of application is. For example, in hereditary breast cancer, there is even a very large group where pgd treatment is already taking place. But I didn't run into LHON. It seems that there is a difference between the two diseases now mentioned and that there is therefore a new application in relation to this disease. Let me get this straight.
ParlaMint-NL_2020-01-23-tweedekamer-9.u10	Yeah, that's right. That has to do with the extent to which the disease is transmitted. In the case of hereditary breast cancer, there is already a possibility of looking at an embryo by gene mutation detection. This makes it possible to use only the "healthy" embryos via pgd even now. With LHON that is not possible, because that gene mutation is always passed on. Only the extent to which this gene mutation is expressed differs between boys and girls. In LHON, therefore, there is something different there than in hereditary breast cancer. I think I've answered some of the questions that touched on this, at least. Mrs Dijkstra of D66 asked whether the multidisciplinary team and the National Indicative Committee could in future consider diseases in which an uneven gender incidence is also detected. The answer is: yes, in the same way it is happening now and which has also led to the extension of the list in recent years. In the meantime you can see that a sex choice is no longer necessary to do mutation detection. The SGP asked a number of questions. How is the difference in appreciation of severe suffering taken into account? How do you measure severe suffering? What's that? Isn't that something that parents appreciate very differently? You cannot define what is severe suffering or what is a serious condition. There is indeed a difference in perception. Thus, when it comes to a new indication, the National Indicative Committee will make a general statement, including on the basis of what is known in the scientific literature and the experience of others who have had this disease. For all diseases for which a pgd treatment has once been a pgd treatment, there is now a rather extensive list. By the way, most of these diseases are almost non-existent, i.e. one, two or three times. The overview of this type of disease can be found in the annual report PGD Nederland, which is sent to the Chamber. Soon the annual report for 2018 will be published as well. That's an annual report that's gonna take a while. But we are trying to keep our grip on it through the annual reports. But suffering is always weighed in relation to the other test criteria. So the degree of suffering is never an absolute criterion, as no criterion is absolute for a kind of right to pgd. There is no such thing, and we should not make it so. There will therefore always be a review and a weighting. The SGP says: you cannot, reasoning from the protection of life, put an end to the early existence of human embryos. Isn't this about quality of life? You could say that if you look at the Embryowet, you can see that there is a balance between protection of life on the one hand and other important values on the other. Health and quality of life are important values. That is also why the Embryowet allows scientific research under strict conditions. The prevention of serious hereditary disorders in children, or the reduction of their risk, is considered to be a legitimate objective to maintain the balance in the law as it has been found. That is also what I wanted to highlight in my introduction. I am actually talking about the balance that is already in the law. The prevention of severe suffering fits the balance of the Embryowet. Then there are questions about autism, which have already been raised in the report. I recognize those questions. The theme of autism comes from the evaluation of the Embryowet, so those questions have been raised before. But I have actually always regarded them as somewhat academic, because I think it is quite far from the intended scope of application of this law. It might also be a question of testing: yes, but could it ever come between us, could it ever apply to that? Honestly, I can't imagine that now, or just not. It has to do with the way autism occurs. That goes from very heavy forms of autism to very light ones that have never been referred to as autism until a few years ago. The spectrum is so wide that I can't imagine that we're ever going to qualify it as a serious disease that you can predict in advance the degree of seriousness and the degree of inheritance, not partly and in any case not in its entirety. I honestly cannot imagine that with the current way in which autism is written and spoken of. So, frankly, I see this as a rather theoretical discussion. But do we have an exhaustive list of what should and should not be covered? That's the other side of the spectrum. No, we don't have it, and we don't want it, just because the state of science is progressing. That is why we do not write down already: for that and that condition this should never and never apply. In the heredity survey, really new discoveries are still being made. We really don't know everything about autism, but in order to explain something within this scope of application, you need the combination of heredity proven, unequal gender incidence demonstrated and the expected severity demonstrated when there is inheritance. And that is quite separate from the question of how serious this suffering actually is. That is why I think it is rather theoretical and I cannot imagine that it will ever fall within the scope of this law. Who do we achieve with this bill? That is a question from Mrs Tellegen. Mrs Ploumen asked, I thought, a similar question: for how many people is this an extension of the possibilities that we do not now have? Only a few new couples per year will be eligible for gender selection. For mutation on the BRCA gene, pgd is therefore already possible on the basis of mutation detection. The change is a result if there are no embryos without the mutation gene. So if all the embryos that are there are a gene set that contains that mutated gene, this is an outcome. But if you can do it in a different way by gene mutation detection, there is already the possibility to continue with the healthy embryos. So in a large number of cases, pgd is already possible with that breast cancer gene.
ParlaMint-NL_2020-01-23-tweedekamer-9.u11	There is another question from Mrs Ploumen on this subject.
