ParlaMint-NL_2020-05-27-tweedekamer-5.u1	I now give the floor to the Secretary of State for Finance.
ParlaMint-NL_2020-05-27-tweedekamer-5.u2	Thank you, Mr. Chairman. I would like to deal with the questions as follows. I've got a short introduction and then I've got six cubes. That is a block on the compensation system, how it works and the questions that have been asked about it. There is a block about the cabinet response to the themes that played around Donner and the research. The third block deals with the use of nationality. The fourth block is about the declarations. The fifth block is about the transformation of the Tax Administration. The sixth block is a block of "other."
ParlaMint-NL_2020-05-27-tweedekamer-5.u3	It might be good to allow the Secretary of State to deal with these issues first. Members will then be given the opportunity to intervene. Mrs. Leijten?
ParlaMint-NL_2020-05-27-tweedekamer-5.u4	Mr President, because we always make agreements whether or not you are allowed to ask a question, you are a strict chairman, but rightly so, of course, I would like to know where FSV, the blacklist, falls. Is that in "other"?
ParlaMint-NL_2020-05-27-tweedekamer-5.u5	As far as I know, it's in block two.
ParlaMint-NL_2020-05-27-tweedekamer-5.u6	Good. Go ahead!
ParlaMint-NL_2020-05-27-tweedekamer-5.u7	Mr. Chairman. The fact that I am the one standing here today has everything to do with the extent of what went wrong with the childcare allowance. A large group of parents lost not only a lot of money, but also their trust in the government. Some of this group even lost their livelihood with profound and often irreversible consequences. Restoration of trust and justice to the duped parents were and are the reason for me to choose full surrender for the office I am now allowed to hold. There are several causes for what has gone so terribly wrong. The way things are going within the Tax Administration and Charges is an important factor, but the social and political pressure to tackle fraud with surcharges was also involved. Just like the regulation, which is downright harsh and based on an unnecessarily complicated system. We must learn from this as a government and as a political lesson. I share Mrs Leijten's view that your Chamber and investigative journalism have played an important role in getting the bottom line. I consider the report to the Public Prosecutor's Office of possible criminal offences, on which I spoke to your Chamber last week during Question Time, to be an absolute low point. The reliability of the government must always be beyond any kind of doubt. Everyone in the Netherlands must be able to rely on equal treatment in the same cases. It is therefore very important for the Public Prosecutor's Office to be able to carry out an in-depth investigation. We will do whatever it takes to give the public prosecutor the opportunity to do so. Your Chamber has also played an important role in the run-up to the declaration. Not only did I find the D.A.'s report an absolute low; so did my people, the hard-working, dedicated officials within the Tax Office and also at Fees. With them I work hard on improvement: doing justice to the damaged parents and restoring trust in the service. For example, I do this together with Pearl and Matt, who are personal contacts and understand from their role in the service how important careful communication with parents is. Like your room, I'd rather see results today than tomorrow. But it takes time to restore 15 years of policy and do justice to a large group of parents. Of course, we want every euro of the half billion that the cabinet makes available to compensate parents to achieve their goal. It also takes time to remove the hard aspects of the system of surcharges, to make services more human and to take the system fundamentally. On the basis of the firm advice of the Donner Commission, and the step we have taken as a cabinet to compensate another group of parents, we have a total of about 20,000 parents who are entitled to financial recovery and/or compensation. I can tell you that in July we will make the first payouts to the disabled parents. In the months that follow, we can increase that number rapidly. We aim to be the first to help those parents who have been hit hardest. Parents from the CAF 11 group.......................................................................................................................................................... I am also pleased that it has been possible to present the emergency law to your Chamber, with a view to the parents affected by the harshness of the regime from the year 2005. In doing so, we can jointly lay the legal basis for recovery and hopefully deal with the past once and for all. In addition to the financial recovery, my parents can expect realistic planning and certainly careful communication. This, too, will hopefully contribute to the restoration of confidence. Parents need to know what to expect as soon as possible. For this reason, the past few months behind the scenes have also worked hard to set up a crisis and recovery organisation and to draw up rules and design implementing processes that allow justice and tailor-made work. I would also like to mention regular contacts for parents, the setting up of an administrative advisory committee of very broad composition and a parental and child panel, which looks critically into and advises us asked and unsolicited. Through webinars and videos we also try to talk to the parents regularly about what we are doing in corona time. I do so as personally as possible, because I want to continue to talk to the parents about their experiences. I therefore attach particular importance to the involvement of the National Ombudsman. Together with Secretary of State Van Ark and several municipalities, we look at where and how we can best support parents in the practical and spiritual sense. The parents also have a right to learn from the past and understand what has happened, in order to learn from it for the future. Because we too have questions. Part of it is now in the district attorney's office, but we are also investigating what happened, for example around the documents supplied by parents that have disappeared. We continue to change leadership and supervision, from high to low, and professionalisation and cultural change in the service. The transformation into a Tax Administration and Fees, which we can all be proud of. The present system of supplements is, as has been said, unnecessarily complex and complicated. In the short term, the cabinet is working on improvements aimed at reducing errors, but also on concrete proposals for the reform of the surcharge system. I hope to be able to tell you more about this in the autumn. Together with your Chamber, I want to continue to work hard to restore confidence and correct what needs to be corrected. Then I'll move on to the first block, and that's about the compensation arrangements. In the cabinet response we have indicated that we want to divide the recovery of what has gone wrong for parents into a number of topics. In fact, we are dealing with three groups of parents. There are parents who are affected by the so-called institutional bias. This institutional bias applies to a large part of the parent groups that have been the subject of a CAF study, but it also applies outside. There is also institutional bias separate from CAF investigations. This is important, because these parents are also covered by the scheme set up for CAF 11. A second group of parents, a probably larger group, consists of parents affected by the hardness of the system. That was not an institutionalized fraud investigation, there was no question of anything going wrong in the service. Mr Nijboer made that distinction even though it was about the hardness of the scheme itself. For example, if you didn't have one receipt, you'd have to pay back a whole year. That is a second group of parents, for which we have a compensation scheme in our proposal. Then there is the group that was also called "the o/gs group." It runs a bit through these two groups, because parents have sometimes been the subject of a CAF study, but also an o/gs qualification is fully qualified as a set-up/greater debt debt, and this can also be combined with the hardness of the system. We also have an arrangement for this group. Because we said we're quitting o/gs. We are not claiming at the moment, and we are ensuring that where, after processing these parents' files, a residual debt would remain with the Tax Administration, payment will not be based on o/gs, but on payment according to carrying capacity.
ParlaMint-NL_2020-05-27-tweedekamer-5.u8	And o/gs is ahead?
ParlaMint-NL_2020-05-27-tweedekamer-5.u9	Built-up/greater debt.
ParlaMint-NL_2020-05-27-tweedekamer-5.u10	I was curious to see how you're going to build up your speech. You were still trying to report that.
ParlaMint-NL_2020-05-27-tweedekamer-5.u11	This was in response to the questions asked about the different arrangements. I've said something about that now. I'm going to ask the questions now. Someone asked about the compensation for parents who have been treated group-by-group bias. How does that work and is there also the possibility that parents will be compensated on the basis of individual bias? That's what I said, so it's possible. The process in which this is going on is that a review is being carried out by the Tax Administration/Applications, and then there is a committee of wise men watching with us whether this is being done properly. In addition, there is that group of parents who are compensated for the hardness of the scheme. There is also an assessment and another committee is looking into that assessment. Then I will go to Mr Snels' questions about the possibility of discussing the legislation in the near future. So that is what we are going to do, because if it is right, there will be a debate on this for next week. Then we talk about the different arrangements and then we talk about those groups of parents, and how it is enshrined in the law to ensure that compensation for those groups exists. We shall therefore be discussing two additional arrangements. For the parents who receive compensation, for example for the parents of the CAF 11 group, there is the scheme that, where more damage has been suffered than has been paid to them on a flat-rate basis, we can take an additional step by paying damages related to this case. And we will also talk about the so-called safety net clause, a provision that exists for the victims, for example, of the hardness of the system and the parents affected by that hardness. In this way, there is the possibility of anticipating any particular situations there. The reason for this is, in particular, that we wanted to prevent the scheme from being so close that we could not include new cases in any way if they were to occur, for example if the Personal Data Authority came to certain conclusions or if the FSV showed something similar. Mrs Leijten asked about the approach of intent/great debt. How does it work now? So we have stopped this policy of intent/great debt. This means that none of the parents will receive such a qualification and that neither will they have to repay any of the parents without payment. Those payment arrangements will apply from now on. In other words, if you have a debt with the Tax Office or with Supplements, you pay two years according to wealth and after two years the remaining debt is cancelled. How does this work in the context of our compensation scheme? There are many parents who have indeed received such a qualification and who have also been in trouble as a result. That is also why they are taken into account in the two schemes.
ParlaMint-NL_2020-05-27-tweedekamer-5.u12	I think there will be a lot of questions about this part, but perhaps it would be useful if the Secretary of State would finish this first. Then you will have the floor, Mrs Leijten, on compensation.
