ParlaMint-NL_2020-11-11-tweedekamer-9.u1	We shall now proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2020-11-11-tweedekamer-9.u2	We have come to Mrs Karabulut on behalf of the SP. I'm giving her the floor now.
ParlaMint-NL_2020-11-11-tweedekamer-9.u3	Mr. Chairman. The pandemic combined with an economic crisis has turned the world upside down. Some yearn for the past, the SP for fundamental system changes. In the Netherlands, we can hardly cope with the pandemic. There are serious medical shortages, including personnel. For the time being, they can whistle to a higher salary. It's a matter of priorities. In hypercapitalist America, Corona has exposed the weaknesses of the system. Millions of people have no health insurance, no work, no income, no home and sometimes even barely to eat. The American dream is for many exactly that: a dream, just a dream. But there is also resistance and hope in the United States. This is evident from the recent elections, where progressive democrats have strengthened their position. In many places they defeated Republican opponents, including the big money behind them. Worldwide, including in Europe, people oppose oppressive systems, inequality, corruption, capitalism, nepotism, discrimination and climate destruction. Massive movements from the bottom, for example, in Iraq, Lebanon, Bolivia, but also in France and also in the Netherlands, are encouraging. There is a need for an economy and a system that works for everyone. This means fair trade, dismantling the fossil industry, investing in fair jobs and depriving the super rich of their wealth. There is also a need to redefine our relationship with the United States. The time of slavish obedience must be over. It is time for our own foreign policy to support not every illegal, aggressive war. I'd like to hear the Minister's views on this. Is he prepared to review the relationship with the United States at this time? That means: no longer participating in a permanent war, demilitarizing and more relaxation in the world. This is also in line with the UN Chief Guterres' call for a global ceasefire. What has the Minister done with this appeal? Mr. Chairman. We may not think about it every day, but in the world 690 million people are starving. In such a world, is it not more sensible to make the most of it in order to free up money to fight hunger rather than the 2% madness for NATO that has been out of grace? During the pandemic, inequality has only increased. The billionaires have seen their wealth grow, while 30 million people will die under the World Food Programme if they don't get food soon. This neoliberalism, with the only guiding principle the right of the strongest, is a frontal attack on human rights, which should be universal. In practice, they are not, not even in the foreign policy of the Rutte III cabinet. There is hypocrisy here, and we should change that. A cornerstone of foreign policy, these are human rights for the Netherlands, which is in official documents. There are certainly examples to suggest that the Minister has done some serious work on this in recent years. I would like to congratulate him on that. Think, for example, of sanctions for electoral fraud and violence against demonstrators in Belarus or of making Syria liable for gross human rights violations. That's not just a step. The Netherlands also supports personalised sanctions against Venezuela because of the rapidly deteriorating democracy in that country. Sanctions have also been imposed against Iran against individuals involved in serious human rights violations. These measures deserve support, but what I have great difficulty with is the selective nature of this Minister's human rights policy. In fact, four other countries, Western allies with similar or even more serious human rights violations, can easily be placed in front of the four countries just mentioned, but no action is taken against them. Take Saudi Arabia. The human rights situation in this Islamic state is clear. It's abominable. In addition, Saudi Arabia is largely responsible for the hundreds of thousands of deaths and millions of refugees in neighbouring Yemen, against which the country has been at war for years. Hunger is even used as a weapon. But sanctions against Saudi Arabia have never been imposed. Then I'm going to Egypt. This country is also involved in the war against Yemen. It contributes to the strangling blockade of the country and in its own country every critical sound against dictator Sisi is suppressed by force, resulting in thousands of political prisoners. No action is taken here either because of human rights violations. My third example concerns Israel, which has for decades been using Palestine occupied and regularly violently to maintain it. In 2018, some 200 more protesters were killed in Gaza; a massacre. The unsubs are gonna walk. Meanwhile, the sneaking annexation of occupied territory continues, mostly by expanding the illegal settlements. But no action was taken here either. Finally, Turkey. This NATO ally has been engaged in a war against its own people for years; let us not forget that. Many thousands of Turks disappear for the slightest or least time behind bars. The country is also at war with almost every neighbouring country. Over the last few weeks, Turkey has played a key role in the war on Nagorno-Karabakh initiated by Azerbaijan, where ethnic cleansing is at issue. I'm getting predictable. I know, I know, but also here no sanctions for human rights violations. Mr. Chairman. Human rights are universal. The practice is that our minister does not want to burn his fingers on any proposal in the direction of sanctions against these and other Western allies. That makes the Dutch human rights policy hypocritical. I would like to make a number of proposals here to make Dutch human rights policy less hypocritical. I hope that the Minister here in the coming months will, at least in the last few months of his ministry under this cabinet, wish to put all his positive energy into it. As far as Saudi Arabia is concerned, I urge the Minister to work on punishing all parties in the conflict who use hunger as a weapon. I ask the Minister to take the initiative with like-minded countries to identify options for possible measures against those responsible for using hunger as a weapon. Is the Minister prepared to do so? Mr. Chairman. As far as Egypt is concerned, I have two proposals. It is truly unheard of that the Netherlands still provides the navy of that country with military equipment. I ask the Minister to change this policy immediately. I would also point out that the EU-Egypt Association Agreement is explicitly based on respect for human rights. I ask the Minister at EU level to discuss the suspension of this agreement if Egypt does not release political prisoners. Please respond to both proposals. Mr President, then Israel. It must end the impunity for the perpetrators of the Gaza massacre in 2018. Those responsible must be prosecuted. I ask the Minister, if this is not done soon, to obtain EU support for targeted measures against the perpetrators. As an association agreement has also been concluded with this country, I ask the Minister to open the discussion at EU level on suspending this agreement as long as Israel continues to expand settlements in Palestine. Will the Minister do that? Finally, Mr President, Turkey. Here too, the enormous internal repression can no longer be tolerated. I ask the Minister whether he would like to argue at EU level that preparations are being made to hit the perpetrators with targeted sanctions in this country too. In view of Turkey's policy of war against neighbouring countries, it is, of course, high time that this country was removed from NATO. I've argued it before. How does the Minister feel about that? Does he want to think seriously about accepting this proposal? Previously, I proposed an arms embargo, indeed together with Mrs Ploumen, to complicate the continuation of the war in Nagorno-Karabakh. Turkey and Israel are top suppliers of Azerbaijan. The latter wants to be forgotten. However, the Minister was opposed to this proposal. I want to make this proposal again. What's to stop the Minister from embracing this proposal? There is now a truce between Armenia and Azerbaijan. What does the Minister think of this file? How does he look at that? Does he agree with me that self-determination should be a priority for the peoples of this region and that all refugees should be able to return? Finally, I call on the Minister to call for all war crimes committed in the recent conflict to be investigated and the perpetrators punished. Does he want to bet on that, too? Mr. Chairman. I will move on to another subject which I have also discussed on a regular basis in recent years. I hope that in a new period, with a new Chamber and a new President in the United States, we will finally be open to fundamental changes and at least a critical look at the outcome of permanent warfare. For years the SP has been calling attention to the so-called war on terrorism, which has been raging for almost two decades. We have always pointed out that this policy of war makes more enemies than it eliminates, and that terrorism feeds on war. More terrorism is the result of this permanent war, there, in the countries where the West is throwing its bombs, but also here, in Europe. It is a fact that, in a globalised world, foreign policy cannot be decoupled from domestic policy. All the painful Islamic-terrorist attacks in recent weeks have just made that clear again. The war on terror is accompanied by immense suffering, especially in the Middle East. The long-hidden civilian victims, refugees and extensive destruction in Hawija, Iraq, by the cabinet, are just an example of this. In reality, more than a million people have been killed in the wars launched by the US, which have always been supported by the Netherlands. In addition, tens of millions of people fled the violence. Why is this so little discussed? There has been a recent re-examination of this gigantic flow of refugees. The Cost of War Project of two U.S. universities calculated that US military interference contributed to at least 37 million, rising to 59 million, refugees. Significant figures. I would like a response from the Minister. How does he look at these numbers? Is at least part of the West's responsibility for these huge refugee flows recognised? If the answer is yes, what do we do with this science? Does the Minister see with me the usefulness and necessity of taking stock of this policy of war after almost twenty years of war? What did that get you? For example, through an independent investigation. I'd like a response. Mr. Chairman. The next issue I would like to raise is the new Cold War that has been going on for years between the West and Russia on the one hand. The explicit role of nuclear weapons in this conflict makes it life-threatening. I therefore repeat my plea, the plea of the SP, for de-escalation, for intensifying the dialogue. Mr. Chairman. Fortunately, there is also good news. Since last month, 50 countries have adopted the International Treaty for the Prohibition of Nuclear Weapons, which brings the Treaty into force in January. After biological and chemical weapons, nuclear weapons are now also the last weapons of mass destruction to come under a categorical ban. It is a beautiful development, which must of course be seen as a response to the failure of the international community, including the Netherlands, to effectively pursue disarmament, to which the Non-Proliferation Treaty requires. I would like to ask the Minister for his response to the nuclear weapons ban, which will become a reality in January. What effect does this ban have on the Netherlands, where the American nuclear weapons are located in Volkel? Minister Bijleveld recently confirmed that with a subtle nod in front of the camera. As far as my party is concerned, the cabinet must now draw up a plan for how the Netherlands will comply with this new treaty. Will the Minister do that? Mr. Chairman. Another point on the non-proliferation treaty. Now it has been confirmed that Volkel American nuclear weapons are on air base, I think it has to be concluded that they should not be there at all. Article 2 of the NPT states: "Every non-nuclear State, which is a party to this Convention, undertakes not to accept, directly or indirectly, the transfer of nuclear weapons or other nuclear explosive devices or of the power of disposal over such weapons or explosive devices by any transferor." I think this is enough reason to send the American nuclear weapons back. I'd like a response from the Minister. Mr. Chairman. In conclusion, I would like to answer some of Mr Voordewind's questions.
ParlaMint-NL_2020-11-11-tweedekamer-9.u4	Well, Mr Voordewind, Mrs Karabulut will give you the floor.
ParlaMint-NL_2020-11-11-tweedekamer-9.u5	I did not know that Mrs Karabulut is now President of this Chamber.
ParlaMint-NL_2020-11-11-tweedekamer-9.u6	Yeah, I can see it, too, but she wanted a sip of water. That's why she gave you the floor.
ParlaMint-NL_2020-11-11-tweedekamer-9.u7	Then that's what we'll do, Mr. Chairman. I am listening to Mrs Karabulut's speech. To a large extent, I think we agree. It calls for attention to be paid to sanctions and all possible means of doing so. As far as arms control is concerned, we also go a whole end together. But in the breadth of her story, I kind of stick to the next one. The involvement in the world and in the international fight against injustice is great, but when this Chamber tries to combat terror with military commitment, we constantly see a no-vote from the SP. Think of the missions in Mali, Afghanistan, Iraq. Even when there was a genocide on the Kurds, the SP was against it. So there's a very big involvement. But if, at some point in time, it is not just about bread but also about weapons, then Mrs Karabulut says on behalf of the SP: I do not give at home.
ParlaMint-NL_2020-11-11-tweedekamer-9.u8	Thank you for Mr Voordewind's question. I'm going to answer your question seriously. I would like to make it very clear that we are not opposed in principle to the use or use of force. We assess this on the basis of international criteria. We are looking at proportionality and legality. It is certainly not the case that we have never supported missions. We've certainly supported smaller missions. But the examples you are quoting are precisely the ones where I have tried to explain and clarify the following in recent years. The commitment and the thought of it are very logical: we must defeat terrorism, so we are going to invade countries. I refer to the illegal invasion of Iraq. But the result of that has been, when we zoom out and look back, that it has brought us IS. And when we zoom out even more and look at the results of more than 20 years of war on terror, I conclude that it has worked counter-productively. Of course, this has to do with the fact that the root causes are not removed by bombing. In fact, we see that this contributes to the nutrition of terrorism. More groups are emerging. Those groups are radicalizing. If one disappears, a new one will emerge. But it also leads to millions of refugees. I say that we must recognise that, and we must review that strategy. Of course we look at it every time there is a question or a request in the Chamber or we have to send soldiers. We then judge that on the merits, especially when there is genocide or something like that. Of course we're looking at that seriously. Of course we have to help people. Only what has happened here, the permanent warfare, it has also been made clear by means of investigations, we must stop doing so. We have to be honest, too. We must be honest and be honest about it, as our services also warn us, that it is a breeding ground and that more victims have been killed there. But it can also come back as a boomerang and hit back on ourselves. I hope that in the future there will be a little more room, especially in all those parties that are blind and slavish, I say very black and white, following the allies, 'because that is what they expect us to do'.
ParlaMint-NL_2020-11-11-tweedekamer-9.u9	That last remark towards my party is a bit of a pity, but let me not go into that. We have to realise that if you constantly say no to the fight against terror and constantly say no to vulnerable minorities, I call the Kurds and the Jezidis being slaughtered, also by Turkey, then you must draw the consequences from that. Then you need to see that people are victims of genocide. When the international community did not intervene, an example of the SP, perhaps even when we did not intervene in Syria, we also saw millions of refugees taking the neighbourhood to Turkey and Europe. So a no vote also has consequences. My point to Mrs Karabulut is: if you systematically say no, where the most vulnerable groups are, I shall mention them again: the Jezidis and the Kurds are being slaughtered, ethnically purified, and so genocides are taking place, do you realize that there are consequences?
ParlaMint-NL_2020-11-11-tweedekamer-9.u10	Of course I do. I have tried to explain to Mr Voordewind that where there is genocide, we do support military efforts. Two. The Jezidis were rescued by the PKK, the Kurds, in those early months of the rise of IS. Those same Kurds were then stabbed by the allies with a knife in their backs. NATO ally Turkey then moved into Northern Syria. The same NATO ally Turkey bats Kurds down in its own country. So let's add that to the list. But what's even more important to me is that I want to take you with me and invite you to zoom out. ISIS Obama said it himself, "If the illegal invasion had not started on the basis of lies, it would never have happened in Iraq." That is the real cause of this genocide. I'm the last one to say that we can easily achieve anything in the world. No, Syria is indeed a slightly different example. But we also see in Syria that millions of people are armed by the Gulf States, Turkey, supported by the West, with the CIA. There are all kinds of jihadist groups. We see that has extended the war and made it more painful. And yes, we can focus much better on prevention, on another smarter strategy. And yes, then it's about removing the root causes. I note that this is still not the case in a country such as Iraq.
ParlaMint-NL_2020-11-11-tweedekamer-9.u11	We have a lot of discussions here about Article 100 letters. These are very integrated letters which also describe the root causes, the political consequences and the political context. This government is also committed to this with the support of the Chamber. So, of course, you have to do something about the root causes. But that doesn't mean that you can just look away structuralally where evil has set its head. And if, like a month ago, we want to send a simple force protection for the protection of an airport in Jordan for the Belgians that we are not even directly involved in yet, the SP says: we are not going to do that. How can the SP claim that it wants to fight evil, with sanctions, perhaps with humanitarian aid, if it does not have the courage to use weapons to do so?
