ParlaMint-NL_2020-12-03-tweedekamer-10.u1	The next item is the second term of office.
ParlaMint-NL_2020-12-03-tweedekamer-10.u2	I'd like to give the floor to the Secretary of Defense.
ParlaMint-NL_2020-12-03-tweedekamer-10.u3	Thank you, Mr. Chairman. We shall confine ourselves with a single sentence as an introduction to the assessment of motions, because a great deal has already been exchanged in recent days. As you rightly said, we also had a legislative consultation on Monday. It is our last budget; I have also said something about it. For a number of Members of your Chamber, it is also the last speech they made in a budget. I myself found it very nice to hear that you also give something from your own personal life on such a last speech. For example, Mr Van den Bosch, who is from '55, is a "remember" that gave you what his own experiences were in such a period and how he looks at what happened, and that was true for many members of the Chamber. I would like to thank the members of the Chamber for their input, but also for their involvement in the Defense Department, whether they stay or leave. As most of you, in fact everyone, has said, it is indeed very important for the men and women of Defense, who we always send out with danger for our own lives, that there is support for the work. Mr President, then there are the motions. I'll start with the motion in part No. Question No 33, by Mr Fritsma on border controls. You won't be surprised that I'm trying to dissuade them. It's not a D.O.D.'s job; Justice has the authority. The motion in part No. I would also advise against 34 from Mr Fritsma. This also applies to the jurisdiction of the judiciary. The Secretary of State will make the motion in part No. Thirty-five judgments, like the motion in part No. 36. Then the motion to part No. 37 by Mr Van den Bosch on a day for 18-year-olds. In itself, I think it is a very good idea, even as you explained it. That is why I have always worked with a number of members of your Chamber who have participated in the social service. I think it's important that young people get to know Defense. You say: map the possibilities, investigate if it's possible. I can leave that judgment to the Chamber. Then the motion to part No. 38...
ParlaMint-NL_2020-12-03-tweedekamer-10.u4	In order to properly assess this motion, what exactly is the Minister going to investigate? A compulsory acquaintance of young people with Defence or...
ParlaMint-NL_2020-12-03-tweedekamer-10.u5	No, it says in the motion: calls on the government to map out the possibilities for regulating such a day. So that could be anything.
ParlaMint-NL_2020-12-03-tweedekamer-10.u6	Exactly. Thank you.
ParlaMint-NL_2020-12-03-tweedekamer-10.u7	So I'm gonna take a broad look at what might be possible. I understand Mr Van den Bosch as well. Then the motion to part No. 38 by Mr Van den Nieuwenhuijzen on information on ongoing missions. We've been talking about that for a while. I can leave the judgment to the Chamber on this. The motion in part No. 39 by Mr Van den Nieuwenhuijzen and Mrs Belhaj deal with scenarios for possible routes for specialisation within international partnerships. Several members of your Chamber have spoken about this. On that motion, too, I can leave the judgment to the Chamber. The Secretary of State will make the motions in part No. 40, piece No. 41 and item No. Forty-two. Then I'll be at the motion in part No. 43 by Mrs Karabulut on the sg designation. I think the sg doesn't like that there is always talk about the sg-direction, I say, but it is as it is. This is a motion I'd like to dissuade. I had left the Van den Bosch/Van Helvert motion to the House. As soon as the new state regime is in place, as you know, I have promised that we will withdraw the designation. The motion in part No.
ParlaMint-NL_2020-12-03-tweedekamer-10.u8	We are not going to continue the debate.
ParlaMint-NL_2020-12-03-tweedekamer-10.u9	No, no debate. I'm allowed to ask a question about my motion, aren't I?
ParlaMint-NL_2020-12-03-tweedekamer-10.u10	Mrs. Karabulut, you know we're running out of time. And it is not really necessary to reopen the debate again. But if you insist, go ahead.
ParlaMint-NL_2020-12-03-tweedekamer-10.u11	Mr President, I do not wish to reopen the debate. I'm asking a question on my motion.
ParlaMint-NL_2020-12-03-tweedekamer-10.u12	Go ahead.
ParlaMint-NL_2020-12-03-tweedekamer-10.u13	The question is: does the Minister accept, by embracing the Van den Bosch motion, that the current sg designation remains intact until more is allowed?
ParlaMint-NL_2020-12-03-tweedekamer-10.u14	No, I already said that in the legislative consultation...
ParlaMint-NL_2020-12-03-tweedekamer-10.u15	A repeat of the conversation.
ParlaMint-NL_2020-12-03-tweedekamer-10.u16	...and this morning. I will work in the spirit of the Van den Bosch motion. I asked if I could interpret her in such a way that it was not just about soldiers but also about civilians in the Defense Department. The answer to that was yes. But we must have something, so until the new regulation arrives, we will interpret it widely and we will therefore already be working with an opinion, as Mr Van den Bosch and Mr Van Helvert asked for in the legislative consultation. That was the motion in part No. 43. Then I'll go to the motion in part no. 44 by Mrs Karabulut. I'd like to discourage that motion, too. The same applies to the motion in part No. 45 by Mrs Karabulut, on independent research in Australia. I would also like to advise against that. There's really no reason for that. We have a letter from the Australian Minister, from the Australian CDS, stating that there is no involvement. We'll do an inventory, just to be safe, as indicated. So there's really no reason. We will, of course, inform you about this. I really want to discourage this motion.
ParlaMint-NL_2020-12-03-tweedekamer-10.u17	Could the Minister briefly explain what she means by "inventory"? Is it an idea that I'm holding the motion?
ParlaMint-NL_2020-12-03-tweedekamer-10.u18	I've already done that in my contribution. Absolutely. In my contribution in the first period, I have indicated in detail that we are doing an inventory in our archives. We'll see if there's a reason. On the basis of the Australian documents we have received, we do not see any reason to do so, but we are nevertheless doing an inventory. But there's no reason for further investigation. I have talked about this extensively. You can, of course, always hold the motion; that is not up to me. I want to dissuade her, because there really is no reason for further investigation.
ParlaMint-NL_2020-12-03-tweedekamer-10.u19	This was indeed more extensive. Thanks to the Minister.
ParlaMint-NL_2020-12-03-tweedekamer-10.u20	No, she literally said that.
ParlaMint-NL_2020-12-03-tweedekamer-10.u21	Thanks to the Minister. I'm holding this motion for the time being.
ParlaMint-NL_2020-12-03-tweedekamer-10.u22	At the request of Mrs Karabulut, I propose her motion (35570-X, No. 45). That is what is decided.
ParlaMint-NL_2020-12-03-tweedekamer-10.u23	Then the motion to part No. 46. It's also Mrs Karabulut's. I'd like to dissuade them, too. We respond to threats or things that are necessary. That's what we're acting on. If we have to operate internally, we will do so internally, if there are grounds for doing so or if there are requests for doing so. So I really shouldn't recommend this motion. We can't just adjust to everything. There's got to be a reason for that. Then the motion to part No. 47 by Mrs Belhaj. It's about threats and the strategic compass. In my reply, I indicated how I look at the strategic compass. I can leave the judgment to the Chamber. Then the motion to part No. 48 members of Kerstens, Belhaj and Van Helvert on the Veteranenombudsman and the recommendations of the complaint monitor. I assume it is an effort and so I can leave the judgment to the Chamber. Then the motion-Christmas c.s. in piece No. 49. It's about the compensation scheme. I'd like to ask you to hold this motion. When I look at it now, I have to dissuade her. I must discuss it with my colleague, as you have heard me say in the first term. In my opinion, Mr Sjoerdsma has tabled a similar motion to the BZ budget. I need to discuss that. If you hold her, it's still hanging over the market. But if I don't, I'm gonna have to dissuade her, 'cause I'm gonna have to talk to her first.
ParlaMint-NL_2020-12-03-tweedekamer-10.u24	I'm gonna arrest her. The Minister himself said a moment ago about the low-threshold nature. It appears to be different in practice. I am assuming that this will be taken up in her discussions with her colleague from the Foreign Office.
ParlaMint-NL_2020-12-03-tweedekamer-10.u25	Sure. I have already said that this is an important part for me.
ParlaMint-NL_2020-12-03-tweedekamer-10.u26	At the request of Mr Kerstens, I propose his motion (35570-X, No. 49). That is what is decided.
