ParlaMint-NL_2020-09-02-tweedekamer-6.u1	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2020-09-02-tweedekamer-6.u2	Thank you, Mr President. Thank you for the many questions that have been asked. Of course, I am going to try to answer them briefly, but it is good to consider some of the questions asked, because they are questions that also live wider in society about that app. A number of speakers have referred to how we have already started. It is indeed good to think back to that, because it started with an OMT advice that came on April 6th. The OMT advised "to examine the possibilities for support of source and contact detection using mobile applications as soon as possible. The OMT considers this necessary for the future phase, in addition to the regular source and contact research." Subsequently, the OMT had a preference for using techniques that ensure the privacy of end-users. That was the advice on April 6th. I decided at that time that "the better detection of infections can help to prevent a new revival of the outbreak. A more intensive testing policy also involves more intensive contact research, and we can see that technology can be helpful in this. We are thinking of two possible apps. One that tells you if you've been anywhere near another user who turns out to be infected. And another one you can easily keep in touch with a doctor in the neighborhood." Those were the two digital applications we thought of at the time. Then, of course, there were a lot of questions. How's that gonna work? What's that supposed to look like? Government and ICT is never such a happy combination; how does it go on? And then we thought: the best thing we can do is try to make the choice for one of the apps in full light. My hope at that time was that one of the apps from the market that were currently in development and which were sometimes already being tested by the same companies in another country might also be suitable for this work here in the Netherlands. We wanted to organise that process, that choice process, as transparent as possible, hence the appathon. However, there appeared to be no outcome that actually met the standards. You have expressed all kinds of qualifications for this. I've heard "stuffy." I thought that was a very loving qualification. I heard "Bumpy" from Mrs Van den Berg. "Hurry" I heard, "chaotic" I heard and at that time I read many more qualifications, which sounded less loving and I think were less loving. If I looked back at that myself afterwards, I should have made it clear that we were starting a search which we were not sure would actually provide us with a useful app at the end of that weekend, and that it was really meant to be a market consultation. I should have at least communicated that more clearly. I think that this has made the expectation too high and the result too disappointing. What made it doubly complicated in Hindsight was that digital applications are certainly digital applications by a government that always cause concerns and questions to some of the people, who can also feed distrust. What kind of society do we go to with this? All kinds of conspiracy theories, which were sometimes already in the minds of people and sometimes also on the various social media, can be fed extra and that does not help of course. That's the downside of that public trial. That's how I look back at that. Someone asked me to reflect on that. I believe it was Mr Hijink. Well, that's it. That's how I look back at that. Well, there's an advantage to that, too. I'm a gentle man, but I think the glass here is half full, because if you take such a step, you can only do it in perfect transparency. After we had that appathon, it was impossible, I think, to shape the follow-up process transparently. So what we knew for sure was that from then on we had to do everything in perfect transparency. The second advantage is that in that whole process we have met a very large group of critical, very critical thinkers. Competitors in the sense of faith have that there would indeed be something to do that could work, but under a whole series of conditions that it would all have to meet. We then set up a working process to involve all those critical thinkers. There was also a third big advantage. We know that such a digital tool, certainly government-initiated, must meet high standards if you want to use it in such a crisis. But after all the tumult, the bumpy start, the bumpy start, there really was only one way: the supreme demands must apply in terms of privacy, security, accessibility and communication and it must be perfectly voluntary. That has been emphasised by everyone, even today. So the best and the brightest had to get to work. We also built that team: partly government, partly non-government and partly a whole, voluntary, community around it. Let me express my deep gratitude and admiration for all those people who have participated, thought, cooperated, sometimes in the night, sometimes perfectly willingly, but simply because they wanted it to be something good. It was for me a glimpse into a world that I didn't know until recently, but I think it's quite admirable how much effort has been put into this. Two. We have of course also designed the process with endless checks-and-balances, because at the time the final product would stand, we could not afford to doubt it. I think that doubt about the end product itself has been removed. There are a number of serious questions that I would like to address as well as possible. I shall begin with Mr Van Haga's question. He says: does the Minister agree with me that such a tool should never become an end in itself? I agree with him perfectly. It's a tool. It has always been that way, in the opinion of the OMT, in the response of the cabinet back then. But in the imaging it has not always been and it has sometimes been made too big. I think we should just say to each other very soberly: it's a tool. Nothing more, nothing less. Nothing more, nothing less. Excuse me, Mr. Chairman. Nothing more, nothing less. It's a tool. A tool that can help break the infection chain. That's actually what it is. That doesn't make it a silver bullet. It's not "the only solution." It's not a hairminder oil for all our problems. Not at all. It's one of the instruments we can put in that big toolbox we're filling together, and we want to use.
ParlaMint-NL_2020-09-02-tweedekamer-6.u3	You're still working on your introduction?
ParlaMint-NL_2020-09-02-tweedekamer-6.u4	Yes.
ParlaMint-NL_2020-09-02-tweedekamer-6.u5	So I'm just waiting for the Minister to finish this, Mr. Hijink.
ParlaMint-NL_2020-09-02-tweedekamer-6.u6	I actually wanted to say that I want to do the answer in four blocks. The first is about all the questions about effectiveness, and I refer to the questions and the amendment on evaluation. I think that's one block. It's a match. Then a lot of questions have been asked about testing. I would particularly like to answer this in the light of the use of the app, otherwise we will evaluate the whole test and trace policy together. The third block deals with the questions that have been asked about the anti-abuse clause. The fourth block is about technique. Those are all the technical questions you have asked. I'm trying to answer them as best I can. Then I probably have a few other questions, but I think this is it.
ParlaMint-NL_2020-09-02-tweedekamer-6.u7	And the introduction is now ready. Is that right?
ParlaMint-NL_2020-09-02-tweedekamer-6.u8	Yes.
ParlaMint-NL_2020-09-02-tweedekamer-6.u9	Then I'll go to Mr. Hijink.
ParlaMint-NL_2020-09-02-tweedekamer-6.u10	My question was about the process, not about the first phase of the development of the app, but about the second phase, in which a lot of things may have gone very well. I asked a moment ago if we could get some kind of evaluation, so to speak...
ParlaMint-NL_2020-09-02-tweedekamer-6.u11	Lessons learned?
