ParlaMint-NL_2020-11-05-tweedekamer-12.u1	The next item is the continuation of the EZK budget, including the National Growth Fund.
ParlaMint-NL_2020-11-05-tweedekamer-12.u2	I see that a number of Members want to ask a question right away. I shall be the first to give the floor to Mrs Beckerman, because I understand that she wishes to make a point of order.
ParlaMint-NL_2020-11-05-tweedekamer-12.u3	Yes, thank you, Mr. Chairman. At 1.45 p.m., a very large set of answers was received to the questions asked in the first period. First of all, thank you incredibly for those answers, because I can imagine that's a lot of work. In that short time we have not been able to read the answers. So I had a little discussion with my colleagues about what's useful. We can take a 15-minute break so we can take a quick look at what has been answered to our questions. Another option is that we ask more questions during the debate. Ladies and gentlemen, I do not really want to prolong the debate, but we do have a problem now, because we really have not been able to read the document in five minutes. 57 pages is just a bit much. I would imagine that we could suspend for another 15 minutes, so that we could study the questions as well.
ParlaMint-NL_2020-11-05-tweedekamer-12.u4	I see several Members with understanding noddings. Shall we do it like this? Here's what we're gonna do.
ParlaMint-NL_2020-11-05-tweedekamer-12.u5	Thank you.
ParlaMint-NL_2020-11-05-tweedekamer-12.u6	I'm suspending the meeting for 15 minutes. We'll continue at 2:15 p.m.
ParlaMint-NL_2020-11-05-tweedekamer-12.u7	I hope that Members have indeed been able to devote time to taking up the comprehensive package. I am happy to give the floor to the Minister for the first time. I would suggest to the Members of Parliament that we try to do with four interruptions in two, with a brief closing remark. But I think that's gonna work.
ParlaMint-NL_2020-11-05-tweedekamer-12.u8	I am happy to give the floor to the Minister.
ParlaMint-NL_2020-11-05-tweedekamer-12.u9	Mr. Chairman. The letter came shortly in advance. I thought it was a very practical solution; thank you. We're dealing with a lot of people who have a lot to do. The debate was put forward a little bit, but you wanted to be able to read the package as a Chamber. Thank you for all the reflections, openness about concerns and the many questions of yesterday. Mrs Keijzer and I are here in what is probably the last missionary budget debate in the cabinet. It has been a stormy period in recent years. We started off the gas in Groningen. Then we went off the gas in the houses, but then up to 2050; many people have still mixed that up. Then we concluded the Climate Agreement with just about everyone in society at the table, or on the phone. And when I first started the economy, there was corona. That was something. But I thought, while it is the last time and so much has happened to us, perhaps I will also try not only to address your concerns during this debate and during my response, but also to address them, because I am not without concern. And a good debate between government and parliament about these concerns might not be so crazy on such a last time. Here's what I wanted to do. I wanted to start with the economy and, in the wake of that, some things about the Growth Fund. There will also be a separate debate on this, but some things do fit in with economic thinking. After that, I wanted to treat climate and energy. I start with the economy, and then I start with prosperity. But also for prosperity, as with climate, there is a need for support. There is already an important question. I think that, in this Chamber, we have, in general, a positive appreciation of, at least, the level of prosperity. We all see that it contributes to the financing of collective arrangements. We also see that it somehow provides a basis for our way of life, in which we can also concentrate on other steps of the Maslow ladder than just eating, for example safety, legal certainty, democracy, living environment and education. With a mark on the list, I'm looking Mr. Van Raan at nature. Yeah, it's on the list. And perhaps there is also a growing agreement on how that prosperity should be accumulated. I see that Mr Van Raan wants to interrupt, but perhaps he can do that after this block, because then there is enough for him to respond.
ParlaMint-NL_2020-11-05-tweedekamer-12.u10	Mr. Van Raan.
ParlaMint-NL_2020-11-05-tweedekamer-12.u11	Thanks for the word. I would like to say something at the beginning, because at the end of the block the Minister has already put down his structure, his frame. One of the things he's trying to suggest between his nose and his lips now, but maybe he's gonna correct it... is that in the pyramid of Maslow nature can't be dealt with until we've done the rest, when it might be at the base. Can that also be a difference of opinion between the Animal Party and the Minister, or does the Minister also say 'no, it is really a basic condition that we have that nature in order'? I'm gonna ask you before he fills out that frame.
ParlaMint-NL_2020-11-05-tweedekamer-12.u12	This is getting a little philosophical. I was trying to tell Mr Van Raan that it is widely recognised in this Chamber, and also in the government, that more attention is also needed for nature and biodiversity. That's what I'm saying. Let him take that.
