ParlaMint-NL_2020-02-11-eerstekamer-16.u1	We now come to the second term from the Chamber.
ParlaMint-NL_2020-02-11-eerstekamer-16.u2	I give the floor to Mr Arbouw. May I ask Members to exercise some silence? And may I ask Mr Arbouw to wait a little longer? His speaking time is not yet up.
ParlaMint-NL_2020-02-11-eerstekamer-16.u3	I wish Members a pleasant evening.
ParlaMint-NL_2020-02-11-eerstekamer-16.u4	With your permission, I will give Mr Arbouw the floor again.
ParlaMint-NL_2020-02-11-eerstekamer-16.u5	Mr President, it is just the way you look at it. You get the floor and two thirds of the room leaves...
ParlaMint-NL_2020-02-11-eerstekamer-16.u6	Mr. Chairman. I would like to thank the Minister for his comprehensive reply. As far as I am concerned, she has dealt with all the issues raised by the VVD, so thank you again. We certainly welcome the independent committee that is going to examine the VTH system. And we certainly welcome the Minister's commitment to sharing annual reporting with the Chambers on the basis of the monitoring results. Mr. Chairman. As I pointed out in my first period of interruption, the VVD Group is still looking carefully at the consequences of the opinion of the World Health Organisation, particularly if this means that more stringent regulation of municipalities will result. However, that will be discussed in a separate section, so we will certainly discuss this later. For the rest, the VVD Group is satisfied with the answer given by the Minister. I will advise my group to agree to the Supplementary Act sound. Thank you.
ParlaMint-NL_2020-02-11-eerstekamer-16.u7	Thank you, Mr. Arbouw. I call Mr Rietkerk.
ParlaMint-NL_2020-02-11-eerstekamer-16.u8	Thank you, Mr. Chairman. First of all, I would like to thank the Minister for answering the questions. I have three points. The first concerns the implementation aspect of authorisation, enforcement and monitoring. I believe that the CDA Group has indicated that it is in favour of continuous improvement. We noticed the Minister's recognition in this respect. We understand that the specific independent committee is a different committee from the committee that will report annually. This other committee will review the VTH system. We will also assess in the progress letter on the basis of the commitment at the KB how the Secretary of State implements this and how firm, robust and durable this gets hands and feet. The second point concerns the accumulation of noise. The Minister stated in her replies that improvements were possible within the levels. I did not interrupt because I would like to ask for an explanation of this in the second period. What did the Minister mean by that? As a consequence, in the event of interruption, I asked whether the legal standards for noise and external safety risks in the Aviation Act weigh as much as those of other sectors of the Environment Act. The Minister replied that noise standards are simply transferred into the Environment Act, but I would like to ask, on behalf of the CDA Group, to reflect on how that weighting is going. Is it equally heavy or are there differences between them? I am not concerned with technology; I am concerned with policy considerations. What weighs heavier? Finally, the CDA addresses its forthcoming issue of maintaining the province's competence with regard to noise production ceilings on industrial sites of regional importance, which often also concerns several municipalities. So they're regional industrial sites. The Minister's reply was yet another answer: VNG and IPO are still in consultation. Well, they've been in consultation for a while. See the motion that the CDA is tabling with other groups as a support to show and get out of it. Certainly also because the Minister does not object to the substance of the request, we think. "The Chamber, heard the debate..." Sorry.
ParlaMint-NL_2020-02-11-eerstekamer-16.u9	You want to file a motion, I think?
ParlaMint-NL_2020-02-11-eerstekamer-16.u10	Yeah, I'm told I'll have to read it.
ParlaMint-NL_2020-02-11-eerstekamer-16.u11	No, if you submit the motion, I'll read it to you.
ParlaMint-NL_2020-02-11-eerstekamer-16.u12	That is good, because I had taken account of my speaking time so that I had time to do so.
ParlaMint-NL_2020-02-11-eerstekamer-16.u13	Yeah, she'll keep going.
ParlaMint-NL_2020-02-11-eerstekamer-16.u14	Yes. The President shall: Mr Rietkerk, Mr Van Gurp, Mr Kluit, Mr Essers and Mr Dessing proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, under current law, provinces are competent, under the Noise Act, to designate industrial sites of regional importance in the provincial regulation;]] [[Whereas this competence of Provincial States does not return under the Environmental Law;]] [[Whereas under the Environmental Act (Article 2.11a), although it is possible for the Provincial Council to request that noise production ceilings be set around industrial sites, this is not the same and is not in line with the starting point for joining the existing administrative division of labour;]] [[Whereas existing practice has shown that it is efficient and effective for the provinces to have independent competence because of the importance of the municipality;]] [[Whereas the Environment Act does not allow the local authorities to take more effective and effective action in the decision-making of industrial sites of regional interest (as designated in the environmental regulation);]] [[Whereas the scheme increases the burden on the municipalities;]] [[Whereas in the future it will continue to be more efficient and effective to establish and manage noise production ceilings for industrial sites of regional importance, especially those areas where the municipal boundaries are exceeded;]] [[calls on the Government to include in the Supplementary Act sound that provinces remain competent to designate industrial sites of regional importance in their environmental regulation, including the power to amend and establish and comply with noise production ceilings for those areas,]] [[and goes to the order of the day.]] [[She's getting No. kst-35054-H]]
