ParlaMint-NL_2020-11-25-tweedekamer-5.u1	The next item is the budget for Justice and Security.
ParlaMint-NL_2020-11-25-tweedekamer-5.u2	Today we are discussing the first term of office. I would like to welcome the Minister for Justice and Security, the Minister for Legal Protection and the Secretary of State for Justice and Security, as well as all the spokesmen. We have 19 spokesmen. A number of groups are not participating, and we still have 19 spokesmen, with a lot of speaking time. I would like to propose that six questions per group be put to the House in the first term. I now give the floor to Mrs Helder on behalf of the PVV. It is nice to see a number of colleagues back in the Chamber.
ParlaMint-NL_2020-11-25-tweedekamer-5.u3	Thank you, Mr. Chairman. I had already finished my speech, and then came the interview with Minister Grapperhaus last Saturday. Then I almost fell off my chair, because what did the Minister say? "I've been given a few big taps because of the fact that it didn't go well at my wedding." He said he got a few butses out of it. What an embarrassing crying story, because do you know who got ticks? Our police officers and boas, who have to maintain the corona rules of this minister of class justice and false security, the agents with PTSD, whose files have still not been handled, and the agents who have been sent off with an unjust VIC investigation. Mr. Chairman. I knew the appreciation of the policemen at the minister's office wouldn't be paramount. The police weren't even mentioned in the Throne Address. But sending out law enforcement agents and deliberately patching those rules to your boots and then squeaking when you're caught is unworthy of a minister. My group has therefore supported the motion of censure. But unfortunately, we have to sit the ride with this minister until March. Fortunately, it is his last budget and that is why we are taking stock of it today. First, the capacity of the police. With a $500 million cut, 3,000 agents have disappeared. Upon his arrival, the Minister thought he'd fill that hole with 291 million. The police capacity, especially blue in the street, would thus be supplemented by 1,100 people. That didn't work. In the budget it is worded as follows: this enlargement, combined with other investments, results in a formation of 52,000 fte, which is expected to be fully occupied in 2024. Conclusion: too little, too late; ergo, failed. What has increased during this cabinet period is the number of tasks. The most striking are the maintenance of the corona measures and the still increasing number of incidents involving confused persons. In the meantime, there are over 100,000 a year. Conclusion: no beginning of a solution yet. How does the Minister himself look at this? Then there is a recurring source of annoyance, not just in my group: the diversity of police forces. If it's not the minister who's undermining the police, it's the department itself. The pursuit of diversity remains like a dark cloud over the corps. In the meantime, we have a new chief of police, but that too continues this absurd policy. In the corps line they are completely unsinged from the workplace. Let me give you two examples. A quote: "It's a matter of time until the headscarf can be worn on the police uniform." Of the statement that a headscarf should be possible with the uniform, at that time at a debate evening there were more supporters than opponents among those present. That was called a positive trend. Last year, the Minister reaffirmed the code of conduct, which required neutrality. Well, that's obviously not what the police department's paying attention to. So the Minister has no preponderance. One question to him is therefore whether he is going to restore this immediately in the interests of the entire police force. I mentioned the appreciation of police officers at the beginning. For my group, of course, we are talking about the heroes of the DKDB. That won't be a surprise. It's mostly about them in the workplace. I have two major points of criticism that are now, truly, crying out for action. The first concerns the VIK investigations. VIK stands for security, integrity and complaints. The second concerns the PTSD problem. The evaluation of the VIK system is devastating. The integrity studies are often slow, unscrupulous or respectful. The executives themselves order the investigation. It is therefore not independent and is sometimes used for other purposes. Agents were sometimes relieved of their duties immediately, suddenly came home and were confronted with a restraining order. A suspect in a criminal trial is treated even better. And what does the Minister say? He says that the report makes it clear that change in the VIK system is necessary, not least because it has also become apparent that due to this poor quality, people may be damaged. That is quite wrong, and the Minister knows it. There's no doubt that people have been damaged. It won't just be my mailbox that fills it regularly. This is just an example of poor employership of the corps leadership. And what's the Minister gonna do? He's going to change the system, or the flight forward. But that's too fast for me. What's gonna happen to the cops who were wrongly sacrificed? Is that gonna be investigated? Do they get satisfaction or excuses? Without it, the executives will go free and there will never be confidence in the new system. Then there's the PTSD issue. This really is the ultimate example of bad employership. Last year, I asked why people would go through with being cops with PTSD. To date, there have been more than 200 long-term cases, still without any prospect of a solution. Can the Minister indicate how many cases have been continued on appeal? That is contrary to his promise. And does the Minister acknowledge that this proves that even here the corps leadership is heading its own course, despite the Minister's commitment to the Chamber? Tomorrow, the Minister will undoubtedly refer to the new system when he responds and say that there will be tailor-made work, etc. But on the basis of reliable information, I can tell the Minister that the opposite is true. That's why I have three questions. First of all... Is the Minister aware of the fact that calculations are being made by so-called calculation experts, who are themselves appointed by the police and whose expertise is not established at all? Apparently, they have embarked on a new system of calculation which is not clear at all what it means. Second. It is appalling that the amount of money already paid or pledged is deducted from the remaining damage. This is due to the fact that the Minister has written that it is "socially common." This is completely incorrect, unjustified and also undesirable, because it removes the police work from the high-risk professions. Legally, it is also incorrect when it comes to amounts already allocated. You can't bring them back. That's also confirmed by the court of Zwolle. Nevertheless, the police insists that there is a new legal system. That's not true at all. Instead of a case still being handled neatly, the ex-agents are thrown in front of the bus one more time by their own former police department. Is the Minister going to put an end to this right away? Third. Is it true that the so-called 'Commission on Excessiveness' is no longer working? If so, then that can hardly be a coincidence, because the basis of this committee is hanging by a thread. Since December 2019, a case has been pending before the Haarlem Court, in which it has been argued that this committee is not competent because it is not legally established. The verdict may come one of these days. If it is affirmative, then my question to the Minister is what that means for decisions based on the opinions of this committee. Are they going to lapse with retroactive effect? Finally, on the subject of PTSS, is the Minister going to set up an independent assessment committee with expert lawyers and actuaries on the matter? Otherwise, a new contour system, which is clearly different from a new legal system, has no chance of success. Is the Minister prepared to do this? Mr. Chairman. Then organized crime. Unlike the legal economy, drug trafficking and organised crime are barely affected by the corona crisis. The need for a broad offensive against organised crime is therefore undisputed. As far as my group is concerned, the measures which the Minister then announces cannot go up a tooth but a whole tooth. I read a lot about plans, but I want more people here: district cops, detectives, financial detectives and cyber experts. We're not asking that for the first time. What I'm not asking for the first time is money. Fortunately, it is now a structural amount, but the 150 million is far too little. It's a drop on a glowing plate and it doesn't start until 2022. Especially now that many companies are vulnerable, undermining is lurking. We'll have to get ahead of that. Does the Minister agree with me and, if so, what else is he going to do, except to list what he has already written in the letter? Not a single word about the increase in the chances of getting caught and more severe penalties. Drug crime has been able to take off because the chance of taking drugs is extremely low and the penalty rate in the Netherlands is the lowest among all EU Member States. Not for nothing was the reaction of the Chief Commissioner of the National Police Unit to the remark that it was severely punished that "it would be nice for our target group to have the same experience." The Chairman of the Strategic Board Undermining noted that "the current punishments by criminals are literally taken on sale. They are internationally at such a low level that that explains why drug production is concentrated in the Netherlands." What is the Minister going to do about that? Rounding up. Where the minister on the bike chicks in the park pointed out the corona measures, he could better focus his attention on the fight against drug crime. A tough approach and not talking and getting reports. The Minister himself was not afraid to break his own rules, but he shows a softness that is not appropriate. Is he finally going to show his teeth in the aftermath of his ministry where that is needed? It would be nice if it were with its own initiatives and not with legislative proposals that I can almost smell the PVV stamp on every time. The public service ban on violence against aid workers is now finally going to be introduced. I'm very happy about that, because I've been walking it for ten years. We also saw this morning that there will be a legislative proposal that groups of substances that can be used to produce synthetic drugs will now finally be incorporated into the Opium Act. I can already see Mr Van Nispen laughing, because I believe that we have been asking this for five years now. When the Minister took office, he was given the proposal ready to go, because the PVV and the SP undoubtedly also said it already in 2010. It would be nice if the Minister would also come up with his own initiatives. This is fun, but it looks more like it's for the media. Of course, we are very keen to see the proposal come forward, otherwise we will not believe it. So I'd love to hear the list tomorrow. And then we're gonna go check it out. Thank you.
ParlaMint-NL_2020-11-25-tweedekamer-5.u4	Thank you, Mrs Helder. Mr Groothuizen is interrupting.
ParlaMint-NL_2020-11-25-tweedekamer-5.u5	It is right that Mrs Helder should reflect on organised crime. That is a big problem and we have to do something about it. One of the things you see in organized crime is that it's a global phenomenon. You can also see the internationalisation in this: there are Moroccan, Turkish groups in it, South Americans do things here. I would think that that would mean that we should have a police force that is diverse and capable of responding well. I am therefore surprised that Mrs Helder is saying such ugly things about the police's diversity policy. We need people who know what it is like in other groups, who can work in them, who speak the language and who know the mores.
ParlaMint-NL_2020-11-25-tweedekamer-5.u6	Mr Grothuizen knows: this is a question for my heart. Diversity, I can't be strong enough to force something like that. You have to judge people by their quality and by what they can do. The pursuit of diversity and that the police always call out that it can only be effective when it is diverse are the greatest possible bullshit. You throw the current, almost 60,000 police officers who do their job very well, with that in front of the bus. Like they're not doing their job right! We need more people and more resources. The capacity needs to be increased. We also need a lot of people with expertise. But to focus only on diversity because you then "talk to all groups" is pertinently incorrect.
ParlaMint-NL_2020-11-25-tweedekamer-5.u7	Mrs Helder is getting a little confused about the question and is now making it very broad. My point is: a part of the fight against crime is the fact that crime is globalising and that our society has become more diverse. If you want to get a foothold in those kinds of groups, it is useful to have that knowledge. I myself have sometimes done something in the fight against crime, and I know that it is sometimes very difficult to find people who can infiltrate the Turkish or Moroccan underworld, for example. Does Mrs. Helder recognize that? And is she willing to say that she thinks that if we expand the detective capacity and want more people in the neighborhood, we also need people who have knowledge of these cultures and backgrounds?
ParlaMint-NL_2020-11-25-tweedekamer-5.u8	I hear Mr Groothuizen almost repeating his minister from the previous debate. Diversity is not a solution to everything. People talk about diversity as if everything is going to work very well at once. It is not that when you appoint Turkish agents, "the Turkish community" will feel understood at once and will comply with the law. That's not how it works, is it? And there are also groups within the Turkish community. We're gonna get a cop who says, "What's the call? Breaking and entering. What's the suspect's signal? Well, he looked Turkish. Oh, we'll send a Turkish agent." It just doesn't work that way, does it? You need to see if someone agrees with the standards and values and if that person is able to meet those quality standards. On that basis, you must be appointed, not on the basis of "diversity."
ParlaMint-NL_2020-11-25-tweedekamer-5.u9	Thank you, Mrs Helder. We will wait until the chair is cleaned up, and then I will give the floor to Mr Markuszower, also on behalf of the PVV Group.
ParlaMint-NL_2020-11-25-tweedekamer-5.u10	Mr. Chairman. Just a little longer. A few more months and then voters can finally put an end to four years of buttery justice and security policy. Today we are discussing the latest budget for Justice and Security Ministers Sander Dekker and Ferd Grapperhaus. That is good news for anyone who wants to make the Netherlands a safe country. That is good news for anyone who does not want to live in a country where corruption, unwillingness and incompetence in justice are the order of the day. Because what is wrong with the Netherlands of Dekker and Grapperhaus and with the Netherlands of the VVD and the CDA? An underage girl is systematically raped by a pack of immigrant boys. The chief offender is of age, but they are demanded by the officers of Grapperhaus and Dekker 60 days of juvenile detention. 60 days for a group of rapists. It's too nauseous for words, isn't it? For 60 days, that disgusting perpetrator will be coddled, while, together with his foreign friends, he has threatened, blackmailed, abused, humiliated and raped a young girl for months. The officers of Grapperhaus and Dekker motivate their demands with the story that the perpetrator in question would have a somewhat limited ability, but that's what all these overly-soft parties always say about those dirty perpetrators. It's a dirty excuse that's too often pulled out of the goat's wool cabinet. Those VVDs and CDA's parrots have all been following that up. What you're dealing with, it seems you're getting infected. The VVD and the CDA have let cargo after cargo of viper spawn into our country, raping and assaulting our girls, intimidating our mothers, robbing our grandmothers and molesting our sons. And what do the district attorneys and the judges do? They're making excuses. excuses to punish them as lightly as possible, so that the thugs can quickly get back on the street or, in this case, find another cellar box to abuse another girl. Of course, the dirty, raped child abusers of the Netherlands are not just foreigners. Sometimes they are just former senior executive of the young people's VVD and work as chief prosecutor for Grapperhaus and Dekker. Up to the highest levels in the Netherlands, the dung, which is child abuse, has managed to get involved. Sometimes, like the Zeeland garage owner and his wife, they abuse their own children and let others sexually abuse the young children of less than 2 years and 7 years of age, for years, no less than eleven years. The girls, and sometimes their girlfriends, were drugged and then abused by their own stepfather, but also by other men.
ParlaMint-NL_2020-11-25-tweedekamer-5.u11	I think it is very good that the PVV, on this day against violence against women, is making a big and important point of sexual abuse and intimidation of women.
