ParlaMint-NL_2020-08-12-tweedekamer-3.u1	The next item is the order of business. I give the floor to Mr Asscher of the PvdA.
ParlaMint-NL_2020-08-12-tweedekamer-3.u2	Thank you, Mr President. The number of corona infections is rising rapidly, so I would like to ask, on behalf of GroenLinks, the SP, 50PLUS, DENK and the Groep-Krol/Van Kooten-Arissen, to hold a plenary debate with the Prime Minister and Minister De Jonge, following this arrangement, so that we can do the things we need to do together.
ParlaMint-NL_2020-08-12-tweedekamer-3.u3	Support, Chairman.
ParlaMint-NL_2020-08-12-tweedekamer-3.u4	Mr President, support. But also, because there are so many things to discuss, I would like to extend the speaking time.
ParlaMint-NL_2020-08-12-tweedekamer-3.u5	How many minutes? What are you suggesting? I shouldn't be asking you that.
ParlaMint-NL_2020-08-12-tweedekamer-3.u6	As far as I'm concerned, we're going to six minutes.
ParlaMint-NL_2020-08-12-tweedekamer-3.u7	We'll make it five, if that's okay with everyone. Is Mr Asscher's request supported?
ParlaMint-NL_2020-08-12-tweedekamer-3.u8	Mr. Chairman. Too bad Mr Asscher did not mention me, because I think he would also make the request on my behalf, but at least support for the debate and for the extension of speaking time to five minutes.
ParlaMint-NL_2020-08-12-tweedekamer-3.u9	Is everyone okay with this? No, not Mr Van Haga.
ParlaMint-NL_2020-08-12-tweedekamer-3.u10	There was already a general consultation planned. The only difference between a general discussion and a plenary debate is for me, and for all the other splitters, that you only have half the speaking time, so of course I do not support this request. But if the debate is to be held in plenary, preferably with as much speaking time as possible, then my speaking time will also increase proportionally.
ParlaMint-NL_2020-08-12-tweedekamer-3.u11	Support, Chairman. I'd like a plenary debate.
ParlaMint-NL_2020-08-12-tweedekamer-3.u12	Does the rest of you support the request? I see that's the case. Then there is a majority, in fact the entire Chamber except Mr Van Haga, in favour of the request.
ParlaMint-NL_2020-08-12-tweedekamer-3.u13	Excuse Mr. Wilders. I would have misunderstood, but the better. Thank you.
ParlaMint-NL_2020-08-12-tweedekamer-3.u14	Good. Is there a need for a short suspension before we really start or can we start right away? I don't know where the list of speakers is, because I need it too. We'll wait until I get the list of speakers. I now see everyone moving forward to the list of speakers. You guys want to keep your distance? I'll suspend the meeting for five minutes until we get the list in order.
