ParlaMint-NL_2020-07-02-tweedekamer-75.u1	I'm encouraged to start again. The next item is the VAO MIRT. Mr Van Aalst has the floor first.
ParlaMint-NL_2020-07-02-tweedekamer-75.u2	Thank you, Mr. Chairman. I'm about to start with four motions, but I'm gonna save it. Mr. Chairman. Let me start with the N35. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Court has indicated that priority should be given to the N35 approach;]] [[considers that the Minister should respond to this;]] [[calls on the government to take a positive decision on the approach to the N35 including a balanced budget before the autumn MIRT consultation, and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Aalst and Stoffer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-97]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u3	Mr. Chairman. Then the next motion, on the broadening of the A67. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the approach of the full A67 remains valid;]] [[considers that the A67 approach is urgently needed;]] [[calls on the government to achieve the necessary broadening of the A67 to two times three lanes between Eindhoven and Venlo as soon as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Van Aalst and Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-98]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u4	Mr. Chairman. Then there is the final motion on infrastructure, at least when it comes to asphalt. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are many good ideas in the market to contribute to innovative, affordable and sound infrastructure projects;]] [[considers that public authorities should facilitate such initiatives from the market rather than rejection;]] [[calls on the Government to remove, where possible, obstructive regulation for innovative ideas from the infrastructure building market,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Aalst. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-99]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u5	Mr. Chairman. The final motion concerns the IJssel-Vecht concession. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that major problems were identified in the IJssel-Vecht tender;]] [[considers that this involves three provinces and hundreds of millions of euros and is therefore larger than a provincial issue;]] [[calls on the Government to take a leading role in the IJssel-Vecht tender and to make it clear to the provinces concerned that, as long as the investigation of irregularities is ongoing, the concession cannot enter,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Aalst. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-100]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u6	Mr. Chairman. Then in the last 20 seconds I have just got time for my last comment. I would like to give it to the Minister: will she make it clear to the Marxist Republic of Amsterdam once and for all that the Coentunnel is a rich infrastructure and that I do not think it is desirable for them to interfere? Thank you.
ParlaMint-NL_2020-07-02-tweedekamer-75.u7	Thank you, Mr. Van Aalst.
ParlaMint-NL_2020-07-02-tweedekamer-75.u8	Thank you, Mr. Chairman. Two motions. When I get there, I'll ask another question at the end. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister intends to build a 70 metres deep and 3.7 kilometres long dam wall for the broadening of the A27 at Amelisweerd;]] [[having regard to the opinion of the Economic and Social Committee, indicates that the effects on the climate and consumption of raw materials are wrongly not described in the updated EIA;]] [[Considering that the use of 630,000 m of concrete, the extraction of large quantities of water and the construction of this barrier wall will be expected to have a large ecological footprint;]] [[noting that the Ministry presented its strategy for climate-neutral and circular national infrastructure projects on 15 June, indicating circular work within ten years and climate-neutral infra-projects;]] [[calls on the Government to examine the climate and environmental impacts of this dam wall, for example by means of a life cycle assessment, before a decision is taken on the route decision,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Esch and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-101]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u9	Then move two. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Hordijk Committee considers the reduction of traffic emissions at 5 kilometres from the road to be "unsusceptible" "because the majority of the ammonia and nitrogen deposition takes place at greater distances";]] [[calls on the government not to launch road projects until full emissions are taken into account,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Esch and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-102]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u10	In 36 seconds I can indeed ask my questions. The Minister said: perhaps we will see how sustainability can be better taken into account in the MIRT rules. We also see the very ambitious strategy towards climate-neutral and circular national infrastructure projects and a circular rich infrastructure. I found the Minister's commitment in the AA a little vague. Nor was it included in the list of commitments, so I would still like to hear from the Minister how she is going to bring the issue of sustainability forward throughout this whole MIRT, because we do not think it can be left with fine words. Thank you.
ParlaMint-NL_2020-07-02-tweedekamer-75.u11	Thank you. Ms. Postma, CDA.
