ParlaMint-NL_2020-12-08-tweedekamer-68.u1	Then we'll rush to the VAO Fisheries. Mrs Lodders is the first speaker.
ParlaMint-NL_2020-12-08-tweedekamer-68.u2	Thank you, Mr President. I understand very well the last remarks made by the previous VAO. Mr. Chairman. Now I have motions. First of all, a motion on fishing areas. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the North Sea Agreement includes restrictions on the fishing grounds of Borkumse Stones and Frisian Front with all its consequences for the fisheries sector, the chain and the region;]] [[noting that the Minister of LNV has previously indicated that there can be more room for manoeuvre by reducing the restrictions;]] [[calls on the Government, in consultation with the fisheries sector, to limit the fishing grounds of Borkumse Stonen and Frisian Front less than in the current version of the North Sea Agreement, and to inform the House of Representatives of this matter before the North Sea Agreement notary consultation,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders and Mr Weverling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-80]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u3	Then the next motion, on impact analysis. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the North Sea Agreement has an impact not only on fisheries but also on the (processing) chain and some regions;]] [[noting that fishing, such as shrimp fishing, is of great importance for the regions where fishing ports, fish auctioning and processing are concentrated, such as Lauwersoog;]] [[calls on the Government, with the involvement of entrepreneurs, in particular fishermen, to carry out an impact analysis of the North Sea Agreement before it becomes final, clarifying the impact on economic sectors and the region and whether the money made available for innovation is sufficient, and to inform the House of Representatives of the North Sea Agreement for the North Sea Memorandum Consultation,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders and Mr Weverling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-81]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u4	Is the VVD aware that these points have been dealt with precisely in the North Sea Agreement and that they really undermine the agreement, which is already under great strain?
ParlaMint-NL_2020-12-08-tweedekamer-68.u5	I am speaking on behalf of my colleague, but thank you for this question. I don't think so. Of course, I have also prepared a bit for this VAO. The Minister himself mentioned, in particular, the first motion on the Borkum Stones and the Frisian Front, which she would like to discuss again with them. This has been promised in a general consultation. I also mean this general consultation, but I am not entirely sure. We would like to record that in a motion to be able to take that step.
ParlaMint-NL_2020-12-08-tweedekamer-68.u6	Fine. Please continue.
ParlaMint-NL_2020-12-08-tweedekamer-68.u7	Mr. Chairman. My final motion concerns a fishing-free zone. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government intends to establish a generic fisheries-free zone of 250 metres around fish migration facilities;]] [[Whereas this intention limits a large group of sports fishermen in the exercise of their hobby, while there is no recent study indicating a significant impact of sport fishing on migratory species around fish migration facilities;]] [[Whereas, in certain situations, the establishment of a generic 250 metre fisheries-free zone is not ecologically necessary or insufficient to protect migratory species;]] [[calls on the Government to refrain from setting up a generic fishing-free zone for sport fishermen around fish migration facilities and instead to allow sport fishermen, in consultation with the water manager, to establish tailor-made fishing-free zones to protect both migratory fish and to take account of the impact of sport fishing,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders, Mr Weverling and Mr von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-82]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u8	Then let this be some kind of bycatch for me in all these VAOs, to stay in the metaphor.
ParlaMint-NL_2020-12-08-tweedekamer-68.u9	Thank you. Then we'll move on to the next speaker. That is again Mr von Martels of the CDA. Mrs Lodders spoke on behalf of the VVD.
ParlaMint-NL_2020-12-08-tweedekamer-68.u10	That's fast. It is clear that the fishing industry is in severe weather. Everyone also recognises that there are concerns about the future. With two motions we as CDA try to contribute to the search for solutions. The first motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the fisheries sector fears that due to Brexit and other developments there will be insufficient prospects for them;]] [[noting that this fear is due to an addition of securities which are not yet fully reflected;]] [[calls on the Government to present the sum of effects affecting the perspective for fisheries and to inform the Court of Justice as soon as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-83]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u11	The second motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Brexit negotiations are in the final stage;]] [[Whereas a Brexit Agreement may have a significant negative impact on Dutch fishing and fishing communities;]] [[calls on the Government to use long-term agreements, while maintaining the principle of "no access to the market" if no access to the waters;]] [[calls on the Government to call for compensation for fishermen in a no-deal with the European Commission,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr von Martels, Mr Dik-Faber and Mr Weverling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-84]]
