ParlaMint-NL_2020-10-29-tweedekamer-10.u1	First, I give the floor to Mr von Martels of the CDA.
ParlaMint-NL_2020-10-29-tweedekamer-10.u2	Thank you, Mr. Chairman. We're gonna talk about tourism. I am also busy myself to consider the next tourist season. Where I'm going, where I'm going to store my tents, it's still unclear, but that'll turn out to be the case next year. I have two questions and a motion. During the AO it was discussed that the Secretary of State would talk to NBTC and the industry organisations, to see how the campaign "Here you must be," about the distribution of tourism in the postcorona era, will take shape. So my question is: has that conversation been there and what are the findings? The committee has received a petition from the small entrepreneurs in the travel industry. They have argued in favour of entering into a conversation with the Secretary of State. My question is actually the same: has there been a conversation and what are the findings? How can we possibly support that group, that industry, those small entrepreneurs? Because they often fall between shore and ship. The motion I wish to table is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the corona crisis hits the Dutch hospitality economy hard;]] [[Whereas the tourism sector, characterised by SMEs and family businesses, will have to continue to innovate in order to be competitive and sustainable;]] [[Whereas loss of demand and loss of turnover due to the corona crisis will limit profits, leaving no or little investment space for innovation;]] [[Calls on the Government to explore, together with public and private partners in the Hospitality Economy Task Force, how SME entrepreneurs in the tourism sector can make better use of existing schemes and instruments that promote innovation, digitisation and sustainability, and to inform the Court in January 2021,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr von Martels, Mr Schonis and Mr Aartsen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35420-155]]
ParlaMint-NL_2020-10-29-tweedekamer-10.u3	Mr. Chairman. It seems that Corona has changed the future of the Dutch tourism sector not only dramatically, but above all permanently. Many entrepreneurs in the travel industry struggle with the question of how to proceed. Mr von Martels referred to this earlier. The same applies to municipalities and provinces in our own country, especially in places where tourism is an important component of the regional economy. It is therefore high time for us to join forces and for the cabinet to take control and come up with an action plan. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the outbreak of COVID-19 has seriously affected the tourism sector in the Netherlands;]] [[noting that the consequences of this outbreak have changed the future of the Dutch tourism sector not only dramatically, but are also expected to continue;]] [[Whereas the tourism sector represented almost 5% of the gross domestic product (GDP) of the Dutch economy before the outbreak of COVID-19;]] [[Calls on the Government, in consultation with the tourism sector, provinces and municipalities, to adopt an action plan for the tourism sector addressing the priorities for the upcoming tourist season and to inform the Court of Justice by January 2021 at the latest,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Schonis, Mr Aartsen, Mr von Martels and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35420-156]]
ParlaMint-NL_2020-10-29-tweedekamer-10.u4	Thank you.
ParlaMint-NL_2020-10-29-tweedekamer-10.u5	You too. I call Mr Aartsen of the VVD. Go ahead.
ParlaMint-NL_2020-10-29-tweedekamer-10.u6	Mr. Chairman. The travel industry is currently in severe weather. A lot of entrepreneurs have nothing to do with anything since last February. They saw the May holidays disappear, they saw the summer holidays disappear and they saw the autumn holidays disappear. And it looks like the winter holidays will also disappear. In addition to all these cancellations, they have had to spend a lot of vouchers. Luckily, people have asked for that. We are almost a year away, and now many of these vouchers are threatening to be paid out, even though they do not have enough cash in their pockets. As a result, we simply see a major financing problem for these entrepreneurs coming towards us. That's how we see the bankruptcies approaching. I think that we should help these people to prefinance this problem, with a voucher bank. By means of the next motion, I call on the cabinet to come forward with this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that in the letter of 28 August last year on the third aid and recovery package, the Cabinet indicated that it was considering a credit facility in the form of a voucher bank;]] [[noting that the current GSC guarantee system offers a solution to consumers only after a travel organisation has been declared bankrupt;]] [[Whereas more and more vouchers issued in the near future will have to be repaid, which could lead to payment problems and a wave of bankruptcy in the travel industry;]] [[points out that it is important that a voucher bank for the travel industry be set up quickly to prevent companies from going bankrupt when vouchers are due to be paid;]] [[calls on the Government to come forward with the travel industry by 1 December with a proposal for a credit facility in the form of a voucher bank linked to the existing vouchers,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Aartsen, Schonis, Van der Lee, von Martels and Graus.]] [[She's getting No. kst-35420-157]]
ParlaMint-NL_2020-10-29-tweedekamer-10.u7	Mr. Chairman. The corona pandemic has a devastating effect on part of our economy: catering, travel, cultural facilities and parts of the retail trade. That's dramatic. In addition to the acute emergency aid, we also need to look at the longer term, what is structuralally needed to keep the quality of residence of centres in order. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the covid pandemic results in structural and long-term deterioration of the vitality and attractiveness of the centres of cities and centres with a regional centre function;]] [[Whereas this is very damaging to the quality of life, catering, retailing and cultural facilities;]] [[calls on the Government to examine, in addition to providing adequate emergency support, the longer-term effects, the means and measures needed to remedy structural economic damage and the deterioration of quality of residence and attractiveness, and to involve the umbrella organisations of catering, retailing and cultural facilities,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Moorlag. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35420-158]]
ParlaMint-NL_2020-10-29-tweedekamer-10.u8	Mr. Chairman. Following on from the point addressed by Mr Aartsen, there are great problems. There is a danger of bankruptcy in the sector, but there are also vouchers whose compensation is sufficient. The covid pandemic has revealed that the financial structure in the travel sector is simply extremely vulnerable. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the covid pandemic exposes huge financial risks and vulnerabilities in the financial and economic structure of the travel sector;]] [[Whereas this is largely due to the system in which consumers and other parties in the travel chain pay far in advance travel amounts;]] [[calls on the Government to examine independently and expertly how to make the financing structure of the travel sector less vulnerable, involving relevant parties, such as consumer organisations and (mkb) travel operators,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Moorlag and Mr Aartsen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35420-159]]
ParlaMint-NL_2020-10-29-tweedekamer-10.u9	Would you allow me one more sentence, Mr. President?
ParlaMint-NL_2020-10-29-tweedekamer-10.u10	Come on, because it's October 30th. Or no, October 29th!
ParlaMint-NL_2020-10-29-tweedekamer-10.u11	Those vouchers do give me a lot of trouble. If the guarantees are sufficient to compensate all vouchers, my question is: My question to the Secretary of State is whether she would like to send a letter to the Chamber on this issue, i.e. the impact on consumers and businesses, in the short term. I'm terribly worried about that. Thank you.
