ParlaMint-NL_2020-07-02-tweedekamer-78.u1	I call Mr Bishop.
ParlaMint-NL_2020-07-02-tweedekamer-78.u2	Thank you, Mr President. From the very beginning, the Minister assured us, once again spontaneously or upon request, that such a measure would be implemented in close consultation with the sector. That is why we have always supported this line. Only now is a feed measure proposed, a kind of protein ration for animals, contrary to the views of those concerned, despite the fact that, as far as we can see, realistic alternatives have been put on the table. That's rubbing. That makes a little angry, I'll say very hypothermia. We pold ourselves dull, but when it comes to the nitrogen states we have to and the farmer will pay the price. That cannot be true: a measure that threatens to affect the welfare of animals, which vets indicate. That's weird. This cannot be done and that has led to the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the cabinet intends to pursue the proposed enforcement regime;]] [[Whereas, according to experts, the proposed feed regime will have harmful effects on the health of vulnerable cows and calves and may lead to an increase in nitrogen emissions;]] [[Whereas the nitrogen space created by the temporary feed regime can only be used for temporary construction emissions and not for structural construction emissions;]] [[Whereas the corona measures have led to a temporary but significant reduction in nitrogen deposition and the government has indicated that this can be used in the appropriate assessment of permits for temporary construction emissions;]] [[Considering that the government intends to take measures to reduce emissions in the energy sector by the end of the year, which can also be used to create nitrogen space for the construction sector;]] [[Considers that the proposed feed regime is contrary to the requirement in the Emergency Act approach to nitrogen that such a scheme should only be introduced if it is established that there is no significant negative impact on, inter alia, animal health and animal welfare;]] [[calls on the Government to withdraw the proposed feed regime and instead to opt for an alternative route using professionalism within the agricultural sector,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35334-112]]
ParlaMint-NL_2020-07-02-tweedekamer-78.u3	Yes, Mr President, because I am somewhat confused about this motion. I see Mr Bishop passionately as a kind of Che Guevara of dairy farming leading the revolution. But it has been the SGP that, together with the coalition, has adopted the emergency law that allows the minister and its officials to come to this settlement. Mr Bishop writes on social media: I do not want officials to talk about what food a farmer gives to his dairy cows. Then why did he vote in favour of the law that made that possible?
ParlaMint-NL_2020-07-02-tweedekamer-78.u4	Two comments. First of all, I find it too short-sighted to call the protest from the sector against the current measures, and the way in which they are expressed, a revolution, and then call me the Che Guevara. Apart from the fact that I don't wear a beret, smoke cigars and have no beard, that comparison is completely wrong in other respects. Why did we agree to that law? I have already mentioned this, and that is very simple: because we were assured that this would be developed in consultation with the sector. Of course, we had reservations about this, because that means that nitrogen is permanently withdrawn from the agricultural sector and made available for another sector. We had our hesitations and I also gave words to that. Only in the confidence that it would be achieved in consultation with the sector, which is willing, have we said: okay, then we support the Minister's proposal. Only now we feel not only disappointed, but also offended by the way in which it is now being achieved.
ParlaMint-NL_2020-07-02-tweedekamer-78.u5	Mr. Futselaar, briefly.
ParlaMint-NL_2020-07-02-tweedekamer-78.u6	I would, of course, like to give Mr Bishop the hesitations he has had. However, I do note that the SGP is a party that says loudly: I do not think that the government should intervene in the transport trail. And I also note that that party has agreed to a law that makes it explicitly, explicitly possible for the government to intervene in the feed trail. That is a consequence of the adoption of that law.
ParlaMint-NL_2020-07-02-tweedekamer-78.u7	A brief response, Mr. Bishop.
ParlaMint-NL_2020-07-02-tweedekamer-78.u8	This is a typical socialist way of thinking. The line of thought that was there was not: the government intervenes in the feed trail. No, the line of thought was: the experts, the owners, the sector itself regulates the transport trail, and the government creates the preconditions for that. And that is a typical conservative approach that fits very well with the SGP.
ParlaMint-NL_2020-07-02-tweedekamer-78.u9	Mr President, something revolutionary has happened. Because the SGP suddenly took over the Party's argument for the Animals that it is bad for animal welfare to just cut into proteins in bred animals, which therefore need a lot of protein. So we found that remarkable. But I'm starting to hesitate a little bit. Because I believe that the SGP should not go through with this feed regime, but what does the SGP mean by that motion? Does she mean that no nitrogen measures are imposed on agriculture at all, because there has been corona so we have saved a little nitrogen? On that condition, or with all these considerations, we cannot support the motion. Furthermore, I agree with Mr Futselaar. The SGP has been involved in the agricultural debate for quite some time now. If you reject fundamental solutions, and you walk with the help of an emergency law, yes, then this is what you get. And then you can get angry here and say: farmers suffer from this. But that's what you're asking for!
ParlaMint-NL_2020-07-02-tweedekamer-78.u10	The latter seems strange to me. What matters is that there is a problem, to whatever extent. Co-operation is requested. It has been the industry's line to choose a solution. The sector commits itself, and then it passes through the actual proposals that lie ahead. So I do not think that is acceptable in administrative terms. And that also makes me "slightly displeased," I'll say. I would indeed be concerned if we were to follow the line of the Party for Animals on this point, as Mrs Ouwehand calls it. Look, those animals are bred. Mrs. Ouwehand might say, "They're fucked up." But, yes, we haven't had any oysters for a while, so those animals in dairy farming and the other animals have a certain need for food. You can't just cut into that and you can't just say: you know what, we ration it and then those animals lose weight. Then you get the effects as we saw them in the Oostvaardersplassen, where the animals all died because they lacked food. And that is not what we want! Those farmers don't want that! They want to take care of their animals!
ParlaMint-NL_2020-07-02-tweedekamer-78.u11	Mrs. Ouwehand, very briefly.
