ParlaMint-NL_2020-10-01-tweedekamer-7.u1	Now let's move on to the General Financial Reviews.
ParlaMint-NL_2020-10-01-tweedekamer-7.u2	I would like to give the floor to the Secretary of State for Finance, in charge of taxation and the Tax Administration, Mr Vijlbrief.
ParlaMint-NL_2020-10-01-tweedekamer-7.u3	Thank you, Mr. Chairman. I sit down because my back is bothering me, not out of disrespect for the House of Representatives; I repeat that for the people who are watching. It is a great pleasure to be here today, in this role. Most of the tax intentions this cabinet has are in the Tax Plan package and everything that goes with it. You will receive at the beginning of next week, on October 5th to be precise, the details of the BIK and a proposal for the adjustment of the loss relief. So we're gonna be talking very extensively over these months about all the tax proposals. But I will go through a number of things with you, because you have asked questions about it. I will start with the short-term approach of the cabinet, and say something about tax delays. Then I would like to say something about the structural approach along three lines, namely greener, fairer and better. I end with the Job-related Investment Discount, better known as the BIK. So it's a couple of blocks in a row. As far as the short-term emergency package is concerned, we have decided to extend a number of existing fiscal measures until the end of the year. Mr Snels early in the first term: can you change that easily, if necessary? Yeah, that can be pretty easy. That is what we did at the beginning of the year with the policy decision, in other words with the things we set out in it. And if you have to change something in that, you can usually change it with a policy decision. This means that we are quite flexible in that area. The second point I wanted to make about the short term is that we are going to pursue the generous policy of postponing tax payments with a generous policy of reducing those debts. The cabinet had previously planned to start on 1 January and to give up 24 months, 2 years, for the phasing out. Following a debate here in the Chamber, which the Minister had, and following contacts we had with business organisations, we decided not to start until 1 July next year, and to give 36 months instead of 24 months. So that fits in with the image of a generous policy of agriculture. That is actually what I wanted to say about the short term. The emergency packages in the tax field bring me to my first real theme for the longer term, the further greening. It is clear that this is what we are doing in the field of taxation. There's an important bill in your room, the CO2 tax bill industry. This tax is aimed at securing the reduction target for industry, but you also know that there are now a lot of plans in the EU under the Green Deal. Of course it should not be, but if I could say it myself, I would say that this levy has been intelligently shaped. It has been designed in such a way that if the objectives in Europe become stricter, the levy becomes less strict and will bite less, so that the two together will bring us to the goal in the Climate Agreement for the Netherlands. So they're mutually reinforcing. In addition to the Tax Plan package, this year the proposal for a CO-minimum price for electricity generation in your Chamber is pending. Furthermore, in the First Chamber there is the bill for a flight tax. A few questions have been asked in this area. Continue packing for greening. Mr Snels said in the first term: that thing, the CO levy, does not actually raise any money in the books at all. That is true, because it is intended that companies should adapt to the objective of the directive, and it is a regulatory charge that the revenue from that charge may be zero. That's how it's designed. Briefly about the flight tax. The bill for this is therefore pending in the Upper House. During the discussion in the Lower House of this proposal on 11 March of this year I have a bit of a weird feeling, because that was just before the lockdown. Then I sent a note to the Chamber saying: if corona intervenes very deeply, perhaps we should consider looking at the starting date of the flight tax on 1 January 2021, i.e. 1 January of next year. That is, of course, still ahead of us and I have already said that we are going to take a decision on this in the autumn. I also promised in the House of Representatives, where it was adopted by a rather substantial majority, that I would investigate the effects of the cargo part of that flight tax. In my view, Mr Slootweg asked for this in the first term. That research is there, and that actually indicates that there is a risk that the effects of that freight tax on Maastricht airport in particular may be quite substantial. Those two things make me still have to consider whether 1 January 2021 is indeed the right date and whether this is the right composition of the flight tax. I'd like to do that, and I'll get back to the Chamber on that. It is complicated, because the bill is in its present form in the First Chamber and I continue in principle the treatment in its current form. That's the plan now, but you know I can let it go with a royal decision. So I have the room to run the date, but that is not the plan at the moment. I will come back to that in more detail, also because of the report on freight taxes. Mr Sneller asked how we could deal with the 4.5 billion fossil subsidies, as they have been mapped out. Mr Wassenberg also asked whether such arrangements could not be abolished. Just so we're clear, we don't have price subsidies for fuel in our country. We do have exemptions and reduced rates in those taxes on energy, but they mostly follow from the European Energy Taxation Directive. That is precisely why it is so important that, within the framework of the European Green Deal, proposals are made to bring this Energy Taxation Directive into line with the climate objectives. It is, in fact, a similar point as I had at the flight tax, because it was also mentioned in part of the Chamber: would it be much nicer to be able to charge excise duty on fuel? Yes, it is, but we all have to. It is a European rule and I still hope that Europe will move on this. I think this is what I wanted to say about greening. That's why I'm moving on to the next block.
ParlaMint-NL_2020-10-01-tweedekamer-7.u4	But there are still a few questions. The first is from Mr Snels van GroenLinks.
ParlaMint-NL_2020-10-01-tweedekamer-7.u5	There is a lot of social debate about this crisis and how to get out of this crisis. Economists, the European Commission and central bankers - you can't make it up like that - all say, "Don't delay climate and environmental policy, but use this crisis to turn it into a sustainable economy." I understand that the Secretary of State is already thinking about postponing the flight tax, and that worries me. But my question is actually about the CO levy. Is it true that, because of the corona crisis, the industry will be given more dispensation rights and that the effect of this CO levy will be postponed as well?
ParlaMint-NL_2020-10-01-tweedekamer-7.u6	Moreover, I did not say that I am thinking about postponing the flight tax. I need to be very specific right now. I sent a note earlier, in which I said that you might have to think in the context of the corona crisis. That seems to me to be a very logical note about the date on which you let that thing go. That's what I'm doing right now. It hasn't been decided yet. As far as the CO levy is concerned, what Mr Snels says is correct; in the first few years we have been relatively generous with dispensation rights towards industry. That has something to do with the corona crisis. But it is not right that the objective should disappear from sight. The 2030 target, including the price path associated with it, is still in full swing. All we've done in the first few years is to be a little more generous with dispensation rights, to give the industry a little more time to adapt. That did not seem absurd to me in the context of where we are in the economy.
ParlaMint-NL_2020-10-01-tweedekamer-7.u7	But my point is that all the experts say, "Don't do that." The sums of the PBL show that we are going to run the risk of that we often know in the Netherlands that we are not going to meet the objectives later. But there is even a relationship with the BIK. What do we want? We want companies to invest. What should the CO levy do? Get companies to invest. What do we do? Giving dispensation rights, so companies don't invest. That is ultimately an irrational decision. This is neither good for investment, nor good for business, nor good for meeting the climate objectives.
ParlaMint-NL_2020-10-01-tweedekamer-7.u8	I do not agree with this interpretation of what we have done. In fact, Mr Snels knows very well that companies do not base their investment decisions on what is happening in the coming year. Those decisions are based on the long term. We are abandoning the long-term objective. That is exactly what all experts say: keep an eye on greening and so on. That is also why I am not saying at all at the flight tax: we are not going to do that yet. That's what I'm weighing up, like I just said. We're keeping that objective under constant review. This means that the investments remain in place. The only thing we're saying to companies is that we actually did the whole corona package. We understand that you're a little tight right now; we can now slow down with that. This does not change at all the investment decisions of companies in the field of the fight against CO.
ParlaMint-NL_2020-10-01-tweedekamer-7.u9	Thank you for the answer from the Secretary of State. I want to be very precise about it and understand it. In the first instance, is it important for the First Chamber to adopt the law, with all the consequences for greening, but also for jobs and especially jobs in the region... Is the Secretary of State gonna make a decision after that?
ParlaMint-NL_2020-10-01-tweedekamer-7.u10	That is the current state of affairs. The state of play is that the current bill is in the Upper House. I said earlier that this fall I'm going to consider how to weigh the effects of the corona crisis. I also have reports on the effects of the freight tax. It can mean two things: either I go into the First Chamber with this bill and hear it from it, or I go back to the House of Representatives first to think about whether I need to change that. That's exactly the balance I'm making right now. But the proposal that is now before us is the proposal that lies with the Supreme Court. Period.
ParlaMint-NL_2020-10-01-tweedekamer-7.u11	Thank you, at least that makes it even sharper for me. I would urge you to include in the consideration of regional effects, it is actually a national measure, but it falls elsewhere, because the substitution possibilities for jobs are really different around Schiphol Airport than around Maastricht Airport.
