ParlaMint-NL_2020-02-19-tweedekamer-4.u1	We continue with the VAO Education and Care. I give the floor to Mr Beertema.
ParlaMint-NL_2020-02-19-tweedekamer-4.u2	Thank you, Mr President. The debates on education and care have for a long time been talking about the number of homeowners. Everyone agrees that every homemaker is a disgrace to our Dutch education, but that is all. In order to encourage the Minister to make a little more ambition, I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the purpose of the system was to provide adequate education as zero home-owners and that this purpose served as the main argument for the advocates of the law;]] [[Considering that the number of home-owners counted 15,049 home-owners as from the Law and 14,897 home-owners at the end of 2019;]] [[considers that neither the partnerships nor the Minister have achieved their goal of zero home-owners;]] [[calls on the Government to come forward with an action plan to at least halve the number of homeowners by the end of the term of office,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beertema and Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-346]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u3	I have one more enlightening question. We've had an AO on education and care. Mr Beertema was much more determined in that general discussion about the results achieved by this minister and this cabinet and requested this VAO to make a much stronger commitment on the part of the Home Presidents. Now there's gonna be a motion for halving. A good motion, I think, because half of it is absolutely good, but where is the other half that you were so clear about in the AO?
ParlaMint-NL_2020-02-19-tweedekamer-4.u4	I'm an old teacher and students who aren't that good, you have to give some space to take small steps instead of big steps. This minister has messed up when it comes to appropriate education. It's not getting anywhere. I know how long we have been talking about reducing the number of homeowners, preferably to zero, but zero is too much ambition for this cabinet, for this minister. So that's why I thought, let's take it easy. The other, like many problems in education, is lifted over this cabinet and passed on to the next cabinet. A scandalous thing, by the way, because that's just to rule over your grave. The next cabinet is going to be very difficult, I can assure you.
ParlaMint-NL_2020-02-19-tweedekamer-4.u5	At the risk of us having a whole political discussion again, Mr Van Meenen.
ParlaMint-NL_2020-02-19-tweedekamer-4.u6	I am under that motion and I am standing under it, but that does not mean that I share everything that Mr Beertema has just said about this cabinet. I would like that to be noted in the Acts.
ParlaMint-NL_2020-02-19-tweedekamer-4.u7	It is in the Acts of this House.
ParlaMint-NL_2020-02-19-tweedekamer-4.u8	Did you take this disclaimer?
ParlaMint-NL_2020-02-19-tweedekamer-4.u9	It's in there now, don't worry. I now give the floor to Mrs Westerveld.
ParlaMint-NL_2020-02-19-tweedekamer-4.u10	Mr. Chairman. I'm filing three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is sometimes quite a search for parents of children with a care question to find the right place for their child to attend education;]] [[noting that parents in this search run into all kinds of bureaucracy and laws, including around the various jars of care money and educational money;]] [[Whereas not all parents are equally empowered and understand where to turn for which money and forms to fill in;]] [[calls on the Government to identify whether socio-economic factors and the level of education of parents play a role to the extent that a child receives support,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Westerveld and Mr Kwint. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-347]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u11	I'll continue with my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the initiative is not recognised as an education programme by school classes, whereas education is indeed provided;]] [[noting that this is financed by the municipality's health budget and not by the education budget, together to school classes;]] [[noting that this would require parents to apply for compulsory education in order to enable their child to take part in a classroom together;]] [[Whereas Together to School classes contribute to inclusive education that is of added value both for children with or without a care demand;]] [[calls on the Government to officially recognise initiatives such as Together to School classes as educational programmes, so that parents no longer have to apply for compulsory education and can be part of a partnership, together with school classes, and thus partly funded by educational funds,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that parents of a disabled child in regular education sometimes have to apply for a decision from the municipality every six months in order to claim funding;]] [[noting that if a child were to go to special education, this decision would not have to be applied for every six months;]] [[Whereas a disability such as Down's syndrome does not change and the repeated demonstration of disability creates additional bureaucracy and stress;]] [[calls on the Government to make arrangements with municipalities so that a decision to allow a child with disabilities to attend regular education can be issued for a longer period of time,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Westerveld and Mr Kwint. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-348]] [[This motion has been proposed by Mr Westerveld and Mr Kwint. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-349]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u12	I have another question for the Minister about children who fail for other reasons, for example because they have autism. Recently, I was visiting Triunity in Nijmegen. This is where children are accompanied, and in fact there are the same problems as the Group of the European People's Party (Christian Democrats) and European Democrats, namely that some of these children should always be exempt from compulsory schooling. I would ask the Minister if he would also look at such initiatives.
ParlaMint-NL_2020-02-19-tweedekamer-4.u13	Thank you. I call Mr Kwint, on behalf of the SP.
ParlaMint-NL_2020-02-19-tweedekamer-4.u14	Thank you, Mr. Chairman. We have talked very extensively about the problems of cooperation between care and education, as a result of two systems which are intrinsically interwoven for a lot of parents and children with a need for care, but which sometimes seem to be two separate realities in The Hague. That leads, among other things, to the fact that there are a thousand children at home without education, while we find, as I think is widely shared here, that everyone has the right to education. There are no easy solutions for this; the Minister cannot turn away home-owners. He can't just solve that, because many cases are extremely complicated. But the least we are obliged to do to parents and children is to take a good look at whether we really cannot find a suitable place in education for these children, even if it is only because you know what else we should change in the education system. In the hope of changing something, we have tabled a motion which reads as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are still thousands of children at home without adequate education;]] [[Whereas one of the objectives of appropriate education has been to reduce the number of homeowners without adequate education, but this has not been achieved so far;]] [[Whereas unnecessarily long sitting at home is detrimental to the development of a child;]] [[calls on the Government to map and categorize the current home country issues regionally according to the reasons for sitting at home and supporting demand;]] [[calls on the Government to ensure that, in consultation with interested parties, all home-owners' files are reviewed with the aim of finding a suitable place in our education,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kwint, Mr Westerveld, Mr Van den Hul and Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-350]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u15	I really hope that with this proposal the Minister will be able to sit down with all those parties concerned with care and education to see if much more children than they are today can be given a suitable place, because that is what we owe those children.
ParlaMint-NL_2020-02-19-tweedekamer-4.u16	Thank you. Mr Van Meenen has the floor on behalf of D66.
