ParlaMint-NL_2020-02-18-tweedekamer-30.u1	The next item is the order of business. At the request of a number of Members, I propose that the following motions be renewed: 28625-266; 26407-120; 26407-119; 35300-A-18; 29398-781. I propose to carry out the following work: 32820-335; 2020Z01577; 34602-2; 31239-311; 33612-72; 30196-694; 32813-443; 31239-309; 32813-441; 29023-255; 32813-440; 33612-71; 31239-308; 3179-392; 30196-689; 32813-406; 27879-74; 32813-403; 29477-647; 35300-XVI-156; 33506-41; 21501-07-1648; 21501-20-1509; 35000-VIII-206; 31288-797; 31288-808; 32140-66; 34602-1; 28362-24; 26695-130; 29477-646; 29614-149; 25295-80; 25295-78; 32793-473; 25295-77; 25295-77; 2020Z00699; 3544-2; 29544-960; 28684-610; 31936-716; 29279-563; 196375; 2020Z00743; 24515-449; 29614-149; 25295-87; 25295-78; 32793-473; 25295-77; 25295-77; 2020Z00699; 3544-610; 31936-76-71; 29279-65; 2147; 2147; 2147-65; 2020Z00743; 2147-449; 214747; 247-449 I propose to add to the agenda: VAO Pregnancy and birth, with Mrs Ploumen as the first speaker on behalf of the PvdA.
ParlaMint-NL_2020-02-18-tweedekamer-30.u2	I give the floor to Mr Van Aalst on behalf of the PVV.
ParlaMint-NL_2020-02-18-tweedekamer-30.u3	Thank you, Mr. Chairman. More than 30% of the municipalities still have major problems with the pfas. Buggerers are losing millions of dollars. Transport operators indicate that even a quarter will fall short of change in government policy. How is it that the Minister who caused this problem himself is now pretending that nothing is wrong and refusing to apologize? Mr President, we want a plenary debate as soon as possible rather than serving the subject in a back room.
ParlaMint-NL_2020-02-18-tweedekamer-30.u4	Which back room do you mean, Mr. Van Aalst?
ParlaMint-NL_2020-02-18-tweedekamer-30.u5	That three o'clock tomorrow somewhere in a committee room, chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u6	That's a committee room. Fully-fledged debates are taking place there.
ParlaMint-NL_2020-02-18-tweedekamer-30.u7	Mr. Chairman. Mr Van Aalst is served at his beck and call, because tomorrow the AO will indeed take place, in the Thorbeckezal. We'd be failing Thorbecke if we didn't let that happen tomorrow.
ParlaMint-NL_2020-02-18-tweedekamer-30.u8	Exactly, with the same wording.
ParlaMint-NL_2020-02-18-tweedekamer-30.u9	Mr. Chairman. Pfas is poison. We need to be careful with that. I think it would be a good idea to talk about that at the AO tomorrow.
ParlaMint-NL_2020-02-18-tweedekamer-30.u10	Support for the President, no support for this proposal. We'll discuss it tomorrow.
ParlaMint-NL_2020-02-18-tweedekamer-30.u11	Fine.
ParlaMint-NL_2020-02-18-tweedekamer-30.u12	Mr. Chairman. Pfas is important and it is a blunder on our hands, so I wholeheartedly support the proposal.
ParlaMint-NL_2020-02-18-tweedekamer-30.u13	Mr. Chairman. [[Sentence could not be parsed: Volgens mij heeft de PVV het AO dat we morgen hebben over pfas gesteund.]] So we have that AO tomorrow, with the support of the PVV. That is what we are going to have and I see Mr Van Aalst there.
ParlaMint-NL_2020-02-18-tweedekamer-30.u14	Sure.
