ParlaMint-NL_2020-06-04-tweedekamer-3.u1	Then let's move on to the next topic. That is the VSO Study Vouchers and commitments of the general consultation of 16 October 2019 on DUO (24724, no. 169).......................................................................................................................................................................... I give the floor to Mrs Westerveld on behalf of GroenLinks.
ParlaMint-NL_2020-06-04-tweedekamer-3.u2	Mr. Chairman. When the loan system was introduced, it was agreed that students would receive a study voucher which they could later use to study further. But this arrangement, to put it mildly, does not work optimally. Last June, together with my colleague Van der Molen, I proposed that the voucher should be used immediately after the study. After all, that makes much more sense: many students who are studying would like to stick to another study, especially at a time when it is difficult to get a job. The reaction we got then already surprised us. I don't know if the minister knows the British comedy series Little Britain, but there's receptionist Carol, who says on all sorts of logical questions: computer says no. That is also about the reaction we received, namely that the motion could not be carried out. The minister then wrote that it was not possible to adapt DUO's systems in time. That is why we tabled another motion with a rather simple request during the budget debate with the CDA and the SP. The money for this is reserved, so we asked: pay that out to students now, for example by reducing the student debt. Even then, the Minister said that it was difficult to carry this out. Later, during a written consultation, it appeared that there were quite a few possibilities, but that there was a need for a cash drawer. The Minister would come back to that in the spring note. When the reaction came, we read: "However, the required cash slide could not be integrated into the national image. This means that the held motion Rog, which focuses on the return of the voucher, cannot be carried out." That's official language for: I don't know why it can't be done. But this compensation is more topical than ever in our opinion, because we are dealing with students who are facing financial problems because of corona. It's hard to find a place on the labour market. That is why we hope that we will look carefully at what is possible for students. We are about to join a motion that Mr Van der Molen is going to table, but I would also ask the Minister to explain what is going on with the previous requests that we have made. Is it real: computer says no? Doesn't the Minister of Finance want it? Or is there another reason?
ParlaMint-NL_2020-06-04-tweedekamer-3.u3	That computer, of course, is all of us, isn't it? We in the House of Representatives are ultimately in charge of the state budget. You are actually saying that the Minister of Finance does not see the room to shift the money. Do you see it and where do you see it?
ParlaMint-NL_2020-06-04-tweedekamer-3.u4	In my opinion, there was a very clear request from the Chamber that was the motion we submitted last year to investigate whether students could immediately use the voucher for a follow-up study after obtaining the first study. That was the question. The reaction was that DUO's systems could not be adjusted properly, not in time, while at that time there was work on revising DUO's systems to carry out that motion. That is why we have tabled a second motion. The Chamber's request is clear. We only hear from the Minister that it cannot be carried out. That is why I am asking: what exactly is the reason for this?
ParlaMint-NL_2020-06-04-tweedekamer-3.u5	Finally.
ParlaMint-NL_2020-06-04-tweedekamer-3.u6	I am not talking about the systems at DUO, but about the idea that a cash drawer would be needed to bring that money forward and to deploy it earlier, so that students can use it, which I would also like. But we get back that the Treasury says it's just not feasible, not so much because of the systems but because it doesn't have that money. Then the question is: do you see it and where do you see it?
ParlaMint-NL_2020-06-04-tweedekamer-3.u7	Actually, the same question.
ParlaMint-NL_2020-06-04-tweedekamer-3.u8	Maybe I'll answer the same question. This is money that is reserved in the future and intended for students, money that they can use to pay for their studies later. So that money's there for those students. In this motion, we are asking for that money to be brought forward and, therefore, for students to be able to use it now, because it simply appears that this scheme for study vouchers, introduced with the best intentions, does not work as it was expected at the time. We do think that for those students who are unlucky that they did not have enough to deal with the pre-investments, but who did have to deal with the loan system, you should do something back. That is why the specific request was to bring forward the proposal to use that money so that these students can now make use of it.
ParlaMint-NL_2020-06-04-tweedekamer-3.u9	Thank you, Mrs Westerveld. I now give the floor to Mr Paternotte on behalf of D66.
ParlaMint-NL_2020-06-04-tweedekamer-3.u10	Thank you, Mr President. Good to see you again. I was standing here last Tuesday about vouchers, with Minister Van Nieuwenhuizen. Because nowadays a lot of Dutch people have vouchers. We like it when people have a free choice as to what they do with it. That is why I supported the call that was made earlier to say: give students the choice to use it, if necessary, to reduce the student debt. That, of course, requires that the money reserved for much later be brought forward a great deal. What the Minister is actually saying is: yes, I went to look at the education budget for that, but then you would have to cut back. I hope we all don't want that. The alternative is to get to another budget, where expenditure can be postponed. Of this, the Minister of Finance is now indicating that this cannot be done. The rich budget will be volatile in the near future. It is not unthinkable that projects will be temporaryised. I hope not in education, but perhaps in other departments. Can the Minister promise us that she will keep this wish of a large part of the House of Representatives at the top of the agenda, in my view, in order to ensure that if that opportunity arises through the temporalisation of projects, which study vouchers can still be given to students?
ParlaMint-NL_2020-06-04-tweedekamer-3.u11	Thank you, Mr. Paternotte. Then Mr Van der Molen on behalf of the CDA.
