ParlaMint-NL_2020-07-02-tweedekamer-4.u1	The next item is the VAO Building. I give the floor to Mr Terpstra, on behalf of the CDA.
ParlaMint-NL_2020-07-02-tweedekamer-4.u2	Thank you, Mr. Chairman. Last week we had a good debate on the major task of housing. There is a terrible shortage of homes, and the starters and the people with a normal wallet are the victims of that. That is why we are tabling the following two motions. The first motion is also tabled on behalf of my Liberal friends Koerhuis van de VVD and Mrs Van Eijs van D66. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a housing shortage, which particularly affects start-ups;]] [[Whereas so-called long-term tenants and mandatory home residents are not eligible for social rent, but cannot buy the desired property on the basis of their income;]] [[Considering that many start-ups face strict requirements of mortgage providers, where customisation is possible but lacks a standard product;]] [[Whereas start-ups prove that they can also pay a mortgage charge by paying high rents faithfully;]] [[whereas many start-ups would receive a significantly lower mortgage burden when purchasing a property and build up equity rather than the high rent they are currently paying;]] [[Calls on the Government to enter into consultation with the Mortgage Platform on the experiences gained from mortgage lending on the basis of rent expenses and the "pilot rental statement" and to inform the Chamber on this matter as soon as possible;]] [[invites the Government to inform the Chamber of the various possibilities, such as the use of a standard product,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Terpstra, Mr Koerhuis and Mr Van Eijs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-656]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u3	The second motion is about housing locations. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is neither an insight nor an overview of all locations where large numbers of houses can be built but where it does not come from;]] [[Whereas there is no proper understanding of the background and causes of the absence of construction activities;]] [[Calls on the Government to identify with the provinces and other stakeholders the major locations where housing can be built in principle, indicating the reason for the delay, the extent to which access plays a role and how development can be accelerated;]] [[calls on the government to explicitly involve the Rijnenburg site in Utrecht;]] [[calls on the Government to inform the Court of Justice on this matter this autumn,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Terpstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-657]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u4	Thank you.
ParlaMint-NL_2020-07-02-tweedekamer-4.u5	I now give the floor to Mr Koerhuis, on behalf of the VVD.
ParlaMint-NL_2020-07-02-tweedekamer-4.u6	Mr. Chairman. I'm filing three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the housing shortage in the Netherlands is high;]] [[noting that Rijnenburg is a large outlying building site in the Randstad;]] [[Whereas resolving the housing shortage in the short term, but also in the medium term, remains an important task;]] [[calls on the Government, together with the Province of Utrecht and the relevant municipalities, to identify the possibilities for large-scale housing in Rijnenburg, including the associated infrastructure/ov facilities and nature, by 2030, and to inform the Chamber before the end of the year,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Observed that by 2020 residential production is expected to fall to 60,000 homes and by 2021 to 50,000 homes;]] [[Whereas the aim is to build 75,000 homes per year and this target should be raised to around 90,000 homes to meet the housing shortage;]] [[believes that government direction is necessary to resolve the housing shortage;]] [[calls on the Government to draw up a short-term plan to meet the target of 75 000 homes and to further increase production in the medium term to meet the housing shortage and to inform the Court of Justice about this after the summer,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Koerhuis and Mr Van Eijs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-658]] [[This motion has been proposed by Mr Kurhuis and Mr Terpstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-659]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u7	Yes, Mr President, on Mr Koerhuis' first motion on Rijnenburg near Utrecht. Mr Koerhuis and Mrs Van Eijs may ask to develop that location together with the province and the municipality, but I think Mr Koerhuis also knows that the province and the municipalities are opposed. So what if they say they're not waiting for that effect at all? What's that?
ParlaMint-NL_2020-07-02-tweedekamer-4.u8	I hear a bit of a like-dan question. If there's such a nice offer coming from the Chamber and from the Minister, I think they'd like to look at it.
ParlaMint-NL_2020-07-02-tweedekamer-4.u9	Finally.
ParlaMint-NL_2020-07-02-tweedekamer-4.u10	Then we'll see if they're gonna look at it. Otherwise, I think the Minister can send a note very quickly stating that they do not want to look at it.
ParlaMint-NL_2020-07-02-tweedekamer-4.u11	Proceed, Mr. Koerhuis.
