ParlaMint-NL_2020-06-23-tweedekamer-32.u1	I call Mrs Postma of the CDA.
ParlaMint-NL_2020-06-23-tweedekamer-32.u2	Mr. Chairman. I wanted to talk about vacation. There is no people in the world who go on holiday as much as the Dutch. Countries such as France, Italy, Spain and Germany are often popular during the summer holidays. Also in this summer many Dutch will go on holiday by car. All countries have taken corona measures for the destination. Only, I can't find any good information about the car journey itself. It is as if we expect to be able to skip the long traffic jams at the service stations in France, Luxembourg, Belgium and Germany. It's like being teleported to the holiday destination. That's not true. If we're all back in that traffic jam on black Saturday or other busy travel days, we'll find overcrowded gas stations and toilets that you'd like to stay away from. And with corona, these places become an ideal corona transfer station or fireplace, with the risk that next to beautiful holiday memories a second corona wave will be taken to the Netherlands. Mr President, a warned person counts for two and a good preparation is half the work; hence this motion on car travel and holidays. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that many Dutch people travel by car to their holiday destination abroad, with little advice and information on how to make the car trip to your holiday destination as coronaproof as possible;]] [[Whereas coronaproof travelling by car abroad requires additional preparation, as there is a need to stop on the way to refuel, rest and eat;]] [[Whereas many people are going on holiday by car and will be very busy at resting places and service stations;]] [[calls on the government to encourage car holiday Member States to ensure extra good hygiene measures during the busy summer months in care places (including petrol stations along highways) as well as to work with organisations such as the ANWB to provide good information and advice on how the Dutch holidaymaker can best prepare himself for holidays by car abroad,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Postma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-33-819]]
ParlaMint-NL_2020-06-23-tweedekamer-32.u3	I wonder if this is something for the government or more for the ANWB, or for people themselves. Be wise, go on a journey wisely and just bring your breadbox.
ParlaMint-NL_2020-06-23-tweedekamer-32.u4	I've been thinking about this, too. How would I do this if I went on vacation with my family by car abroad? There is very little information at the moment. I also went to find out how to find that information. These organisations indicate: we simply do not have this. I have also asked my European colleagues: "Goh, is this already known? How's the trip going?" I see a lot of preparation about air travel and about what to do in the country itself, but I hardly see anything about the car journey. I don't think we should be naive about that when we think about how many people always go on vacation. On average, 1.2 million people go to France every summer, 1 million to Spain and 900,000 to Italy. That is not going to be as many as usual this year, but if you have those big traffic flows in mind and you still think about black Saturday, which will probably be less crowded than last year, but still busy, then you have to realize that we can be better prepared for this. And you can't do that right now.
ParlaMint-NL_2020-06-23-tweedekamer-32.u5	Thank you. Then the floor is to... Oh, Mr Van Aalst also has an interruption.
ParlaMint-NL_2020-06-23-tweedekamer-32.u6	I'm gonna try to put it in the Transport Council's office anyway. What exactly does Mrs. Postma want? We have a week to go here and I think the first part of the Netherlands already goes on holiday. How does Mrs. Postma see that? Do we have to ask the Minister to issue a flyer with all European countries in the short term? How am I supposed to see that?
ParlaMint-NL_2020-06-23-tweedekamer-32.u7	On the agenda of the Transport Council are the measures taken by country to be able to go on holiday and to open the country up to tourists. The Dutch like to go to a number of countries and there are also a number of transit countries. All it takes is to get in touch with a country and ask: "Oh, what are the measures? Are you well prepared and have you also taken extra measures?" Right now, I just don't see anything. I read in the Transport Council's report that a great deal is being looked at the preparations for air traffic, but I do not see this coming back. In that sense, I would like to do an incentive to see what we can do here to prepare that journey as much as possible.
ParlaMint-NL_2020-06-23-tweedekamer-32.u8	Finally, Mr Van Aalst.
ParlaMint-NL_2020-06-23-tweedekamer-32.u9	On the one hand, I understand that. On the other hand, my advice would be: let's just support our local entrepreneurs in the Netherlands this year; that seems to me to be the safest thing at the moment.
ParlaMint-NL_2020-06-23-tweedekamer-32.u10	I couldn't agree more. There is nothing more beautiful than going on holiday in the Netherlands. I'm going to Zandvoort myself this year and I'm really excited about that. But we also have to be realistic, because people often book their holidays in January. Some book their holidays even in September, after they have returned. They do that because the high season is pricey. The people who have already booked a holiday in Italy or in France will not get their money back. They don't have the money to book a vacation home here.
ParlaMint-NL_2020-06-23-tweedekamer-32.u11	Those were good lyrics by Mrs De Pater-Postma, but I'm still looking for a little bit of integrality in the story of the CDA. Last week, your colleague Van Dam mentioned in a debate that he was known as the "Vakantieman" within his group, because he made an appeal not to go on holiday within Europe, but to go exclusively on holiday to Curaçao, Aruba and Saint Martin. Would you mind bringing these two stories together for a moment?
ParlaMint-NL_2020-06-23-tweedekamer-32.u12	I had no idea that we in the CDA Group had a Holiday Guy in our midst, but here we are. Like I said, there's a difference between what you want and what reality is. A lot of people have already booked their holidays. A lot of people need a vacation. So I expect a lot of people to just get in that car and go to their holiday destination. That is the reality we are dealing with. On that basis, I want the cabinet to see how it can ensure that the equipment is optimal, because I think we all want to avoid having a second wave of corona here in September next to beautiful holiday memories.
ParlaMint-NL_2020-06-23-tweedekamer-32.u13	I would like to ask you a few questions, because I do not think that this is an answer to the question I have asked. Mr Van Dam has really asked Secretary of State Keijzer, in her capacity as Secretary of State for Tourism, to ensure that Dutch people go on holiday as much as possible to the Kingdom counterparts who are now partly dependent on our support. His call was real: try not to let people go to France, but to Curaçao.
ParlaMint-NL_2020-06-23-tweedekamer-32.u14	I don't know exactly what kind of appeal he made, but they're beautiful countries, so I can imagine that might be a nice option if you haven't booked a holiday yet. But many people booked their holidays in January or September last year. I'm real at that. They have made a down payment and they would like to make use of it.
ParlaMint-NL_2020-06-23-tweedekamer-32.u15	Thank you. I call Mr Remco Dijkstra of the VVD.
ParlaMint-NL_2020-06-23-tweedekamer-32.u16	Thank you, Mr. Chairman. You do hope that they will also polish the gas pumps and the like on the way to France as you go on holiday. I thought it was an interesting discussion just now, but I really don't think it's a job for the government to point it out to people. I don't want government in my back seat when I drive south. You can also stay beautifully in the Netherlands. Everyone has their own responsibility and let us keep it that way. I remember going to France myself, with a trailer, and I was in the back of the beetle. My mother would have brought one of those boxes with six of those hard-boiled eggs, the inside of which had turned out all blue. That was quite an experience. Back then we didn't have a corona, but we knew very well how to get there, also with a beetle. I think people can figure that out for themselves now. They really don't need a government for that. What the government is needed for is... and that is what this Transport Council is also about... is logistics. A lot of goods also cross the border, whether it's cava or cheeses or other fresh products. They must be able to continue to drive across Europe as quickly as possible. Those green lanes that are set up, those green lanes that you as a truck driver can just drive on without all the formalities at the border, are therefore a very good thing. But I'm curious if that's also permanent and if it doesn't collapse when there's another outbreak somewhere and a country locks up. What can the Minister say about that? How do we continue to monitor this at European level? How do we ensure that the free movement of goods, especially with lorries, continues? That is what I think this is all about, and I am curious about it, even for this summer. Thank you.
ParlaMint-NL_2020-06-23-tweedekamer-32.u17	Thank you. Mrs Kröger van GroenLinks has the floor.
ParlaMint-NL_2020-06-23-tweedekamer-32.u18	Mr. Chairman. Two aviation-related topics for me today. Firstly, there is the weakening of climate measures for aviation, which is currently under way. The aviation lobby wants to adjust the reference year for CORSIA and the Netherlands seems to have implicitly agreed to this, while we as the Chamber have repeatedly indicated our desire to be involved in the decision-making process around CORSIA. Before the end of this week, the Netherlands must indicate whether it is going to vote for or against the change in baseline. Given the great impact of and the uncertainties surrounding this change of baseline, I would like to ask the Minister to focus on postponing that decision and first submit the Dutch position to this Chamber. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas proposals to establish baseline for CORSIA at 2019 only may have a negative impact on the effectiveness of CORSIA;]] [[Whereas the ICAO Council is not empowered to unilaterally adjust this baseline; this is reserved for the Assembly;]] [[Whereas experts advise to implement CORSIA as agreed and to come forward with possible adjustment proposals at the first evaluation in 2022, after which ICAO Assembly could regularly decide on a different system;]] [[Calls on the Government to commit itself to the ICAO Council to postpone a decision on the baseline of CORSIA;]] [[calls on the Cabinet to submit its position on CORSIA to the Chamber in advance,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger, Mr Van Raan and Mr Paternotte. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-33-820]]
