Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u1	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u2	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u3	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	BettydeBoer	de Boer, Betty	F	1971	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u4	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u5	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u6	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u7	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u8	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u9	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	BettydeBoer	de Boer, Betty	F	1971	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u10	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u11	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u12	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u13	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-7	ParlaMint-NL_2020-04-21-eerstekamer-7.u14	Report of the meeting of the Dutch Upper House, Meeting 25, Session 7 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
