ParlaMint-NO_2006-03-09.ana.ud951e26	The representative of Arne Sortevik will make a private proposal.
ParlaMint-NO_2006-03-09.ana.ud951e29	On behalf of the representatives Per Sandberg, Bård Hoksrud and myself, I have the pleasure of making suggestions to establish a package of measures to re-establish the maintenance set-up on the county roads.
ParlaMint-NO_2006-03-09.ana.ud951e34	The representative Hans Frode Kielland Asmyhr will make a private proposal.
ParlaMint-NO_2006-03-09.ana.ud951e37	On behalf of the representatives of Øyvind Korsberg, Kåre Fostervold, Thore A. Nistad and myself, I am delighted to make proposals to provide consumers with information on the date of production and freezing on the packaging of foodstuffs, as well as better information to the consumer on the origin of the food.
ParlaMint-NO_2006-03-09.ana.ud951e42	The representative, André Oktay Dahl, will make a private proposal.
ParlaMint-NO_2006-03-09.ana.ud951e45	On behalf of the representatives Bent Höie, Martin Engeset and myself, I have the honour of making proposals to give the municipal control committees greater independence.
ParlaMint-NO_2006-03-09.ana.ud951e50	The representative Åse Gunhild Woie Duesund will make a private proposal.
ParlaMint-NO_2006-03-09.ana.ud951e53	It is a great honour for me on behalf of the representatives Dagfinn Højbräten, Bjørg Tørresdal and myself to propose measures to ensure that people with a minority background can participate in the labour market.
ParlaMint-NO_2006-03-09.ana.ud951e59	Finally, the representative, Robert Eriksson, will make a private proposal.
ParlaMint-NO_2006-03-09.ana.ud951e62	On behalf of the representatives of Harald Tom Nesvik, Vigdis Giltun, Jan Arild Ellingsen and myself, I would like to put forward proposals to set up psychiatric ambulance services in all regional health companies on a model from Health Bergen.
ParlaMint-NO_2006-03-09.ana.ud951e67	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-03-09.ana.ud951e81	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-03-09.ana.ud951e88	The proposal of the Progress Party to be addressed deals with two aspects: the prohibition of sibling and the age limit of 24 years in order to achieve family reunification with spouses, both with the aim of preventing coercion. I think everyone's a few and busy fighting coercion. There are serious and important issues, and it requires proper management. It requires a dialogue and an approach to the problem where we find actions that we know work. What really made us all aware of the problem and the consequences, I think I was Fadime killed in Sweden in 2002 – a young, beautiful woman who fought against her own family and against coercion, but who lost her own life in this fight. This is completely unacceptable. No responsible citizen shall accept the killing of young women and men from a cultural standpoint. The Fadime drapery triggered a broad public commitment to assault – before the family – against girls and boys with ethnic minority backgrounds, and awareness of this problem spread across borders. That's why we're all engaged in fighting coercion. The majority of the Committee has not really been involved in the proposal of the Progress Party. We refer to the work that the Government and the Ministry have seen going on. It is important that we have the extent of siblings' marriages monitored, and that we are properly exposed to any damage caused by such marriages. The Ministry has undertaken such work to identify the extent and consequences of forced marriage in Norway. We will then gain new and better knowledge on important aspects of this issue. The measures to be implemented must be accurate and effective. The government is working continuously to assess whether our measure is good enough in the fight against forced marriage, and the Government will also present changes to the Foreign Affairs Act in the course of the year. In this work, we need to look at tools and crisis measures, such as better information, strengthening police investigations and empowerment among health professionals and in schools, crisis centres, child and youth psychiatry, child protection and other institutions working on these issues. It has not been stated that the proposals of the Progress Party are good proposals in relation to what seems to be the goal, but we will be able to decide when the Government presents these matters to the Storting. Finally, I refer to the Committee's comments and the vote on the inclusion of this proposal in the minutes.
ParlaMint-NO_2006-03-09.ana.ud951e116	It is clear from Document No. The 8th proposal, which is the basis for this vote, that figures from the Norwegian Embassy in Pakistan show that more than half of all detentions are made with family members. According to the embassy, 97 pst. of those who marry, that marriage is not based on love. In addition, more than half of the spouses are under the age of 23, and more are under the age of 18. It is obvious that very many young people are being pushed into an undesirable situation. Many have little or no education. This situation particularly affects women, or, in many cases, the girls. The Progress Party has noted that several prominent members of the Government have addressed this practice. Among other things, Minister for the Family Karita Bekkellem in May last year the case in Tabloid on TV 2. However, it does not help with press statements if concrete measures are not put in place that can actually address the problem. Word doesn't help, it needs action. It is also such that there are obvious links between marriage between close relatives and involuntaryness and direct coercion. One thing is the coercive element, but it is also clear that marriage between relatives is used as a tool for immigration to Norway and other Western European countries. Research and investigation on these issues are requested from the other batches and from the rapporteur of the case in Document No. The 8th proposal. But this research already exists. I would like to refer here to a study carried out by Camilla Stoltenberg in 1997. It shows, among other things: In the United Kingdom, it is estimated that the number of of the Pakistani marriages in Norway were between siblings. If the parents are cousins and cousins, the risk of malformations discovered just after birth will be 100 pst. higher than for children of unrelated parents. From 1967 to 1993, every 20 children of Pakistani parents in Norway were born with malformations. The risk of children dying or developing severe chronic disorders later in childhood is not known, but is expected to be further increased – this is because many genetic disorders develop later in childhood. Stoltenberg therefore believes that her numbers only reveal the top of an iceberg. Children born to the donor have a two to three times higher risk of death in the first year of life than children born to non-relative parents. In Norway, there are no studies that look at the relationship between children of given births and the development of malformations in the first years of life. But in England, researchers followed a group of children for the first five years of life. The 1993 survey shows that the age of five had 10 pst. of the children of the given parents either a serious chronic illness, which in half of the cases included mental retardation or the children were dead. This figure was three times higher than for children of unrelated parents. There are Pakistani parents in Norway who have up to five deformed children and no healthy children. The parents are cousins and cousins. This is a problem that needs to be stopped. The Progress Party has also noted the playoffs of the Integration Minister Bjarne Håkon Hanssen on possible new rules for bringing a spouse to Norway. The councils should be praised for daring to put the problem in focus, but it does not help if the red-green parties do not vote for these proposals in the Stortinget. The practice of coerciveness, pro forma marriage and penance is a major problem, resulting in sickness, personal tragedies and poor integration. The Party considers that a new immigration policy for newly established spouses outside the EEA area should include: prohibition of the siblings' age limit for family reunification requirements for family reunification increased family reunification requirements With this, I will address the proposals of the Advance Party.
ParlaMint-NO_2006-03-09.ana.ud951e157	The representative Ulf Erik Knudsen has drawn up the proposal he referred to.
ParlaMint-NO_2006-03-09.ana.ud951e160	Whether cousins and cousins are allowed to get married must be a question that we consider for medical reasons, first and foremost. There is reason to stress this rather obvious starting point, on the basis of it – I must say – a little one-sided argument put forward by the proposers in their proposal. When you hear the articles of the Progress Party here, where you attach a rather crucial importance to the immigration perspective and to the consideration of the issue of forced marriage, it seems that this has been a rather one-sided motivation to promote the proposal. If there's immigration and coercion we want to live, and we want that – i.e. Immigration is now one issue, but forced marriage is at least not a very positive thing – it is probably a question of not having to find more accurate ways to do so, roads that do not seem to be competing to those degrees in the environments where forced marriage is a fact. When it comes to the health aspects of this, we will be open from the right to look at that question. We have been signaled that there will be a case from the Government where this has been investigated, and where we will have verified some numbers and investigations. The numbers that we have so far crack quite a lot. Otherwise we also have numbers that show that the chance of malformations, for example. increasing to twice as much, but what they're increasing to twice as much from is very small. So far we haven't thought in our country that the medical complications have been so great that there has been reason to put in such a tough direction as a ban is. Because we should remember that marriage between cousins is not only a phenomenon that occurs in some non-European countries, but also environments, or cultures, in our own country that have long traditions for such relationships. When you talk both in the proposal and in the post here about marriages that are not made on the basis of love, I must say that there is a rather arrogant approach to one's cultural perception of what marriage is. I don't think it's a matter of moaning and thinking that our culture, which certainly has the love marriage as its ideal, can necessarily show so much better results than the cultures where the science of reason is also strong – even though I am very pleased with the fact that the love marriage has been a starting point. In any case, we're open to look at both of the questions that have been raised. We also think it is important in many ways to put the spotlight on this. And if the numbers presented by the Progress Party are correct, there's every reason to think about it. We will be attending in relation to it and wait to take a final decision on the questions raised by Stortinget to get the matter back from the Government.
