ParlaMint-NO_2006-11-23.ana.ud969e38	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2006-11-23.ana.ud969e41	On behalf of the big business representatives Øyvind Korsberg, Kåre Fostervold and myself, I am delighted to propose measures for increased competition in the dairy sector.
ParlaMint-NO_2006-11-23.ana.ud969e46	The representative, Torbjørn Hansen, will present a proposal for a representative.
ParlaMint-NO_2006-11-23.ana.ud969e49	On behalf of Svein Flötten, Elisabeth Røbekk Nørve, Finn Martin Vallersnes and myself, I would like to propose measures to improve the recruitment situation in the fishing and shipping industry.
ParlaMint-NO_2006-11-23.ana.ud969e54	The representative, André Oktay Dahl, will present a proposal for a representative.
ParlaMint-NO_2006-11-23.ana.ud969e57	On behalf of the representatives of Elisabeth Aspaker, Torbjørn Hansen and myself, I would like to make proposals for increased control of private security companies.
ParlaMint-NO_2006-11-23.ana.ud969e62	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-11-23.ana.ud969e76	As the president said during the presentation of the representative proposal, it deals with a matter raised by the representatives of Ola T. Lånke, Line Henriette Holten Hemdal and Ingreigt S. Sørfonn on building a new, modern and functional clinic building for farmed animals at the Norwegian veterinary college, or alternatively on co-location of Norway's veterinary college and the University of Environmental and Life Sciences in Ås. With regard to the draft representative, which is being discussed today, there is an overall committee behind all the comments in the vote. The Committee refers to Innst. S. No 240 for 2004-2005, where a majority, all except the members of the Progress Party, took note of the following assessment by the then Government: ‘The Government believes that the co-organisation and co-location of NVH and UMB, as well as the transfer of the Veterinary Institute to Ås, could contribute to the building of an integrated and integrated primary industry activity at Ås. Furthermore, a co-organisation and co-location could provide the basis for a unique innovation where UMB and NVH are closely linked with other relevant research institutions in the field. At the same time, this will be a follow-up to the thematic focus of the Research Communication on Food. A co-location at Ås will require significant investments in construction and other infrastructure. The Ministry of Education and Research will therefore undertake an overall assessment of the costs. The size of the project requires a thorough quality assurance before the final conclusion on organisation and location is reached.» And on the other hand, ‘It is assumed that the activities of the NVH and the Veterinary Institute in Rogaland will also be further developed by possible coordination and transfer to Ås.’ The Committee refers to the letter from the Minister of Knowledge of 17 October 2006 that the Ministry of Spring/Summer 2006 has raised questions about the modernisation, organisation and location of Norway's veterinary higher education institution. In dialogue with the institutions, this base material is now being reviewed by an external consultancy firm in line with the State investment project quality assurance procedures. The Committee notes that the Council of State aims at presenting the matter to the European Parliament in the revised national budget for 2007. The Committee took note of this and recommended that the draft representative be annexed to the minutes. Finally, I just want to say that I am personally happy that this important matter has come so far, and that it seems to be a solution within a reasonably short time. I would like to say on behalf of all Norwegian farmers – large and small, fish farmers along the whole coast and all those who occasionally need veterinary services for their pets – that it will be a great day when the new building of the Norwegian veterinary high school is completed, whether it will be on the ground here in the city, or whether there will be coordination with the University of Ås. Future veterinary students have both the right and the right to have full teaching and research facilities to become the world’s best veterinarians.
ParlaMint-NO_2006-11-23.ana.ud969e101	I am aware that the Committee has not given up any debate on this matter, but it has such a long history that I, as a proposer, feel that at least I should have the opportunity to say a few words. Already in 1994, the planning of a new clinic building began at Norway’s veterinary high school. At the time, it came so far that State Building completed a draft construction plan, but unfortunately these plans were not continued. It has not been said too much that the time is now over-ripe in order to start the construction of a new clinic building for farmed animals at NVH, while at the same time preparing for a general upgrading and updating of the total building mass at this institution. Parts of this building mass are very outdated, worn out and not adapted to today's requirements for teaching and research facilities. The construction of the university began in 1920. Medical clinic, now medical clinic for farmed animals, was the first to be built. At the start of the university in 1935, 15 veterinary students were immatured, for whom the clinic was built. Now 60 veterinary students and 15 pet nurses are admitted each year, all of whom are to be taught in the old premises. Medicine and surgery clinic stands the way it was built in the 1920s. This building is peaceful and also in a very bad condition. The reproductive clinic is in a building that has been rated 4 by Statsbyggen, which means that it is unsuitable for the purpose. Another serious argument is that none of the clinics have isolated cases of serious infectious diseases. There is also a lack of other important facilities to prevent the spread of infection. Only one clinic is infected, and it is also heavily modified. The prevention of infectious animal diseases, including diseases that can infect humans, has become increasingly important in an institution to train veterinarians. The importance of high veterinary competence in this area has been demonstrated in the context of several serious outbreaks, such as foot-and-mouth disease and mental illness in the United Kingdom and now the global presence of avian influenza. One aspect which, for example, helps to clarify the need for new premises is that at two of the clinics the fertiliser must be rolled out into free-air containers, while in the third building there is a pit of manure below half the clinic. It is obvious that this increases the risk of spreading infectious diseases within the institution. Conditions prevent the housing of patients with such important conditions and reduce the quality of education. On this basis, it is only necessary to proceed with the case. On the part of the proposer, we are currently satisfied that an overall committee is now stressing the need, and that it is urgent to resolve the situation and establish a new, modern and functional clinic building for farmed animals. We are meeting a rapid follow-up from the Council of State and that there is a matter for Stortinget, at the latest in connection with the revised national budget for spring. The Christian People's Party believes this will be crucial to ensuring high-level education and research in veterinary medicine in Norway.
ParlaMint-NO_2006-11-23.ana.ud969e122	Several have not asked for the floor on case No. 1st@item: inlistbox [[Footage, see page 578]]
ParlaMint-NO_2006-11-23.ana.ud969e138	At the request of the Judicial Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes.
