ParlaMint-NO_2006-12-15-lower.ana.ud1937e38	The representative, Carl I. Hagen, will present a proposal for a representative.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e41	On behalf of the representative Siv Jensen and myself, I would like to make proposals to repeal Section 142 of the penal code.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e46	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e60	No one has asked for the floor. [[Footing, see page 261]]
ParlaMint-NO_2006-12-15-lower.ana.ud1937e76	At the request of the Family and Culture Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. In addition, the President will propose that there be a succession of up to three lines with replies from the Council of State post. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e85	The changes we are now going to make in the law on film and videograms are being made to bring the law into line with the new section 100 of the Constitution. In addition to making use of the Basic Law § 100, the proposition is that age limits on cinemas are consistent in all Nordic countries. All parties agree that common Nordic age limits are a clear advantage. There is also broad agreement to maintain the rule of the film and videogram law, which means that children up to three years of age below the prescribed age can watch the film as a result of an adult. However, there is some disagreement about the application of the amended Constitutional Paragraph. The majority, the Workers' Party, SV and the Centre, believe that it should continue to be prohibited to show films or videos as ‘incrimination’, as it is called. I guess these parties will explain their vision. I just notice, with a certain sense of humor, what the government adds up to. As stated in the remarks of the Government Parties: ‘In the assessment of whether a view will ‘injure nailed’, emphasis must be placed on the proximity of the sexual narrative to, for example, whether it contains strong emphasis on sexual organs. In addition, the presumption, the extent of sexual portrayals and the purpose of the descriptions may have implications for the assessment of the criminality of the demonstration.’ So you have to measure the distance of the film lens from the sexual organs and how many minutes of the total length of the film shows the sexual organs. It could be a very special job for those who work with it. I imagine decisions like: a ban is being imposed on this film, because the objective was probably 28 cm from the gender body, which is 2 cm too short in relation to the department's measurement number, and the body was shown for 7 minutes, which is 1.5 minutes longer than the regulation. There has been too much interesting public proceedings here. The Progress Party, the Right and the Left consider that it is not natural to operate with two different prohibition standards for pornography, respectively for sale and for public viewing. We can't easily see the fundamental difference between what you see at home in the living room and what you can see in a public view. We are therefore in favour of rejecting the proposed new Section 13a. Otherwise, I think it would be very fun to be flying on the wall, as it is called, when the government parties and the ministry with the Council of State, Giske, will discuss the practical application of their proposal. In the case of the Christian People's Party, I suppose they too will deepen their vision, which is in good old Christian Party spirit: everything was better before. And you haven't gotten the growth either of the Internet or of mobile phones, which actually makes us part of an international market. There's really just a lack of notes that color-tv is sin. The Christian People's Party also follows the government parties in that the municipalities should be able to control the content of the cinema offer, as you do under regimes that we don't like to compare with. The strange thing is that the government parties here oppose their own government. The party of progress and the right has more sense of the government's vision here. We cannot support the majority's proposal to maintain the current fourth paragraph of Section 2, as this would obviously be contrary to the Constitutional Act § 100. I would like to point out something that the department has also pointed out, that during the processing of the Basic Law § 100, Stortinget’s intention was that there should no longer be any possibility of making demands on the content of the offer when viewing films and videograms. It has also been suggested that the Government will continue to work with advertising bans on films for children, while the Christian People's Party and the Left will introduce such a ban without any further assessment – incredible enough! The progress party and the right is here in minority. Of course, children must be protected from aggressive advertising by toy and candy producers, etc., but it is not the advertising shown on children's films. It's advertising that targets us adults. In fact, it is limited how many cars, razors, computers or tampons 7-year-olds buy because they have seen advertising of it in cinema. It is also clear that a ban on advertising films shown to children aged 7 years or younger is difficult to implement, because municipalities and cinemas buy advertising packages for viewing in relation to all films. I am referring here to the proposal from the Party of Advances and the Right.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e131	The representative Ulf Erik Knudsen has taken up the proposal he referred to.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e134	The background to proposals for amendments to the Film and Video Grammar Act is the need to bring the law into line with new Section 100 of the Constitution. There is also an assessment of a Document No. Eight proposals by May Hansen and Magnar Lund Bergo on advertising bans in relation to children's films. The Workers' Party is associated with the Ministry's proposals and assessments. The Labour Party considers that the display of pornography in Norwegian cinemas should not be opened, and further believes that there should be stricter rules for public film viewing than those applicable in the private sector. We agree with the Ministry's proposal for a new Section 13a, which states that it will be prohibited in the context of nutrition to show films or video programmes that are offensive or that violate the propensity. It's supposed to hit porno films that depict general sexual activity. Such a rule would restrict freedom of expression in terms of what can be shown, but, like the Ministry, we believe that this proposal will not conflict with Section 100 of the Constitution. It is important that municipalities have the opportunity to ensure a wide range of cinema services for their citizens. However, the market may make it difficult for municipalities to maintain a cinema offer of the desired width and quality. The Workers' Party therefore believes that the municipalities should still be able to impose conditions on the programme content, and believes that this does not conflict with Section 100. In this context, the majority of the Committee is involved in maintaining the law in force in this field. Like most hearing bodies, the Labour Party is also involved in maintaining the age limits of today. The same applies to the general rule, which means that children up to three years of age below the prescribed age can watch the film with an adult. The Film and Video Grammar Act does not contain any specific rules on advertising in cinema. The Labour Party believes, like the Ministry, that a ban on advertising before the screening of children's films at cinemas can help to dampen the commercial pressure against children. However, the Ministry does not propose the imposition of a ban on advertising and indicates that a majority of the hearing bodies have warned against this. The Ministry considers that there is reason to believe that the economic impact will be greater than that envisaged by the Ministry in its consultation note. The Ministry is afraid that such a ban on advertising will affect the small local cinemas that are largely based on children's and family films. The Workers' Party is pleased that, according to a letter to the Committee, the Ministry will continue to work on the issue of limiting advertising to children's performances. This letter shows that the Ministry, together with the Media and Children’s Ombudsman, will monitor developments in advertising pressures against children and young people in general and for children under the age of seven in particular. The Ministry will also, in consultation with Film & Kino, examine more closely the economic consequences of any ban on advertising on children's shows for the cinemas. The working party is satisfied with this.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e151	After the review carried out by the Control Committee and the Stortingen of the freedom of expression paragraph of the previous period, it is necessary to make some changes to our other legislation. This proposition is just such an adjustment, both in relation to it and in relation to a reality that maybe not all have come with it. We have recently seen that the principle of freedom of expression is under pressure in a disturbing way. Opinions – even those a little less wise, or those that we don't like, in a subjective, moral perspective – shall not be subject to pre-sensorship. Within the principle of freedom of expression, opinions are not inherently harmful. That they seem offensive is also not good enough reason to prohibit them. As far as film and videograms are concerned, it is important to focus on artistic freedom and expansion. Although in some parts of the business one might not exactly find the greatest artistic expression – to put it mildly – that is definitely not the point. The changes in the law relate to previews of films and videograms shown in industry. With the new framework for freedom of expression, the possibility of pre-sensuring films with a age limit higher than 15 years lapses. I note that the government fears that such a loss of preliminary censorship will result in more pornography in Norwegian cinemas. But the loss of censorship in any case does not give free play so that anything can be shown. The provisions of the Criminal Code continue to regulate what can be demonstrated by pornography in Norwegian cinemas. Nor is it a law of serious entertainment violence, under Section 382 of the Criminal Code. The government finds that the norm in the evaluation of pornography is too liberal under the criminal law. I am also pleased to see how we intend to deal with this in practice in the future, but there will be a debate we will have to take when the new penal code comes. According to the Government, there is a need for self-regulation in the film and videogram law. In this case, it is contrary to the Media Authority’s opinion that the unfortunate consequences of the existence of two different prohibition standards for what should be regarded as acceptable pornography presented in cinemas are shown. Media surveillance claims in its opinion that the standard used in relation to film and videogram law does not differ from the definition of criminal pornography in the penal code § 204. A separate provision of the Film and Video Grammar Act could contribute to the pressure on distributors to provide films for so-called voluntary prior checking at the Media Authority. In the opinion of the Right, this cannot be in line with the prohibition of advance censorship in the Basic Law § 100. Finally, in relation to the ban on advertising aimed at adults on films shown for children seven years of age or younger, we would point out, like the Progress Party, that the consequence of this would be a limited opportunity for the cinema to receive the necessary advertising revenue. It is important to ensure income for the cinema at a time when diversity and quality should also be offered to Norwegian cinema users. Because, in fact, the cinemas are struggling, and advertising revenue may be necessary for some local cinemas to actually be able to hold up. It would probably also be of interest to the red-green government to secure some of these advertising revenues, so that you do not get an increase in the degree of privatisation of the local cinema market as well.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e164	We are discussing today amendments to Law 15 May 1987 No. 21 on film and videogram, this to bring the law into line with the new Section 100 of the Constitution. The Ministry has also assessed Document No. 8:31 for 2002-2003 on age limits and advertising bans in relation to children's films, promoted by the representative Magnar Lund Bergo and signed. SV is pleased that the Government does not open up the display of pornography in Norwegian cinemas. whereas there should be stricter limits for such displays in the public space than those in the private sector; It is therefore necessary to maintain a separate pornographic standard in the film and videogram law that is stricter than Section 204 of the Penal Code. It shall be a criminal offence to present in an industry film or videogram that violates, and the majority proposes that this be stated in a new Section 13a of the Film and Video Grammar Act. I want to talk in the rest of my article about the ban on advertising films that are shown to children who are seven years of age or younger. SV is pleased that there is now a majority in Stortinget that suggests that a ban on advertising on children’s films can help reduce the commercial pressure on children. There is now a majority who agree with SV in this. It hasn't been before. Furthermore, the majority say that cinema is a powerful medium that can have a major impact on children. It was this argument that led us in SV, at the representative Magnar Lund Bergo and signed, to promote our proposal in the previous period, and it is now confirmed by a majority in this Chamber. This case has been in the department for many years. Former State Council Valgerd Svarstad Haugland was early out there and supported our proposal, but did nothing about it. And in yesterday's Our Land, which says that there is no one who wants this amendment, she clearly expresses that she was against the law change. This matter she could have dealt with in the previous period and flag position, but it was probably too difficult to go against both the Children's Ombudsman and the Children's Watch. The Christian People's Party and the Left are now promoting exactly the same proposal that SV made in the previous period. I wish they had pushed their own state council and got this through. It is quite special that a case is being trained for so many years. But I now understand that the previous Council of State was against the proposal without flagging its position. There has not been, and is still not, majority in favour of this proposal in the Storting, but the majority are now aware that cinema is a strong medium of advertising that can increase the commercial pressure on children. The majority further point to the Minister of Culture saying that the Government will keep up with developments in the advertising of children's films, and that the economic impact on cinemas should also be assessed in the event of a ban. It is used as an argument that the economic consequences are so great that smaller children's films will be shown. We in SV believe that this has not been documented well enough, and that we need to assess this against the consequences it has for children. We are getting more and more signals about the seriousness and scale of the commercial pressure on children, and what some serious consequences it has. We have responsibility in our committee both for children and for consumer policy, and the government is occupied by children as consumers. The primary request for SV is still a ban on advertising films shown for children from seven years of age and down. We are pleased that the majority now confirms that advertising on such films can be a problem. The majority also say that the digitisation of cinemas will provide new opportunities to limit and regulate advertising spots, and ask the Government to return to Stortinget in an appropriate form. SV is pleased that we have received an impact on parts of our proposal in this case, and will follow up what the majority says in their position. We've been moving the Storting in our direction at this treatment, and we're really excited about that. So we're going to follow up on what's said in the setting that we're going to look at the future digitization and follow closely when it comes to advertising for children's films. We think that's half a win.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e181	Let me start by giving praise to the Government for taking a settlement with a tailor-made liberalisation of the boundaries of pornography on film and video. On 7 December 2005, the Supreme Court decided that still pictures in the printed paper could be published without any transmission. This was justified by the great difference between stills and films, and the practices of the Media Authority with regard to film approval meant that the still images in question had to be accepted. After reviewing the judgment, the Media Authority stated that this judgment had no significance for the types of films that could be approved. It is therefore alarming that on 12 March 2006, the complaint subject of film and videogram converted the decision of the Media Authority into three individual cases, on the grounds that the decision of the Supreme Court opened the way for a general liberalisation of porn legislation. Christian People's Party therefore supports the proposition, which clearly states in new Section 13a: ‘It is not allowed to appear in nourishment films or videograms that violate nail, including films or videograms that contain close and comprehensive descriptions of sexual activity.’ Furthermore, the Christian People’s Party believes that the enforcement of the law must be based on the practice that took place before the complainant’s decisions on 12 March 2006. Although the Christian People's Party supports the tightening up of the legal text, in our view there are significant challenges to enforcement. This does not take the Government seriously. As the proposal is designed in the proposition, the Christian People's Party believes that law enforcement is being pushed from the media surveillance to the judiciary. This gives long and demanding processes that clearly favor the high-end porn industry, as opposed to those that will take care of the interests of the audience. The Christian People's Party believes that the Media Authority must be able to intervene on its own initiative and prohibit the viewing of films that are contrary to the film and videogram law § 13a or to the penal law § 204 and § 382. Surveillance must not be dependent on watching a movie at the cinema or having it complained about by others in order to intervene. This will not be a pre-sensorship, but an intervention on its own by the Media Authority to prevent a crime. The Christian People's Party therefore promotes proposals where we ask the Government to ensure that the Media Authority has the authority to intervene and prohibit the viewing of films that are contrary to the film and videogram law § 13a or the penal code § 204 and § 382. The Christian People's Party supports the proposition to maintain the obligation to record all films. The Broadcasting Act protects children from advertising in Norwegian television and radio stations that have broadcasts from Norway. The Christian People's Party believes that there should be advertising-free zones, especially for the youngest children. Furthermore, cinema is a stronger medium than television, and the fact that children and young people are subject to increasing commercial pressure daily suggests that there should be no advertising zones. The representative of the Progress Party said that we would introduce a ban on advertising children's performances without justification. The reason is clear: it's about what values we want to communicate to our children. We don't want to put them under commercial pressure. A ban on advertising children's performances in cinema would have reduced the total commercial pressure to which children and families are subjected. The Christian People's Party is pleased that the Government will follow developments in the advertising of children's films and acknowledges that a ban on advertising children's films could help to reduce the commercial pressure on children. The Christian People's Party has been and is committed to reducing the advertising pressure on children and young people, both in film, in cinema, in school and in teaching material. The Christian People's Party wants to take action to reduce the commercial pressure on children and young people and therefore proposes to introduce a ban on advertising in films for children from seven years of age and down. This is in line with the hearing opinions of the Children’s Ombudsman, Consumer Ombudsman and Family & Media. A large majority of the Committee, all with the exception of the members of the Right and the Advance Party, opposes the Government's proposal to deprive municipalities of the right to impose conditions on the content of the cinemas' programme offerings. It is important that municipalities have the opportunity to ensure a wide range of cinemas, where citizens are given the opportunity to watch films other than American action films and romantic comedies. It will be difficult without Section 2, and we therefore go towards the proposed change at this point. Finally, I will address the proposals of the Christian People's Party.
