Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e34	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e77	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e117	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e130	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e147	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TOHA	Hagebakken, Tore	M	1961	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e160	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e173	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e188	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.BJT	Tørresdal, Bjørg	F	1958	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e218	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e241	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.TMV	Vedum, Trygve Slagsvold	M	1978	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e250	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e259	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e274	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e283	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e290	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e296	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e304	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e341	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-03-07-2	ParlaMint-NO_2006-03-07-2.ana.ud2109e380	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-07	2006-03-07	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-07	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
