ParlaMint-NO_2006-02-08.ana.ud1079e32	The representative Rune J. Skjellera, who has been licensed, has once again taken the seat.
ParlaMint-NO_2006-02-08.ana.ud1079e41	The President will propose the election of two presidents for the Stortinget meetings today and tomorrow – and consider it adopted. The President will propose Sigvald Uppøen Hansen and Gunn Olsen. – Other proposals are not available, and Sigvald Opbebøen Hansen and Gunn Olsen are unanimously elected as chairpersons of today’s and tomorrow’s meetings. The representative, Jan Tore Sanner, will make a private proposal.
ParlaMint-NO_2006-02-08.ana.ud1079e48	On behalf of Petter Løvik, Svein Flätten, Kari Lise Holmberg, Peter Skovholt Gitmark and myself, I would like to suggest that we strengthen employees' participation in our own company.
ParlaMint-NO_2006-02-08.ana.ud1079e53	The representative Per Ove Width will make a private proposal.
ParlaMint-NO_2006-02-08.ana.ud1079e56	On behalf of Siv Jensen, Per Roar Bredvold, Henning Skumsvoll and myself, proposals are being made to set up a defence commission to review the role and framework of defence in the new security policy situation.
ParlaMint-NO_2006-02-08.ana.ud1079e61	The proposals will be dealt with in a regulatory manner. As can be seen from the agenda presented in the amended version, the oral question procedure expires. This has been decided by the Presidency of Storting, after consultation with the parliamentary leaders and the Prime Minister.
ParlaMint-NO_2006-02-08.ana.ud1079e75	We have behind us a week of events Norway has not experienced the spouse of. We've seen furious people demonstrate against our country, embassies in fires and flags that are trodden on and burned. We have seen attacks and threats against people working for understanding between countries and for economic and social progress – and yesterday armed extremists attacked a small Norwegian force and their allies in Afghanistan. These are amazing images, and many have felt concerned about evolution. Especially does it happen to us because we ourselves do not feel that we are in conflict with any country, any people or any religion. On the contrary, as the Foreign Minister's statement here today will show, Norway is looking for the best way of playing a role as a bridge builder and a driver of social and economic development. This is also the main picture of our country out in the world. We use great resources to facilitate peaceful development in many conflicts. Our soldiers are making a great effort to stabilize conflict situations. Our assistance is to combat poverty and help people and countries for a better future. All this work will continue. On such a background, what has happened, on the one hand, is an image of how close we have come together, and on the other hand, an image of how many obstacles there are to overcome. We have one world, but the world of mankind is not yet one with itself. The world has become so that every word is spread to all corners of the world at the speed of light, but where the cultural prerequisites for understanding and interpreting the lives of others have not kept pace with the development of communication technology. We have a multicultural society, with different perspectives and different norms, also in our own country. Our generation's great task is to ensure that cultures can find together in tolerance, that we avoid arrogance, and that the work of realising the fundamental freedoms that lie in human rights wins over the counterpowers. The estimates against Norway are not an expression of Muslim attitudes towards Norway. They are an expression of some extreme attitudes towards Norway. It shows not least the clear rejection of the attacks we have seen from Norwegian Muslims. There are also reports from the countries where there have been unrest, now last from Iran, which testify that many are taking a break from their countrymen's attacks on Norwegian embassies. We can learn a lot from the values of others, but in some areas we are uncompromising. We do not accept violence against innocent people. We're also going to have to have a lot of tolerance for other forms of expression. But it hurts us when our flag is drawn on and burned. Norwegian Muslims also react to this. The Norwegian flag is also their flag. Many feel anxious after what has happened in the last few days. Many Nordics with a migrant background feel insecure about the images of raging crowds of people. Many also feel insecure about counter-reactions and discrimination. I understand that many people become uncertain in such a situation. At the same time, I want everyone to know that the Norwegian authorities and the Norwegian police are constantly concerned about how we can best protect the security of everyone living in our country. Police vigilance has increased. The safety of exposed persons is assessed on an ongoing basis. I am pleased that the police continue to assess the level of threats in Norway as moderate. There are no concrete threats to Norway or foreign interests in our country. We are currently working on the safety of the Nordics abroad. Ambassadors, military forces and other Nordics are constantly being briefed on the situation. Our foreign stations in the affected areas have increased preparedness. The Ministry of Foreign Affairs has contacted a number of governments to ensure that they respect their obligations regarding the security of Norwegian embassies and those working there. We don't want and don't want to accept that there are divisions between human groups. We must and must be a country that succeeds in integration policy. We want a country with space for different opinions, opinions and beliefs. We cannot pursue these goals if we go along with what for us are fundamental freedoms, such as freedom from fear, freedom from violence or oppression, and freedom from freedom of expression – freedoms that must be fought to extend every day. Yesterday morning there was a very serious situation when 200-300 armed Afghan extremists attacked the headquarters of the regional stabilisation team in Meymaneh, northern Afghanistan, led by Norway. There were 33 Norwegian soldiers in the camp. In addition, twenty military personnel from other countries, including some from Latvia and Finland, also participate. There are six Norwegian soldiers who are injured. None of them are critically damaged. Two have been sent out of the treatment area. The others are taken care of on the spot. Strengths and flight support were needed, including: from Dutch F-16 aeroplanes and US ground supporting aeroplanes. British forces were flown in with German helicopters. Together with local Afghan forces, this helped to bring the situation under control. Our soldiers deserve honor. The Norwegian soldiers have defended themselves in a certain and wise way. And they confirm the impression I got from them when I visited Afghanistan in December, that these are some of the most educated and best soldiers in the world. They have been through training and have a device that enables them to carry out demanding and risky tasks. It is important for me to assure all those who know and love Afghanistan and other foreign services that they carry out important tasks for Norway and for the world community. We're going to do what we can to give them the support they need and return safely after finishing the service. It has been announced that Afghan security forces are shooting at the attackers and that some of the attackers must have been killed. It is always deeply regrettable when human life is lost. The situation in Afghanistan is now calmer. But it's very serious what's happened. And we're prepared for new spiked situations. I've been talking to President Karzai of Afghanistan about the incident. Karzai praised the efforts of the Norwegian forces for peace and security in Afghanistan, and he underlined that Afghanistan is a country that has been under war, civil war, violence and oppression for decades, and that the Norwegian forces are involved in combating precisely that. The NATO Secretary-General has assured that the NATO command will support the Norwegian forces. He had the greatest respect for quality and for what the Norwegian forces do in Afghanistan. Norway has a long-term perspective on international assistance to stabilise the situation in Afghanistan. It's precisely when difficult situations arise, that it's important that we stick to the tasks we've undertaken. We don't want to bend for pressure. Violence and threats shall not occur. The Norwegian forces will remain in Afghanistan. This morning our ambassador in Damascus handed over a strong protest note to the Syrian government. There is a situation without parallel that a Norwegian embassy is being attacked and burned down. It was Syria's responsibility to prevent it. That responsibility failed Syria. They're still responsible for protecting our people there. And we'll keep them responsible for the financial damage by demanding compensation from Syrian authorities. I have discussed this matter with UN Secretary-General Kofi Annan, who shares our basic attitudes to the totally unacceptable events we saw in Damascus. It's about respect for international law and law. Freedom of expression is a fundamental human right and a prerequisite for a democratic society. Freedom of expression is an important condition for freedom of religion and a prerequisite for the worship of different religions. Freedom of religion is an important protection of minorities and part of the human rights protected by international law. Freedom of expression is fundamental to Norway. I agree with those who say that freedom of expression is a right, but not a duty. We all have a responsibility to take account of others when we express ourselves. Not least, we have a responsibility to take into account the faith of other people and the religion of other people. The cartoons of Muhammad have wounded many Muslims. In our democracies, you have the right to publish such drawings, as you have the right to make other controversial, provocative statements. Every day, Norwegian media leave it to print statements, texts, images and drawings. Within the framework of freedom of expression, this could well be published, but the media chooses not to publish – based on their own discretion and their own criteria. The central thing here is that it's the medium itself that makes the decision, not the authorities. However, any free expression must also be able to be evaluated, debated and criticised on the basis of its content and the context in which it is produced. It is also part of freedom of expression. To think that, on the basis of a number of criteria, it was unwise to print these drawings is not to restrict freedom of expression. It is to participate in the debate for which the free movement of words and freedom of expression exist. It's an important part of everyone's growth and social training that we learn to use wisdom when talking about others. At the same time, the very right to free speech is a central part of the critical attitudes and questions of old truths that bring mankind forward. No matter what you might think of the drawings, they give no right to use violence or to threaten the freedom of expression. The great French philosopher Voltaire has said it this way: I disagree with what you say, but will fight to death for your right to say it. The government must be clear and clear in its condemnation of violence and not give in to terror. Only then will we have the basis we need when we underline the need for and our strong desire for dialogue – dialogue between cultures and countries and dialogue between religions. I believe that the tone-provoking Muslim environments in Norway have managed the situation that has arisen after the cartoons were printed, in a good way. We have heard that central leaders have been uncompromising in their rejection of violence and harassment. We must not let the outcasts rule the agenda and dominate the arena. During the last week, the Minister for Foreign Affairs, in the handling of the international situation, has been in close contact with, inter alia: Islamic Council and other prominent Muslims. The Minister of Labour and Inclusion, who has a special responsibility for integrating and including the immigrant population, will today meet with Muslim youth to listen to how they experience the situation and how we can build bridges together. We want contact with religious leaders in Norway and in other countries. We want to reap their experiences and receive their advice. We want to prevent conflicts, not to create them. We will follow up the established dialogue between the authorities and representatives of different religious communities. This dialogue is necessary in order to ensure a sound response to the challenges that may arise in the meeting between the big society and the various religious minorities. Our vision is to create one of the most successful inclusive community the world has seen. It requires that we build mutual understanding, and that we avoid developing a classed society based on ethnic origin. The government has now started work on an action plan for the integration and inclusion of the immigrant population. In that process, we will also have dialogue with the immigrant communities. We must work nationally and globally for integration and dialogue. The UN is an important venue for promoting dialogue and promoting peace and reconciliation. There won't be any easy way, but there's no alternative. As surely as we will experience setbacks, we'll be as sure as possible towards the goal of an inclusive society.
ParlaMint-NO_2006-02-08.ana.ud1079e159	The President will propose to open a post of up to 5 minutes from each party group and with any final post from the Prime Minister – and consider it adopted.
ParlaMint-NO_2006-02-08.ana.ud1079e162	Recent events in a number of Muslim countries are very serious. Seeing furious people demonstrating against Norway and burning our flag is frightening and serious. It is difficult for many of us to understand that Norway working for peace and reconciliation is subjected to such attacks. The attacks at our embassy in Damascus on Saturday and at the Tehran embassy yesterday, and at the embassies of other countries, are totally unacceptable, and they must be condemned. Ambassadors and diplomats shall, in accordance with international conventions, be under the protection of the host country, everywhere and at all times. We therefore hold the Syrian authorities responsible for the destruction that has taken place in Damascus. It is therefore right that Norway has sent a very strong protest to the Syrian authorities. It is also appropriate to claim the material damages replaced by Syrian authorities. The Prime Minister has addressed the UN Secretary-General in Damascus, as we have recently heard in the presentation, and further follow-up in the UN is also assessed. It is also absolutely necessary, as the Ministry of Foreign Affairs does, to ensure that the authorities of other countries take their responsibility for the protection of embassies in the utmost seriousness. I am sure the Ministry of Foreign Affairs will handle this professionally. The attack on the Norwegian-led base in northern Afghanistan is very serious. Who attacked, and why they attacked, is still somewhat unclear, but it's not unlikely that it had to do with the turmoil that we've seen elsewhere in the region lately. Norwegian men and women in uniform abroad do a service for NATO and for the United Nations for the purpose of peace. They are making an effort for other countries to achieve peace, for people in countries where there is no stability to have a hope and to see a chance of positive development. They serve abroad because Norwegian political authorities have asked them to do so, and their security is therefore our responsibility. Norway’s mission in Afghanistan is requested by the authorities of the country. The Norwegian military is there to help stabilise the situation in the country, and that is why it is an important task for the Afghan people. Parliamentary elections on 18 September last year represent an important step in the positive direction, but Afghan society still has significant challenges. For example, the central government of Kabul is being countered by local warlords. And it could be, as some people said yesterday, that this rivalry contributed to the unrest we saw. In any case, the uneasiness confirms how unstable this society is, and therefore it is also important and right that we stand by our commitments in Afghanistan. It is important to stress that freedom of expression is a fundamental condition of a democratic society, but with all other freedoms it is also a responsibility. Freedom of expression must also be exercised wisely. Although it is obvious that many Muslims have felt violated by the cartoons that have been printed, it can never defend the use of violence and threats. That is why the Norwegian authorities are also crystal clear in condemning the violent acts we have seen recently against our embassies and also against our soldiers in Afghanistan. Now all actors must contribute to the creation of dialogue. It's just through dialogue that we can solve the underlying conflicts. Dialogue is also the line of the Norwegian Government. In the end, I would like to express strong support for the way our Government has dealt with this difficult situation.
ParlaMint-NO_2006-02-08.ana.ud1079e181	Of course, what we have witnessed in the last few days is perceived as very serious and frightening to many of us. It is good that the Government so clearly expresses firmness, clarity and rigour in defending completely fundamental values with which we cannot go on chords, especially when we are exposed to threats and pressures in the form of violence-related acts. I want first to commend the Government for the dialogue it has had with not least the opposition through this period. It is important that we have all been well informed about the development and the situation, and I think the government in this matter has done so in an excellent way. It has also been important for the Progress Party to give the Government work to deal with this very serious situation in order to safeguard the interests of Norwegian citizens abroad, in order to ensure our diplomacy, our military personnel, and in every way to prevent conflicts from escalating more than necessary. But at the same time as we want to give the government that peace of mind, the Progress Party obviously expects the government to be as rigorous as the Prime Minister has just said, in defending entirely fundamental Western values. These are values that we in our part of the world see as completely self-evident, with which we have grown up, that surround us in almost everything we do, but at the same time there are values that are unknown to very many people around the world. Freedom of expression is such a value, a value that opens up for debate, for discussion, and which also in our part of the world is perceived as so inviolable that even those of us who experience being hurt and injured by freedom of expression, in fact will never fail to defend its importance, in any case, because debate creates progress. We are also pleased that the Government is very clear on the continued presence in Afghanistan. Threats shall not occur. It should not be that we withdraw our forces when we are threatened by violence or other types of threats. But when this situation calms down, it will leave off many questions, many questions that many of its citizens expect answers to and expect debate on. It is precisely in such a situation, at a later stage, that we are going to show the value of freedom of expression by taking the debates that will follow in the wake of this. There are debates about completely fundamental values in our part of the world. There are debates that are going to go a long way into Norwegian integration policy, which are going to go a long way into what kind of society we want Norway to be, and what kind of society we want Norway to develop into. I noticed that the Prime Minister said that through our conduct we should prevent conflicts and not create them. Well, that's easy to agree with. But it must never be that, in our eagerness to prevent conflicts, we avoid being clear on what kind of values we want our society to be built on. We should never go on chords with the basic values of Norwegian society, from which Norwegian society has grown, and from which the vast majority of us want to remain fundamental values in Norwegian society. If we are able to hold on to it and make demands and prerequisites for successful integration in Norway that others must adapt to our basic values, yes, then we have a good starting point for an important debate that will have to come. These are debates that the Progress Party more than wants to take part in, and that we will be more than happy to attend, but not now. Now we are in a situation that requires us to gather around the government's work to secure our interests out. But we have to take seriously what's happening now, because it's not good to know if this is just the beginning of a development that's going to create major problems for our part of the world for decades to come. And in particular, it's important that we get up and never abandon the very basic principles and values that our society and our part of the world are based on, that we don't go on chords when we are subjected to pressure and threats.
ParlaMint-NO_2006-02-08.ana.ud1079e192	Let me also express Your support for the work done by the Government in the situation that has arisen. I think it is important that Norway continues to act calmly and collectively and encourages dialogue and protection of freedom of expression even when it is put under pressure. I also want to give honor to others. I see that the dialogue with Muslim communities in Norway is particularly important. I want to give tribute just to the behaviour of the majority of, and almost all, Norwegian Muslims in relation to the discussion and debate that has taken place in Norway. They have stood out as defenders of freedom of expression, whether or not they all express that they feel strongly violated by the caricatures that have been published. I also record that many of our Muslim brothers and sisters are using the same freedom of expression and are actively participating in the social debate on issues that affect them, and I think that is also a positive part of the development we see in our society. I also think that there is reason to think about and thank those who are in the first line today – simply – in the crisis that has arisen outside, both embassy personnel, soldiers, police observers and relief workers both in Syria, Lebanon, Iran, the West Bank and Afghanistan. It's tough for them to experience this, and I think it's important that we also show our clear support for the work they do every day. What we're experiencing now is an extreme form of tabloidization in a globalized world. Rumors have arisen and stories of what has actually happened — both in Norway and in Denmark — are the basis for the movement that in some countries may have partial official support, but which in other countries obviously exist in a lack of control. It is important to us that we, as countries, stand together on the basic values we have, as respect and freedom of expression, but that we may also use this opportunity to think a little bit new. Just how Norwegian Muslims have reacted, I think that both the integration and the identification work in our society may have gone better than it has sometimes been. It is extremely important for us now not to whip up any moods against Islam or against Muslims in our society. I am glad that the Government is continuing the dialogue we started in the last period, both with all minority religions and with the youth communities, because it is not least important to ensure good integration and identification with the Norwegian society for the young people who are going to live and grow on in our society. Then it is important that we also ensure that our political issues and debates are relevant in view of the problems of immigrants, it is important that we respect their challenges, while not compromising in our key areas. It is also important to think through how we can spread more knowledge about our society and about other societies – in our society. In Norway, the Church and its role in politics and social life have been steadily weakened for hundreds of years. In many Muslim countries, developments have been different, especially since 1970. The role of religion has become more important. Actually, our societies have gone through the opposite processes. What's natural for us seems threatening to others. And if we're going to be honest, the second one, that's the other one, seems threatening to us. That's why we have some challenges in spreading knowledge, both in our society and from our society to other societies. That is why I think there is reason to challenge editors and mass media owners both in the West and in the Middle East in several areas: they have to be better off explaining the difference between the few extremists and the moderate majority – for the large, moderate majority do not take part in riots or burn Norwegian embassies. We challenge editors and politicians in the West to communicate the content of the Muslim faith and why some of these questions mean so much to the population. And we challenge editors and politicians in the Middle East to explain why we put so much emphasis on freedom of expression and democracy. But there is also a need for some innovation in foreign policy. We have to do something other than just talk to diplomats. We have to work through the media in new ways, with new tools. We need to meet new people and use our minority population as bridge builders to inform our society. And we have to reject any attempt to say that this is just a consequence of the Middle East conflict. This is a consequence that the world has too little human rights and too much dictatorship, perhaps especially in the Middle East.
