ParlaMint-NO_2006-02-09.ana.ud1041e51	The representative of Laila Bavøy will make a private proposal.
ParlaMint-NO_2006-02-09.ana.ud1041e54	On behalf of Åse Gunhild Woie Duesund, Ola T. Lånke and myself, I would like to make a proposal to set up ethical committees in nursing homes.
ParlaMint-NO_2006-02-09.ana.ud1041e59	The representative Peter Skovholt Gitmark will make a private proposal.
ParlaMint-NO_2006-02-09.ana.ud1041e62	I have the great pleasure on behalf of the representatives of Erna Solberg, Trond Helleland, Torbjørn Hansen and myself to make a private proposal to reduce the purchase fees on the car and to convert the purchase fees on the car to be based on CO2 emissions, so that it facilitates a safer and more environmentally friendly car park.
ParlaMint-NO_2006-02-09.ana.ud1041e70	The representative of May-Helen Molvær Grimstad will make a private proposal.
ParlaMint-NO_2006-02-09.ana.ud1041e73	On behalf of Hans Olav Syversen, Bjørg Tørresdal and myself, I want to promote a Document No. 8-proposal for maximum rest periods per week for children in kindergarten.
ParlaMint-NO_2006-02-09.ana.ud1041e78	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-02-09.ana.ud1041e92	No one has asked for the floor. [[See page 1301]]
ParlaMint-NO_2006-02-09.ana.ud1041e109	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by the main speakers from each party group and members of the Government be set at 10 minutes and for other speakers at 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-02-09.ana.ud1041e116	"Norway is a small country in the world," said former Prime Minister Korvald. Can a small country like Norway, and should Norway, play an international role? My answer to both questions is yes. Of course, the most important task of foreign policy is to safeguard national interests and own security. But Norway had been a poor country if our ambitions ended there. Norway is not just one of the richest countries in the world. It is also the best country in bu i, according to the United Nations. In my view, we have a moral duty to look beyond our own borders and our own narrow self-interests. Our ambition must be to be involved and make the world a better place. As a small country in the world, we can and must act differently from others to make us listen. In one of Esop's fables the sun and the wind about who is strongest. To decide the battle, they were able to paint their forces on a hiker. The one who first got off his coat was strongest, they became some about. First out was the wind. He bled by all the forces, but the only result he got was that the man held the coat tighter around him. Then it was solo's turn. She looked forward behind a cloud and sent her warm rays towards the wanderer. After a short time he had to lighten the suit, and took off his coat. The warm rays of the sun overwhelm the cold wind. I think we have something to learn from this story. I think an open and stretched hand can be at least as effective a weapon as a fist. A door that is on fire can be safer than one that is locked and bolted. Dialogue and interaction must be our means to achieve this. That's why I don't have the great faith in boycott, threats about boycott, or other reactions that close the dialogue. Of course, this does not mean that a person should be yielding or not complying with his own principle. However, through dialogue, networking, knowledge, investment, trade and exchange, a relationship can be built. Through these relationships, one can develop our values of democracy and human rights. Through these relationships, a set requirement can be met and knowledge disseminated. The fact that Norway is a small country makes us big in such a context. Norway has played a decisive role in making conversations and reconciliations in several years and in different conflicts. A larger country may not be able to play this role. One of the main features of the Government's foreign policy is to take advantage of this role that Norway has been given to promote peace, reconciliation and development. In the last few days, we have witnessed events that we would hardly have believed were possible. Quite unacceptable events have been directed against Norway and Norwegian interests. Although the drawings of Muhammad triggered these reactions that we have seen from several countries, most researchers are aware that there are more profound reasons behind the scale and seriousness of the reactions we have seen. The situation in the Middle East and other countries is very serious. Lack of democracy and freedom of expression combined with generally difficult living conditions have made it easier for extreme groups to exploit the situation. Many suggest that what we have witnessed has been as much political as religiously motivated. Governments without legitimacy in the people have used their senses to strengthen their own position. The race against Norway and the Nordics is based on a generalization of what we stand for in this country. In the same way as it is completely wrong, it would be totally wrong to put all Muslims in charge of the actions that a few people have done. When we think about the seriousness of the actions that have been directed against Norway, I think that the Norwegian debate has been sober and factual, and I think that not least the Norwegian Muslims have a large part of the era for it. The choice in the Palestinian Self-Government gave a different outcome than many hoped. The crushing saying to Hamas was a great surprise to most, including Hamas itself. The choice was free and independent. International observers pinked the implementation, and the losers accepted the defeat and went off. In other words, we have here a democratically implemented choice, which is rare in this part of the world. Further development is a major challenge for Hamas, but also for the international community. After the election, some of the items are designed to withdraw the international support from the Palestinian territories and from the powers of self-government. In my view, that will be a completely wrong signal. The West has called for democratic processes and elections. If we now turn our backs on because we don't like the results of these processes, for all the worlds, we show that our calls weren't meant to be serious, and that we weren't really so interested in the Palestinian people's view. By turning our backs on the Palestinians, we will once again show double standards in relation to processes in the Middle East. Instead, we should ask ourselves the question of Corphor Hamas's water. A very depressing situation in the Palestinian territories, the Israeli occupation, allegations of corruption and lack of prospects, and not least that one did not feel that the situation is getting better, is much of the explanation. The old government had not made progress for its citizens, and in Palestine, as in many other countries, the voters chose to try something new. We do not need to impose requirements on the Palestinians that we do not impose on others, but of course we must set the same requirements for the new Palestinian government to recognise their neighbours and to resume negotiations with Israel. In Israel there should also be a choice. We're going to hope that it's the moderate forces that come out. In any case, we have to set the same requirements for a new Israeli government. Only by mutual respect and negotiation can a lasting solution be found to the problems in the area. The Northern Region is a bet area for the new government. The Norwegian sea areas are seven times the size of mainland Norway. This is a very rich sea area, and we have a clear interest in keeping these. In the north, there are particularly four main challenges that I see. It is the border negotiations, and it is fisheries, energy and the environment. These challenges are related. They may be contradictory, but properly managed, we can also achieve a positive development in the area. We need to improve the management of fisheries resources. There must be an end to the environmental crime and economic crime associated with illegal fishing. We can only do that in cooperation with others; Russia and the EU have a special responsibility. The environmental challenges in the north are great, and they can be particularly great if we get global warming. This is also a challenge for Norway to find a solution with other countries. We should stand still as a driver for international negotiations on mandatory reductions in greenhouse gas emissions. There is now a great deal of optimism about the development of North Norway, and this is particularly true of the ringing effects of petroleum activity. I am myself from that part of the country that may have now benefited most directly from oil and gas resources. In my own municipality, the population has doubled, we have a thriving business life, we have received good public offerings, and I now hope that North Norway will share in the same development. Of course, the oil activity in the north must take place within strict environmental frameworks, but in my view there is also a good environmental argument for a certain activity in our part of the Barents Sea. On the Russian side, it will be activity anyway. By having become the most stringent standards on our side, we can also participate in and influence what is happening on the Russian side. I also believe that cross-border cooperation will increase the basis for food exchange, and that it will help to increase both the standard of living and the quality of life on both sides of the border. The world is more than what's covered in the media, and it's a paradox that some crises and disasters get full media coverage, while other crises get completely forgotten. Africa in particular has our victims for the last time. For example: The tsunami in the Indian Ocean and the earthquake in Pakistan got a lot of attention all over the world, and the war in the Congo, where the effects are much bigger, almost impossible to reach the headlines, although the number of deaths is many times greater. This also affects the ability to collect money for these areas. Therefore, it is particularly important that the United Nations has a possibility to deal with such crises when they occur. I'm glad Norway supports the United Nations and provides financial assistance to make this possible. I started by saying that we should have a perspective beyond what is our own narrow self-interest. But after the last few days, I actually think it's hard to define what less self-interest is. Many of the events we have seen are the result of distress and suffering in other countries. I think that Norway is involved in making the world a better place, that we stretch out a hand to a people in need, in fact, also participate in securing our own freedom and our own security here in the country.
ParlaMint-NO_2006-02-09.ana.ud1041e154	It's going to be line change.
