ParlaMint-NO_2006-06-15.ana.ud2170e119	The representative, Olemic Thommess, will make a private proposal.
ParlaMint-NO_2006-06-15.ana.ud2170e122	On behalf of the representatives of Erna Solberg, Ine Marie Eriksen, Kari Lise Holmberg and myself, I would like to propose the mapping of language skills at the health centre's four-year control.
ParlaMint-NO_2006-06-15.ana.ud2170e127	The representative of Finn Martin Vallersnes will make two private proposals.
ParlaMint-NO_2006-06-15.ana.ud2170e130	On behalf of the representatives of Erna Solberg, Inge Wohnning and myself, I am delighted to present a proposal to support the opposition in Belarus. Furthermore, on behalf of the big business representative Erna Solberg and myself, I would like to make proposals on the EEA matters in Stortinget.
ParlaMint-NO_2006-06-15.ana.ud2170e137	The representative Per-Kristian Foss will make a private proposal.
ParlaMint-NO_2006-06-15.ana.ud2170e140	On behalf of Martin Engeset and myself, I allow myself to propose alternative models for assessing the functioning and medical conditions of applicants in emergency situations.
ParlaMint-NO_2006-06-15.ana.ud2170e145	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-06-15.ana.ud2170e159	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 125 minutes and that the speaking time be allocated as follows: Working Party 45 minutes, Progress Party 25 minutes, Right 15 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 10 minutes and Left 10 minutes. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines after contributions from the main speakers of the parties and after contributions from members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-06-15.ana.ud2170e170	It's a brand day today. Today, we have the first comprehensive management plan for one of our major maritime areas. Despite some disagreement, tough fronts and strong interests on both sides, we have now managed to achieve a plan that we can be proud of. Of course, not everyone can say quite contentedly, but I record that most people are reasonably satisfied. It testifies that the government had done a good job when they brought this plan to Stortinget. So what is the purpose of the plan? Yes, it is to facilitate the creation of value through the sustainable use of resources and goods in the Barents Sea and in the sea areas outside the Lofoten while maintaining the structure, functioning and productivity of ecosystems. In my opinion, this is fulfilled in the plan we have for treatment today. I would also like to stress strongly that all types of business in these marine areas must be good within a sound environmental policy framework. The principle of being a leader is central to environmental policy. Of course, that's the way it should be in the future. The management plan is a plan for co-existence between different types of activities in these marine areas. Activities in the petroleum industry shall, for example: go hand in hand with both fishing and tourism activities. There are challenges to this, but the plan has shown us that it is possible to achieve this. There are great opportunities in the future in travel and tourism. North Norway is really a pearl in the country. There are future international opportunities associated with just this part of the country that I think we've just seen the beginning of. These possibilities are being safeguarded and further developed. Among other things, it is important to operate different industries through good environmental management, so that tourists can continue to experience clean seas and beautiful nature in the future. The northern sea areas are special in many ways. Weather conditions, ecology, fish and other wildlife just bear witness to this. We are also facing major pollution challenges. For example, the Intergovernmental Panel on Climate Change has: showed us the international seriousness of this situation. Good environmental management is and will be absolutely fundamental in this way, both in relation to ourselves and not least in terms of our children and future generations. We have a moral responsibility for all of this – a responsibility that should lie at the bottom and be governing our further development in the area. Through this plan, we have provided a basis for further growth and development in North Norway, but not just in the north. Further development of the petroleum industry benefits the whole country. Petroleum industry is a foundation for our future welfare state as we know it today. Since its inception in the 1970s and until today, this industry has been a good part of ensuring value creation for our common well-being. We are at the forefront of knowledge and development in relation to this business. There will be petroleum activity in large and important areas of the Barents Sea outside Finnland and beyond the southern North. Important fields such as Snow White and Goliath must be further developed. All areas with granted exploration and extraction concessions, including 19th concession rounds, within a 35 to 50 km track along the coast from the Russian border to Troms II, shall still be subject to petroleum activities. With this plan, the oil industry will have a predictable framework to deal with in the future. No areas are permanently protected. Knowledge acquisition shall take place, inter alia: shooting of seismics in areas outside the Lofoten and the Vestral. In the light of this knowledge, the few areas that are not currently open to any activity will be re-assessed in 2010. This is forward-looking and good governance in the areas. North Norway has the future ahead. We cannot start a process aimed at petroleum activities in the most vulnerable areas until we have good enough information on just the areas that I mentioned. We first have to know what we're doing. Then knowledge is very important and absolutely essential. This is why we have chosen to conduct monitoring and knowledge collection instead of consistency. We will take our decisions in the future on a factual and knowledge basis. I would also like to stress strongly that ecologically sound management of the area today is not the same as sound management in the future. Today, we lack knowledge of the vulnerable areas on many points. Different types of professional bodies, including: The Marine Research Institute and the Norwegian Petroleum Institute will be central to the search for more knowledge of these areas in the future. Also through the work SEAPOP and MAREANO are envisaged in the plan, we will gain important knowledge to make decisions in the future. The plan shall be rolled every four years. This will ensure that the plan is at all times timely and up-to-date for future decisions on the areas. New knowledge of marine environmental values and the vulnerability of ecosystems as well as technological developments will thus be continuously part of our up-to-date and future plans. In the Workers' Party, we will also point out that the management plan is an important and central tool for the Northern Region Initiative of the Government. The government has identified the northern areas as an important strategic area in the coming years. The North will evolve from being a security policy marshalling area to becoming an energy policy force centre. This means that the area is facing major environmental policy challenges. The plan will be an important tool for the provision of Norwegian economic, environmental and security policy interests in the north, which will be given high priority in the coming period and which will have to be seen closely with each other. Oil protection equipment in the area, both for shipping and for other petroleum activities, shall be kept up-to-date at all times and at the highest international level. Preparedness for acute contamination must primarily protect the natural environment from damage or nuisance. This is done through both harm prevention and harm reduction measures. It is therefore important to see measures to enhance maritime safety in the context of oil protection. The fisheries management in this area is very central. Future business activities, e.g.: in the petroleum sector, must be carried out in close cooperation with fishermen and their organisations. The sea areas in the north are a tax chamber – a large tax chamber full of fish. Fish is good and healthy food. Fish is also an important export article. The fish is and has been historically important for North Norway. We have to make arrangements to secure that industry in the future. Through good and responsible management, fish are a renewable resource. Therefore, all future activities in the marine areas must take place within the limits given and given by nature and ecology in the area. We can't afford to squander this great wealth away. I would point out that Norway should also set the international environmental standard in the area, including: with zero emission requirements for the whole range of time to come. I also look forward to the rapid ratification of the ballast water convention, and the Government providing the necessary legal basis for action. I have also noticed the Government's plans for action in relation to the problem of environmental toxicities. The Workers' Party is fully associated with the Government's policy in this area. Finally, I would like to say that energy as an international factor of power is becoming increasingly prominent. The international debate that is taking place today clearly shows us this. We live today in a world where demand for energy is increasing much faster than production. In this perspective, Norway has a major and important role to play. We have a responsibility to manage our energy resources in such a way that it can benefit more than ourselves. What we do in the sea areas of the north concerns us all for that reason, and we are in the same boat. North Norway is really an opportunity part of the country now in the future. We're going to take care of this together.
ParlaMint-NO_2006-06-15.ana.ud2170e214	It's going to be line change.
ParlaMint-NO_2006-06-15.ana.ud2170e217	The representative Nordtun was very focused on the acquisition of knowledge. You had to take knowledge into account before making any decisions. I fully agree with that. I can't quite understand why it's so hard to say that impact assessment of an area is the same as acquiring knowledge, as long as you haven't concluded in advance. But where I find even less logic in the setting and the policy proposed by the Government, knowledge acquisition applies to e.g. Northland VI. In the case of Northland VII and Troms II, it has been said that knowledge acquisition will be allowed in the form of seismics directed by the Oil Directorate, and bird count and fish count and so on. But for Nordland VI, one does not even want to carry out such a knowledge acquisition. Can the representative Nordtun explain the logic of refusing knowledge acquisition for Nordland VI?
ParlaMint-NO_2006-06-15.ana.ud2170e224	As I said, here we are going to run a business on the precautionary principle. We're in so vulnerable areas that here we have to be absolutely sure of what we're doing. Norwegian oil production, from the start in the south of the North Sea and up in the Norwegian Sea, etc., is based on knowledge in these areas. There are many types of knowledge, but the Government has decided, through the Soria Moria Declaration, that Northland VI should not be touched during this major period. In the case of Northland VII and Troms II, we have chosen to go into broad knowledge acquisition before making our next decisions in 2010. I have taken note of the proposal of the Advance Party that we should proceed with the impact assessment. I assume that the representative Ketil Solvik-Olsen knows what is in the law regarding the impact assessment. It is based on something else for the purpose of granting extraction permits. It's in that paragraph. That is very important. We want knowledge before we take that step and move on.
ParlaMint-NO_2006-06-15.ana.ud2170e233	I would simply like to ask if you have any reason to trust the Workers' Party on oil and energy matters any longer. When we go back less than a year, there is no lack of promises from the Workers' Party. They traveled around North Norway promising a high level of activity. They traveled around industrial areas and promised to put a new industrial power regime in place quickly. They promised to put in place a green certification scheme. Jens Stoltenberg, at the Workers' Party's last national meeting, made it clear that oil exploration outside the Lofoten and the Vestreål must start as soon as possible to keep the young people in the region. What in the world has happened to the Workers' Party in eight to nine months? Or does the Workers' Party today appear to be the policy edition of the famous TV series "X-files", you don't think so until you see it? When can we see the results of what was promised in the last election campaign?
ParlaMint-NO_2006-06-15.ana.ud2170e240	I will deal with the matter that we are dealing with today in Stortinget, namely the management plan in the north. Then we get back to the TV program that the representative Kristiansen referred to, in other contexts. The working party is trusted. I assume that Kristiansen, as a representative of the National Assembly, has read the Soria Moria Declaration, and that we deliver in areas by areas. The previous government chose to launch a management plan for the northern regions. We follow up this matter. If the representative Kristiansen had agreed to read the management plan and what is there, and not least went into the 19th concession round and what happened before the 19th concession round, he would have seen that there were big things happening in these areas. The Labour Party is behind every decision. I wonder what the management plan would have looked like if the Bondevik II government had completed this work, when we see the gap in the position today between the Right, the Christian People's Party and the Left.
ParlaMint-NO_2006-06-15.ana.ud2170e247	According to the Minister of Oil and Energy, the Seismic Oil Directorate will collect in Northland VII and Troms II, based on modern methods of collection according to today's industry standard. It's good that we use good technology. Nor will there be such a difference between the way in which the Oil Directorate and the industry are surveyed. My question will then be: is it the Workers' Party's assessment that the seismic data from the geological surveys of Nordland VII and Troms II should be included as part of a full impact study on petroleum activities in these affected areas?
ParlaMint-NO_2006-06-15.ana.ud2170e254	What you're adding in the ocean area that the queryer is now asking about is based on several types of knowledge acquisition. We say clearly that it is the Oil Directorate that is going to take care of the shooting of seismics in these areas. There are special procedures for shooting seismics. It shall be done in a humane and good manner and shall also have a security of performance. So when we take the total summary in 2010, when the management plan is to be revised and re-examined, we have a proper basis for seismics as well. That's why we feel safe at the Oil Directorate, which is now starting to do the job in this area.
ParlaMint-NO_2006-06-15.ana.ud2170e259	The cord shift is over.
