ParlaMint-NO_2006-05-10.ana.ud1109e24	The representative Jon Hunter Gåsvatn will make a private proposal.
ParlaMint-NO_2006-05-10.ana.ud1109e27	On behalf of the representatives of Anders Anundsen, Åse M. Schmidt, Per Sandberg, Bård Hoksrud and myself, I would like to make a proposal to ensure safe and sound school bus transport.
ParlaMint-NO_2006-05-10.ana.ud1109e32	The representative Lars-Henrik Michelsen will make a private proposal.
ParlaMint-NO_2006-05-10.ana.ud1109e35	On behalf of the representatives of Trine Skei Grande, Anne Margrethe Larsen and myself, I would like to make a proposal to introduce a girlfriend visa for foreign citizens with Norwegian loved ones.
ParlaMint-NO_2006-05-10.ana.ud1109e40	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-05-10.ana.ud1109e64	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Helen Bjørnø State Council Trond Gishstaatsråde Terje Riis-Johansen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Ketil Solvik-Olsen.
ParlaMint-NO_2006-05-10.ana.ud1109e83	I have a question for the Minister for the Environment. It goes against the power crisis in Central Norway in a few years. The Government has not yet put in place any concrete measures to prevent this situation from arising. On the other hand, it will allow a separate price range in, for example: Møre and Romsdal and the Trøndelags, which allow the power price to be multiplied for both power customers and industry. The Progress Party has repeatedly proposed increased power deployment to avoid this power crisis. Gas power plants are now proving to be the only option that can be built quickly enough for an acceptable cost and that will provide sufficient volume with new power. In the present situation, therefore, the Government should wish to accelerate the construction of gas power plants. Unfortunately, the government's policy leads to the postponement of such projects, as strict, peculiar framework conditions for CO2 management are set. In other words, the government statement is a roadmap for a power crisis. Of course, business and households are becoming increasingly concerned. Power billing will go on the roof, and jobs can disappear, fear many business leaders. Therefore, Statnet recommends the rental of mobile gas power plants without CO2 cleaning as a measure to prevent a power crisis. These mobile gas power plants pollute correctly as a coal-fired power plant. They use twice as much gas as a normal gas power plant, and therefore they provide a much higher electricity price than from a normal gas power plant. But in the choice between mobile gas power plants and a power crisis, most of them want mobile gas power plants. Therefore, the question to the Minister for the Environment is how the Government deals with mobile gas power plants. Will the Government permit the use of mobile gas power plants without CO2 cleaning, so that we avoid power shortages in an entire region of the country?
ParlaMint-NO_2006-05-10.ana.ud1109e105	I want to start by describing two confessions. One recognition is that the climate problem is one of the most important and difficult environmental problems facing the world. So we have a situation in which the dramatic climate change causes people's living conditions and life opportunities to be greatly reduced. It is important as a background to the offensive environmental policy of the Government, and the decisions we have taken on CO2 clean-up. That's the one recognition it's important to keep up high. The second realization is that we have a situation in Middle Norway that is serious, at least when we see a few years in advance. Welcome to the Government. We met a situation when we entered the government premises, which showed that previous governments may not have taken the situation seriously enough in Central Norway. It is on the basis of these two findings — the serious responsibility we have in terms of climate change and taking climate policy seriously, and the recognition that we are facing a serious situation in Central Norway — that the Government is working too fully to meet that challenge. Minister of Oil and Energy Odd Roger Enoksen is now systematically preparing, discussing, evaluating and working through all sorts of options. The government hasn't made any decisions right yet, but I can assure Storting that we're both working on and having a perspective on the environment and the power crisis. The size will, of course, be briefed as soon as the government has made decisions.
ParlaMint-NO_2006-05-10.ana.ud1109e116	I thank you for the answer, although there was no answer in it. The situation in Central Norway is serious. Business is worried, and every day that goes, we see that the chance of a real power crisis is getting bigger. If we start building gas power plants today, maybe this can be avoided. In any case, the government should already be able to give a clear signal – a fundamental response – that yes, mobile gas power plants without CO2 cleaning will be acceptable instead of a power crisis. When I take this up with the Council of State, it is precisely because it is the Minister of Environmental Protection who controls the SFT who makes these demands. It is not the Minister of Oil and Energy who does. I am aware of the climate problems that SV is concerned about, but a Norwegian gas power plant would have CO2 emissions of approx. 0,0008 pst. on a global basis. If the alternative is a power crisis in a whole region of Norway, at least my choice is quite clear. So I ask the question again: will the Council allow mobile gas power plants to avert a power crisis in central Norway?
ParlaMint-NO_2006-05-10.ana.ud1109e129	The Soria Moria Declaration is the starting point for the policy of the Government. It is then important to consider systematically all the alternatives available, what to do in relation to renewable energy and how to invest in it, what to do in order to ensure CO2 clean-up, and what to consider, if necessary, as crisis solutions. I want to be very clear that we are going to be able to conduct a policy that takes care of both the climate and the environmental concerns, also with regard to the solution that we have to find for Middle Norway. But it is directly irresponsible to conclude before the Government has reviewed all aspects of a case.
ParlaMint-NO_2006-05-10.ana.ud1109e137	The President will accept three follow-up questions – first Line Henriette Holten Hemdal.
ParlaMint-NO_2006-05-10.ana.ud1109e140	Oil and energy minister Odd Roger Enoxen opens up gas power plants with so-called clean-up periods to counteract this power crisis that we can have in Middle Norway. So what the Council of State, Enoxen, opens up, is gas power stations without CO2 clean-up. He sees this as an opportunity to supply the investment. The Christian People's Party believes that the Council of State here Enoch is trying to solve a problem, but that instead he is creating a new one. Today's government has a great vision that the consideration of the environment should be profound in everything we do – such a vision harms very badly with the term "cleansing-free periods". I heard the council say the government has made no decision. However, I would like to ask the Council of State whether she supports the opening of the ENOXEN State Council for a clean-up period in the case of the gas power plant at Forest or other gas power plants. What is the position of the Council of State on this issue?
ParlaMint-NO_2006-05-10.ana.ud1109e150	My starting point is that new gas power concessions should be based on CO2 cleaning. On my desk I have a specific setting from SFT that recommends that the pollution law requires that CO2 handling be done, among other things. The tent credit, which is one of the relevant points for starting gas power plants. Thus, the Government has not taken a decision in the case. As for what the representative Holten Hemdal refers to, I would like to stress that I have, of course, also heard what the Minister for Oil and Energy has said, but it must be lawful for a minister to say that he assesses matters without that being seen as the government's decision. We say in the Soria Moria statement that new gas power plant concessions should be based on CO2 management, and as we have also tried to say in the past, that's what the Government's policy is.
ParlaMint-NO_2006-05-10.ana.ud1109e169	Børge Brende – for follow-up questions.
ParlaMint-NO_2006-05-10.ana.ud1109e172	I have to say I was a little surprised when the Environment Minister said that it had not yet been discussed with electricity prices properly in the Government, and that it was therefore too early to draw any conclusion. The point is that we are currently facing a decision-making crisis with regard to power in Central Norway and no power crisis. The power crisis can be avoided if, today by the Government, the necessary decisions are taken for the construction of a gas power plant on the Tjeldbergodden. From this point of view, it was affordable for the State Council, Odd Roger Enoxen, to say the last day that you can set up this gas power plant, and then you can come back to it with cleaning. Now the Minister for the Environment sends out other signals. On 19 January of this year she stated that it was not appropriate to authorise the building on the Tent Goods without cleaning from day one. This concession is now on the table of the Minister for the Environment, as she also mentioned. Is it still not relevant for the Minister for the Environment, even though the power crisis is the option, to postpone the requirement to clean up?
ParlaMint-NO_2006-05-10.ana.ud1109e187	For me, it is important to hold on to these two confessions that I mentioned earlier. We have a situation where any government that is concerned with choosing decisions that are forward-looking and that take the problems seriously knows that the climate problem is the world's most important, most difficult and biggest problem. We are a government that has made sure that CO2 management is no longer an airy vision, and is systematically working to get it into our gas power plants. We have had to follow up a policy where former governments have had a refusal of decision. So what makes us have a power crisis in Central Norway is that former governments have not dared to make decisions. It is absolutely necessary that we carry out a systematic review of different alternatives before decisions are taken.
ParlaMint-NO_2006-05-10.ana.ud1109e195	Gunnar Kvassheim – for follow-up questions.
ParlaMint-NO_2006-05-10.ana.ud1109e198	One of the Council's confessions was that the climate challenges are great. She said in her reply to Børge Burnde that she would do what was possible to clean up our gas power plants. That's good. I have a challenge for the Council of State. The snow-white plant, which is soon clear in Hammerfest, will have an annual emissions of 900000 tonnes of CO2. The direction behind the Snow White plant was Stoltenberg I. The emissions permit was granted by the Bondevik II Government. However, that emission permit said that it was to be organised for sewage treatment plants. The government is now engaged in a dialogue with the developers of Kårstø for the cleaning of the gas power plant that is being built there. Will the Government initiate a similar dialogue with the owners of the Snow White plant, with a view to cleaning the CO2 emissions from that plant?
ParlaMint-NO_2006-05-10.ana.ud1109e211	I would like to thank the representative Kvassheim for addressing the situation on Snow White, because that is a serious situation. Because of decisions made by previous governments, we have come into the situation that we have emissions of CO2 in Snow White. That's really serious. The concession there is, as Kvassheim also said, given by previous governments. We want to be in continuous dialogue with the developers when new technology is available, and when new conditions are possible in relation to the concession. There is also a legal issue that needs to be resolved at all times. There are assessments that I am sitting with evenly and bluntly.
ParlaMint-NO_2006-05-10.ana.ud1109e219	Let's move on to the next main question.
ParlaMint-NO_2006-05-10.ana.ud1109e222	I have a question for the Minister of Church and Culture. He has surprised both me and large parts of Medie-Norway to give the signal that he does not think it is worrying if the A-press was going to buy Orkla. It's striking, because the A-press, which is known to be led by Governor Gerd-Liv Valla, a member of the Central Government of the Workers' Party and head of the LO, which is the main sponsor of the Labour Party election campaign. It is also striking because, through several debates over several years, the Council of State has had a very clear and consistent argument in relation to the importance of maintaining three major ownership, where the A press, Orkla and Schibstedt have given names to the discussions. The council had not had to go into any interpretation of the law when he was asked about this. It is probably right that there is a weak point in the law, at least from the point of view of the Council of State according to the political objectives he has in relation to media law. But he could have gone to the barricades, which I'm sure he would have done in other contexts, and explained the political objectives. He could be a problematizing around the rule. He could have made it clear that the intention of the law was to maintain these different ownerships. He didn't have to give so to say clear path and full opening for the A-press's acquisition of Orkla. This tastes like someone's been talking to each other. I would like the Council of State's comment on whether he sees this as problematic.
ParlaMint-NO_2006-05-10.ana.ud1109e231	I thank the representative for the question. The sale of Orkla Media is perhaps this decade's most important media policy issue. It is Norway’s second largest media player who may change owners. It will be of great importance to several thousand jobs and to a great many local authorities, which are a backbone of our democracy and are an arena of local identity, cultural life, business and debate. The fact that the media minister might not have any idea of what is going on around such an important group, I think would be a completely misguided strategy. On the contrary, we have important media policy objectives, which I hope will also be met when Orkla Media may be sold. The three objectives we pursue are the following: firstly, we hope that Orkla Media will still have a good ownership, i.e. that they have owners who have long-term objectives, who have publishing traditions, the ability and willingness to publish newspapers in a good editorial manner with respect for the freedom of editors, etc. Secondly, we hope for a widespread ownership. It's in the ownership law. We hope for many actors. That the Government has proposed to reduce the ceiling on what an owner can control in Norway from 40 pst. to 33 pst., is just to ensure a spread of ownership. Then, of course, we hope, although it is not essential that we have Norwegian ownership in the media companies as well. We have good foreign potential owners of Norwegian media companies, but I think it would be unfortunate if all media companies in Norway were to be controlled from abroad, so that we do not have head offices that make strategic decisions, in Norway. That's the three objectives we have. But who actually wants to buy Orkla Media, Orkla's owners decide.
ParlaMint-NO_2006-05-10.ana.ud1109e242	In particular, the Council of State has not answered the question of the role of the A-press in this picture and the striking fact that it has thus changed its course in relation to the previous argument. So now it's like Gerd-Liv Valla as chairman controls 45 pst. by the A-press. Telenor has another 45 pst, with the anchoring in the state ownership that they have. I have to say that with regard to the whole system the Council of State relies on in relation to the ownership law – when you talk about spine, it is prolapse all the way – the law will not counteract foreign ownership. On the contrary, it will make it possible to acquire ownership where a strong political actor like LO gets his hand on the wheel. Then I think that the Council of State should consider legislating the Editorial plaque rather than going into and narrowing down the ownership restrictions. Does the Council of State feel comfortable having a politically aggressive ownership of a group that could be owned by all local authorities in the country?
ParlaMint-NO_2006-05-10.ana.ud1109e251	First of all, I think Olemic Thommessen is familiar with the fact that we're actually planning to legislate the Editor's poster, so it's absolutely en route, and I think it's the right way to ensure editorial freedom in the different newspapers. Whether the A press has a more aggressive political line in relation to its own newspapers than Schibsted-owners and Orkla Media owners or other owners have, it gets to account for Olemic Thommessen. I think it is interesting that a representative who has said very critically to parts of the ownership law, now suddenly becomes a hot follower of it because it could possibly prevent one particular actor from buying Orkla Media. I believe that as politicians we should stay away from who buys Orkla Media. We're going to have some general, general views on what Media-Norway is going to look like, for the readers, for the joy of democracy, for the joy of healthy, good businesses and for the workplaces. That's our role. But who, in concrete terms, is going to buy Orkla Media, that Orkla is going to be allowed to decide. They're the ones who sell Orkla Media. And then it's the Ownership Authority, which is now merged with the Media Authority, who sees whether this is in line with the legislation.
ParlaMint-NO_2006-05-10.ana.ud1109e259	The President will accept three follow-up questions – first Karin S. Woldseth.
