ParlaMint-NO_2006-03-09-lower.ana.ud367e43	The representative Bent Höie will make a private bill.
ParlaMint-NO_2006-03-09-lower.ana.ud367e46	I would like to propose, on behalf of the big business representatives Ivar Kristiansen and myself, to change the conditions for “special reasons” for exemption under Section 7 of the Planning and Building Act to make it easier for municipalities to make local policy judgement.
ParlaMint-NO_2006-03-09-lower.ana.ud367e51	The legislative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2006-03-09-lower.ana.ud367e65	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies after the intervention of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. The first speaker is Bjørg Tørresdal, on behalf of the rapporteur, May-Helen Molvær Grimstad, who is a member of the Lagtinget.
ParlaMint-NO_2006-03-09-lower.ana.ud367e76	Parenting is a lifelong project. Parents have an important role to play in children’s lives and development. Therefore, it is important for children to have good contact with both their parents, regardless of whether they live together or not. Mother and father are basically equivalent caregivers for the child. It is a social responsibility to ensure that the interests of children are properly taken into account, regardless of the parent’s life. The proposed amendments to the Children’s Act include: intending to strengthen the rights of children to the best possible overall contact with parents and to be protected from abuse. The proposals made in this proposition are in accordance with the Ot.prp proposal. No 103, which was presented by the Bondevik II Government. In most cases, it is best for the child to keep in touch and to stay together with both parents. In the view of the Christian People's Party, it is not in the best interests of the child that parents of common children stop cooperating on the welfare of the child. A responsible parent is not limited in time, but commits both parents even if the relationship between them ceases. The best interests of the child are the main objective of the proposed amendment of the law, and it is also the aim of the amendment to the law to lead parents as a group to agree more togetherness, to strengthen the role of fathers as carers as a result of this change, and to attach emphasis to the children's relationship with the local environment. The proposal is a clear improvement in today's regulations, because the law that we are adopting today will better protect children from care failure and abuse. The leaders introduced by the term ‘usual association’ are involved in ensuring association at all. Many parents experience the definition of ‘usual association’ as a minimum standard. In those cases where it is best for the child to have an association, the definition of ‘usual association’ should be a minimum of contact. I am pleased that a joint committee supports the conversion of the mediation system. These changes will provide the brokers with a better opportunity to help their parents with major conflicts to reach an agreement that provides the basis for the best possible cooperation on common children. An overall committee also supports mandatory mediation for consensual residents with children under 16. The proposal was discussed in the family communication and ensures that children born of cohabiting parents should not be discriminated against in relation to children born of married parents. It is a fundamental objective that children should be given good and prudent care and not be subjected to abuse. A typical feature of violence and assault on women and children in the family is the invisibility. It is related to the fact that the actions take place in the home and with the family as the arena, which has helped to privatize the violence. It is important to stress that family violence is not a private matter. In order to protect children from both direct physical abuse and sexual abuse and from witnessing violence, the former government of Bondevik set down a working group. The work group’s proposals form the basis for the proposed measures to protect children and young people from abuse. These include: as proposed in the legislative text that the decision on parental responsibility, permanent residence and association should take into account the fact that the child must not be subject to abuse. I am pleased that a broad majority of the Committee believes that the need to protect children from the adverse effects of possible future abuses must initially outweigh the consideration of potential adverse effects by losing contact with one of the parents. Furthermore, it is fully agreed that if there is no good association for the child, there should be no association. At the same time, it is an important task for the courts to detect allegations of violence and abuse that are unsustainable. The Party of Advancement is sceptical about the use of the term ‘best’ in the Children’s Act because they do not want the courts to use discretion. If the aim is to avoid using discretion, you will not be able to capture the individual needs of any child or family. The Courts must always weigh different considerations against each other. The Christian People's Party does not want the goal of good law to be for children regardless of age, commitment and own desires to live just as much with both parents. The courts must have the opportunity to assess how the situation can be optimised for this very specific child in this particular family. The best of children is also a central concept of Norwegian and foreign child law as well as of international conventions dealing with children. I would therefore recommend the Committee's position.
ParlaMint-NO_2006-03-09-lower.ana.ud367e95	The changes in the child law made by Odelstinget today ensure that the care of the children is taken even better than it has been until now. We are making changes in different areas, and in very different areas, and there is in no way a total review of the child law we are making. We make changes in areas such as issues such as the extent of community involvement following divorce, strengthening the mediation system, measures to protect children from abuse and the reimbursement of child benefits. Today, fathers spend more time caring for children than before, and therefore, after a break in their lives, it is natural that fathers still want to have a close relationship with their children and be an attending father. Modernisation of the Children’s Act to take greater account of the greatest possible contact with both parents after a breakup is therefore incredibly important. Studies also show that in families where there has been a sharing of care for their children before the breakup of life, it is easier to find well-shared solutions even after a breakup. In practice, this means that when there is more equality at home, there will also be fewer conflicts. In recent days, attention has been drawn to the Committee's proposal that the extent to which children are related to the local environment should also be important in assessing the extent of association. Let me make it clear that there is a unanimous committee behind that change. It must also be pointed out that our proposal must in no way be regarded as a removal ban. First, parents can freely agree to this, and as long as they agree, parents can settle wherever they want. Secondly, in agreeing to the extent of association, attention shall be paid to a number of issues and the proposal of the Committee to take into account the extent to which the child is related to the local environment is one of them. In addition, account must be taken of the need to maximise parental contact, taking into account the age of the child, the extent to which, as I said, the child is related to the local environment, the distance between parents and the care of the child. In the case of older children, the relationship with the community will be of great importance. The association with the community has been established to avoid the use of children in a conflict between parents. Children shall not be used as a package. This change is made primarily to ensure the rights of children. This is often forgotten in the debate on the Children’s Act. Many parents want their rights to be guaranteed, but the Children’s Act is there to ensure children’s rights, and to help parents focus on the best of their children when the breakup is a fact and the association is to be agreed. The majority of the Committee is in favour of maintaining the norm for association which is based every two weekends, one day in a week and fourteen days in a vacation. However, the Labour Party, SV and the Center Party believe that today’s standard of association is not good enough, because it gives children less association with one of the parents. We therefore ask the Government to assess the standard of community so that the child’s association with both parents is more equally distributed. We hope that the government will return to Stortinget with this matter on an appropriate occasion. The changes we are making today in the Children's Act will be in the best interests of children. There are no changes that put parents in focus, but there are changes that put the child in focus, and that's the line Stortinget and the committee all the time want to follow.
ParlaMint-NO_2006-03-09-lower.ana.ud367e116	The party will stress that it is of great importance for children to have good contact with both their parents, even after a break in their lives. Children must not be used as weapons in a conflict between their parents. Most children want equal association with both parents, and this must be done unless there are specific reasons for a different solution. The Progress Party believes that the most appropriate thing for child-distribution matters is that the general rule must be that both parents automatically receive care by separation. This in itself is anti-conflict, and it can prevent the child from becoming part of a long-term battle. Moreover, the Progress Party is pleased that the majority are changing something in the law, so that it is not so easy to move over long distances and move the child up from its habitual environment and its accustomed school. This gives us our subsidiary support. We also believe that more attention needs to be paid to the role of professionals in child distribution matters. From a number of quarters, it is claimed that professionals are starting from a perspective that makes equality between father and mother more difficult. In the opinion of the FMO, it is said, inter alia, that:\t\t You can change the settings of the grid. \t\t \t ‘When psychologists do not recognise parents on equal terms and do not rarely have a preference for mothers’ special status in children’s lives, it makes no sense to talk about working together.’ Another important theme: The Progress Party believes that the proposition lacks solutions to one of the main problems of today’s family policy, namely co-ordination. The Progress Party believes that this problem must be tackled more actively. We therefore propose that concrete measures against co-ordination should be investigated and presented. Such sabotage should have implications for the distribution of children. The Party has taken note of the proposal to strengthen the mediation mechanism by extending it up to seven hours in cases where it is considered possible to reach agreement. Such a tip of the arrangement is good! However, we believe that the mediation mechanism cannot be assessed solely on the basis of the number of employees and the hourly consumption. It is not always the case that more professionals and more money lead to fewer and more damper conflicts. We believe that there is often a lack of competence that is the problem in mediation. A review of the mediation apparatus should therefore be carried out, with a particular focus on quality and methodology. It must be clear that in cases where children are subjected to violence or abuse — and/or there is a significant risk of this happening in the future — this must be taken into account in child distribution cases. However, there is a lot of evidence to suggest that in some cases false claims of violence and abuse are made to discredit one of the parents. This is very serious. Getting an incorrect assault claim put out is very stigmatizing and can be a big problem in both work and private life. The party of progress sees it as a serious crime to make such false claims, and believes that the reactions to such issues must be strengthened significantly. Otherwise, we believe that there is a weakness in the proposition that a type of assault that is not mentioned is the kind of mental violence that children are exposed to in matters of parental anti-discrimination – Parental Alienation Syndrome, PAS. There is a significant need for research to increase the competence of Norwegian professionals, and in this context the Progress Party has made proposals. Many men have been convicted of a false danger over time or have recognized a false danger. In a not insignificant part of these matters, it is likely that it has been done under pressure. It also seems quite clear that there are also many dangers that have been wrongly determined according to the Father-est-rule. Some claim that 10 pst. of the Norwegian population may be registered with the wrong father. As a legislator and a judge, the state has had a great responsibility in determining its fatherhood. Following the adoption by the Storting of amendments to the Children’s Act, which entered into force on 1 April 2003, which now allows all parties to resume the proceedings, many dangers have been overturned. It now turns out that there is a need to remedy the financial damage caused by these fathers on the part of the State. That is why we have taken up proposals in line with the demands made by the Support Group for convicted fathers. Finally, I refer to the proposals of the Progress Party, and if they are not to be reached, we will give our subsidiary support to the vote.
ParlaMint-NO_2006-03-09-lower.ana.ud367e147	The representative Ulf Erik Knudsen has taken up the proposals he referred to.
ParlaMint-NO_2006-03-09-lower.ana.ud367e150	We are dealing with a case that involves very different aspects: the extent of association in the event of a break in life, the strengthening of the mediation system, measures to protect children from abuse, parental responsibility after death and the rules for the reimbursement of child contributions where the danger changes. There are many different themes we're going to cover, and there's a lot to say about them all. But I think we might have to focus on some people within the context of speaking time. We can see that at the bottom there is broad consensus – across the board – in relation to the fact that these are rules that will consistently serve the consideration that is most important in all matters where children are parties, namely, the consideration of the child's best interests. So let's have that as the big headline! In the case of community arrangements, there has been a point — and it is felt that the Right is very important — that flexibility is provided for in the families. It is the individual families, the individuals involved, who know best how to arrange their everyday life in a practical way so that you can get together to work. And we all know that there are seven days a week. We need to find schemes that work on Monday, Wednesday and busy days – it needs to be picked up, and it needs to be brought. So you have to have flexibility to make this work, and the peace and stability around it may be the most important thing for children. These objectives should theoretically perhaps imply that they were in favour of repealing the legal definition, because it sets a framework in itself. When the Right nevertheless believes it is important to hold it, it is in the light of the fact that it applies primarily in the difficult cases. In those cases, we believe that the legal definition adds a standard that will provide support in the conversations that are taking place between the parties – and also those that are brokers, or third parties involved – to actually achieve a relationship that could be better than what would otherwise have been achieved. We also believe that such a signal from the public as a legal definition is, will actually act as a barrier to conflict. To the right, the provisions in relation to the protection of children from abuse are very important. Children are vermin in relation to violence and abuse in close relationships, and it is precisely in those relationships where not only physical violence but also mental violence, that the abuses become very ugly. The sense of security is one of the most important things we have in life. It can easily be robbed, but it's very difficult to get back. Of the measures proposed, we pay particular attention to those that are practical, for example: the right of the courts to appoint a supervisor and the possibility of obtaining a notional identity and blocked address. Otherwise, we support the facts that are changing the mediation institute, and the creation proposed in relation to persons who are exempt from danger. We also believe that the theme fathers is something we should get back to by many crossroads in the future. There may be little doubt that many people feel that they have come out difficult – and I use the words ‘difficult’ and not ‘bad out’ – in relation to agreements and in relation to how you get things to work. I hope the Council of State has it with it, and I am convinced that she has it. The right is satisfied that we are now adopting these rules with a great deal of consensus. But there are signs in the air here that you want to make an assessment of the community standards as such. It is clear that if you go into a completely new standard of association – i.e. if you go into shared care as a general rule – you will have to put the cabal back on board throughout the legislation. I hope that the flexible arrangements we have, for example. have added up in terms of association, will be allowed to work, and that we can draw lessons from it before we give up drawing a new map of something that we, after all, do not know.
ParlaMint-NO_2006-03-09-lower.ana.ud367e169	Today, we are dealing with various changes to the Children’s Act. The proposals concern the extent of association, the strengthening of the mediation system, measures to protect children from abuse, parental responsibility after death and the rules for the reimbursement of child contributions where the danger changes – many different issues which individually have consequences for many children and parents. There are few things that so much interfere with the lives of individuals, and that engage so much. It is therefore important that what is communicated is correct information. We've been in the media in the last few days having a storm against us, for example. have proposed a legal text which means a removal ban on parents. We don't! What we are proposing and emphasising in association is that children should have good contact with both parents, and we stress that the arrangements for getting together must assume that mother and father are equivalent caregivers for the child. The law also clearly indicates that there are individual considerations that should be decisive in the conclusion or determination of association and that the best possible overall contact between parents is the objective. We have incorporated child conventions into Norwegian law. In the previous period, The Storting decided that children up to seven years of age should be heard in child distribution cases and that what the child says should be given weight according to age and maturity. It is natural, for example, to: the child’s relationship with the local environment is assessed when establishing association. Young children will be less related to the local environment, while for older children, school and friends will usually be more important. During the previous period, the size decided to repeal the law’s definition of normal rights of access. SV believes that today's law is not good enough, and we now ask the government parties to come back with a case about this. With regard to the mediation mechanism, it is important that the aim of mediation is that the agreement provides the basis for optimal cooperation, with the child’s best in focus. Many children experience a difficult situation in the conflict between their parents. It is important for children to avoid this strain and for adults to reach agreement as far as possible on care and association. It's the responsibility of adults to get the best solutions for their children. The mediation mechanism is therefore proposed to be strengthened and extended by up to seven hours in cases where agreement is possible. This is good. Account shall be taken of the fact that the child must not be subjected to abuse in matters of parental responsibility, permanent residence and association. The right of parents to have relations with the children shall not be at the expense of the best interests of the child. In this context, it is a very important task for the courts to reveal allegations of violence and abuse that are unsustainable. False accusations of justice could lead to criminal liability and, in addition, negatively affect the possibilities of winning out in a child-sharing case. If association is not for the best of the child, it should not be an affair. In these cases, consultation with the child is important, and it is important that those hearing the child have good child-care skills. Here we look forward to establishing a Barnas House in Norway, which will probably increase the competence of hearing children. The proposal that a parent who has not had parental responsibility and is intended or accused of killing the other parent, not automatically receiving parental responsibility, is important and is supported by the entire Committee. The Socialist Left believes that it is good that a mechanism be introduced for the refund of contributions, which means that the impairment of the money value from the contribution was first paid and until it is refunded. It has been a great burden both economically and psychologically for many men to be misjudged as fathers. Fortunately, this will not happen to the same extent in the future, after we have changed the law on DNA testing.
ParlaMint-NO_2006-03-09-lower.ana.ud367e186	Born and young people are the most important resource we have in society. The pursuit of well-being, security and development in the world and in the community is important for children, and it is important that child-care legislation has a clear focus on children’s best interests. Today, we are debating changes in laws that are important both for children and for many parents. Among other things, we handle promises that will provide children with a stronger protection against abuse. It is an area in which we must also have a strong focus in the political work ahead. It can be a difficult and bad process, and then it's important to have a code that looks at the children's best in focus. Good brokering arrangements are a good way to mitigate the level of conflict and to ensure good solutions for both children and parents. We are strengthening this system today, and it is joyous. In the vast majority of cases where parents separate teams, it is best for children to have good contact with both parents. How to organise this contact is up to parents to decide. If parents don’t get along, it’s a matter for the judiciary, and then it’s important that the law states that both parents have responsibility and care for the children even after a break in life. I registered that the representative Tørersdal from the Christian People's Party said in his post that the norm of community should be to see as a minimum association. The intention of the Christian People's Party is certainly good, but often community norms do not provide a good answer to how to organize association. One of the reasons for this might be, for example: long distances. On the other hand, norms can be an obstacle, limiting association where one parent wants more association or association organized in another way. Therefore, it is important and right to have a reassessment of the standards of association. We have experienced that this field of action arouses great commitment and strong feelings. It is therefore gratifying that the Committee is broadly in agreement with the changes that we are dealing with today.
